Case,Activity,Timestamp,Resource,label,iscollateral,BaseActivity,ProcessedActivity,CollateralGroup,is_collateral_event,y_true
321,info received,2023-10-17 12:53:01.049,,,0,info received,info received,-1,0,0
321,Check for completeness,2023-10-17 12:53:11.049,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
321,Perform checks,2023-10-17 12:57:02.026,Clerk-000005,,0,Perform checks,perform checks,-1,0,0
321,Make decision,2023-10-17 13:00:02.242,Manager-000004,,0,Make decision,make decision,-1,0,0
321,Notify accept,2023-10-17 13:09:57.492,Manager-000002,,0,Notify accept,notify accept,-1,0,0
321,Deliver card,2023-10-17 13:28:11.387,Manager-000006,,0,Deliver card,deliver card,-1,0,0
321,EVENT 13 END,2023-10-17 13:37:11.741,,,0,EVENT 13 END,event 13 end,-1,0,0
322,Check for completeness,2023-10-17 11:56:01.124,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
322,New online application received,2023-10-17 11:56:01.124,,,0,New online application received,new online application received,-1,0,0
322,Perform checks,2023-10-17 12:08:13.400,Clerk-000002,,0,Perform checks,perform checks,-1,0,0
322,Make decision,2023-10-17 12:24:47.277,Manager-000002,,0,Make decision,make decision,-1,0,0
322,notify reject,2023-10-17 12:25:01.362,Manager-000003,,0,notify reject,notify reject,-1,0,0
322,time out,2023-10-17 12:31:33.185,,,0,time out,time out,-1,0,0
322,EVENT 13 END,2023-10-17 12:31:43.185,,,0,EVENT 13 END,event 13 end,-1,0,0
323,Check for completeness,2023-10-17 12:23:55.607,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
323,New online application received,2023-10-17 12:23:55.607,,,0,New online application received,new online application received,-1,0,0
323,Request info,2023-10-17 12:30:43.306,Manager-000006,,0,Request info,request info,-1,0,0
323,info received,2023-10-17 12:43:03.943,,,0,info received,info received,-1,0,0
323,Check for completeness,2023-10-17 12:43:13.943,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
323,Request info,2023-10-17 12:58:35.376,Manager-000005,,0,Request info,request info,-1,0,0
323,info received,2023-10-17 13:13:41.464,,,0,info received,info received,-1,0,0
323,Check for completeness,2023-10-17 13:13:51.464,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
323,Request info,2023-10-17 13:23:27.959,Manager-000003,,0,Request info,request info,-1,0,0
323,info received,2023-10-17 13:29:06.317,,,0,info received,info received,-1,0,0
323,Check for completeness,2023-10-17 13:29:16.317,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
323,Perform checks,2023-10-17 13:42:10.887,Clerk-000001,,0,Perform checks,perform checks,-1,0,0
323,Make decision,2023-10-17 13:50:40.432,Manager-000001,,0,Make decision,make decision,-1,0,0
323,Notify accept,2023-10-17 13:56:35.490,Manager-000004,,0,Notify accept,notify accept,-1,0,0
323,Deliver card,2023-10-17 14:04:31.524,Manager-000005,,0,Deliver card,deliver card,-1,0,0
323,EVENT 13 END,2023-10-17 14:12:05.367,,,0,EVENT 13 END,event 13 end,-1,0,0
324,Check for completeness,2023-10-17 14:42:30.068,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
324,New online application received,2023-10-17 14:42:30.068,,,0,New online application received,new online application received,-1,0,0
324,Request info,2023-10-17 14:45:17.642,Manager-000002,,0,Request info,request info,-1,0,0
324,info received,2023-10-17 15:00:49.267,,,0,info received,info received,-1,0,0
324,Check for completeness,2023-10-17 15:00:59.267,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
324,Perform checks,2023-10-17 15:06:01.212,Clerk-000006,,0,Perform checks,perform checks,-1,0,0
324,Make decision,2023-10-17 15:07:54.138,Manager-000003,,0,Make decision,make decision,-1,0,0
324,notify reject,2023-10-17 15:13:36.414,Manager-000006,,0,notify reject,notify reject,-1,0,0
324,time out,2023-10-17 15:20:16.672,,,0,time out,time out,-1,0,0
324,EVENT 13 END,2023-10-17 15:20:26.672,,,0,EVENT 13 END,event 13 end,-1,0,0
325,Check for completeness,2023-10-17 15:03:47.881,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
325,New online application received,2023-10-17 15:03:47.881,,,0,New online application received,new online application received,-1,0,0
325,Request info,2023-10-17 15:15:00.794,Manager-000001,,0,Request info,request info,-1,0,0
325,info received,2023-10-17 15:35:11.751,,,0,info received,info received,-1,0,0
325,Check for completeness,2023-10-17 15:35:21.751,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
325,Request info,2023-10-17 15:38:28.755,Manager-000004,,0,Request info,request info,-1,0,0
325,info received,2023-10-17 16:03:47.917,,,0,info received,info received,-1,0,0
325,Check for completeness,2023-10-17 16:03:57.917,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
325,Perform checks,2023-10-17 16:19:48.146,Clerk-000006,,0,Perform checks,perform checks,-1,0,0
325,Make decision,2023-10-17 16:32:20.183,Manager-000005,,0,Make decision,make decision,-1,0,0
325,notify reject,2023-10-17 16:33:37.595,Manager-000002,,0,notify reject,notify reject,-1,0,0
325,review request received,2023-10-17 16:41:48.194,,,0,review request received,review request received,-1,0,0
325,Check for completeness,2023-10-17 16:41:58.194,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
325,Request info,2023-10-17 16:49:10.518,Manager-000001,,0,Request info,request info,-1,0,0
325,info received,2023-10-17 16:58:20.091,,,0,info received,info received,-1,0,0
325,Check for completeness,2023-10-17 16:58:30.091,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
325,Request info,2023-10-17 17:16:09.063,Manager-000005,,0,Request info,request info,-1,0,0
325,info received,2023-10-17 17:18:31.981,,,0,info received,info received,-1,0,0
325,Check for completeness,2023-10-17 17:18:41.981,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
325,Perform checks,2023-10-17 17:51:33.015,Clerk-000002,,0,Perform checks,perform checks,-1,0,0
325,Make decision,2023-10-17 17:52:26.999,Manager-000002,,0,Make decision,make decision,-1,0,0
325,Notify accept,2023-10-17 17:52:48.603,Manager-000001,,0,Notify accept,notify accept,-1,0,0
325,Deliver card,2023-10-17 18:11:54.994,Manager-000003,,0,Deliver card,deliver card,-1,0,0
325,EVENT 13 END,2023-10-17 18:12:41.750,,,0,EVENT 13 END,event 13 end,-1,0,0
326,Check for completeness,2023-10-17 15:57:41.980,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
326,New online application received,2023-10-17 15:57:41.980,,,0,New online application received,new online application received,-1,0,0
326,Perform checks,2023-10-17 16:00:21.232,Clerk-000003,,0,Perform checks,perform checks,-1,0,0
326,Make decision,2023-10-17 16:34:09.019,Manager-000003,,0,Make decision,make decision,-1,0,0
326,notify reject,2023-10-17 16:41:30.859,Manager-000006,,0,notify reject,notify reject,-1,0,0
326,review request received,2023-10-17 16:41:36.179,,,0,review request received,review request received,-1,0,0
326,Check for completeness,2023-10-17 16:41:46.179,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
326,Perform checks,2023-10-17 16:50:46.387,Clerk-000001,,0,Perform checks,perform checks,-1,0,0
326,Make decision,2023-10-17 17:21:32.660,Manager-000003,,0,Make decision,make decision,-1,0,0
326,notify reject,2023-10-17 17:21:58.459,Manager-000006,,0,notify reject,notify reject,-1,0,0
326,time out,2023-10-17 17:23:08.763,,,0,time out,time out,-1,0,0
326,EVENT 13 END,2023-10-17 17:23:18.763,,,0,EVENT 13 END,event 13 end,-1,0,0
327,Check for completeness,2023-10-17 17:04:17.112,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
327,New online application received,2023-10-17 17:04:17.112,,,0,New online application received,new online application received,-1,0,0
327,Request info,2023-10-17 17:07:29.977,Manager-000004,,0,Request info,request info,-1,0,0
327,info received,2023-10-17 17:59:20.470,,,0,info received,info received,-1,0,0
327,Check for completeness,2023-10-17 17:59:30.470,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
327,Perform checks,2023-10-17 18:00:48.675,Clerk-000006,,0,Perform checks,perform checks,-1,0,0
327,Make decision,2023-10-17 18:02:10.678,Manager-000005,,0,Make decision,make decision,-1,0,0
327,notify reject,2023-10-17 18:19:58.984,Manager-000006,,0,notify reject,notify reject,-1,0,0
327,time out,2023-10-17 18:35:57.625,,,0,time out,time out,-1,0,0
327,EVENT 13 END,2023-10-17 18:36:07.625,,,0,EVENT 13 END,event 13 end,-1,0,0
328,Check for completeness,2023-10-17 21:59:47.623,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
328,New online application received,2023-10-17 21:59:47.623,,,0,New online application received,new online application received,-1,0,0
328,Perform checks,2023-10-17 22:16:28.497,Clerk-000001,,0,Perform checks,perform checks,-1,0,0
328,Make decision,2023-10-17 22:23:56.999,Manager-000002,,0,Make decision,make decision,-1,0,0
328,Notify accept,2023-10-17 22:45:43.523,Manager-000004,,0,Notify accept,notify accept,-1,0,0
328,Deliver card,2023-10-17 22:49:39.088,Manager-000001,,0,Deliver card,deliver card,-1,0,0
328,EVENT 13 END,2023-10-17 22:51:58.636,,,0,EVENT 13 END,event 13 end,-1,0,0
329,Check for completeness,2023-10-17 22:40:47.245,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
329,New online application received,2023-10-17 22:40:47.245,,,0,New online application received,new online application received,-1,0,0
329,Make decision_signed1,2023-10-17 22:40:47.345,,collateral events(Make decision),0,Make decision_signed1,make decision,1079,0,1
329,Request info,2023-10-17 23:17:55.946,Manager-000006,,0,Request info,request info,-1,0,0
329,Make decision_signed1,2023-10-17 23:17:56.246,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,1080,0,1
329,info received,2023-10-17 23:21:45.864,,,0,info received,info received,-1,0,0
329,Make decision_signed1,2023-10-17 23:21:46.864,,collateral events(Make decision),0,Make decision_signed1,make decision,1081,0,1
329,Check for completeness,2023-10-17 23:21:55.864,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
329,Make decision_signed1,2023-10-17 23:21:56.164,Clerk-000004,collateral events(Make decision),0,Make decision_signed1,make decision,1082,0,1
329,Perform checks,2023-10-17 23:33:12.748,Clerk-000005,,0,Perform checks,perform checks,-1,0,0
329,Make decision_signed1,2023-10-17 23:33:13.448,Clerk-000005,collateral events(Make decision),0,Make decision_signed1,make decision,1083,0,1
329,Make decision,2023-10-17 23:52:52.768,Manager-000003,,0,Make decision,make decision,1084,0,0
329,notify reject,2023-10-17 23:56:11.828,Manager-000006,,0,notify reject,notify reject,-1,0,0
329,Make decision_signed1,2023-10-17 23:56:12.728,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,1085,0,1
329,review request received,2023-10-17 23:56:39.503,,,0,review request received,review request received,-1,0,0
329,Make decision_signed1,2023-10-17 23:56:39.703,,collateral events(Make decision),0,Make decision_signed1,make decision,1086,0,1
329,Check for completeness,2023-10-17 23:56:49.503,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
329,Make decision_signed1,2023-10-17 23:56:50.203,Clerk-000002,collateral events(Make decision),0,Make decision_signed1,make decision,1087,0,1
329,Perform checks,2023-10-17 23:59:14.638,Clerk-000006,,0,Perform checks,perform checks,-1,0,0
329,Make decision_signed1,2023-10-17 23:59:15.338,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,1088,0,1
329,Make decision,2023-10-18 00:13:51.676,Manager-000004,,0,Make decision,make decision,1089,0,0
329,Notify accept,2023-10-18 00:26:52.219,Manager-000001,,0,Notify accept,notify accept,-1,0,0
329,Make decision_signed1,2023-10-18 00:26:53.019,Manager-000001,collateral events(Make decision),0,Make decision_signed1,make decision,1090,0,1
329,Deliver card,2023-10-18 00:32:56.906,Manager-000006,,0,Deliver card,deliver card,-1,0,0
329,Make decision_signed1,2023-10-18 00:32:57.306,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,1091,0,1
329,EVENT 13 END,2023-10-18 00:36:35.969,,,0,EVENT 13 END,event 13 end,-1,0,0
329,Make decision_signed1,2023-10-18 00:36:36.269,,collateral events(Make decision),0,Make decision_signed1,make decision,1092,0,1
330,Check for completeness,2023-10-17 22:56:49.752,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
330,New online application received,2023-10-17 22:56:49.752,,,0,New online application received,new online application received,-1,0,0
330,Request info,2023-10-17 22:58:59.793,Manager-000003,,0,Request info,request info,-1,0,0
330,info received,2023-10-17 23:06:44.041,,,0,info received,info received,-1,0,0
330,Check for completeness,2023-10-17 23:06:54.041,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
330,Request info,2023-10-17 23:18:50.643,Manager-000002,,0,Request info,request info,-1,0,0
330,info received,2023-10-17 23:31:37.878,,,0,info received,info received,-1,0,0
330,Check for completeness,2023-10-17 23:31:47.878,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
330,Request info,2023-10-17 23:33:36.954,Manager-000004,,0,Request info,request info,-1,0,0
330,info received,2023-10-17 23:39:01.234,,,0,info received,info received,-1,0,0
330,Check for completeness,2023-10-17 23:39:11.234,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
330,Perform checks,2023-10-17 23:49:51.687,Clerk-000004,,0,Perform checks,perform checks,-1,0,0
330,Make decision,2023-10-18 00:04:45.115,Manager-000002,,0,Make decision,make decision,-1,0,0
330,notify reject,2023-10-18 00:32:09.204,Manager-000004,,0,notify reject,notify reject,-1,0,0
330,review request received,2023-10-18 00:34:56.667,,,0,review request received,review request received,-1,0,0
330,Check for completeness,2023-10-18 00:35:06.667,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
330,Perform checks,2023-10-18 00:38:53.896,Clerk-000004,,0,Perform checks,perform checks,-1,0,0
330,Make decision,2023-10-18 00:41:42.462,Manager-000002,,0,Make decision,make decision,-1,0,0
330,Notify accept,2023-10-18 00:43:21.539,Manager-000001,,0,Notify accept,notify accept,-1,0,0
330,Deliver card,2023-10-18 00:54:09.109,Manager-000005,,0,Deliver card,deliver card,-1,0,0
330,EVENT 13 END,2023-10-18 00:59:28.793,,,0,EVENT 13 END,event 13 end,-1,0,0
331,Check for completeness,2023-10-17 22:59:25.293,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
331,New online application received,2023-10-17 22:59:25.293,,,0,New online application received,new online application received,-1,0,0
331,Request info,2023-10-17 23:04:30.255,Manager-000005,,0,Request info,request info,-1,0,0
331,info received,2023-10-17 23:32:15.263,,,0,info received,info received,-1,0,0
331,Check for completeness,2023-10-17 23:32:25.263,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
331,Request info,2023-10-17 23:45:10.662,Manager-000001,,0,Request info,request info,-1,0,0
331,info received,2023-10-17 23:54:42.664,,,0,info received,info received,-1,0,0
331,Check for completeness,2023-10-17 23:54:52.664,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
331,Perform checks,2023-10-18 00:02:31.325,Clerk-000005,,0,Perform checks,perform checks,-1,0,0
331,Make decision,2023-10-18 00:08:55.470,Manager-000005,,0,Make decision,make decision,-1,0,0
331,Notify accept,2023-10-18 00:20:50.010,Manager-000006,,0,Notify accept,notify accept,-1,0,0
331,Deliver card,2023-10-18 00:28:45.096,Manager-000005,,0,Deliver card,deliver card,-1,0,0
331,EVENT 13 END,2023-10-18 00:35:17.058,,,0,EVENT 13 END,event 13 end,-1,0,0
332,Check for completeness,2023-10-17 23:35:58.482,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
332,New online application received,2023-10-17 23:35:58.482,,,0,New online application received,new online application received,-1,0,0
332,Perform checks,2023-10-18 00:09:46.611,Clerk-000002,,0,Perform checks,perform checks,-1,0,0
332,Make decision,2023-10-18 00:16:47.627,Manager-000001,,0,Make decision,make decision,-1,0,0
332,notify reject,2023-10-18 00:20:28.297,Manager-000003,,0,notify reject,notify reject,-1,0,0
332,review request received,2023-10-18 00:41:42.771,,,0,review request received,review request received,-1,0,0
332,Check for completeness,2023-10-18 00:41:52.771,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
332,Request info,2023-10-18 00:45:55.990,Manager-000004,,0,Request info,request info,-1,0,0
332,info received,2023-10-18 01:00:17.202,,,0,info received,info received,-1,0,0
332,Check for completeness,2023-10-18 01:00:27.202,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
332,Perform checks,2023-10-18 01:23:37.925,Clerk-000004,,0,Perform checks,perform checks,-1,0,0
332,Make decision,2023-10-18 01:36:17.236,Manager-000003,,0,Make decision,make decision,-1,0,0
332,notify reject,2023-10-18 01:48:16.170,Manager-000005,,0,notify reject,notify reject,-1,0,0
332,time out,2023-10-18 02:21:11.229,,,0,time out,time out,-1,0,0
332,EVENT 13 END,2023-10-18 02:21:21.229,,,0,EVENT 13 END,event 13 end,-1,0,0
333,Check for completeness,2023-10-18 01:06:03.267,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
333,New online application received,2023-10-18 01:06:03.267,,,0,New online application received,new online application received,-1,0,0
333,Make decision_signed1,2023-10-18 01:06:03.367,,collateral events(Make decision),0,Make decision_signed1,make decision,1093,0,1
333,Request info,2023-10-18 01:07:11.900,Manager-000006,,0,Request info,request info,-1,0,0
333,Make decision_signed1,2023-10-18 01:07:12.700,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,1094,0,1
333,info received,2023-10-18 01:11:54.683,,,0,info received,info received,-1,0,0
333,Make decision_signed1,2023-10-18 01:11:55.183,,collateral events(Make decision),0,Make decision_signed1,make decision,1095,0,1
333,Check for completeness,2023-10-18 01:12:04.683,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
333,Make decision_signed1,2023-10-18 01:12:05.183,Clerk-000002,collateral events(Make decision),0,Make decision_signed1,make decision,1096,0,1
333,Perform checks,2023-10-18 01:35:42.143,Clerk-000006,,0,Perform checks,perform checks,-1,0,0
333,Make decision_signed1,2023-10-18 01:35:42.443,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,1097,0,1
333,Make decision,2023-10-18 01:36:40.211,Manager-000002,,0,Make decision,make decision,1098,0,0
333,notify reject,2023-10-18 01:39:06.651,Manager-000001,,0,notify reject,notify reject,-1,0,0
333,Make decision_signed1,2023-10-18 01:39:06.951,Manager-000001,collateral events(Make decision),0,Make decision_signed1,make decision,1099,0,1
333,time out,2023-10-18 01:42:12.003,,,0,time out,time out,-1,0,0
333,Make decision_signed1,2023-10-18 01:42:12.303,,collateral events(Make decision),0,Make decision_signed1,make decision,1100,0,1
333,EVENT 13 END,2023-10-18 01:42:22.003,,,0,EVENT 13 END,event 13 end,-1,0,0
333,Make decision_signed1,2023-10-18 01:42:22.503,,collateral events(Make decision),0,Make decision_signed1,make decision,1101,0,1
334,Check for completeness,2023-10-18 01:21:28.757,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
334,New online application received,2023-10-18 01:21:28.757,,,0,New online application received,new online application received,-1,0,0
334,Perform checks,2023-10-18 01:50:30.761,Clerk-000003,,0,Perform checks,perform checks,-1,0,0
334,Make decision,2023-10-18 01:56:42.743,Manager-000006,,0,Make decision,make decision,-1,0,0
334,notify reject,2023-10-18 02:02:39.068,Manager-000002,,0,notify reject,notify reject,-1,0,0
334,time out,2023-10-18 02:14:14.610,,,0,time out,time out,-1,0,0
334,EVENT 13 END,2023-10-18 02:14:24.610,,,0,EVENT 13 END,event 13 end,-1,0,0
335,Check for completeness,2023-10-18 01:33:42.586,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
335,New online application received,2023-10-18 01:33:42.586,,,0,New online application received,new online application received,-1,0,0
335,Request info,2023-10-18 01:55:51.746,Manager-000004,,0,Request info,request info,-1,0,0
335,info received,2023-10-18 01:57:04.640,,,0,info received,info received,-1,0,0
335,Check for completeness,2023-10-18 01:57:14.640,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
335,Request info,2023-10-18 02:08:38.925,Manager-000001,,0,Request info,request info,-1,0,0
335,info received,2023-10-18 02:26:31.983,,,0,info received,info received,-1,0,0
335,Check for completeness,2023-10-18 02:26:41.983,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
335,Request info,2023-10-18 02:33:13.198,Manager-000004,,0,Request info,request info,-1,0,0
335,info received,2023-10-18 02:40:24.580,,,0,info received,info received,-1,0,0
335,Check for completeness,2023-10-18 02:40:34.580,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
335,Perform checks,2023-10-18 02:42:53.320,Clerk-000001,,0,Perform checks,perform checks,-1,0,0
335,Make decision,2023-10-18 02:50:51.579,Manager-000005,,0,Make decision,make decision,-1,0,0
335,notify reject,2023-10-18 02:54:44.582,Manager-000001,,0,notify reject,notify reject,-1,0,0
335,review request received,2023-10-18 03:05:21.238,,,0,review request received,review request received,-1,0,0
335,Check for completeness,2023-10-18 03:05:31.238,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
335,Request info,2023-10-18 03:07:00.759,Manager-000004,,0,Request info,request info,-1,0,0
335,info received,2023-10-18 03:08:54.715,,,0,info received,info received,-1,0,0
335,Check for completeness,2023-10-18 03:09:04.715,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
335,Perform checks,2023-10-18 03:12:40.338,Clerk-000006,,0,Perform checks,perform checks,-1,0,0
335,Make decision,2023-10-18 03:19:44.488,Manager-000002,,0,Make decision,make decision,-1,0,0
335,notify reject,2023-10-18 03:24:30.300,Manager-000004,,0,notify reject,notify reject,-1,0,0
335,review request received,2023-10-18 03:24:52.252,,,0,review request received,review request received,-1,0,0
335,Check for completeness,2023-10-18 03:25:02.252,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
335,Perform checks,2023-10-18 03:36:23.910,Clerk-000002,,0,Perform checks,perform checks,-1,0,0
335,Make decision,2023-10-18 03:40:42.953,Manager-000006,,0,Make decision,make decision,-1,0,0
335,Notify accept,2023-10-18 03:47:36.897,Manager-000005,,0,Notify accept,notify accept,-1,0,0
335,Deliver card,2023-10-18 03:49:11.711,Manager-000001,,0,Deliver card,deliver card,-1,0,0
335,EVENT 13 END,2023-10-18 04:10:02.817,,,0,EVENT 13 END,event 13 end,-1,0,0
336,Check for completeness,2023-10-18 02:09:18.654,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
336,New online application received,2023-10-18 02:09:18.654,,,0,New online application received,new online application received,-1,0,0
336,Perform checks,2023-10-18 02:15:36.214,Clerk-000006,,0,Perform checks,perform checks,-1,0,0
336,Make decision,2023-10-18 02:34:28.691,Manager-000006,,0,Make decision,make decision,-1,0,0
336,Notify accept,2023-10-18 02:46:56.366,Manager-000002,,0,Notify accept,notify accept,-1,0,0
336,Deliver card,2023-10-18 03:08:47.914,Manager-000006,,0,Deliver card,deliver card,-1,0,0
336,EVENT 13 END,2023-10-18 03:13:55.516,,,0,EVENT 13 END,event 13 end,-1,0,0
337,Check for completeness,2023-10-18 02:22:36.495,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
337,New online application received,2023-10-18 02:22:36.495,,,0,New online application received,new online application received,-1,0,0
337,Request info,2023-10-18 02:27:20.514,Manager-000003,,0,Request info,request info,-1,0,0
337,info received,2023-10-18 02:30:14.778,,,0,info received,info received,-1,0,0
337,Check for completeness,2023-10-18 02:30:24.778,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
337,Perform checks,2023-10-18 02:30:57.988,Clerk-000002,,0,Perform checks,perform checks,-1,0,0
337,Make decision,2023-10-18 02:56:13.489,Manager-000003,,0,Make decision,make decision,-1,0,0
337,Notify accept,2023-10-18 03:09:34.976,Manager-000005,,0,Notify accept,notify accept,-1,0,0
337,Deliver card,2023-10-18 03:16:45.516,Manager-000001,,0,Deliver card,deliver card,-1,0,0
337,EVENT 13 END,2023-10-18 03:21:07.159,,,0,EVENT 13 END,event 13 end,-1,0,0
338,Check for completeness,2023-10-18 03:24:58.871,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
338,New online application received,2023-10-18 03:24:58.871,,,0,New online application received,new online application received,-1,0,0
338,Make decision_signed1,2023-10-18 03:24:59.071,Clerk-000004,collateral events(Make decision),0,Make decision_signed1,make decision,1102,0,1
338,Request info,2023-10-18 03:29:19.853,Manager-000003,,0,Request info,request info,-1,0,0
338,Make decision_signed1,2023-10-18 03:29:19.953,Manager-000003,collateral events(Make decision),0,Make decision_signed1,make decision,1103,0,1
338,info received,2023-10-18 03:45:44.122,,,0,info received,info received,-1,0,0
338,Make decision_signed1,2023-10-18 03:45:44.222,,collateral events(Make decision),0,Make decision_signed1,make decision,1104,0,1
338,Check for completeness,2023-10-18 03:45:54.122,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
338,Make decision_signed1,2023-10-18 03:45:54.622,Clerk-000003,collateral events(Make decision),0,Make decision_signed1,make decision,1105,0,1
338,Perform checks,2023-10-18 03:52:38.299,Clerk-000005,,0,Perform checks,perform checks,-1,0,0
338,Make decision_signed1,2023-10-18 03:52:38.399,Clerk-000005,collateral events(Make decision),0,Make decision_signed1,make decision,1106,0,1
338,Make decision,2023-10-18 04:03:57.895,Manager-000002,,0,Make decision,make decision,1107,0,0
338,notify reject,2023-10-18 04:23:08.021,Manager-000004,,0,notify reject,notify reject,-1,0,0
338,Make decision_signed1,2023-10-18 04:23:08.121,Manager-000004,collateral events(Make decision),0,Make decision_signed1,make decision,1108,0,1
338,time out,2023-10-18 04:54:12.098,,,0,time out,time out,-1,0,0
338,Make decision_signed1,2023-10-18 04:54:12.498,,collateral events(Make decision),0,Make decision_signed1,make decision,1109,0,1
338,EVENT 13 END,2023-10-18 04:54:22.098,,,0,EVENT 13 END,event 13 end,-1,0,0
338,Make decision_signed1,2023-10-18 04:54:22.398,,collateral events(Make decision),0,Make decision_signed1,make decision,1110,0,1
339,Check for completeness,2023-10-18 05:44:27.896,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
339,New online application received,2023-10-18 05:44:27.896,,,0,New online application received,new online application received,-1,0,0
339,Perform checks,2023-10-18 05:45:55.014,Clerk-000004,,0,Perform checks,perform checks,-1,0,0
339,Make decision,2023-10-18 05:52:01.303,Manager-000003,,0,Make decision,make decision,-1,0,0
339,Notify accept,2023-10-18 05:55:57.549,Manager-000006,,0,Notify accept,notify accept,-1,0,0
339,Deliver card,2023-10-18 06:02:50.146,Manager-000005,,0,Deliver card,deliver card,-1,0,0
339,EVENT 13 END,2023-10-18 06:25:52.724,,,0,EVENT 13 END,event 13 end,-1,0,0
340,Check for completeness,2023-10-18 07:58:44.515,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
340,New online application received,2023-10-18 07:58:44.515,,,0,New online application received,new online application received,-1,0,0
340,Request info,2023-10-18 07:59:38.998,Manager-000001,,0,Request info,request info,-1,0,0
340,info received,2023-10-18 08:18:25.454,,,0,info received,info received,-1,0,0
340,Check for completeness,2023-10-18 08:18:35.454,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
340,Request info,2023-10-18 08:23:50.013,Manager-000002,,0,Request info,request info,-1,0,0
340,info received,2023-10-18 08:36:16.864,,,0,info received,info received,-1,0,0
340,Check for completeness,2023-10-18 08:36:26.864,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
340,Perform checks,2023-10-18 08:44:33.604,Clerk-000005,,0,Perform checks,perform checks,-1,0,0
340,Make decision,2023-10-18 08:45:33.132,Manager-000004,,0,Make decision,make decision,-1,0,0
340,Notify accept,2023-10-18 08:46:58.357,Manager-000003,,0,Notify accept,notify accept,-1,0,0
340,Deliver card,2023-10-18 08:49:33.835,Manager-000006,,0,Deliver card,deliver card,-1,0,0
340,EVENT 13 END,2023-10-18 08:56:52.961,,,0,EVENT 13 END,event 13 end,-1,0,0
341,Check for completeness,2023-10-18 08:47:31.005,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
341,New online application received,2023-10-18 08:47:31.005,,,0,New online application received,new online application received,-1,0,0
