Case,Timestamp,Resource,Activity,Activity_fixed,ishomonymous
1387,2024-07-04 21:09:42,Barman-000001,Bring drinks,Bring drinks,0
1387,2024-07-04 21:15:57,Waiter-000005,Review drinks,Review drinks,0
1387,2024-07-09 00:36:16,Cook-000001,Prepare main course,Prepare main course,0
1387,2024-07-11 20:31:02,Cook-000001,Signal food complete,Signal food complete,0
1387,2024-07-11 20:33:19,Cook helper-000001,Bring food,Bring food,0
1387,2024-07-11 20:37:54,Waiter-000002,Deliver to customer,Deliver to customer,0
1387,2024-07-11 20:38:09,,EVENT 8 END,EVENT 8 END,0
1388,2024-07-04 21:00:00,Waiter-000004,Take order,Take order,0
1388,2024-07-04 21:00:00,,start,start,0
1388,2024-07-04 21:01:44,Waiter-000002,Review order,Review order,0
1388,2024-07-04 21:03:16,Cook helper-000001,Prepare starter,Prepare starter,0
1388,2024-07-04 21:03:16,Barman-000001,prepare drinks,prepare drinks,0
1388,2024-07-04 21:03:42,Barman-000002,Bring drinks,Bring drinks,0
1388,2024-07-04 21:06:15,Waiter-000005,Review drinks,Review drinks,0
1388,2024-07-09 01:17:06,Cook-000001,Signal food complete,Signal food complete,0
1388,2024-07-09 18:14:00,Cook helper-000002,Bring food,Bring food,0
1388,2024-07-09 18:14:08,Waiter-000003,Deliver to customer,Deliver to customer,0
1388,2024-07-09 18:14:59,,EVENT 8 END,EVENT 8 END,0
1389,2024-07-04 21:15:00,Waiter-000002,Take order,Take order,0
1389,2024-07-04 21:15:00,,start,start,0
1389,2024-07-04 21:15:11,Waiter-000001,Review order,Review order,0
1389,2024-07-04 21:15:50,Barman-000002,prepare drinks,prepare drinks,0
1389,2024-07-04 21:21:00,Barman-000003,Bring drinks,Bring drinks,0
1389,2024-07-04 21:28:15,Waiter-000004,Review drinks,Review drinks,0
1389,2024-07-04 21:28:34,Barman-000001,prepare drinks,prepare drinks,0
1389,2024-07-04 21:31:12,Barman-000002,Bring drinks,Bring drinks,0
1389,2024-07-04 21:32:08,Waiter-000001,Review drinks,Review drinks,0
1389,2024-07-09 01:17:04,Cook-000002,Prepare main course,Prepare main course,0
1389,2024-07-11 20:54:47,Cook-000003,Signal food complete,Signal food complete,0
1389,2024-07-11 21:07:38,Cook helper-000002,Bring food,Bring food,0
1389,2024-07-11 21:08:51,Waiter-000005,Deliver to customer,Deliver to customer,0
1389,2024-07-11 21:13:30,,EVENT 8 END,EVENT 8 END,0
1390,2024-07-04 21:30:00,Waiter-000003,Take order,Take order,0
1390,2024-07-04 21:30:00,,start,start,0
1390,2024-07-04 21:31:05,Waiter-000002,Review order,Review order,0
1390,2024-07-04 21:31:42,Cook helper-000003,Prepare starter,Prepare starter,0
1390,2024-07-04 21:31:42,Barman-000003,prepare drinks,prepare drinks,0
1390,2024-07-04 21:33:26,Barman-000001,Bring drinks,Bring drinks,0
1390,2024-07-04 21:36:10,Waiter-000005,Review drinks,Review drinks,0
1390,2024-07-04 21:36:51,Barman-000002,prepare drinks,prepare drinks,0
1390,2024-07-04 21:39:17,Barman-000003,Bring drinks,Bring drinks,0
1390,2024-07-04 21:39:24,Waiter-000004,Review drinks,Review drinks,0
1390,2024-07-04 21:40:18,Barman-000001,prepare drinks,prepare drinks,0
1390,2024-07-04 21:41:14,Barman-000002,Bring drinks,Bring drinks,0
1390,2024-07-04 21:42:41,Waiter-000003,Review drinks,Review drinks,0
1390,2024-07-04 21:42:44,Barman-000003,prepare drinks,prepare drinks,0
1390,2024-07-04 21:44:44,Barman-000001,Bring drinks,Bring drinks,0
1390,2024-07-04 21:47:12,Waiter-000005,Review drinks,Review drinks,0
1390,2024-07-09 01:25:44,Cook-000003,Prepare main course,Prepare main course,0
1390,2024-07-11 21:09:11,Cook-000001,Signal food complete,Signal food complete,0
1390,2024-07-11 21:14:04,Cook helper-000003,Bring food,Bring food,0
1390,2024-07-11 21:16:09,Waiter-000003,Deliver to customer,Deliver to customer,0
1390,2024-07-11 21:16:10,,EVENT 8 END,EVENT 8 END,0
1391,2024-07-04 21:45:00,Waiter-000002,Take order,Take order,0
1391,2024-07-04 21:45:00,,start,start,0
1391,2024-07-04 21:46:08,Waiter-000001,Review order,Review order,0
1391,2024-07-04 21:46:38,Cook helper-000002,Prepare starter,Prepare starter,0
1391,2024-07-04 21:46:38,Barman-000002,prepare drinks,prepare drinks,0
1391,2024-07-04 21:47:59,Barman-000003,Bring drinks,Bring drinks,0
1391,2024-07-04 21:52:09,Waiter-000004,Review drinks,Review drinks,0
1391,2024-07-09 18:14:00,Cook-000001,Signal food complete,Signal food complete,0
1391,2024-07-09 18:19:55,Cook helper-000003,Bring food,Bring food,0
1391,2024-07-09 18:24:11,Waiter-000004,Deliver to customer,Deliver to customer,0
1391,2024-07-09 18:28:56,,EVENT 8 END,EVENT 8 END,0
1392,2024-07-04 22:00:00,Waiter-000002,Take order,Take order,0
1392,2024-07-04 22:00:00,,start,start,0
1392,2024-07-04 22:00:07,Waiter-000001,Review order,Review order,0
1392,2024-07-04 22:00:16,Cook helper-000003,Prepare starter,Prepare starter,0
1392,2024-07-04 22:00:16,Barman-000001,prepare drinks,prepare drinks,0
1392,2024-07-04 22:07:37,Barman-000002,Bring drinks,Bring drinks,0
1392,2024-07-04 22:25:58,Waiter-000001,Review drinks,Review drinks,0
1392,2024-07-04 22:26:15,Barman-000001,prepare drinks,prepare drinks,0
1392,2024-07-04 22:38:11,Barman-000001,Bring drinks,Bring drinks,0
1392,2024-07-04 22:38:39,Waiter-000002,Review drinks,Review drinks,0
1392,2024-07-09 18:19:55,Cook-000001,Prepare main course,Prepare main course,0
1392,2024-07-11 22:10:24,Cook-000001,Signal food complete,Signal food complete,0
1392,2024-07-12 20:26:02,Cook helper-000001,Bring food,Bring food,0
1392,2024-07-12 20:30:26,Waiter-000003,Deliver to customer,Deliver to customer,0
1392,2024-07-12 20:31:39,,EVENT 8 END,EVENT 8 END,0
1393,2024-07-04 22:15:00,Waiter-000004,Take order,Take order,0
1393,2024-07-04 22:15:00,,start,start,0
1393,2024-07-04 22:15:35,Waiter-000003,Review order,Review order,0
1393,2024-07-04 22:16:46,Cook helper-000002,Prepare starter,Prepare starter,0
1393,2024-07-04 22:16:46,Barman-000003,prepare drinks,prepare drinks,0
1393,2024-07-04 22:38:14,Barman-000003,Bring drinks,Bring drinks,0
1393,2024-07-04 22:43:53,Waiter-000005,Review drinks,Review drinks,0
1393,2024-07-09 18:23:22,Cook-000002,Prepare main course,Prepare main course,0
1393,2024-07-11 21:29:53,Cook-000003,Signal food complete,Signal food complete,0
1393,2024-07-11 22:20:16,Cook helper-000003,Bring food,Bring food,0
1393,2024-07-11 22:31:35,Waiter-000004,Deliver to customer,Deliver to customer,0
1393,2024-07-11 22:32:57,,EVENT 8 END,EVENT 8 END,0
1394,2024-07-04 22:30:00,Waiter-000005,Take order,Take order,0
1394,2024-07-04 22:30:00,,start,start,0
1394,2024-07-04 22:34:49,Waiter-000003,Review order,Review order,0
1394,2024-07-04 22:35:24,Barman-000002,prepare drinks,prepare drinks,0
1394,2024-07-04 22:39:22,Barman-000001,Bring drinks,Bring drinks,0
1394,2024-07-04 22:43:17,Waiter-000001,Review drinks,Review drinks,0
1394,2024-07-04 22:48:59,Barman-000002,prepare drinks,prepare drinks,0
1394,2024-07-04 22:49:06,Barman-000001,Bring drinks,Bring drinks,0
1394,2024-07-04 22:58:29,Waiter-000005,Review drinks,Review drinks,0
1394,2024-07-04 22:58:39,Barman-000002,prepare drinks,prepare drinks,0
1394,2024-07-04 22:59:02,Barman-000001,Bring drinks,Bring drinks,0
1394,2024-07-04 23:05:24,Waiter-000005,Review drinks,Review drinks,0
1394,2024-07-09 18:51:29,Cook-000003,Prepare main course,Prepare main course,0
1394,2024-07-11 22:00:42,Cook-000001,Signal food complete,Signal food complete,0
1394,2024-07-11 22:10:24,Cook helper-000002,Bring food,Bring food,0
1394,2024-07-11 22:16:43,Waiter-000002,Deliver to customer,Deliver to customer,0
1394,2024-07-11 22:19:06,,EVENT 8 END,EVENT 8 END,0
1395,2024-07-04 22:45:00,Waiter-000003,Take order,Take order,0
1395,2024-07-04 22:45:00,,start,start,0
1395,2024-07-04 22:49:00,Waiter-000004,Review order,Review order,0
1395,2024-07-04 22:50:07,Cook helper-000002,Prepare starter,Prepare starter,0
1395,2024-07-04 22:50:07,Barman-000003,prepare drinks,prepare drinks,0
1395,2024-07-04 23:02:44,Barman-000003,Bring drinks,Bring drinks,0
1395,2024-07-04 23:09:03,Waiter-000002,Review drinks,Review drinks,0
1395,2024-07-04 23:09:44,Barman-000001,prepare drinks,prepare drinks,0
1395,2024-07-04 23:10:10,Barman-000003,Bring drinks,Bring drinks,0
1395,2024-07-04 23:10:33,Waiter-000001,Review drinks,Review drinks,0
1395,2024-07-04 23:11:19,Barman-000001,prepare drinks,prepare drinks,0
1395,2024-07-04 23:13:13,Barman-000003,Bring drinks,Bring drinks,0
1395,2024-07-04 23:16:25,Waiter-000005,Review drinks,Review drinks,0
1395,2024-07-09 18:54:50,Cook-000001,Prepare main course,Prepare main course,0
1395,2024-07-11 23:02:16,Cook-000002,Signal food complete,Signal food complete,0
1395,2024-07-11 23:22:09,Cook helper-000001,Bring food,Bring food,0
1395,2024-07-11 23:31:59,Waiter-000005,Deliver to customer,Deliver to customer,0
1395,2024-07-11 23:32:02,,EVENT 8 END,EVENT 8 END,0
1396,2024-07-04 23:00:00,Waiter-000001,Take order,Take order,0
1396,2024-07-04 23:00:00,,start,start,0
1396,2024-07-04 23:02:09,Waiter-000003,Review order,Review order,0
1396,2024-07-04 23:02:25,Cook helper-000003,Prepare starter,Prepare starter,0
1396,2024-07-04 23:02:25,Barman-000002,prepare drinks,prepare drinks,0
1396,2024-07-04 23:02:38,Barman-000002,Bring drinks,Bring drinks,0
1396,2024-07-04 23:04:06,Waiter-000004,Review drinks,Review drinks,0
1396,2024-07-04 23:04:15,Barman-000002,prepare drinks,prepare drinks,0
1396,2024-07-04 23:15:34,Barman-000001,Bring drinks,Bring drinks,0
1396,2024-07-04 23:20:28,Waiter-000001,Review drinks,Review drinks,0
1396,2024-07-09 19:10:14,Cook-000003,Prepare main course,Prepare main course,0
1396,2024-07-11 23:49:27,Cook-000002,Signal food complete,Signal food complete,0
1396,2024-07-12 00:12:00,Cook helper-000003,Bring food,Bring food,0
1396,2024-07-12 00:19:57,Waiter-000004,Deliver to customer,Deliver to customer,0
1396,2024-07-12 00:20:21,,EVENT 8 END,EVENT 8 END,0
1397,2024-07-04 23:15:00,Waiter-000003,Take order,Take order,0
1397,2024-07-04 23:15:00,,start,start,0
1397,2024-07-04 23:15:15,Waiter-000004,Review order,Review order,0
1397,2024-07-04 23:15:38,Cook helper-000002,Prepare starter,Prepare starter,0
1397,2024-07-04 23:15:38,Barman-000002,prepare drinks,prepare drinks,0
1397,2024-07-04 23:15:44,Barman-000002,Bring drinks,Bring drinks,0
1397,2024-07-04 23:17:17,Waiter-000002,Review drinks,Review drinks,0
1397,2024-07-04 23:17:42,Barman-000003,prepare drinks,prepare drinks,0
1397,2024-07-04 23:27:17,Barman-000002,Bring drinks,Bring drinks,0
1397,2024-07-04 23:42:15,Waiter-000001,Review drinks,Review drinks,0
1397,2024-07-09 19:36:28,Cook-000001,Signal food complete,Signal food complete,0
1397,2024-07-09 19:48:19,Cook helper-000003,Bring food,Bring food,0
1397,2024-07-09 19:50:56,Waiter-000001,Deliver to customer,Deliver to customer,0
1397,2024-07-09 19:52:50,,EVENT 8 END,EVENT 8 END,0
1398,2024-07-04 23:30:00,Waiter-000005,Take order,Take order,0
1398,2024-07-04 23:30:00,,start,start,0
1398,2024-07-04 23:31:45,Waiter-000002,Review order,Review order,0
1398,2024-07-04 23:33:09,Barman-000001,prepare drinks,prepare drinks,0
1398,2024-07-04 23:55:10,Barman-000003,Bring drinks,Bring drinks,0
1398,2024-07-04 23:58:39,Waiter-000005,Review drinks,Review drinks,0
1398,2024-07-04 23:59:22,Barman-000001,prepare drinks,prepare drinks,0
1398,2024-07-05 00:05:51,Barman-000002,Bring drinks,Bring drinks,0
1398,2024-07-05 00:10:26,Waiter-000004,Review drinks,Review drinks,0
1398,2024-07-09 19:48:19,Cook-000001,Prepare main course,Prepare main course,0
1398,2024-07-12 00:12:00,Cook-000002,Signal food complete,Signal food complete,0
1398,2024-07-12 18:32:30,Cook helper-000002,Bring food,Bring food,0
1398,2024-07-12 18:42:23,Waiter-000005,Deliver to customer,Deliver to customer,0
1398,2024-07-12 18:48:19,,EVENT 8 END,EVENT 8 END,0
1399,2024-07-04 23:45:00,Waiter-000003,Take order,Take order,0
1399,2024-07-04 23:45:00,,start,start,0
1399,2024-07-04 23:45:12,Waiter-000004,Review order,Review order,0
1399,2024-07-04 23:46:48,Cook helper-000002,Prepare starter,Prepare starter,0
1399,2024-07-04 23:46:48,Barman-000003,prepare drinks,prepare drinks,0
1399,2024-07-04 23:50:27,Barman-000002,Bring drinks,Bring drinks,0
1399,2024-07-05 00:00:54,Waiter-000001,Review drinks,Review drinks,0
1399,2024-07-09 21:01:11,Cook-000003,Prepare main course,Prepare main course,0
1399,2024-07-12 18:40:49,Cook-000002,Signal food complete,Signal food complete,0
1399,2024-07-12 18:41:15,Cook helper-000003,Bring food,Bring food,0
1399,2024-07-12 18:43:54,Waiter-000001,Deliver to customer,Deliver to customer,0
1399,2024-07-12 18:44:47,,EVENT 8 END,EVENT 8 END,0
1400,2024-07-05 00:00:00,Waiter-000002,Take order,Take order,0
1400,2024-07-05 00:00:00,,start,start,0
1400,2024-07-05 00:03:02,Waiter-000003,Review order,Review order,0
1400,2024-07-05 00:03:31,Barman-000003,prepare drinks,prepare drinks,0
1400,2024-07-05 00:10:39,Barman-000001,Bring drinks,Bring drinks,0
1400,2024-07-05 00:12:28,Waiter-000005,Review drinks,Review drinks,0
1400,2024-07-05 00:13:16,Barman-000002,prepare drinks,prepare drinks,0
1400,2024-07-05 00:15:37,Barman-000003,Bring drinks,Bring drinks,0
1400,2024-07-05 00:15:39,Waiter-000002,Review drinks,Review drinks,0
1400,2024-07-05 00:18:49,Barman-000001,prepare drinks,prepare drinks,0
1400,2024-07-05 00:48:17,Barman-000002,Bring drinks,Bring drinks,0
1400,2024-07-05 00:48:35,Waiter-000001,Review drinks,Review drinks,0
1400,2024-07-05 00:49:32,Barman-000001,prepare drinks,prepare drinks,0
1400,2024-07-05 00:52:40,Barman-000003,Bring drinks,Bring drinks,0
1400,2024-07-05 00:57:24,Waiter-000005,Review drinks,Review drinks,0
1400,2024-07-09 21:03:37,Cook-000002,Prepare main course,Prepare main course,0
1400,2024-07-12 01:09:11,Cook-000003,Signal food complete,Signal food complete,0
1400,2024-07-12 01:25:58,Cook helper-000002,Bring food,Bring food,0
1400,2024-07-12 01:30:17,Waiter-000005,Deliver to customer,Deliver to customer,0
1400,2024-07-12 01:31:06,,EVENT 8 END,EVENT 8 END,0
1401,2024-07-05 00:15:00,Waiter-000001,Take order,Take order,0
1401,2024-07-05 00:15:00,,start,start,0
1401,2024-07-05 00:17:53,Waiter-000004,Review order,Review order,0
1401,2024-07-05 00:19:20,Barman-000002,prepare drinks,prepare drinks,0
1401,2024-07-05 00:20:12,Barman-000003,Bring drinks,Bring drinks,0
1401,2024-07-05 00:35:25,Waiter-000001,Review drinks,Review drinks,0
1401,2024-07-05 00:35:29,Barman-000003,prepare drinks,prepare drinks,0
1401,2024-07-05 00:40:34,Barman-000003,Bring drinks,Bring drinks,0
1401,2024-07-05 00:46:53,Waiter-000003,Review drinks,Review drinks,0
1401,2024-07-05 00:47:27,Barman-000001,prepare drinks,prepare drinks,0
1401,2024-07-05 00:50:47,Barman-000001,Bring drinks,Bring drinks,0
1401,2024-07-05 00:58:36,Waiter-000001,Review drinks,Review drinks,0
1401,2024-07-05 00:58:38,Barman-000003,prepare drinks,prepare drinks,0
1401,2024-07-05 01:05:34,Barman-000003,Bring drinks,Bring drinks,0
1401,2024-07-05 01:10:04,Waiter-000002,Review drinks,Review drinks,0
1401,2024-07-05 01:10:27,Barman-000003,prepare drinks,prepare drinks,0
1401,2024-07-05 01:15:02,Barman-000003,Bring drinks,Bring drinks,0
1401,2024-07-05 01:20:14,Waiter-000002,Review drinks,Review drinks,0
1401,2024-07-05 01:25:33,Barman-000002,prepare drinks,prepare drinks,0
1401,2024-07-05 01:45:54,Barman-000002,Bring drinks,Bring drinks,0
1401,2024-07-05 01:52:11,Waiter-000005,Review drinks,Review drinks,0
1401,2024-07-09 21:45:59,Cook-000003,Prepare main course,Prepare main course,0
1401,2024-07-12 18:41:15,Cook-000002,Signal food complete,Signal food complete,0
1401,2024-07-12 18:58:00,Cook helper-000001,Bring food,Bring food,0
1401,2024-07-12 18:58:04,Waiter-000005,Deliver to customer,Deliver to customer,0
1401,2024-07-12 18:58:05,,EVENT 8 END,EVENT 8 END,0
1402,2024-07-05 00:30:00,Waiter-000005,Take order,Take order,0
1402,2024-07-05 00:30:00,,start,start,0
1402,2024-07-05 00:32:13,Waiter-000003,Review order,Review order,0
1402,2024-07-05 00:33:16,Barman-000002,prepare drinks,prepare drinks,0
1402,2024-07-05 00:41:25,Barman-000002,Bring drinks,Bring drinks,0
1402,2024-07-05 00:44:54,Waiter-000002,Review drinks,Review drinks,0
1402,2024-07-05 00:44:54,Barman-000002,prepare drinks,prepare drinks,0
1402,2024-07-05 00:48:35,Barman-000002,Bring drinks,Bring drinks,0
1402,2024-07-05 00:52:59,Waiter-000002,Review drinks,Review drinks,0
1402,2024-07-05 00:54:45,Barman-000002,prepare drinks,prepare drinks,0
1402,2024-07-05 01:05:00,Barman-000002,Bring drinks,Bring drinks,0
1402,2024-07-05 01:15:51,Waiter-000001,Review drinks,Review drinks,0
1402,2024-07-05 01:15:56,Barman-000002,prepare drinks,prepare drinks,0
1402,2024-07-05 01:26:36,Barman-000003,Bring drinks,Bring drinks,0
1402,2024-07-05 01:27:18,Waiter-000003,Review drinks,Review drinks,0
1402,2024-07-09 21:56:30,Cook-000003,Prepare main course,Prepare main course,0
1402,2024-07-12 19:01:57,Cook-000003,Signal food complete,Signal food complete,0
1402,2024-07-12 19:19:46,Cook helper-000003,Bring food,Bring food,0
1402,2024-07-12 19:27:34,Waiter-000001,Deliver to customer,Deliver to customer,0
1402,2024-07-12 19:29:25,,EVENT 8 END,EVENT 8 END,0
1403,2024-07-05 00:45:00,Waiter-000004,Take order,Take order,0
1403,2024-07-05 00:45:00,,start,start,0
1403,2024-07-05 00:45:53,Waiter-000005,Review order,Review order,0
1403,2024-07-05 00:46:53,Barman-000003,prepare drinks,prepare drinks,0
1403,2024-07-05 00:52:59,Barman-000002,Bring drinks,Bring drinks,0
1403,2024-07-05 00:54:45,Waiter-000004,Review drinks,Review drinks,0
1403,2024-07-09 22:00:59,Cook-000003,Prepare main course,Prepare main course,0
1403,2024-07-12 20:08:20,Cook-000002,Signal food complete,Signal food complete,0
1403,2024-07-12 20:24:48,Cook helper-000003,Bring food,Bring food,0
1403,2024-07-12 20:25:01,Waiter-000005,Deliver to customer,Deliver to customer,0
1403,2024-07-12 20:26:09,,EVENT 8 END,EVENT 8 END,0
1404,2024-07-05 01:00:00,Waiter-000002,Take order,Take order,0
1404,2024-07-05 01:00:00,,start,start,0
1404,2024-07-05 01:00:23,Waiter-000004,Review order,Review order,0
1404,2024-07-05 01:03:04,Cook helper-000003,Prepare starter,Prepare starter,0
1404,2024-07-05 01:03:04,Barman-000001,prepare drinks,prepare drinks,0
1404,2024-07-05 01:04:40,Barman-000001,Bring drinks,Bring drinks,0
1404,2024-07-05 01:16:15,Waiter-000004,Review drinks,Review drinks,0
1404,2024-07-05 01:17:07,Barman-000001,prepare drinks,prepare drinks,0
1404,2024-07-05 01:30:47,Barman-000003,Bring drinks,Bring drinks,0
1404,2024-07-05 01:34:11,Waiter-000002,Review drinks,Review drinks,0
1404,2024-07-05 01:38:50,Barman-000003,prepare drinks,prepare drinks,0
1404,2024-07-05 01:48:01,Barman-000003,Bring drinks,Bring drinks,0
1404,2024-07-05 01:52:48,Waiter-000004,Review drinks,Review drinks,0
1404,2024-07-09 22:19:47,Cook-000002,Prepare main course,Prepare main course,0
1404,2024-07-12 20:00:52,Cook-000003,Signal food complete,Signal food complete,0
1404,2024-07-12 20:43:41,Cook helper-000001,Bring food,Bring food,0
1404,2024-07-12 20:43:55,Waiter-000003,Deliver to customer,Deliver to customer,0
1404,2024-07-12 20:45:07,,EVENT 8 END,EVENT 8 END,0
1405,2024-07-05 01:15:00,Waiter-000005,Take order,Take order,0
1405,2024-07-05 01:15:00,,start,start,0
1405,2024-07-05 01:16:24,Waiter-000003,Review order,Review order,0
1405,2024-07-05 01:16:28,Barman-000001,prepare drinks,prepare drinks,0
1405,2024-07-05 01:20:14,Barman-000003,Bring drinks,Bring drinks,0
1405,2024-07-05 01:26:36,Waiter-000005,Review drinks,Review drinks,0
1405,2024-07-09 22:24:18,Cook-000001,Prepare main course,Prepare main course,0
1405,2024-07-12 20:24:48,Cook-000002,Signal food complete,Signal food complete,0
1405,2024-07-12 20:56:13,Cook helper-000003,Bring food,Bring food,0
1405,2024-07-12 21:05:55,Waiter-000004,Deliver to customer,Deliver to customer,0
1405,2024-07-12 21:06:28,,EVENT 8 END,EVENT 8 END,0
1406,2024-07-05 01:30:00,Waiter-000004,Take order,Take order,0
1406,2024-07-05 01:30:00,,start,start,0
1406,2024-07-05 01:34:33,Waiter-000001,Review order,Review order,0
1406,2024-07-05 01:35:34,Barman-000001,prepare drinks,prepare drinks,0
1406,2024-07-05 01:43:37,Barman-000001,Bring drinks,Bring drinks,0
1406,2024-07-05 01:55:49,Waiter-000002,Review drinks,Review drinks,0
1406,2024-07-09 22:25:24,Cook-000003,Prepare main course,Prepare main course,0
1406,2024-07-12 21:00:31,Cook-000001,Signal food complete,Signal food complete,0
1406,2024-07-12 21:05:55,Cook helper-000003,Bring food,Bring food,0
1406,2024-07-12 21:06:31,Waiter-000005,Deliver to customer,Deliver to customer,0
1406,2024-07-12 21:07:32,,EVENT 8 END,EVENT 8 END,0
1407,2024-07-05 01:45:00,Waiter-000004,Take order,Take order,0
1407,2024-07-05 01:45:00,,start,start,0
1407,2024-07-05 01:46:55,Waiter-000001,Review order,Review order,0
1407,2024-07-05 01:47:39,Barman-000003,prepare drinks,prepare drinks,0
1407,2024-07-05 01:52:11,Barman-000002,Bring drinks,Bring drinks,0
1407,2024-07-05 01:54:49,Waiter-000001,Review drinks,Review drinks,0
1407,2024-07-09 22:36:03,Cook-000001,Prepare main course,Prepare main course,0
1407,2024-07-12 20:27:13,Cook-000001,Signal food complete,Signal food complete,0
1407,2024-07-12 20:34:42,Cook helper-000003,Bring food,Bring food,0
1407,2024-07-12 20:35:18,Waiter-000002,Deliver to customer,Deliver to customer,0
1407,2024-07-12 20:35:27,,EVENT 8 END,EVENT 8 END,0
1408,2024-07-05 02:00:00,,start,start,0
1408,2024-07-05 18:00:00,Waiter-000003,Take order,Take order,0
1408,2024-07-05 18:01:13,Waiter-000005,Review order,Review order,0
1408,2024-07-05 18:01:37,Cook helper-000003,Prepare starter,Prepare starter,0
1408,2024-07-05 18:01:37,Barman-000003,prepare drinks,prepare drinks,0
1408,2024-07-05 18:04:08,Barman-000002,Bring drinks,Bring drinks,0
1408,2024-07-05 18:14:56,Waiter-000001,Review drinks,Review drinks,0
1408,2024-07-05 18:14:58,Barman-000001,prepare drinks,prepare drinks,0
1408,2024-07-05 18:27:54,Barman-000003,Bring drinks,Bring drinks,0
1408,2024-07-05 18:29:32,Waiter-000004,Review drinks,Review drinks,0
1408,2024-07-09 22:41:08,Cook-000001,Prepare main course,Prepare main course,0
1408,2024-07-12 20:56:13,Cook-000002,Signal food complete,Signal food complete,0
1408,2024-07-12 21:01:10,Cook helper-000002,Bring food,Bring food,0
1408,2024-07-12 21:22:32,Waiter-000001,Deliver to customer,Deliver to customer,0
1408,2024-07-12 21:23:26,,EVENT 8 END,EVENT 8 END,0
1409,2024-07-05 18:15:00,Waiter-000002,Take order,Take order,0
1409,2024-07-05 18:15:00,,start,start,0
1409,2024-07-05 18:18:22,Waiter-000003,Review order,Review order,0
1409,2024-07-05 18:19:55,Cook helper-000001,Prepare starter,Prepare starter,0
1409,2024-07-05 18:19:55,Barman-000003,prepare drinks,prepare drinks,0
1409,2024-07-05 18:20:53,Barman-000002,Bring drinks,Bring drinks,0
1409,2024-07-05 18:22:16,Waiter-000005,Review drinks,Review drinks,0
1409,2024-07-09 23:09:53,Cook-000001,Signal food complete,Signal food complete,0
1409,2024-07-09 23:28:01,Cook helper-000003,Bring food,Bring food,0
1409,2024-07-09 23:28:13,Waiter-000005,Deliver to customer,Deliver to customer,0
1409,2024-07-09 23:39:08,,EVENT 8 END,EVENT 8 END,0
1410,2024-07-05 18:30:00,Waiter-000001,Take order,Take order,0
1410,2024-07-05 18:30:00,,start,start,0
1410,2024-07-05 18:35:11,Waiter-000002,Review order,Review order,0
1410,2024-07-05 18:38:09,Cook helper-000002,Prepare starter,Prepare starter,0
1410,2024-07-05 18:38:09,Barman-000002,prepare drinks,prepare drinks,0
1410,2024-07-05 18:49:09,Barman-000003,Bring drinks,Bring drinks,0
1410,2024-07-05 18:55:15,Waiter-000001,Review drinks,Review drinks,0
1410,2024-07-05 18:55:49,Barman-000001,prepare drinks,prepare drinks,0
1410,2024-07-05 18:59:53,Barman-000003,Bring drinks,Bring drinks,0
1410,2024-07-05 19:02:50,Waiter-000004,Review drinks,Review drinks,0
1410,2024-07-09 23:31:37,Cook-000003,Prepare main course,Prepare main course,0
1410,2024-07-12 21:03:55,Cook-000001,Signal food complete,Signal food complete,0
1410,2024-07-12 21:29:27,Cook helper-000003,Bring food,Bring food,0
1410,2024-07-12 21:33:30,Waiter-000002,Deliver to customer,Deliver to customer,0
1410,2024-07-12 21:37:08,,EVENT 8 END,EVENT 8 END,0
1411,2024-07-05 18:45:00,Waiter-000003,Take order,Take order,0
1411,2024-07-05 18:45:00,,start,start,0
1411,2024-07-05 18:47:02,Waiter-000005,Review order,Review order,0
1411,2024-07-05 18:47:06,Barman-000001,prepare drinks,prepare drinks,0
1411,2024-07-05 18:51:58,Barman-000002,Bring drinks,Bring drinks,0
1411,2024-07-05 18:55:29,Waiter-000002,Review drinks,Review drinks,0
1411,2024-07-09 23:46:32,Cook-000003,Prepare main course,Prepare main course,0
1411,2024-07-12 21:29:27,Cook-000001,Signal food complete,Signal food complete,0
1411,2024-07-12 21:56:47,Cook helper-000002,Bring food,Bring food,0
1411,2024-07-12 22:09:40,Waiter-000002,Deliver to customer,Deliver to customer,0
1411,2024-07-12 22:09:49,,EVENT 8 END,EVENT 8 END,0
1412,2024-07-05 19:00:00,Waiter-000003,Take order,Take order,0
1412,2024-07-05 19:00:00,,start,start,0
1412,2024-07-05 19:00:03,Waiter-000005,Review order,Review order,0
1412,2024-07-05 19:00:41,Barman-000002,prepare drinks,prepare drinks,0
1412,2024-07-05 19:00:48,Barman-000001,Bring drinks,Bring drinks,0
1412,2024-07-05 19:04:33,Waiter-000002,Review drinks,Review drinks,0
1412,2024-07-09 23:50:04,Cook-000001,Prepare main course,Prepare main course,0
1412,2024-07-12 21:48:42,Cook-000003,Signal food complete,Signal food complete,0
1412,2024-07-12 22:59:58,Cook helper-000003,Bring food,Bring food,0
1412,2024-07-12 23:01:58,Waiter-000003,Deliver to customer,Deliver to customer,0
1412,2024-07-12 23:03:46,,EVENT 8 END,EVENT 8 END,0
1413,2024-07-05 19:15:00,Waiter-000001,Take order,Take order,0
1413,2024-07-05 19:15:00,,start,start,0
1413,2024-07-05 19:15:51,Waiter-000002,Review order,Review order,0
1413,2024-07-05 19:16:35,Cook helper-000003,Prepare starter,Prepare starter,0
