Case,Activity,Timestamp,Resource,Event,label,iscollateral,BaseActivity,ProcessedActivity,CollateralGroup,is_collateral_event,Activity_fixed
3651397,send confirmation receipt_signed2,2011-07-21 07:00:03,560912,18919,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3651397,send confirmation receipt,2011-07-26 21:51:47,560912,18923,,0,send confirmation receipt,send confirmation receipt,-1,0,send confirmation receipt
3651397,send confirmation receipt_signed1,2011-07-26 21:51:47,560912,18923,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3651397,send confirmation receipt_signed2,2011-07-26 21:51:47,560912,18923,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3651397,send procedure confirmation,2011-07-26 21:51:58,560912,18926,,0,send procedure confirmation,send procedure confirmation,-1,0,send procedure confirmation
3651397,send confirmation receipt_signed1,2011-07-26 21:51:58,560912,18926,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3651397,send confirmation receipt_signed2,2011-07-26 21:51:59,560912,18926,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3651397,registration date publication,2011-08-03 07:00:06,560912,18930,,0,registration date publication,registration date publication,-1,0,registration date publication
3651397,send confirmation receipt_signed1,2011-08-03 07:00:06,560912,18930,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3651397,send confirmation receipt_signed2,2011-08-03 07:00:07,560912,18930,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3651397,request complete,2011-08-10 22:39:04,2670601,18935,,0,request complete,request complete,-1,0,request complete
3651397,send confirmation receipt_signed1,2011-08-10 22:39:04,2670601,18935,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3651397,send confirmation receipt_signed2,2011-08-10 22:39:05,2670601,18935,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3651397,phase advice known,2011-08-10 22:40:05,2670601,18944,,0,phase advice known,phase advice known,-1,0,phase advice known
3651397,send confirmation receipt_signed1,2011-08-10 22:40:05,2670601,18944,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3651397,send confirmation receipt_signed2,2011-08-10 22:40:06,2670601,18944,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3651397,message terminate request,2011-08-23 18:53:53,560925,18948,,0,message terminate request,message terminate request,-1,0,message terminate request
3651397,send confirmation receipt_signed1,2011-08-23 18:53:53,560925,18948,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3651397,send confirmation receipt_signed2,2011-08-23 18:53:53,560925,18948,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3651397,phase procedure aborted,2011-08-23 18:54:03,560925,18951,,0,phase procedure aborted,phase procedure aborted,-1,0,phase procedure aborted
3651397,send confirmation receipt_signed1,2011-08-23 18:54:03,560925,18951,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3651397,register deadline,2011-08-23 18:54:04,560925,18949,,0,register deadline,register deadline,-1,0,register deadline
3651397,send confirmation receipt_signed2,2011-08-23 18:54:04,560925,18951,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3651397,send confirmation receipt_signed1,2011-08-23 18:54:04,560925,18949,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3651397,send confirmation receipt_signed2,2011-08-23 18:54:04,560925,18949,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3683339,register submission date request,2011-07-29 07:00:03,560872,18954,,0,register submission date request,register submission date request,-1,0,register submission date request
3683339,send confirmation receipt,2011-08-05 23:21:55,560881,18955,,0,send confirmation receipt,send confirmation receipt,-1,0,send confirmation receipt
3683339,send confirmation receipt,2011-08-05 23:21:56,560881,18957,,0,send confirmation receipt,send confirmation receipt,-1,0,send confirmation receipt
3683339,enter senddate acknowledgement,2011-08-08 07:00:01,560881,18958,,0,enter senddate acknowledgement,enter senddate acknowledgement,-1,0,enter senddate acknowledgement
3683339,send procedure confirmation,2011-08-09 22:36:29,560872,18961,,0,send procedure confirmation,send procedure confirmation,-1,0,send procedure confirmation
3683339,request complete,2011-08-22 22:26:35,3273854,18970,,0,request complete,request complete,-1,0,request complete
3683339,send letter in progress,2011-08-22 22:26:36,3273854,18972,,0,send letter in progress,send letter in progress,-1,0,send letter in progress
3683339,treat subcases content,2011-08-22 22:26:37,3273854,18973,,0,treat subcases content,treat subcases content,-1,0,treat subcases content
3683339,completed subcases content,2011-08-22 22:26:38,3273854,18974,,0,completed subcases content,completed subcases content,-1,0,completed subcases content
3684042,register submission date request,2011-07-29 07:00:04,560872,18975,,0,register submission date request,register submission date request,-1,0,register submission date request
3684042,enter senddate acknowledgement,2011-08-08 07:00:02,560881,18979,,0,enter senddate acknowledgement,enter senddate acknowledgement,-1,0,enter senddate acknowledgement
3684042,enter senddate procedure confirmation,2011-08-08 07:00:03,560872,18980,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
3684042,request complete,2011-08-29 17:07:51,560872,18994,,0,request complete,request complete,-1,0,request complete
3684042,phase advice known,2011-08-29 17:08:16,560872,19002,,0,phase advice known,phase advice known,-1,0,phase advice known
3684042,register date environmental permit decision,2011-08-30 07:00:09,560872,19013,,0,register date environmental permit decision,register date environmental permit decision,-1,0,register date environmental permit decision
3684042,enter date publication decision environmental permit,2011-09-07 07:00:05,560872,19015,,0,enter date publication decision environmental permit,enter date publication decision environmental permit,-1,0,enter date publication decision environmental permit
3684042,set phase: phase permitting irrevocable,2011-10-19 07:00:01,560872,19017,,0,set phase: phase permitting irrevocable,set phase: phase permitting irrevocable,-1,0,set phase: phase permitting irrevocable
3685684,register submission date request,2011-07-29 07:00:05,560881,19020,,0,register submission date request,register submission date request,-1,0,register submission date request
3685684,send confirmation receipt_signed1,2011-07-29 07:00:05,560881,19020,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-07-29 07:00:05,560881,19020,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,enter senddate acknowledgement,2011-08-08 07:00:04,560881,19021,,0,enter senddate acknowledgement,enter senddate acknowledgement,-1,0,enter senddate acknowledgement
3685684,send confirmation receipt_signed1,2011-08-08 07:00:04,560881,19021,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,enter senddate procedure confirmation,2011-08-08 07:00:05,560872,19022,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
3685684,send confirmation receipt_signed2,2011-08-08 07:00:05,560881,19021,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed1,2011-08-08 07:00:05,560872,19022,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-08-08 07:00:06,560872,19022,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,register date environmental permit decision,2011-08-30 07:00:10,560872,19023,,0,register date environmental permit decision,register date environmental permit decision,-1,0,register date environmental permit decision
3685684,send confirmation receipt_signed1,2011-08-30 07:00:10,560872,19023,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-08-30 07:00:11,560872,19023,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,enter senddate decision environmental permit,2011-09-05 07:00:01,560872,19024,,0,enter senddate decision environmental permit,enter senddate decision environmental permit,-1,0,enter senddate decision environmental permit
3685684,send confirmation receipt_signed1,2011-09-05 07:00:02,560872,19024,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-09-05 07:00:02,560872,19024,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,enter date publication decision environmental permit,2011-09-07 07:00:06,560872,19025,,0,enter date publication decision environmental permit,enter date publication decision environmental permit,-1,0,enter date publication decision environmental permit
3685684,send confirmation receipt_signed1,2011-09-07 07:00:06,560872,19025,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-09-07 07:00:06,560872,19025,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,register deadline,2011-10-19 07:00:02,560872,19027,,0,register deadline,register deadline,-1,0,register deadline
3685684,send confirmation receipt_signed1,2011-10-19 07:00:02,560872,19027,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-10-19 07:00:02,560872,19027,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,set phase: phase permitting irrevocable,2011-10-19 07:00:03,560872,19026,,0,set phase: phase permitting irrevocable,set phase: phase permitting irrevocable,-1,0,set phase: phase permitting irrevocable
3685684,send confirmation receipt_signed1,2011-10-19 07:00:03,560872,19026,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-10-19 07:00:04,560872,19026,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,article 34  WABO applies,2011-11-11 17:16:56,560872,19043,,0,article 34  WABO applies,article 34 wabo applies,-1,0,article 34  WABO applies
3685684,send confirmation receipt_signed1,2011-11-11 17:16:56,560872,19043,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,ask stakeholders views,2011-11-11 17:16:57,560872,19045,,0,ask stakeholders views,ask stakeholders views,-1,0,ask stakeholders views
3685684,send confirmation receipt_signed1,2011-11-11 17:16:57,560872,19045,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:16:57,560872,19043,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,assessment of content completed,2011-11-11 17:16:58,560872,19059,,0,assessment of content completed,assessment of content completed,-1,0,assessment of content completed
3685684,send confirmation receipt_signed2,2011-11-11 17:16:58,560872,19045,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed1,2011-11-11 17:16:58,560872,19059,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:16:58,560872,19059,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,by law,2011-11-11 17:16:59,560872,19047,,0,by law,by law,-1,0,by law
3685684,send confirmation receipt_signed1,2011-11-11 17:16:59,560872,19047,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,completed subcases content,2011-11-11 17:17:00,560872,19054,,0,completed subcases content,completed subcases content,-1,0,completed subcases content
3685684,send confirmation receipt_signed2,2011-11-11 17:17:00,560872,19047,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed1,2011-11-11 17:17:00,560872,19054,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:17:00,560872,19054,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,creating environmental permit decision,2011-11-11 17:17:01,560872,19052,,0,creating environmental permit decision,creating environmental permit decision,-1,0,creating environmental permit decision
3685684,send confirmation receipt_signed1,2011-11-11 17:17:01,560872,19052,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:17:01,560872,19052,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,extend procedure term,2011-11-11 17:17:02,560872,19036,,0,extend procedure term,extend procedure term,-1,0,extend procedure term
3685684,send confirmation receipt_signed1,2011-11-11 17:17:02,560872,19036,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,forward to the competent authority,2011-11-11 17:17:03,560872,19032,,0,forward to the competent authority,forward to the competent authority,-1,0,forward to the competent authority
3685684,send confirmation receipt_signed2,2011-11-11 17:17:03,560872,19036,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed1,2011-11-11 17:17:03,560872,19032,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,generate publication document decision environmental permit,2011-11-11 17:17:04,560872,19051,,0,generate publication document decision environmental permit,generate publication document decision environmental permit,-1,0,generate publication document decision environmental permit
3685684,send confirmation receipt_signed2,2011-11-11 17:17:04,560872,19032,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed1,2011-11-11 17:17:04,560872,19051,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:17:04,560872,19051,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,generating decision environmental permit,2011-11-11 17:17:05,560872,19061,,0,generating decision environmental permit,generating decision environmental permit,-1,0,generating decision environmental permit
3685684,send confirmation receipt_signed1,2011-11-11 17:17:05,560872,19061,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,grounds for refusal,2011-11-11 17:17:06,560872,19044,,0,grounds for refusal,grounds for refusal,-1,0,grounds for refusal
3685684,send confirmation receipt_signed2,2011-11-11 17:17:06,560872,19061,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed1,2011-11-11 17:17:06,560872,19044,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,inform BAG administrator,2011-11-11 17:17:07,560872,19033,,0,inform BAG administrator,inform bag administrator,-1,0,inform BAG administrator
3685684,send confirmation receipt_signed2,2011-11-11 17:17:07,560872,19044,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed1,2011-11-11 17:17:07,560872,19033,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:17:07,560872,19033,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,no permit needed or only notification needed,2011-11-11 17:17:08,560872,19029,,0,no permit needed or only notification needed,no permit needed or only notification needed,-1,0,no permit needed or only notification needed
3685684,send confirmation receipt_signed1,2011-11-11 17:17:08,560872,19029,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:17:08,560872,19029,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,objection lodged against decision,2011-11-11 17:17:09,560872,19048,,0,objection lodged against decision,objection lodged against decision,-1,0,objection lodged against decision
3685684,send confirmation receipt_signed1,2011-11-11 17:17:09,560872,19048,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,phase advice known,2011-11-11 17:17:10,560872,19056,,0,phase advice known,phase advice known,-1,0,phase advice known
3685684,send confirmation receipt_signed2,2011-11-11 17:17:10,560872,19048,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed1,2011-11-11 17:17:10,560872,19056,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:17:10,560872,19056,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,phase application received,2011-11-11 17:17:11,560872,19060,,0,phase application received,phase application received,-1,0,phase application received
3685684,send confirmation receipt_signed1,2011-11-11 17:17:11,560872,19060,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,phase application receptive,2011-11-11 17:17:12,560872,19057,,0,phase application receptive,phase application receptive,-1,0,phase application receptive
3685684,send confirmation receipt_signed2,2011-11-11 17:17:12,560872,19060,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed1,2011-11-11 17:17:12,560872,19057,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:17:12,560872,19057,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,phase decision taken,2011-11-11 17:17:13,560872,19050,,0,phase decision taken,phase decision taken,-1,0,phase decision taken
3685684,send confirmation receipt_signed1,2011-11-11 17:17:13,560872,19050,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,procedure change,2011-11-11 17:17:14,560872,19038,,0,procedure change,procedure change,-1,0,procedure change
3685684,send confirmation receipt_signed2,2011-11-11 17:17:14,560872,19050,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed1,2011-11-11 17:17:14,560872,19038,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,procedure change,2011-11-11 17:17:15,560872,19042,,0,procedure change,procedure change,-1,0,procedure change
3685684,send confirmation receipt_signed1,2011-11-11 17:17:15,560872,19042,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:17:15,560872,19038,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed2,2011-11-11 17:17:15,560872,19042,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,registration date publication,2011-11-11 17:17:16,560872,19037,,0,registration date publication,registration date publication,-1,0,registration date publication
3685684,send confirmation receipt_signed1,2011-11-11 17:17:16,560872,19037,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,regular procedure without MER,2011-11-11 17:17:17,560872,19034,,0,regular procedure without MER,regular procedure without mer,-1,0,regular procedure without MER
3685684,send confirmation receipt_signed2,2011-11-11 17:17:17,560872,19037,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed1,2011-11-11 17:17:17,560872,19034,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:17:17,560872,19034,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,request complete,2011-11-11 17:17:18,560872,19039,,0,request complete,request complete,-1,0,request complete
3685684,send confirmation receipt_signed1,2011-11-11 17:17:18,560872,19039,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,request further information,2011-11-11 17:17:19,560872,19041,,0,request further information,request further information,-1,0,request further information
3685684,send confirmation receipt_signed1,2011-11-11 17:17:19,560872,19041,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:17:19,560872,19039,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt,2011-11-11 17:17:20,560872,19028,,0,send confirmation receipt,send confirmation receipt,-1,0,send confirmation receipt
3685684,send confirmation receipt_signed2,2011-11-11 17:17:20,560872,19041,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed1,2011-11-11 17:17:20,560872,19028,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt,2011-11-11 17:17:21,560872,19063,,0,send confirmation receipt,send confirmation receipt,-1,0,send confirmation receipt
3685684,send confirmation receipt_signed2,2011-11-11 17:17:21,560872,19028,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed1,2011-11-11 17:17:21,560872,19063,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:17:21,560872,19063,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send letter in progress,2011-11-11 17:17:22,560872,19040,,0,send letter in progress,send letter in progress,-1,0,send letter in progress
3685684,send confirmation receipt_signed1,2011-11-11 17:17:22,560872,19040,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send procedure confirmation,2011-11-11 17:17:23,560872,19055,,0,send procedure confirmation,send procedure confirmation,-1,0,send procedure confirmation
3685684,send confirmation receipt_signed2,2011-11-11 17:17:23,560872,19040,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed1,2011-11-11 17:17:23,560872,19055,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,subcases completeness completed,2011-11-11 17:17:24,560872,19058,,0,subcases completeness completed,subcases completeness completed,-1,0,subcases completeness completed
3685684,send confirmation receipt_signed2,2011-11-11 17:17:24,560872,19055,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed1,2011-11-11 17:17:24,560872,19058,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:17:24,560872,19058,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,suspend term,2011-11-11 17:17:25,560872,19035,,0,suspend term,suspend term,-1,0,suspend term
3685684,send confirmation receipt_signed1,2011-11-11 17:17:25,560872,19035,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,suspension ground applicable,2011-11-11 17:17:26,560872,19046,,0,suspension ground applicable,suspension ground applicable,-1,0,suspension ground applicable
3685684,send confirmation receipt_signed1,2011-11-11 17:17:26,560872,19046,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:17:26,560872,19035,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed2,2011-11-11 17:17:26,560872,19046,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,terminate on request,2011-11-11 17:17:27,560872,19031,,0,terminate on request,terminate on request,-1,0,terminate on request
3685684,send confirmation receipt_signed1,2011-11-11 17:17:27,560872,19031,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:17:27,560872,19031,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,transcript decision environmental permit to stakeholders,2011-11-11 17:17:28,560872,19053,,0,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,-1,0,transcript decision environmental permit to stakeholders
3685684,send confirmation receipt_signed1,2011-11-11 17:17:28,560872,19053,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,treat subcases completeness,2011-11-11 17:17:29,560872,19062,,0,treat subcases completeness,treat subcases completeness,-1,0,treat subcases completeness
3685684,send confirmation receipt_signed1,2011-11-11 17:17:29,560872,19062,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:17:29,560872,19062,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,send confirmation receipt_signed2,2011-11-11 17:17:29,560872,19053,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,treat subcases content,2011-11-11 17:17:30,560872,19049,,0,treat subcases content,treat subcases content,-1,0,treat subcases content
3685684,send confirmation receipt_signed1,2011-11-11 17:17:30,560872,19049,collateral events(send confirmation receipt),0,send confirmation receipt_signed1,send confirmation receipt,-1,0,send confirmation receipt_signed1
3685684,send confirmation receipt_signed2,2011-11-11 17:17:30,560872,19049,collateral events(send confirmation receipt),0,send confirmation receipt_signed2,send confirmation receipt,-1,0,send confirmation receipt_signed2
3685684,close case,2011-11-11 17:17:31,560872,19064,,0,close case,close case,-1,0,close case
