Case,Timestamp,original_activity,Activity_fixed,label
4611018,2012-03-30 16:58:03,create draft environtmental permit,create draft environtmental permit,
4611018,2012-03-30 16:58:04,grounds for refusal,grounds for refusal,
4611018,2012-03-30 16:58:05,phase advice known,phase advice known,
4611018,2012-03-30 17:33:03,phase concept draft decision ready,phase decision sent,
4611018,2012-04-03 21:26:41,enter date draft decisionenvironmental permit,enter senddate decision environmental permit,
4611018,2012-04-03 21:35:45,publish official draft decision,publish official draft decision,
4611018,2012-04-06 07:00:02,entering senddate draft decision environmental permit,enter senddate decision environmental permit,
4611018,2012-04-11 07:00:05,publication date draft decision,publication date draft decision,
4611018,2012-04-12 07:00:03,date draft decision for inspection,date decision for inspection,
4611018,2012-06-01 15:37:40,suspension ground applicable,suspension ground applicable,
4611018,2012-06-01 15:42:24,register date environmental permit decision,enter senddate decision environmental permit,
4639383,2012-02-09 08:00:16,register submission date request,register submission date request,
4639383,2012-02-16 19:37:09,phase application received,phase application received,
4639383,2012-02-16 19:43:04,send confirmation receipt,send confirmation receipt,
4639383,2012-02-16 19:43:14,send procedure confirmation,enter senddate procedure confirmation,
4639383,2012-04-02 21:02:12,request complete,request complete,
4639383,2012-04-02 21:02:28,phase advice known,phase advice known,
4639383,2012-04-02 21:02:38,creating environmental permit decision,enter senddate decision environmental permit,
4639383,2012-04-03 07:00:03,register date environmental permit decision,enter senddate decision environmental permit,
4639383,2012-04-03 18:15:43,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
4639383,2012-04-11 07:00:06,enter date publication decision environmental permit,enter senddate decision environmental permit,
4640117,2012-02-16 20:19:18,phase application received,phase application received,
4640117,2012-02-16 20:26:18,send confirmation receipt,send confirmation receipt,
4640117,2012-02-16 20:26:30,send procedure confirmation,enter senddate procedure confirmation,
4640117,2012-02-22 01:36:46,request complete,request complete,
4640117,2012-02-22 01:36:55,phase advice known,phase advice known,
4640117,2012-02-24 19:49:42,creating environmental permit decision,enter senddate decision environmental permit,
4640117,2012-03-29 07:00:03,enter senddate decision environmental permit,enter senddate decision environmental permit,
4640117,2012-03-29 07:00:04,register date environmental permit decision,enter senddate decision environmental permit,
4640117,2012-04-04 07:00:04,enter date publication decision environmental permit,enter senddate decision environmental permit,
4691712,2012-02-28 08:00:03,register submission date request,register submission date request,
4691712,2012-03-05 18:57:08,phase application received,phase application received,
4691712,2012-03-05 19:09:19,send confirmation receipt,send confirmation receipt,
4691712,2012-03-05 19:09:31,send procedure confirmation,enter senddate procedure confirmation,
4691712,2012-03-27 21:14:10,request complete,request complete,
4691712,2012-03-27 21:14:11,send letter in progress,send letter in progress,
4691712,2012-03-27 21:14:12,completed subcases content,treat subcases content,
4691712,2012-03-27 21:14:13,treat subcases content,treat subcases content,
4691712,2012-03-27 21:14:23,assessment of content completed,assessment of content completed,
4691712,2012-03-27 21:14:24,phase advice known,phase advice known,
4691712,2012-03-27 21:14:25,grounds for refusal,grounds for refusal,
4691712,2012-03-27 21:14:26,ask stakeholders views,ask stakeholders views,
4691712,2012-03-27 21:14:27,suspension ground applicable,suspension ground applicable,
4691712,2012-03-27 21:14:28,by law,by law,
4691712,2012-03-27 21:14:29,creating environmental permit decision,enter senddate decision environmental permit,
4691712,2012-04-23 18:44:25,register date environmental permit decision,enter senddate decision environmental permit,
4691712,2012-04-23 19:03:07,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
4691712,2012-05-02 07:00:01,enter date publication decision environmental permit,enter senddate decision environmental permit,
4693493,2012-03-05 19:56:08,phase application received,phase application received,
4693493,2012-03-05 19:56:15,send confirmation receipt,send confirmation receipt,
4693493,2012-03-05 19:56:22,send procedure confirmation,enter senddate procedure confirmation,
4693493,2012-03-06 08:00:01,enter senddate procedure confirmation,enter senddate procedure confirmation,
4693493,2012-04-16 16:01:35,request complete,request complete,
4693493,2012-09-18 17:50:40,phase concept draft decision ready,phase decision sent,
4693493,2012-09-18 17:50:45,enter date draft decisionenvironmental permit,enter senddate decision environmental permit,
4693493,2012-09-18 17:51:56,publish official draft decision,publish official draft decision,
4693493,2012-09-26 07:00:02,publication date draft decision,publication date draft decision,
4693493,2012-11-09 18:17:42,register date environmental permit decision,enter senddate decision environmental permit,
4693493,2012-11-12 08:00:01,enter senddate decision environmental permit,enter senddate decision environmental permit,
4695582,2012-03-01 08:00:01,register submission date request,register submission date request,
4695582,2012-03-05 21:02:16,phase application received,phase application received,
4695582,2012-03-05 21:04:02,send confirmation receipt,send confirmation receipt,
4695582,2012-03-05 21:04:10,send procedure confirmation,enter senddate procedure confirmation,
4695582,2012-03-06 20:14:15,request complete,request complete,
4695582,2012-03-06 20:14:16,send letter in progress,send letter in progress,
4695582,2012-03-06 20:14:17,treat subcases content,treat subcases content,
4695582,2012-03-06 20:14:18,completed subcases content,treat subcases content,
4695582,2012-03-06 20:14:19,procedure change,procedure change,
4695582,2012-03-06 20:14:20,article 34  WABO applies,article 34  WABO applies,
4695582,2012-03-06 20:14:21,assessment of content completed,assessment of content completed,
4695582,2012-03-06 20:14:22,grounds for refusal,grounds for refusal,
4695582,2012-03-06 20:14:23,phase advice known,phase advice known,
4695582,2012-03-06 20:14:24,ask stakeholders views,ask stakeholders views,
4695582,2012-03-06 20:14:25,suspension ground applicable,suspension ground applicable,
4695582,2012-03-06 20:14:26,by law,by law,
4695582,2012-03-06 20:14:27,creating environmental permit decision,enter senddate decision environmental permit,
4695582,2012-03-06 21:36:45,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
4695582,2012-03-08 08:00:04,register date environmental permit decision,enter senddate decision environmental permit,
4695582,2012-03-14 08:00:10,enter date publication decision environmental permit,enter senddate decision environmental permit,
4726584,2012-03-07 08:00:04,register submission date request,register submission date request,
4726584,2012-03-13 21:30:31,phase application received,phase application received,
4726584,2012-03-13 21:30:39,send confirmation receipt,send confirmation receipt,
4726584,2012-03-13 23:15:58,send procedure confirmation,enter senddate procedure confirmation,
4726584,2012-04-16 22:45:44,request complete,request complete,
4726584,2012-04-16 22:45:51,treat subcases content,treat subcases content,
4726584,2012-04-16 22:45:52,completed subcases content,treat subcases content,
4726584,2012-04-16 22:45:55,assessment of content completed,assessment of content completed,
4726584,2012-04-16 22:45:56,phase advice known,phase advice known,
4726584,2012-04-16 22:45:57,ask stakeholders views,ask stakeholders views,
4726584,2012-04-16 22:45:58,grounds for refusal,grounds for refusal,
4726584,2012-04-16 22:45:59,by law,by law,
4726584,2012-04-16 22:46:00,creating environmental permit decision,enter senddate decision environmental permit,
4726584,2012-04-16 22:46:01,suspension ground applicable,suspension ground applicable,
4726584,2012-04-27 19:06:51,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
4772933,2012-03-19 08:00:03,register submission date request,register submission date request,
4772933,2012-03-22 19:40:49,phase application received,phase application received,
4772933,2012-03-22 19:40:50,terminate on request,terminate on request,
4772933,2012-03-22 19:40:58,send confirmation receipt,send confirmation receipt,
4772933,2012-06-13 23:10:04,enter senddate procedure confirmation,enter senddate procedure confirmation,
4772933,2012-06-19 21:28:54,enter senddate decision procedure term extension,enter senddate decision procedure term extension,
4775758,2012-03-19 08:00:04,register submission date request,register submission date request,
4775758,2012-03-22 21:12:37,phase application received,phase application received,
4775758,2012-03-22 21:12:38,terminate on request,terminate on request,
4775758,2012-03-22 21:12:39,send confirmation receipt,send confirmation receipt,
4775758,2012-03-22 21:14:43,send confirmation receipt,send confirmation receipt,
4775758,2012-03-22 21:14:54,send procedure confirmation,enter senddate procedure confirmation,
4775758,2012-04-17 20:51:33,subcases completeness completed,treat subcases content,
4775758,2012-04-17 20:51:37,send letter in progress,send letter in progress,
4775758,2012-04-17 20:51:38,treat subcases content,treat subcases content,
4775758,2012-04-17 20:51:39,completed subcases content,treat subcases content,
4775758,2012-04-17 20:51:40,procedure change,procedure change,
4775758,2012-04-17 20:51:41,article 34  WABO applies,article 34  WABO applies,
4775758,2012-04-17 20:51:42,assessment of content completed,assessment of content completed,
4775758,2012-04-17 20:51:43,phase advice known,phase advice known,
4775758,2012-04-17 20:51:44,grounds for refusal,grounds for refusal,
4775758,2012-04-17 20:51:45,ask stakeholders views,ask stakeholders views,
4775758,2012-04-19 07:00:03,register date environmental permit decision,enter senddate decision environmental permit,
4775758,2012-04-20 07:00:02,enter senddate decision environmental permit,enter senddate decision environmental permit,
4775758,2012-04-25 07:00:04,enter date publication decision environmental permit,enter senddate decision environmental permit,
4809047,2012-03-23 08:00:01,register submission date request,register submission date request,
4809047,2012-03-29 20:13:22,phase application received,phase application received,
4809047,2012-03-29 20:13:23,terminate on request,terminate on request,
4809047,2012-03-29 20:13:24,send confirmation receipt,send confirmation receipt,
4809047,2012-03-29 21:12:45,send confirmation receipt,send confirmation receipt,
4809047,2012-03-29 21:12:53,send procedure confirmation,enter senddate procedure confirmation,
4809047,2012-04-18 22:51:01,request complete,request complete,
4809047,2012-04-18 22:51:02,send letter in progress,send letter in progress,
4809047,2012-04-18 22:51:03,treat subcases content,treat subcases content,
4809047,2012-04-18 22:51:04,completed subcases content,treat subcases content,
4809047,2012-04-18 22:51:06,article 34  WABO applies,article 34  WABO applies,
4809047,2012-04-18 22:51:07,assessment of content completed,assessment of content completed,
4809047,2012-04-18 22:51:08,phase advice known,phase advice known,
4809047,2012-04-18 22:51:09,ask stakeholders views,ask stakeholders views,
4809047,2012-04-18 22:51:10,grounds for refusal,grounds for refusal,
4809047,2012-04-18 22:51:11,suspension ground applicable,suspension ground applicable,
4809047,2012-04-18 22:51:12,by law,by law,
4809047,2012-04-18 22:51:13,creating environmental permit decision,enter senddate decision environmental permit,
4809047,2012-04-26 07:00:06,enter senddate decision environmental permit,enter senddate decision environmental permit,
4809047,2012-04-26 07:00:07,register date environmental permit decision,enter senddate decision environmental permit,
4809047,2012-05-02 07:00:04,enter date publication decision environmental permit,enter senddate decision environmental permit,
4811268,2012-03-23 08:00:02,register submission date request,register submission date request,
4811268,2012-03-29 22:09:26,phase application received,phase application received,
4811268,2012-03-29 22:09:27,terminate on request,terminate on request,
4811268,2012-03-29 22:09:28,send confirmation receipt,send confirmation receipt,
4811268,2012-03-30 07:00:02,enter senddate acknowledgement,enter senddate acknowledgement,
4811268,2012-03-30 07:00:03,enter senddate procedure confirmation,enter senddate procedure confirmation,
4811268,2013-08-26 07:00:01,ask stakeholders views,ask stakeholders views,
4811268,2013-08-26 07:00:02,assessment of content completed,assessment of content completed,
4811268,2013-08-26 07:00:03,by law,by law,
4811268,2013-08-26 07:00:04,completed subcases content,treat subcases content,
4811268,2013-08-26 07:00:05,creating environmental permit decision,enter senddate decision environmental permit,
4811268,2013-08-26 07:00:06,generate publication document decision environmental permit,enter senddate decision environmental permit,
4811268,2013-08-26 07:00:07,generating decision environmental permit,enter senddate decision environmental permit,
4811268,2013-08-26 07:00:08,grounds for refusal,grounds for refusal,
4811268,2013-08-26 07:00:09,phase advice known,phase advice known,
4811268,2013-08-26 07:00:10,phase application receptive,phase application received,
4811268,2013-08-26 07:00:11,phase decision taken,phase decision sent,
4811268,2013-08-26 07:00:12,procedure change,procedure change,
4811268,2013-08-26 07:00:13,procedure change after completeness,procedure change after completeness,
4811268,2013-08-26 07:00:14,request complete,request complete,
4811268,2013-08-26 07:00:16,subcases completeness completed,treat subcases content,
4811268,2013-08-26 07:00:17,suspension ground applicable,suspension ground applicable,
4811268,2013-08-26 07:00:18,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
4811268,2013-08-26 07:00:19,treat subcases completeness,treat subcases content,
4811268,2013-08-26 07:00:20,treat subcases content,treat subcases content,
4811268,2013-08-27 07:00:01,register date environmental permit decision,enter senddate decision environmental permit,
4821209,2012-03-28 07:00:09,register submission date request,register submission date request,
4821209,2012-03-29 07:00:06,register date environmental permit decision,enter senddate decision environmental permit,
4821209,2012-03-30 19:45:57,phase application received,phase application received,
4821209,2012-03-30 19:45:58,terminate on request,terminate on request,
4821209,2012-03-30 19:46:19,send procedure confirmation,enter senddate procedure confirmation,
4821209,2012-03-30 19:46:36,request complete,request complete,
4821209,2012-03-30 19:47:39,phase advice known,phase advice known,
4821209,2012-04-02 07:00:01,enter senddate decision environmental permit,enter senddate decision environmental permit,
4821209,2012-04-04 07:00:05,enter date publication decision environmental permit,enter senddate decision environmental permit,
4821209,2012-05-18 07:00:01,set phase: phase permitting irrevocable,set phase: phase permitting irrevocable,
4833387,2012-03-30 07:00:09,register submission date request,register submission date request,
4833387,2012-04-03 17:00:37,phase application received,phase application received,
4833387,2012-04-03 17:00:38,terminate on request,terminate on request,
4833387,2012-04-03 17:05:47,send confirmation receipt,send confirmation receipt,
4833387,2012-04-26 19:32:32,treat subcases content,treat subcases content,
4833387,2012-04-26 19:32:33,completed subcases content,treat subcases content,
4833387,2012-04-26 19:32:43,grounds for refusal,grounds for refusal,
4833387,2012-04-26 19:32:44,phase advice known,phase advice known,
4833387,2012-04-26 19:32:45,ask stakeholders views,ask stakeholders views,
4833387,2012-04-26 19:32:46,suspension ground applicable,suspension ground applicable,
4833387,2012-04-26 19:32:47,by law,by law,
4833387,2012-04-26 19:32:48,creating environmental permit decision,enter senddate decision environmental permit,
4833387,2012-05-24 07:00:02,enter senddate decision environmental permit,enter senddate decision environmental permit,
4833387,2012-05-24 07:00:03,register date environmental permit decision,enter senddate decision environmental permit,
4863262,2012-03-30 07:00:11,register submission date request,register submission date request,
4863262,2012-04-12 16:46:49,phase application received,phase application received,
4863262,2012-04-12 16:46:50,terminate on request,terminate on request,
4863262,2012-04-12 16:48:50,send confirmation receipt,send confirmation receipt,
4863262,2012-04-12 16:49:02,send procedure confirmation,enter senddate procedure confirmation,
4863262,2012-04-17 20:58:39,treat subcases completeness,treat subcases content,
4863262,2012-04-17 20:58:44,request complete,request complete,
4863262,2012-04-17 20:58:47,treat subcases content,treat subcases content,
4863262,2012-04-17 20:58:51,phase advice known,phase advice known,
4863262,2012-04-17 20:58:52,ask stakeholders views,ask stakeholders views,
4863262,2012-04-17 20:58:53,grounds for refusal,grounds for refusal,
4863262,2012-04-17 20:58:54,suspension ground applicable,suspension ground applicable,
4863262,2012-04-17 20:58:55,by law,by law,
4863262,2012-04-17 20:58:56,creating environmental permit decision,enter senddate decision environmental permit,
4863262,2012-04-19 07:00:04,register date environmental permit decision,enter senddate decision environmental permit,
4863262,2012-04-20 07:00:04,enter senddate decision environmental permit,enter senddate decision environmental permit,
4863262,2012-04-25 07:00:06,enter date publication decision environmental permit,enter senddate decision environmental permit,
4922974,2012-04-18 07:00:01,register submission date request,register submission date request,
4922974,2012-04-24 21:46:15,phase application received,phase application received,
4922974,2012-04-24 21:46:16,terminate on request,terminate on request,
4922974,2012-04-24 21:46:17,send confirmation receipt,send confirmation receipt,
4922974,2012-04-24 21:46:21,send confirmation receipt,send confirmation receipt,
4922974,2012-04-24 21:47:28,send procedure confirmation,enter senddate procedure confirmation,
4958200,2012-05-01 07:00:04,register submission date request,register submission date request,
4958200,2012-05-03 18:00:35,terminate on request,terminate on request,
4958200,2012-05-03 18:00:36,send confirmation receipt,send confirmation receipt,
4958200,2012-05-03 18:05:00,send confirmation receipt,send confirmation receipt,
4958200,2012-05-03 18:05:09,send procedure confirmation,enter senddate procedure confirmation,
4958200,2012-06-07 21:48:38,investigate BAG objects,investigate BAG objects,
4958200,2012-06-07 21:53:24,retrieve missing data,retrieve missing data,
4958200,2012-09-04 21:08:44,treat subcases content,treat subcases content,
4958200,2012-09-04 21:08:45,procedure change after completeness,procedure change after completeness,
4958200,2012-09-04 21:08:46,article 34  WABO applies,article 34  WABO applies,
4958200,2012-09-04 21:08:48,phase advice known,phase advice known,
4958200,2012-09-04 21:08:59,creating environmental permit decision,enter senddate decision environmental permit,
4958200,2012-09-10 20:16:22,register date environmental permit decision,enter senddate decision environmental permit,
4958200,2012-09-10 20:17:47,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
4963153,2012-05-01 07:00:05,register submission date request,register submission date request,
4963153,2012-05-03 21:58:52,phase application received,phase application received,
4963153,2012-05-03 21:58:53,terminate on request,terminate on request,
4963153,2012-05-03 21:58:54,send confirmation receipt,send confirmation receipt,
4963153,2012-05-04 07:00:02,enter senddate acknowledgement,enter senddate acknowledgement,
4963153,2012-05-04 07:00:03,enter senddate procedure confirmation,enter senddate procedure confirmation,
4963153,2012-05-31 19:03:26,request complete,request complete,
4963153,2012-05-31 19:03:27,send letter in progress,send letter in progress,
4963153,2012-05-31 19:03:28,completed subcases content,treat subcases content,
4963153,2012-05-31 19:03:29,treat subcases content,treat subcases content,
4963153,2012-05-31 19:03:30,article 34  WABO applies,article 34  WABO applies,
4963153,2012-05-31 19:03:31,procedure change after completeness,procedure change after completeness,
4963153,2012-05-31 19:03:33,phase advice known,phase advice known,
4963153,2012-05-31 19:03:34,grounds for refusal,grounds for refusal,
4963153,2012-05-31 19:03:35,ask stakeholders views,ask stakeholders views,
4963153,2012-05-31 19:03:36,suspension ground applicable,suspension ground applicable,
4963153,2012-06-12 21:14:58,register date environmental permit decision,enter senddate decision environmental permit,
4963153,2012-06-12 21:20:01,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
5019310,2012-05-07 07:00:01,register submission date request,register submission date request,
5019310,2012-05-14 19:45:32,phase application received,phase application received,
5019310,2012-05-14 19:45:33,terminate on request,terminate on request,
5019310,2012-05-14 19:45:34,send confirmation receipt,send confirmation receipt,
5019310,2012-05-14 19:49:25,send confirmation receipt,send confirmation receipt,
5019310,2012-05-14 19:49:40,send procedure confirmation,enter senddate procedure confirmation,
5019310,2012-05-29 17:39:23,request complete,request complete,
5019310,2012-05-29 17:39:24,procedure change after completeness,procedure change after completeness,
5019310,2012-05-29 17:39:27,treat subcases content,treat subcases content,
5019310,2012-05-29 17:39:35,phase advice known,phase advice known,
5019310,2012-06-12 18:33:18,submit decision,submit decision,
5019310,2012-06-12 18:34:16,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
5019310,2012-06-12 18:34:22,enter senddate decision environmental permit,enter senddate decision environmental permit,
5019310,2012-06-12 18:34:23,phase decision sent,phase decision sent,
5020239,2012-05-07 07:00:02,register submission date request,register submission date request,
5020239,2012-05-14 22:48:55,phase application received,phase application received,
5020239,2012-05-14 22:48:56,terminate on request,terminate on request,
5020239,2012-05-14 22:48:57,send confirmation receipt,send confirmation receipt,
5020239,2012-05-14 22:50:57,regular procedure without MER,regular procedure without MER,
5020239,2012-05-14 22:50:58,start WABOprocedure,start WABOprocedure,
5020239,2012-05-14 22:50:59,enter senddate procedure confirmation,enter senddate procedure confirmation,
5020239,2012-05-14 22:51:00,send procedure confirmation,enter senddate procedure confirmation,
5020239,2012-05-29 18:42:59,request complete,request complete,
5020239,2012-05-29 18:43:31,phase advice known,phase advice known,
5020239,2012-06-07 23:49:44,creating environmental permit decision,enter senddate decision environmental permit,
5020239,2012-06-12 19:04:28,submit decision,submit decision,
5020239,2012-06-12 19:05:10,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
5020239,2012-06-12 19:05:19,enter senddate decision environmental permit,enter senddate decision environmental permit,
5020239,2012-06-12 19:05:20,phase decision sent,phase decision sent,
5020239,2012-06-21 07:00:01,date decision for inspection,date decision for inspection,
5028918,2012-05-10 07:00:08,register submission date request,register submission date request,
5028918,2012-05-15 20:51:45,phase application received,phase application received,
5028918,2012-05-15 20:51:46,terminate on request,terminate on request,
5028918,2012-05-15 20:51:47,send confirmation receipt,send confirmation receipt,
5028918,2012-07-12 07:00:02,enter senddate retrieve missing data,retrieve missing data,
5028918,2013-02-26 08:00:01,enter date draft decisionenvironmental permit,enter senddate decision environmental permit,
5028918,2013-02-28 22:31:25,read field phased application,read field phased application,
5028918,2013-02-28 22:31:26,start WABOprocedure,start WABOprocedure,
5028918,2013-02-28 22:31:27,phased application,read field phased application,
5028918,2013-02-28 22:31:32,send procedure confirmation,enter senddate procedure confirmation,
5028918,2013-02-28 22:32:34,phase additional information received,receive additional information,
5028918,2013-02-28 22:32:47,request complete,request complete,
5028918,2013-02-28 22:32:59,phase advice known,phase advice known,
5028918,2013-02-28 22:33:07,phase concept draft decision ready,phase decision sent,
5028918,2013-04-25 19:42:49,phase decision taken,phase decision sent,
5028918,2013-04-25 20:51:38,enter senddate decision environmental permit,enter senddate decision environmental permit,
5028918,2013-04-25 20:51:39,phase decision sent,phase decision sent,
5028918,2013-06-28 07:00:01,set phase: phase permitting irrevocable,set phase: phase permitting irrevocable,
5028918,2013-09-27 07:00:05,appeal logded,appeal logded,
5028918,2013-09-27 07:00:06,close case,close case,
5028918,2013-09-27 07:00:07,phase archived case,phase archived case,
5028918,2013-09-27 07:00:08,phase case handled,phase case handled,
5028918,2013-09-27 07:00:09,phase decision irrevocable,phase decision irrevocable,
5051625,2012-05-22 21:15:28,terminate on request,terminate on request,
5051625,2012-05-22 21:19:16,start WABOprocedure,start WABOprocedure,
5051625,2012-05-22 21:19:17,enter senddate procedure confirmation,enter senddate procedure confirmation,
5051625,2012-05-22 21:19:18,send procedure confirmation,enter senddate procedure confirmation,
5051625,2012-06-01 19:11:34,request complete,request complete,
5051625,2012-06-01 19:11:35,procedure change after completeness,procedure change after completeness,
5051625,2012-06-01 19:11:36,send letter in progress,send letter in progress,
5051625,2012-06-01 19:11:37,treat subcases content,treat subcases content,
5051625,2012-06-01 19:11:38,completed subcases content,treat subcases content,
5051625,2012-06-01 19:11:42,grounds for refusal,grounds for refusal,
5051625,2012-06-01 19:11:43,phase advice known,phase advice known,
5051625,2012-06-01 19:11:44,ask stakeholders views,ask stakeholders views,
5051625,2012-06-01 19:11:45,by law,by law,
5051625,2012-06-01 19:11:46,suspension ground applicable,suspension ground applicable,
5051625,2012-06-01 19:11:47,creating environmental permit decision,enter senddate decision environmental permit,
5051625,2012-06-19 21:03:12,register number of days extension period,register number of days extension period,
5051625,2012-06-20 07:00:01,enter senddate decision procedure term extension,enter senddate decision procedure term extension,
5051625,2012-06-20 20:59:02,phase procedure extended,phase procedure extended,
5051625,2012-06-20 20:59:03,copy decision to extend procedure to stakeholders,copy decision to extend procedure to stakeholders,
5051625,2012-06-20 20:59:04,enter senddate decision procedure term extension,enter senddate decision procedure term extension,
5051625,2012-06-20 20:59:05,enter senddate procedure term extension,enter senddate decision procedure term extension,
5051625,2012-07-06 07:00:01,record date of decision environmental permit,enter senddate decision environmental permit,
5051625,2012-07-06 16:24:29,enter senddate decision environmental permit,enter senddate decision environmental permit,
5051625,2012-07-06 16:24:30,phase decision sent,phase decision sent,
5051625,2012-07-12 07:00:03,date decision for inspection,date decision for inspection,
5063668,2012-05-18 07:00:03,register submission date request,register submission date request,
5063668,2012-05-24 19:12:29,phase application received,phase application received,
5063668,2012-05-24 19:12:30,terminate on request,terminate on request,
5063668,2012-05-24 19:12:31,send confirmation receipt,send confirmation receipt,
5063668,2012-05-24 19:18:58,send confirmation receipt,send confirmation receipt,
5063668,2012-05-24 19:19:04,regular procedure without MER,regular procedure without MER,
5063668,2012-05-24 19:19:05,start WABOprocedure,start WABOprocedure,
5063668,2012-05-24 19:19:06,enter senddate procedure confirmation,enter senddate procedure confirmation,
5063668,2012-05-24 19:19:07,send procedure confirmation,enter senddate procedure confirmation,
5063668,2012-06-12 16:31:09,treat subcases completeness,treat subcases content,
5063668,2012-06-12 16:31:27,procedure change,procedure change,
5063668,2012-06-12 16:31:30,request complete,request complete,
5063668,2012-06-12 16:32:56,phase advice known,phase advice known,
5063668,2012-06-12 19:44:24,submit decision,submit decision,
5063668,2012-06-12 19:45:14,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
5063668,2012-06-12 19:45:17,enter senddate decision environmental permit,enter senddate decision environmental permit,
5063668,2012-06-12 19:45:18,phase decision sent,phase decision sent,
5063668,2012-06-21 07:00:03,date decision for inspection,date decision for inspection,
5069099,2012-05-24 07:00:09,register submission date request,register submission date request,
5069099,2012-05-25 16:02:14,phase application received,phase application received,
5069099,2012-05-25 16:02:15,terminate on request,terminate on request,
5069099,2012-05-25 16:02:16,send confirmation receipt,send confirmation receipt,
5069099,2012-05-25 16:02:21,send confirmation receipt,send confirmation receipt,
5069099,2012-05-25 16:02:24,regular procedure without MER,regular procedure without MER,
5069099,2012-05-25 16:02:25,start WABOprocedure,start WABOprocedure,
5069099,2012-05-25 16:02:27,send procedure confirmation,enter senddate procedure confirmation,
5069099,2012-07-11 22:37:25,request complete,request complete,
5069099,2012-07-11 22:38:12,phase advice known,phase advice known,
5069099,2012-07-11 22:38:14,grounds for refusal,grounds for refusal,
5069099,2013-02-22 18:41:15,phase concept draft decision ready,phase decision sent,
5069099,2013-02-22 18:41:41,enter date draft decisionenvironmental permit,enter senddate decision environmental permit,
5069099,2013-04-22 16:02:41,suspension ground applicable,suspension ground applicable,
5069099,2013-04-22 16:04:55,phase decision taken,phase decision sent,
5069099,2013-04-22 16:06:17,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
5069099,2013-04-22 16:06:21,enter senddate decision environmental permit,enter senddate decision environmental permit,
5069099,2013-04-22 16:06:22,phase decision sent,phase decision sent,
5073249,2012-05-24 07:00:10,register submission date request,register submission date request,
5073249,2012-05-25 20:19:45,phase application received,phase application received,
5073249,2012-05-25 20:19:46,terminate on request,terminate on request,
5073249,2012-05-25 20:19:47,send confirmation receipt,send confirmation receipt,
5073249,2012-05-25 20:21:29,start WABOprocedure,start WABOprocedure,
5073249,2012-05-25 20:21:30,send procedure confirmation,enter senddate procedure confirmation,
5073249,2012-05-29 07:00:01,enter senddate acknowledgement,enter senddate acknowledgement,
5073249,2012-05-29 07:00:02,enter senddate procedure confirmation,enter senddate procedure confirmation,
5073249,2012-07-16 22:44:17,request complete,request complete,
5073249,2012-07-16 22:44:34,phase advice known,phase advice known,
5073249,2012-07-16 22:44:35,grounds for refusal,grounds for refusal,
5073249,2012-07-16 22:44:36,ask stakeholders views,ask stakeholders views,
5073249,2012-07-16 22:44:39,creating environmental permit decision,enter senddate decision environmental permit,
5073249,2012-07-16 23:58:19,phase decision taken,phase decision sent,
5073249,2012-07-17 07:00:01,enter senddate decision environmental permit,enter senddate decision environmental permit,
5073249,2012-07-17 07:00:02,register date environmental permit decision,enter senddate decision environmental permit,
5073249,2012-07-18 18:45:34,enter senddate decision environmental permit,enter senddate decision environmental permit,
5073249,2012-07-18 18:45:35,phase decision sent,phase decision sent,
5073249,2012-07-25 07:00:01,date decision for inspection,date decision for inspection,
5086175,2012-05-30 07:00:01,register submission date request,register submission date request,
5086175,2012-05-31 18:12:32,phase application received,phase application received,
5086175,2012-05-31 18:12:33,terminate on request,terminate on request,
5086175,2012-05-31 18:12:34,send confirmation receipt,send confirmation receipt,
5086175,2012-05-31 18:15:08,regular procedure without MER,regular procedure without MER,
5086175,2012-05-31 18:15:09,start WABOprocedure,start WABOprocedure,
5086175,2012-05-31 18:15:10,enter senddate procedure confirmation,enter senddate procedure confirmation,
5086175,2012-05-31 18:15:11,send procedure confirmation,enter senddate procedure confirmation,
5086175,2012-06-25 16:18:16,phase advice known,phase advice known,
5086175,2012-06-25 16:18:17,grounds for refusal,grounds for refusal,
5086175,2012-06-25 17:04:45,enter senddate decision environmental permit,enter senddate decision environmental permit,
5086175,2012-06-25 17:04:46,phase decision sent,phase decision sent,
5086175,2012-06-26 07:00:05,register date environmental permit decision,enter senddate decision environmental permit,
5086175,2012-07-05 07:00:02,date decision for inspection,date decision for inspection,
5086175,2012-08-17 15:44:45,register deadline,register deadline,
5096732,2012-05-30 07:00:03,register submission date request,register submission date request,
5096732,2012-06-04 18:13:11,terminate on request,terminate on request,
5096732,2012-06-04 18:13:12,send confirmation receipt,send confirmation receipt,
5096732,2012-06-04 18:53:48,send confirmation receipt,send confirmation receipt,
