Case,Timestamp,Activity,Activity_fixed,label,Resource
302,2023-10-16 20:36:07,EVENT 13 END,EVENT 13 END,,
303,2023-10-16 19:37:24,Check for completeness,Check for completeness,,Clerk-000002
303,2023-10-16 19:37:24,New online application received,New online application received,,
303,2023-10-16 19:42:19,Perform checks,Perform checks,,Clerk-000004
303,2023-10-16 19:45:43,Make decision,Make decision,,Manager-000004
303,2023-10-16 19:54:39,Notify accept,Notify accept,,Manager-000003
303,2023-10-16 20:23:33,Deliver card,Deliver card,,Manager-000002
303,2023-10-16 20:27:11,EVENT 13 END,EVENT 13 END,,
304,2023-10-16 20:11:09,Check for completeness,Check for completeness,,Clerk-000002
304,2023-10-16 20:11:09,New online application received,New online application received,,
304,2023-10-16 20:21:54,Request info,Request info,,Manager-000006
304,2023-10-16 20:29:36,info received,info received,,
304,2023-10-16 20:29:46,Check for completeness,Check for completeness,,Clerk-000003
304,2023-10-16 20:35:16,Perform checks,Perform checks,,Clerk-000001
304,2023-10-16 20:40:50,Make decision,Make decision,,Manager-000002
304,2023-10-16 21:02:57,notify reject,notify reject,,Manager-000004
304,2023-10-16 21:19:50,time out,time out,,
304,2023-10-16 21:20:00,EVENT 13 END,EVENT 13 END,,
305,2023-10-16 21:02:19,Check for completeness,Check for completeness,,Clerk-000002
305,2023-10-16 21:02:19,New online application received,New online application received,,
305,2023-10-16 21:16:32,Request info,Request info,,Manager-000005
305,2023-10-16 21:28:05,info received,info received,,
305,2023-10-16 21:28:15,Check for completeness,Check for completeness,,Clerk-000005
305,2023-10-16 21:28:45,Perform checks,Perform checks,,Clerk-000004
305,2023-10-16 21:41:15,Make decision,Make decision,,Manager-000003
305,2023-10-16 21:59:25,notify reject,notify reject,,Manager-000001
305,2023-10-16 22:03:36,review request received,review request received,,
305,2023-10-16 22:03:46,Check for completeness,Check for completeness,,Clerk-000006
305,2023-10-16 22:06:45,Request info,Request info,,Manager-000006
305,2023-10-16 22:32:26,info received,info received,,
305,2023-10-16 22:32:36,Check for completeness,Check for completeness,,Clerk-000005
305,2023-10-16 22:40:34,Perform checks,Perform checks,,Clerk-000001
305,2023-10-16 23:11:22,Make decision,Make decision,,Manager-000004
305,2023-10-16 23:14:10,notify reject,notify reject,,Manager-000005
305,2023-10-16 23:49:40,review request received,review request received,,
305,2023-10-16 23:49:50,Check for completeness,Check for completeness,,Clerk-000005
305,2023-10-17 00:20:34,Request info,Request info,,Manager-000004
305,2023-10-17 00:33:09,info received,info received,,
305,2023-10-17 00:33:19,Check for completeness,Check for completeness,,Clerk-000004
305,2023-10-17 00:58:40,Request info,Request info,,Manager-000002
305,2023-10-17 01:20:00,info received,info received,,
305,2023-10-17 01:20:10,Check for completeness,Check for completeness,,Clerk-000001
305,2023-10-17 01:34:45,Perform checks,Perform checks,,Clerk-000002
305,2023-10-17 01:36:01,Make decision,Make decision,,Manager-000005
305,2023-10-17 01:37:41,notify reject,notify reject,,Manager-000001
305,2023-10-17 01:44:03,review request received,review request received,,
305,2023-10-17 01:44:13,Check for completeness,Check for completeness,,Clerk-000005
305,2023-10-17 02:10:19,Request info,Request info,,Manager-000004
305,2023-10-17 02:25:31,info received,info received,,
305,2023-10-17 02:25:41,Check for completeness,Check for completeness,,Clerk-000004
305,2023-10-17 02:29:12,Perform checks,Perform checks,,Clerk-000006
305,2023-10-17 03:05:48,Make decision,Make decision,,Manager-000005
305,2023-10-17 03:23:21,notify reject,notify reject,,Manager-000001
305,2023-10-17 03:32:55,time out,time out,,
305,2023-10-17 03:33:05,EVENT 13 END,EVENT 13 END,,
306,2023-10-16 22:21:27,Check for completeness,Check for completeness,,Clerk-000003
306,2023-10-16 22:21:27,New online application received,New online application received,,
306,2023-10-16 22:34:33,Perform checks,Perform checks,,Clerk-000002
306,2023-10-16 22:37:28,Make decision,Make decision,,Manager-000002
306,2023-10-16 22:37:53,Notify accept,Notify accept,,Manager-000004
306,2023-10-16 22:45:13,Deliver card,Deliver card,,Manager-000003
306,2023-10-16 23:10:30,EVENT 13 END,EVENT 13 END,,
307,2023-10-16 22:27:42,Check for completeness,Check for completeness,,Clerk-000001
307,2023-10-16 22:27:42,New online application received,New online application received,,
307,2023-10-16 22:33:53,Perform checks,Perform checks,,Clerk-000006
307,2023-10-16 22:56:09,Make decision,Make decision,,Manager-000006
307,2023-10-16 23:06:42,notify reject,notify reject,,Manager-000002
307,2023-10-16 23:20:24,time out,time out,,
307,2023-10-16 23:20:34,EVENT 13 END,EVENT 13 END,,
308,2023-10-16 22:31:47,Check for completeness,Check for completeness,,Clerk-000002
308,2023-10-16 22:31:47,New online application received,New online application received,,
308,2023-10-16 22:31:48,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
308,2023-10-16 22:33:13,Perform checks,Perform checks,,Clerk-000004
308,2023-10-16 22:33:13,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000004
308,2023-10-16 22:33:14,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000004
308,2023-10-16 22:41:07,Make decision,Make decision,,Manager-000005
308,2023-10-16 22:55:50,notify reject,notify reject,,Manager-000001
308,2023-10-16 22:55:51,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000001
308,2023-10-16 22:55:52,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000001
308,2023-10-16 23:05:34,time out,time out,,
308,2023-10-16 23:05:34,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
308,2023-10-16 23:05:34,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
308,2023-10-16 23:05:44,EVENT 13 END,EVENT 13 END,,
308,2023-10-16 23:05:44,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
308,2023-10-16 23:05:44,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
309,2023-10-16 22:57:25,Check for completeness,Check for completeness,,Clerk-000003
309,2023-10-16 22:57:25,New online application received,New online application received,,
309,2023-10-16 23:40:00,Perform checks,Perform checks,,Clerk-000002
309,2023-10-16 23:45:21,Make decision,Make decision,,Manager-000001
309,2023-10-17 00:02:06,Notify accept,Notify accept,,Manager-000006
309,2023-10-17 00:03:36,Deliver card,Deliver card,,Manager-000003
309,2023-10-17 00:25:41,EVENT 13 END,EVENT 13 END,,
310,2023-10-17 01:15:46,Check for completeness,Check for completeness,,Clerk-000006
310,2023-10-17 01:15:46,New online application received,New online application received,,
310,2023-10-17 01:26:33,Perform checks,Perform checks,,Clerk-000003
310,2023-10-17 01:48:26,Make decision,Make decision,,Manager-000006
310,2023-10-17 01:51:07,Notify accept,Notify accept,,Manager-000003
310,2023-10-17 02:11:40,Deliver card,Deliver card,,Manager-000002
310,2023-10-17 02:21:25,EVENT 13 END,EVENT 13 END,,
311,2023-10-17 03:26:15,Check for completeness,Check for completeness,,Clerk-000001
311,2023-10-17 03:26:15,New online application received,New online application received,,
311,2023-10-17 03:26:16,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000001
311,2023-10-17 03:51:57,Request info,Request info,,Manager-000003
311,2023-10-17 03:51:57,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000003
311,2023-10-17 03:51:58,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000003
311,2023-10-17 04:15:16,info received,info received,,
311,2023-10-17 04:15:16,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
311,2023-10-17 04:15:17,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
311,2023-10-17 04:15:26,Check for completeness,Check for completeness,,Clerk-000005
311,2023-10-17 04:15:26,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000005
311,2023-10-17 04:15:26,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000005
311,2023-10-17 04:52:51,Perform checks,Perform checks,,Clerk-000002
311,2023-10-17 04:52:52,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000002
311,2023-10-17 04:52:52,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000002
311,2023-10-17 05:02:20,Make decision,Make decision,,Manager-000003
311,2023-10-17 05:13:09,notify reject,notify reject,,Manager-000006
311,2023-10-17 05:13:09,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000006
311,2023-10-17 05:13:09,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000006
311,2023-10-17 05:15:47,review request received,review request received,,
311,2023-10-17 05:15:47,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
311,2023-10-17 05:15:48,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
311,2023-10-17 05:15:57,Check for completeness,Check for completeness,,Clerk-000003
311,2023-10-17 05:15:57,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000003
311,2023-10-17 05:15:58,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000003
311,2023-10-17 05:53:03,Request info,Request info,,Manager-000003
311,2023-10-17 05:53:04,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000003
311,2023-10-17 05:53:05,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000003
311,2023-10-17 05:57:22,info received,info received,,
311,2023-10-17 05:57:22,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
311,2023-10-17 05:57:23,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
311,2023-10-17 05:57:32,Check for completeness,Check for completeness,,Clerk-000005
311,2023-10-17 05:57:33,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000005
311,2023-10-17 05:57:33,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000005
311,2023-10-17 06:12:03,Perform checks,Perform checks,,Clerk-000002
311,2023-10-17 06:12:04,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000002
311,2023-10-17 06:12:04,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000002
311,2023-10-17 06:21:20,Make decision,Make decision,,Manager-000001
311,2023-10-17 06:22:59,Notify accept,Notify accept,,Manager-000002
311,2023-10-17 06:23:00,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000002
311,2023-10-17 06:23:01,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000002
311,2023-10-17 06:35:04,Deliver card,Deliver card,,Manager-000003
311,2023-10-17 06:35:05,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000003
311,2023-10-17 06:35:06,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000003
311,2023-10-17 06:36:03,EVENT 13 END,EVENT 13 END,,
311,2023-10-17 06:36:03,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
311,2023-10-17 06:36:04,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
312,2023-10-17 03:27:21,Check for completeness,Check for completeness,,Clerk-000002
312,2023-10-17 03:27:21,New online application received,New online application received,,
312,2023-10-17 03:48:51,Request info,Request info,,Manager-000006
312,2023-10-17 03:55:21,info received,info received,,
312,2023-10-17 03:55:31,Check for completeness,Check for completeness,,Clerk-000004
312,2023-10-17 03:58:45,Request info,Request info,,Manager-000004
312,2023-10-17 04:06:34,info received,info received,,
312,2023-10-17 04:06:44,Check for completeness,Check for completeness,,Clerk-000006
312,2023-10-17 04:11:07,Request info,Request info,,Manager-000005
312,2023-10-17 04:11:16,info received,info received,,
312,2023-10-17 04:11:26,Check for completeness,Check for completeness,,Clerk-000003
312,2023-10-17 04:19:09,Request info,Request info,,Manager-000006
312,2023-10-17 04:29:51,info received,info received,,
312,2023-10-17 04:30:01,Check for completeness,Check for completeness,,Clerk-000006
312,2023-10-17 04:34:56,Perform checks,Perform checks,,Clerk-000003
312,2023-10-17 04:39:44,Make decision,Make decision,,Manager-000001
312,2023-10-17 04:47:19,notify reject,notify reject,,Manager-000004
312,2023-10-17 05:09:29,time out,time out,,
312,2023-10-17 05:09:39,EVENT 13 END,EVENT 13 END,,
313,2023-10-17 03:46:41,Check for completeness,Check for completeness,,Clerk-000003
313,2023-10-17 03:46:41,New online application received,New online application received,,
313,2023-10-17 03:53:42,Perform checks,Perform checks,,Clerk-000005
313,2023-10-17 03:55:08,Make decision,Make decision,,Manager-000002
313,2023-10-17 04:13:01,notify reject,notify reject,,Manager-000001
313,2023-10-17 04:13:16,time out,time out,,
313,2023-10-17 04:13:26,EVENT 13 END,EVENT 13 END,,
314,2023-10-17 04:07:27,Check for completeness,Check for completeness,,Clerk-000002
314,2023-10-17 04:07:27,New online application received,New online application received,,
314,2023-10-17 04:07:27,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
314,2023-10-17 04:10:28,Perform checks,Perform checks,,Clerk-000001
314,2023-10-17 04:10:29,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000001
314,2023-10-17 04:10:29,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000001
314,2023-10-17 04:36:39,Make decision,Make decision,,Manager-000005
314,2023-10-17 04:41:51,Notify accept,Notify accept,,Manager-000003
314,2023-10-17 04:41:51,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000003
314,2023-10-17 04:41:52,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000003
314,2023-10-17 04:42:42,Deliver card,Deliver card,,Manager-000006
314,2023-10-17 04:42:42,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000006
314,2023-10-17 04:42:42,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000006
314,2023-10-17 04:56:52,EVENT 13 END,EVENT 13 END,,
314,2023-10-17 04:56:52,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
314,2023-10-17 04:56:53,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
315,2023-10-17 04:21:15,Check for completeness,Check for completeness,,Clerk-000004
315,2023-10-17 04:21:15,New online application received,New online application received,,
315,2023-10-17 04:26:28,Perform checks,Perform checks,,Clerk-000002
315,2023-10-17 04:34:30,Make decision,Make decision,,Manager-000004
315,2023-10-17 04:37:05,Notify accept,Notify accept,,Manager-000002
315,2023-10-17 04:57:50,Deliver card,Deliver card,,Manager-000005
315,2023-10-17 05:21:23,EVENT 13 END,EVENT 13 END,,
316,2023-10-17 04:39:13,Check for completeness,Check for completeness,,Clerk-000004
316,2023-10-17 04:39:13,New online application received,New online application received,,
316,2023-10-17 04:39:14,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000004
316,2023-10-17 04:50:13,Request info,Request info,,Manager-000005
316,2023-10-17 04:50:13,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000005
316,2023-10-17 04:50:14,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000005
316,2023-10-17 04:52:48,info received,info received,,
316,2023-10-17 04:52:49,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
316,2023-10-17 04:52:49,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
316,2023-10-17 04:52:58,Check for completeness,Check for completeness,,Clerk-000006
316,2023-10-17 04:52:59,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000006
316,2023-10-17 04:52:59,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000006
316,2023-10-17 04:53:03,Perform checks,Perform checks,,Clerk-000001
316,2023-10-17 04:53:04,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000001
316,2023-10-17 04:53:05,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000001
316,2023-10-17 04:56:05,Make decision,Make decision,,Manager-000003
316,2023-10-17 04:56:43,Notify accept,Notify accept,,Manager-000001
316,2023-10-17 04:56:43,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000001
316,2023-10-17 04:56:44,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000001
316,2023-10-17 05:22:35,Deliver card,Deliver card,,Manager-000002
316,2023-10-17 05:22:36,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000002
316,2023-10-17 05:22:37,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000002
316,2023-10-17 05:52:53,EVENT 13 END,EVENT 13 END,,
316,2023-10-17 05:52:53,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
316,2023-10-17 05:52:53,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
317,2023-10-17 05:22:07,Check for completeness,Check for completeness,,Clerk-000004
317,2023-10-17 05:22:07,New online application received,New online application received,,
317,2023-10-17 05:22:07,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
317,2023-10-17 05:24:00,Request info,Request info,,Manager-000004
317,2023-10-17 05:24:01,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000004
317,2023-10-17 05:24:01,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000004
317,2023-10-17 06:03:23,info received,info received,,
317,2023-10-17 06:03:23,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
317,2023-10-17 06:03:24,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
317,2023-10-17 06:03:33,Check for completeness,Check for completeness,,Clerk-000006
317,2023-10-17 06:03:33,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000006
317,2023-10-17 06:03:33,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000006
317,2023-10-17 06:07:11,Request info,Request info,,Manager-000006
317,2023-10-17 06:07:12,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000006
317,2023-10-17 06:07:12,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000006
317,2023-10-17 06:08:18,info received,info received,,
317,2023-10-17 06:08:19,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
317,2023-10-17 06:08:19,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
317,2023-10-17 06:08:28,Check for completeness,Check for completeness,,Clerk-000001
317,2023-10-17 06:08:28,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000001
317,2023-10-17 06:08:29,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000001
317,2023-10-17 06:21:00,Request info,Request info,,Manager-000005
317,2023-10-17 06:21:01,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000005
317,2023-10-17 06:21:01,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000005
317,2023-10-17 06:34:46,info received,info received,,
317,2023-10-17 06:34:46,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
317,2023-10-17 06:34:46,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
317,2023-10-17 06:34:56,Check for completeness,Check for completeness,,Clerk-000004
317,2023-10-17 06:34:56,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000004
317,2023-10-17 06:34:57,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000004
317,2023-10-17 06:40:08,Perform checks,Perform checks,,Clerk-000003
317,2023-10-17 06:40:08,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000003
317,2023-10-17 06:40:08,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000003
317,2023-10-17 06:41:57,Make decision,Make decision,,Manager-000004
317,2023-10-17 06:42:42,Notify accept,Notify accept,,Manager-000006
317,2023-10-17 06:42:42,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000006
317,2023-10-17 06:42:42,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000006
317,2023-10-17 06:43:48,Deliver card,Deliver card,,Manager-000001
317,2023-10-17 06:43:49,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000001
317,2023-10-17 06:43:49,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000001
317,2023-10-17 06:44:42,EVENT 13 END,EVENT 13 END,,
317,2023-10-17 06:44:42,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
317,2023-10-17 06:44:43,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
318,2023-10-17 06:59:25,Check for completeness,Check for completeness,,Clerk-000006
318,2023-10-17 06:59:25,New online application received,New online application received,,
318,2023-10-17 07:00:56,Perform checks,Perform checks,,Clerk-000005
318,2023-10-17 07:50:21,Make decision,Make decision,,Manager-000005
318,2023-10-17 07:50:57,notify reject,notify reject,,Manager-000002
318,2023-10-17 07:51:15,time out,time out,,
318,2023-10-17 07:51:25,EVENT 13 END,EVENT 13 END,,
319,2023-10-17 10:53:42,Check for completeness,Check for completeness,,Clerk-000001
319,2023-10-17 10:53:42,New online application received,New online application received,,
319,2023-10-17 11:09:03,Request info,Request info,,Manager-000004
319,2023-10-17 11:34:22,info received,info received,,
319,2023-10-17 11:34:32,Check for completeness,Check for completeness,,Clerk-000001
319,2023-10-17 11:39:41,Perform checks,Perform checks,,Clerk-000004
319,2023-10-17 11:48:26,Make decision,Make decision,,Manager-000006
319,2023-10-17 11:49:15,notify reject,notify reject,,Manager-000005
319,2023-10-17 11:52:22,time out,time out,,
319,2023-10-17 11:52:32,EVENT 13 END,EVENT 13 END,,
320,2023-10-17 11:02:02,Check for completeness,Check for completeness,,Clerk-000002
320,2023-10-17 11:02:02,New online application received,New online application received,,
320,2023-10-17 11:06:29,Request info,Request info,,Manager-000003
320,2023-10-17 11:08:32,info received,info received,,
320,2023-10-17 11:08:42,Check for completeness,Check for completeness,,Clerk-000004
320,2023-10-17 11:10:03,Perform checks,Perform checks,,Clerk-000006
320,2023-10-17 11:16:35,Make decision,Make decision,,Manager-000001
320,2023-10-17 11:40:59,notify reject,notify reject,,Manager-000003
320,2023-10-17 11:48:43,time out,time out,,
320,2023-10-17 11:48:53,EVENT 13 END,EVENT 13 END,,
321,2023-10-17 11:09:17,Check for completeness,Check for completeness,,Clerk-000003
321,2023-10-17 11:09:17,New online application received,New online application received,,
321,2023-10-17 11:11:06,Perform checks,Perform checks,,Clerk-000005
321,2023-10-17 11:16:33,Make decision,Make decision,,Manager-000006
321,2023-10-17 11:18:37,notify reject,notify reject,,Manager-000005
321,2023-10-17 11:30:50,review request received,review request received,,
321,2023-10-17 11:31:00,Check for completeness,Check for completeness,,Clerk-000002
321,2023-10-17 11:37:08,Request info,Request info,,Manager-000002
321,2023-10-17 11:44:29,info received,info received,,
321,2023-10-17 11:44:39,Check for completeness,Check for completeness,,Clerk-000003
321,2023-10-17 11:52:00,Request info,Request info,,Manager-000004
321,2023-10-17 12:05:35,info received,info received,,
321,2023-10-17 12:05:45,Check for completeness,Check for completeness,,Clerk-000006
321,2023-10-17 12:13:00,Request info,Request info,,Manager-000001
321,2023-10-17 12:53:01,info received,info received,,
321,2023-10-17 12:53:11,Check for completeness,Check for completeness,,Clerk-000003
321,2023-10-17 12:57:02,Perform checks,Perform checks,,Clerk-000005
321,2023-10-17 13:00:02,Make decision,Make decision,,Manager-000004
321,2023-10-17 13:09:57,Notify accept,Notify accept,,Manager-000002
321,2023-10-17 13:28:11,Deliver card,Deliver card,,Manager-000006
321,2023-10-17 13:37:11,EVENT 13 END,EVENT 13 END,,
322,2023-10-17 11:56:01,Check for completeness,Check for completeness,,Clerk-000005
322,2023-10-17 11:56:01,New online application received,New online application received,,
322,2023-10-17 12:08:13,Perform checks,Perform checks,,Clerk-000002
322,2023-10-17 12:24:47,Make decision,Make decision,,Manager-000002
322,2023-10-17 12:25:01,notify reject,notify reject,,Manager-000003
322,2023-10-17 12:31:33,time out,time out,,
322,2023-10-17 12:31:43,EVENT 13 END,EVENT 13 END,,
323,2023-10-17 12:23:55,Check for completeness,Check for completeness,,Clerk-000001
323,2023-10-17 12:23:55,New online application received,New online application received,,
323,2023-10-17 12:30:43,Request info,Request info,,Manager-000006
323,2023-10-17 12:43:03,info received,info received,,
323,2023-10-17 12:43:13,Check for completeness,Check for completeness,,Clerk-000004
323,2023-10-17 12:58:35,Request info,Request info,,Manager-000005
323,2023-10-17 13:13:41,info received,info received,,
323,2023-10-17 13:13:51,Check for completeness,Check for completeness,,Clerk-000006
323,2023-10-17 13:23:27,Request info,Request info,,Manager-000003
323,2023-10-17 13:29:06,info received,info received,,
323,2023-10-17 13:29:16,Check for completeness,Check for completeness,,Clerk-000002
323,2023-10-17 13:42:10,Perform checks,Perform checks,,Clerk-000001
323,2023-10-17 13:50:40,Make decision,Make decision,,Manager-000001
323,2023-10-17 13:56:35,Notify accept,Notify accept,,Manager-000004
323,2023-10-17 14:04:31,Deliver card,Deliver card,,Manager-000005
323,2023-10-17 14:12:05,EVENT 13 END,EVENT 13 END,,
324,2023-10-17 14:42:30,Check for completeness,Check for completeness,,Clerk-000003
324,2023-10-17 14:42:30,New online application received,New online application received,,
324,2023-10-17 14:45:17,Request info,Request info,,Manager-000002
324,2023-10-17 15:00:49,info received,info received,,
324,2023-10-17 15:00:59,Check for completeness,Check for completeness,,Clerk-000004
324,2023-10-17 15:06:01,Perform checks,Perform checks,,Clerk-000006
324,2023-10-17 15:07:54,Make decision,Make decision,,Manager-000003
324,2023-10-17 15:13:36,notify reject,notify reject,,Manager-000006
324,2023-10-17 15:20:16,time out,time out,,
324,2023-10-17 15:20:26,EVENT 13 END,EVENT 13 END,,
325,2023-10-17 15:03:47,Check for completeness,Check for completeness,,Clerk-000005
325,2023-10-17 15:03:47,New online application received,New online application received,,
325,2023-10-17 15:15:00,Request info,Request info,,Manager-000001
325,2023-10-17 15:35:11,info received,info received,,
325,2023-10-17 15:35:21,Check for completeness,Check for completeness,,Clerk-000002
325,2023-10-17 15:38:28,Request info,Request info,,Manager-000004
325,2023-10-17 16:03:47,info received,info received,,
325,2023-10-17 16:03:57,Check for completeness,Check for completeness,,Clerk-000004
325,2023-10-17 16:19:48,Perform checks,Perform checks,,Clerk-000006
325,2023-10-17 16:32:20,Make decision,Make decision,,Manager-000005
325,2023-10-17 16:33:37,notify reject,notify reject,,Manager-000002
325,2023-10-17 16:41:48,review request received,review request received,,
325,2023-10-17 16:41:58,Check for completeness,Check for completeness,,Clerk-000002
325,2023-10-17 16:49:10,Request info,Request info,,Manager-000001
325,2023-10-17 16:58:20,info received,info received,,
325,2023-10-17 16:58:30,Check for completeness,Check for completeness,,Clerk-000004
325,2023-10-17 17:16:09,Request info,Request info,,Manager-000005
325,2023-10-17 17:18:31,info received,info received,,
325,2023-10-17 17:18:41,Check for completeness,Check for completeness,,Clerk-000003
325,2023-10-17 17:51:33,Perform checks,Perform checks,,Clerk-000002
325,2023-10-17 17:52:26,Make decision,Make decision,,Manager-000002
325,2023-10-17 17:52:48,Notify accept,Notify accept,,Manager-000001
325,2023-10-17 18:11:54,Deliver card,Deliver card,,Manager-000003
325,2023-10-17 18:12:41,EVENT 13 END,EVENT 13 END,,
326,2023-10-17 15:57:41,Check for completeness,Check for completeness,,Clerk-000001
326,2023-10-17 15:57:41,New online application received,New online application received,,
326,2023-10-17 16:00:21,Perform checks,Perform checks,,Clerk-000003
326,2023-10-17 16:34:09,Make decision,Make decision,,Manager-000003
326,2023-10-17 16:41:30,notify reject,notify reject,,Manager-000006
326,2023-10-17 16:41:36,review request received,review request received,,
326,2023-10-17 16:41:46,Check for completeness,Check for completeness,,Clerk-000005
326,2023-10-17 16:50:46,Perform checks,Perform checks,,Clerk-000001
326,2023-10-17 17:21:32,Make decision,Make decision,,Manager-000003
326,2023-10-17 17:21:58,notify reject,notify reject,,Manager-000006
326,2023-10-17 17:23:08,time out,time out,,
326,2023-10-17 17:23:18,EVENT 13 END,EVENT 13 END,,
327,2023-10-17 17:04:17,Check for completeness,Check for completeness,,Clerk-000006
327,2023-10-17 17:04:17,New online application received,New online application received,,
327,2023-10-17 17:07:29,Request info,Request info,,Manager-000004
327,2023-10-17 17:59:20,info received,info received,,
327,2023-10-17 17:59:30,Check for completeness,Check for completeness,,Clerk-000005
327,2023-10-17 18:00:48,Perform checks,Perform checks,,Clerk-000006
327,2023-10-17 18:02:10,Make decision,Make decision,,Manager-000005
