Case,Timestamp,Activity,Resource,label,Activity_fixed
146,2023-10-06 23:47:10,Check for completeness,Clerk-000001,,Check for completeness
146,2023-10-06 23:48:30,Request info,Manager-000005,,Request info
146,2023-10-07 00:23:18,info received,,,info received
146,2023-10-07 00:23:28,Check for completeness,Clerk-000005,,Check for completeness
146,2023-10-07 00:41:47,Perform checks,Clerk-000003,,Perform checks
146,2023-10-07 00:52:10,Make decision,Manager-000006,,Make decision
146,2023-10-07 00:59:15,notify reject,Manager-000003,,notify reject
146,2023-10-07 01:02:45,review request received,,,review request received
146,2023-10-07 01:02:55,Check for completeness,Clerk-000002,,Check for completeness
146,2023-10-07 01:10:42,Perform checks,Clerk-000001,,Perform checks
146,2023-10-07 01:14:46,Make decision,Manager-000002,,Make decision
146,2023-10-07 01:39:13,notify reject,Manager-000006,,notify reject
146,2023-10-09 02:18:34,review request received,,,review request received
146,2023-10-09 02:18:44,Check for completeness,Clerk-000006,,Check for completeness
146,2023-10-09 02:24:01,Request info,Manager-000005,,Request info
146,2023-10-09 02:31:22,info received,,,info received
146,2023-10-09 02:31:32,Check for completeness,Clerk-000003,,Check for completeness
146,2023-10-09 02:35:24,Request info,Manager-000002,,Request info
146,2023-10-09 02:46:07,info received,,,info received
146,2023-10-09 02:46:17,Check for completeness,Clerk-000001,,Check for completeness
146,2023-10-09 02:47:08,Perform checks,Clerk-000003,,Perform checks
146,2023-10-09 02:48:01,Make decision,Manager-000001,,Make decision
146,2023-10-09 02:58:04,notify reject,Manager-000006,,notify reject
146,2023-10-09 02:59:32,time out,,,time out
146,2023-10-09 02:59:42,EVENT 13 END,,,EVENT 13 END
147,2023-10-06 22:51:58,Check for completeness,Clerk-000004,,Check for completeness
147,2023-10-06 22:51:58,New online application received,,,New online application received
147,2023-10-06 22:56:54,Request info,Manager-000003,,Request info
147,2023-10-06 23:24:45,info received,,,info received
147,2023-10-06 23:24:55,Check for completeness,Clerk-000005,,Check for completeness
147,2023-10-06 23:38:45,Request info,Manager-000006,,Request info
147,2023-10-06 23:48:56,info received,,,info received
147,2023-10-06 23:49:06,Check for completeness,Clerk-000006,,Check for completeness
147,2023-10-06 23:58:28,Request info,Manager-000003,,Request info
147,2023-10-06 23:58:38,info received,,,info received
147,2023-10-06 23:58:48,Check for completeness,Clerk-000004,,Check for completeness
147,2023-10-07 00:07:42,Request info,Manager-000001,,Request info
147,2023-10-07 00:18:45,info received,,,info received
147,2023-10-07 00:18:55,Check for completeness,Clerk-000002,,Check for completeness
147,2023-10-07 00:25:06,Request info,Manager-000004,,Request info
147,2023-10-07 00:26:04,info received,,,info received
147,2023-10-07 00:26:14,Check for completeness,Clerk-000006,,Check for completeness
147,2023-10-07 00:29:31,Perform checks,Clerk-000004,,Perform checks
147,2023-10-07 00:32:05,Make decision,Manager-000006,,Make decision
147,2023-10-07 00:38:09,Notify accept,Manager-000003,,Notify accept
147,2023-10-07 00:45:07,Deliver card,Manager-000001,,Deliver card
147,2023-10-07 00:49:17,EVENT 13 END,,,EVENT 13 END
148,2023-10-07 00:18:18,Check for completeness,Clerk-000003,,Check for completeness
148,2023-10-07 00:18:18,New online application received,,,New online application received
148,2023-10-07 00:18:18,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
148,2023-10-07 00:24:08,Perform checks,Clerk-000001,,Perform checks
148,2023-10-07 00:24:08,Make decision_signed1,Clerk-000001,collateral events(Make decision),Make decision_signed1
148,2023-10-07 00:25:35,Make decision,Manager-000002,,Make decision
148,2023-10-07 00:47:35,Notify accept,Manager-000005,,Notify accept
148,2023-10-07 00:47:36,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
148,2023-10-07 00:49:41,Deliver card,Manager-000004,,Deliver card
148,2023-10-07 00:49:41,Make decision_signed1,Manager-000004,collateral events(Make decision),Make decision_signed1
148,2023-10-07 00:50:44,EVENT 13 END,,,EVENT 13 END
148,2023-10-07 00:50:44,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
149,2023-10-07 01:11:27,Check for completeness,Clerk-000006,,Check for completeness
149,2023-10-07 01:11:27,New online application received,,,New online application received
149,2023-10-07 01:21:45,Perform checks,Clerk-000004,,Perform checks
149,2023-10-07 01:24:49,Make decision,Manager-000001,,Make decision
149,2023-10-07 01:28:54,Notify accept,Manager-000005,,Notify accept
149,2023-10-07 01:30:35,Deliver card,Manager-000004,,Deliver card
149,2023-10-07 01:36:12,EVENT 13 END,,,EVENT 13 END
150,2023-10-07 01:31:45,Check for completeness,Clerk-000005,,Check for completeness
150,2023-10-07 01:31:45,New online application received,,,New online application received
150,2023-10-07 01:56:53,Perform checks,Clerk-000002,,Perform checks
150,2023-10-09 02:19:06,Make decision,Manager-000001,,Make decision
150,2023-10-09 02:33:23,notify reject,Manager-000004,,notify reject
150,2023-10-09 02:42:50,review request received,,,review request received
150,2023-10-09 02:43:00,Check for completeness,Clerk-000004,,Check for completeness
150,2023-10-09 02:52:22,Request info,Manager-000003,,Request info
150,2023-10-09 03:24:49,info received,,,info received
150,2023-10-09 03:24:59,Check for completeness,Clerk-000002,,Check for completeness
150,2023-10-09 03:32:34,Perform checks,Clerk-000004,,Perform checks
150,2023-10-09 03:48:36,Make decision,Manager-000003,,Make decision
150,2023-10-09 03:50:21,Notify accept,Manager-000002,,Notify accept
150,2023-10-09 04:01:53,Deliver card,Manager-000005,,Deliver card
150,2023-10-09 04:03:54,EVENT 13 END,,,EVENT 13 END
151,2023-10-07 01:49:21,Check for completeness,Clerk-000003,,Check for completeness
151,2023-10-07 01:49:21,New online application received,,,New online application received
151,2023-10-09 02:15:57,Request info,Manager-000003,,Request info
151,2023-10-09 02:18:11,info received,,,info received
151,2023-10-09 02:18:21,Check for completeness,Clerk-000001,,Check for completeness
151,2023-10-09 02:34:29,Perform checks,Clerk-000002,,Perform checks
151,2023-10-09 02:47:05,Make decision,Manager-000005,,Make decision
151,2023-10-09 02:54:37,notify reject,Manager-000004,,notify reject
151,2023-10-09 02:57:58,review request received,,,review request received
151,2023-10-09 02:58:08,Check for completeness,Clerk-000002,,Check for completeness
151,2023-10-09 03:05:57,Request info,Manager-000005,,Request info
151,2023-10-09 03:18:15,info received,,,info received
151,2023-10-09 03:18:25,Check for completeness,Clerk-000004,,Check for completeness
151,2023-10-09 03:21:02,Request info,Manager-000002,,Request info
151,2023-10-09 03:24:58,info received,,,info received
151,2023-10-09 03:25:08,Check for completeness,Clerk-000006,,Check for completeness
151,2023-10-09 03:28:30,Request info,Manager-000005,,Request info
151,2023-10-09 03:32:23,info received,,,info received
151,2023-10-09 03:32:33,Check for completeness,Clerk-000003,,Check for completeness
151,2023-10-09 03:48:59,Perform checks,Clerk-000005,,Perform checks
151,2023-10-09 03:52:06,Make decision,Manager-000006,,Make decision
151,2023-10-09 04:15:39,notify reject,Manager-000001,,notify reject
151,2023-10-09 04:21:10,time out,,,time out
151,2023-10-09 04:21:20,EVENT 13 END,,,EVENT 13 END
152,2023-10-09 02:30:40,Check for completeness,Clerk-000004,,Check for completeness
152,2023-10-09 02:30:40,New online application received,,,New online application received
152,2023-10-09 02:30:57,Perform checks,Clerk-000005,,Perform checks
152,2023-10-09 02:37:00,Make decision,Manager-000003,,Make decision
152,2023-10-09 02:38:39,notify reject,Manager-000006,,notify reject
152,2023-10-09 02:44:55,time out,,,time out
152,2023-10-09 02:45:05,EVENT 13 END,,,EVENT 13 END
153,2023-10-09 02:36:29,Check for completeness,Clerk-000006,,Check for completeness
153,2023-10-09 02:36:29,New online application received,,,New online application received
153,2023-10-09 02:36:29,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
153,2023-10-09 03:09:21,Request info,Manager-000004,,Request info
153,2023-10-09 03:09:22,Make decision_signed1,Manager-000004,collateral events(Make decision),Make decision_signed1
153,2023-10-09 03:12:56,info received,,,info received
153,2023-10-09 03:12:56,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
153,2023-10-09 03:13:06,Check for completeness,Clerk-000003,,Check for completeness
153,2023-10-09 03:13:06,Make decision_signed1,Clerk-000003,collateral events(Make decision),Make decision_signed1
153,2023-10-09 03:19:11,Perform checks,Clerk-000005,,Perform checks
153,2023-10-09 03:19:12,Make decision_signed1,Clerk-000005,collateral events(Make decision),Make decision_signed1
153,2023-10-09 03:21:52,Make decision,Manager-000006,,Make decision
153,2023-10-09 03:27:06,notify reject,Manager-000004,,notify reject
153,2023-10-09 03:27:07,Make decision_signed1,Manager-000004,collateral events(Make decision),Make decision_signed1
153,2023-10-09 03:53:04,review request received,,,review request received
153,2023-10-09 03:53:04,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
153,2023-10-09 03:53:14,Check for completeness,Clerk-000006,,Check for completeness
153,2023-10-09 03:53:14,Make decision_signed1,Clerk-000006,collateral events(Make decision),Make decision_signed1
153,2023-10-09 03:58:26,Perform checks,Clerk-000004,,Perform checks
153,2023-10-09 03:58:27,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
153,2023-10-09 04:06:30,Make decision,Manager-000004,,Make decision
153,2023-10-09 05:22:27,notify reject,Manager-000005,,notify reject
153,2023-10-09 05:22:27,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
153,2023-10-09 05:32:09,review request received,,,review request received
153,2023-10-09 05:32:10,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
153,2023-10-09 05:32:19,Check for completeness,Clerk-000005,,Check for completeness
153,2023-10-09 05:32:19,Make decision_signed1,Clerk-000005,collateral events(Make decision),Make decision_signed1
153,2023-10-09 05:45:06,Perform checks,Clerk-000001,,Perform checks
153,2023-10-09 05:45:06,Make decision_signed1,Clerk-000001,collateral events(Make decision),Make decision_signed1
153,2023-10-09 05:45:33,Make decision,Manager-000006,,Make decision
153,2023-10-09 05:46:40,Notify accept,Manager-000002,,Notify accept
153,2023-10-09 05:46:41,Make decision_signed1,Manager-000002,collateral events(Make decision),Make decision_signed1
153,2023-10-09 05:48:14,Deliver card,Manager-000001,,Deliver card
153,2023-10-09 05:48:15,Make decision_signed1,Manager-000001,collateral events(Make decision),Make decision_signed1
153,2023-10-09 05:49:15,EVENT 13 END,,,EVENT 13 END
153,2023-10-09 05:49:15,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
154,2023-10-09 02:50:57,Check for completeness,Clerk-000005,,Check for completeness
154,2023-10-09 02:50:57,New online application received,,,New online application received
154,2023-10-09 02:58:16,Request info,Manager-000002,,Request info
154,2023-10-09 02:58:19,info received,,,info received
154,2023-10-09 02:58:29,Check for completeness,Clerk-000001,,Check for completeness
154,2023-10-09 03:16:07,Request info,Manager-000001,,Request info
154,2023-10-09 03:32:22,info received,,,info received
154,2023-10-09 03:32:32,Check for completeness,Clerk-000001,,Check for completeness
154,2023-10-09 03:56:24,Perform checks,Clerk-000002,,Perform checks
154,2023-10-09 03:57:31,Make decision,Manager-000001,,Make decision
154,2023-10-09 04:02:02,Notify accept,Manager-000003,,Notify accept
154,2023-10-09 04:14:05,Deliver card,Manager-000002,,Deliver card
154,2023-10-09 04:50:16,EVENT 13 END,,,EVENT 13 END
155,2023-10-09 04:27:16,Check for completeness,Clerk-000003,,Check for completeness
155,2023-10-09 04:27:16,New online application received,,,New online application received
155,2023-10-09 04:27:16,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
155,2023-10-09 04:45:45,Request info,Manager-000005,,Request info
155,2023-10-09 04:45:46,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
155,2023-10-09 04:46:21,info received,,,info received
155,2023-10-09 04:46:22,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
155,2023-10-09 04:46:31,Check for completeness,Clerk-000005,,Check for completeness
155,2023-10-09 04:46:32,Make decision_signed1,Clerk-000005,collateral events(Make decision),Make decision_signed1
155,2023-10-09 04:49:36,Request info,Manager-000003,,Request info
155,2023-10-09 04:49:37,Make decision_signed1,Manager-000003,collateral events(Make decision),Make decision_signed1
155,2023-10-09 04:53:54,info received,,,info received
155,2023-10-09 04:53:55,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
155,2023-10-09 04:54:04,Check for completeness,Clerk-000001,,Check for completeness
155,2023-10-09 04:54:04,Make decision_signed1,Clerk-000001,collateral events(Make decision),Make decision_signed1
155,2023-10-09 05:08:07,Perform checks,Clerk-000002,,Perform checks
155,2023-10-09 05:08:08,Make decision_signed1,Clerk-000002,collateral events(Make decision),Make decision_signed1
155,2023-10-09 05:13:37,Make decision,Manager-000006,,Make decision
155,2023-10-09 05:23:17,notify reject,Manager-000002,,notify reject
155,2023-10-09 05:23:17,Make decision_signed1,Manager-000002,collateral events(Make decision),Make decision_signed1
155,2023-10-09 05:24:01,time out,,,time out
155,2023-10-09 05:24:01,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
155,2023-10-09 05:24:11,EVENT 13 END,,,EVENT 13 END
155,2023-10-09 05:24:11,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
156,2023-10-09 05:17:07,Check for completeness,Clerk-000006,,Check for completeness
156,2023-10-09 05:17:07,New online application received,,,New online application received
156,2023-10-09 05:17:07,Make decision_signed1,Clerk-000006,collateral events(Make decision),Make decision_signed1
156,2023-10-09 05:18:51,Perform checks,Clerk-000004,,Perform checks
156,2023-10-09 05:18:52,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
156,2023-10-09 05:19:25,Make decision,Manager-000001,,Make decision
156,2023-10-09 05:24:11,notify reject,Manager-000003,,notify reject
156,2023-10-09 05:24:12,Make decision_signed1,Manager-000003,collateral events(Make decision),Make decision_signed1
156,2023-10-09 05:29:22,review request received,,,review request received
156,2023-10-09 05:29:23,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
156,2023-10-09 05:29:32,Check for completeness,Clerk-000003,,Check for completeness
156,2023-10-09 05:29:33,Make decision_signed1,Clerk-000003,collateral events(Make decision),Make decision_signed1
156,2023-10-09 05:44:17,Request info,Manager-000004,,Request info
156,2023-10-09 05:44:18,Make decision_signed1,Manager-000004,collateral events(Make decision),Make decision_signed1
156,2023-10-09 06:17:05,info received,,,info received
156,2023-10-09 06:17:06,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
156,2023-10-09 06:17:15,Check for completeness,Clerk-000004,,Check for completeness
156,2023-10-09 06:17:16,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
156,2023-10-09 06:17:48,Request info,Manager-000005,,Request info
156,2023-10-09 06:17:49,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
156,2023-10-09 06:45:12,info received,,,info received
156,2023-10-09 06:45:13,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
156,2023-10-09 06:45:22,Check for completeness,Clerk-000003,,Check for completeness
156,2023-10-09 06:45:23,Make decision_signed1,Clerk-000003,collateral events(Make decision),Make decision_signed1
156,2023-10-09 07:12:21,Perform checks,Clerk-000005,,Perform checks
156,2023-10-09 07:12:22,Make decision_signed1,Clerk-000005,collateral events(Make decision),Make decision_signed1
156,2023-10-09 07:23:38,Make decision,Manager-000002,,Make decision
156,2023-10-09 07:25:44,Notify accept,Manager-000001,,Notify accept
156,2023-10-09 07:25:45,Make decision_signed1,Manager-000001,collateral events(Make decision),Make decision_signed1
156,2023-10-09 07:31:06,Deliver card,Manager-000005,,Deliver card
156,2023-10-09 07:31:07,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
156,2023-10-09 07:39:35,EVENT 13 END,,,EVENT 13 END
156,2023-10-09 07:39:36,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
157,2023-10-09 06:00:37,Check for completeness,Clerk-000002,,Check for completeness
157,2023-10-09 06:00:37,New online application received,,,New online application received
157,2023-10-09 06:06:35,Request info,Manager-000003,,Request info
157,2023-10-09 06:14:16,info received,,,info received
157,2023-10-09 06:14:26,Check for completeness,Clerk-000006,,Check for completeness
157,2023-10-09 06:37:06,Request info,Manager-000006,,Request info
157,2023-10-09 07:44:22,info received,,,info received
157,2023-10-09 07:44:32,Check for completeness,Clerk-000003,,Check for completeness
157,2023-10-09 08:22:07,Perform checks,Clerk-000001,,Perform checks
157,2023-10-09 08:39:30,Make decision,Manager-000004,,Make decision
157,2023-10-09 08:45:30,Notify accept,Manager-000002,,Notify accept
157,2023-10-09 09:06:49,Deliver card,Manager-000003,,Deliver card
157,2023-10-09 09:37:45,EVENT 13 END,,,EVENT 13 END
158,2023-10-09 07:19:57,Check for completeness,Clerk-000001,,Check for completeness
158,2023-10-09 07:19:57,New online application received,,,New online application received
158,2023-10-09 07:19:57,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
158,2023-10-09 07:24:27,Perform checks,Clerk-000002,,Perform checks
158,2023-10-09 07:24:27,Make decision_signed1,Clerk-000002,collateral events(Make decision),Make decision_signed1
158,2023-10-09 07:27:44,Make decision,Manager-000003,,Make decision
158,2023-10-09 07:28:47,notify reject,Manager-000004,,notify reject
158,2023-10-09 07:28:47,Make decision_signed1,Manager-000004,collateral events(Make decision),Make decision_signed1
158,2023-10-09 07:36:21,review request received,,,review request received
158,2023-10-09 07:36:21,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
158,2023-10-09 07:36:31,Check for completeness,Clerk-000004,,Check for completeness
158,2023-10-09 07:36:31,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
158,2023-10-09 07:38:23,Perform checks,Clerk-000006,,Perform checks
158,2023-10-09 07:38:24,Make decision_signed1,Clerk-000006,collateral events(Make decision),Make decision_signed1
158,2023-10-09 07:50:53,Make decision,Manager-000002,,Make decision
158,2023-10-09 07:56:48,notify reject,Manager-000003,,notify reject
158,2023-10-09 07:56:49,Make decision_signed1,Manager-000003,collateral events(Make decision),Make decision_signed1
158,2023-10-09 08:01:00,review request received,,,review request received
158,2023-10-09 08:01:01,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
158,2023-10-09 08:01:10,Check for completeness,Clerk-000005,,Check for completeness
158,2023-10-09 08:01:11,Make decision_signed1,Clerk-000005,collateral events(Make decision),Make decision_signed1
158,2023-10-09 08:19:28,Request info,Manager-000001,,Request info
158,2023-10-09 08:19:28,Make decision_signed1,Manager-000001,collateral events(Make decision),Make decision_signed1
158,2023-10-09 08:25:43,info received,,,info received
158,2023-10-09 08:25:44,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
158,2023-10-09 08:25:53,Check for completeness,Clerk-000002,,Check for completeness
158,2023-10-09 08:25:54,Make decision_signed1,Clerk-000002,collateral events(Make decision),Make decision_signed1
158,2023-10-09 08:25:57,Perform checks,Clerk-000004,,Perform checks
158,2023-10-09 08:25:58,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
158,2023-10-09 08:40:42,Make decision,Manager-000005,,Make decision
158,2023-10-09 08:41:11,notify reject,Manager-000006,,notify reject
158,2023-10-09 08:41:11,Make decision_signed1,Manager-000006,collateral events(Make decision),Make decision_signed1
158,2023-10-09 08:50:39,time out,,,time out
158,2023-10-09 08:50:39,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
158,2023-10-09 08:50:49,EVENT 13 END,,,EVENT 13 END
158,2023-10-09 08:50:49,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
159,2023-10-09 11:46:51,Check for completeness,Clerk-000006,,Check for completeness
159,2023-10-09 11:46:51,New online application received,,,New online application received
159,2023-10-09 11:50:17,Perform checks,Clerk-000005,,Perform checks
159,2023-10-09 12:15:54,Make decision,Manager-000001,,Make decision
159,2023-10-09 12:18:41,Notify accept,Manager-000005,,Notify accept
159,2023-10-09 12:27:55,Deliver card,Manager-000004,,Deliver card
159,2023-10-09 12:29:37,EVENT 13 END,,,EVENT 13 END
160,2023-10-09 12:31:10,Check for completeness,Clerk-000003,,Check for completeness
160,2023-10-09 12:31:10,New online application received,,,New online application received
160,2023-10-09 12:36:44,Request info,Manager-000006,,Request info
160,2023-10-09 12:38:16,info received,,,info received
160,2023-10-09 12:38:26,Check for completeness,Clerk-000002,,Check for completeness
160,2023-10-09 12:44:08,Request info,Manager-000002,,Request info
160,2023-10-09 12:52:46,info received,,,info received
160,2023-10-09 12:52:56,Check for completeness,Clerk-000006,,Check for completeness
160,2023-10-09 13:43:01,Request info,Manager-000006,,Request info
160,2023-10-09 13:44:24,info received,,,info received
160,2023-10-09 13:44:34,Check for completeness,Clerk-000001,,Check for completeness
160,2023-10-09 13:51:09,Perform checks,Clerk-000005,,Perform checks
160,2023-10-09 13:53:04,Make decision,Manager-000003,,Make decision
160,2023-10-09 13:53:23,notify reject,Manager-000001,,notify reject
160,2023-10-09 14:05:21,time out,,,time out
160,2023-10-09 14:05:31,EVENT 13 END,,,EVENT 13 END
161,2023-10-09 12:43:15,Check for completeness,Clerk-000001,,Check for completeness
161,2023-10-09 12:43:15,New online application received,,,New online application received
161,2023-10-09 12:51:27,Perform checks,Clerk-000004,,Perform checks
161,2023-10-09 12:54:52,Make decision,Manager-000003,,Make decision
161,2023-10-09 13:08:44,Notify accept,Manager-000001,,Notify accept
161,2023-10-09 13:12:01,Deliver card,Manager-000005,,Deliver card
161,2023-10-09 13:12:22,EVENT 13 END,,,EVENT 13 END
162,2023-10-09 13:07:51,Check for completeness,Clerk-000005,,Check for completeness
162,2023-10-09 13:07:51,New online application received,,,New online application received
162,2023-10-09 13:07:51,Make decision_signed1,Clerk-000005,collateral events(Make decision),Make decision_signed1
162,2023-10-09 13:15:58,Request info,Manager-000004,,Request info
162,2023-10-09 13:15:59,Make decision_signed1,Manager-000004,collateral events(Make decision),Make decision_signed1
162,2023-10-09 13:23:46,info received,,,info received
162,2023-10-09 13:23:47,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
162,2023-10-09 13:23:56,Check for completeness,Clerk-000003,,Check for completeness
162,2023-10-09 13:23:57,Make decision_signed1,Clerk-000003,collateral events(Make decision),Make decision_signed1
162,2023-10-09 13:37:14,Perform checks,Clerk-000002,,Perform checks
162,2023-10-09 13:37:14,Make decision_signed1,Clerk-000002,collateral events(Make decision),Make decision_signed1
162,2023-10-09 13:46:33,Make decision,Manager-000002,,Make decision
162,2023-10-09 14:04:08,Notify accept,Manager-000005,,Notify accept
162,2023-10-09 14:04:09,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
162,2023-10-09 14:08:28,Deliver card,Manager-000004,,Deliver card
162,2023-10-09 14:08:28,Make decision_signed1,Manager-000004,collateral events(Make decision),Make decision_signed1
162,2023-10-09 14:13:41,EVENT 13 END,,,EVENT 13 END
162,2023-10-09 14:13:41,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
163,2023-10-09 13:47:01,Check for completeness,Clerk-000004,,Check for completeness
163,2023-10-09 13:47:01,New online application received,,,New online application received
163,2023-10-09 13:47:01,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
163,2023-10-09 14:27:07,Perform checks,Clerk-000002,,Perform checks
163,2023-10-09 14:27:08,Make decision_signed1,Clerk-000002,collateral events(Make decision),Make decision_signed1
163,2023-10-09 14:48:02,Make decision,Manager-000002,,Make decision
163,2023-10-09 14:54:06,Notify accept,Manager-000001,,Notify accept
163,2023-10-09 14:54:07,Make decision_signed1,Manager-000001,collateral events(Make decision),Make decision_signed1
163,2023-10-09 14:59:52,Deliver card,Manager-000005,,Deliver card
163,2023-10-09 14:59:53,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
163,2023-10-09 15:35:28,EVENT 13 END,,,EVENT 13 END
163,2023-10-09 15:35:28,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
164,2023-10-09 14:09:24,Check for completeness,Clerk-000003,,Check for completeness
164,2023-10-09 14:09:24,New online application received,,,New online application received
164,2023-10-09 14:09:24,Make decision_signed1,Clerk-000003,collateral events(Make decision),Make decision_signed1
164,2023-10-09 14:11:16,Perform checks,Clerk-000006,,Perform checks
164,2023-10-09 14:11:16,Make decision_signed1,Clerk-000006,collateral events(Make decision),Make decision_signed1
164,2023-10-09 14:11:47,Make decision,Manager-000006,,Make decision
164,2023-10-09 14:14:46,notify reject,Manager-000003,,notify reject
164,2023-10-09 14:14:46,Make decision_signed1,Manager-000003,collateral events(Make decision),Make decision_signed1
164,2023-10-09 14:33:21,time out,,,time out
164,2023-10-09 14:33:21,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
164,2023-10-09 14:33:31,EVENT 13 END,,,EVENT 13 END
164,2023-10-09 14:33:31,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
165,2023-10-09 15:04:26,Check for completeness,Clerk-000001,,Check for completeness
165,2023-10-09 15:04:26,New online application received,,,New online application received
165,2023-10-09 15:04:26,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
165,2023-10-09 15:16:12,Perform checks,Clerk-000005,,Perform checks
165,2023-10-09 15:16:13,Make decision_signed1,Clerk-000005,collateral events(Make decision),Make decision_signed1
165,2023-10-09 15:36:07,Make decision,Manager-000004,,Make decision
165,2023-10-09 15:41:05,notify reject,Manager-000006,,notify reject
165,2023-10-09 15:41:05,Make decision_signed1,Manager-000006,collateral events(Make decision),Make decision_signed1
165,2023-10-09 15:53:28,review request received,,,review request received
165,2023-10-09 15:53:28,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
165,2023-10-09 15:53:38,Check for completeness,Clerk-000001,,Check for completeness
165,2023-10-09 15:53:38,Make decision_signed1,Clerk-000001,collateral events(Make decision),Make decision_signed1
165,2023-10-09 16:01:53,Request info,Manager-000004,,Request info
165,2023-10-09 16:01:54,Make decision_signed1,Manager-000004,collateral events(Make decision),Make decision_signed1
165,2023-10-09 16:18:35,info received,,,info received
165,2023-10-09 16:18:35,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
165,2023-10-09 16:18:45,Check for completeness,Clerk-000001,,Check for completeness
165,2023-10-09 16:18:46,Make decision_signed1,Clerk-000001,collateral events(Make decision),Make decision_signed1
165,2023-10-09 16:37:05,Request info,Manager-000004,,Request info
165,2023-10-09 16:37:05,Make decision_signed1,Manager-000004,collateral events(Make decision),Make decision_signed1
165,2023-10-09 16:53:10,info received,,,info received
165,2023-10-09 16:53:11,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
165,2023-10-09 16:53:20,Check for completeness,Clerk-000002,,Check for completeness
165,2023-10-09 16:53:21,Make decision_signed1,Clerk-000002,collateral events(Make decision),Make decision_signed1
165,2023-10-09 17:14:57,Perform checks,Clerk-000004,,Perform checks
165,2023-10-09 17:14:58,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
165,2023-10-09 17:19:08,Make decision,Manager-000006,,Make decision
165,2023-10-09 17:26:36,Notify accept,Manager-000004,,Notify accept
165,2023-10-09 17:26:36,Make decision_signed1,Manager-000004,collateral events(Make decision),Make decision_signed1
165,2023-10-09 17:43:42,Deliver card,Manager-000001,,Deliver card
165,2023-10-09 17:43:43,Make decision_signed1,Manager-000001,collateral events(Make decision),Make decision_signed1
165,2023-10-09 18:01:53,EVENT 13 END,,,EVENT 13 END
165,2023-10-09 18:01:53,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
166,2023-10-09 15:18:36,Check for completeness,Clerk-000003,,Check for completeness
166,2023-10-09 15:18:36,New online application received,,,New online application received
166,2023-10-09 15:28:00,Perform checks,Clerk-000006,,Perform checks
166,2023-10-09 15:44:39,Make decision,Manager-000003,,Make decision
166,2023-10-09 15:49:20,Notify accept,Manager-000002,,Notify accept
166,2023-10-09 15:59:17,Deliver card,Manager-000001,,Deliver card
166,2023-10-09 16:02:21,EVENT 13 END,,,EVENT 13 END
167,2023-10-09 15:40:15,Check for completeness,Clerk-000004,,Check for completeness
167,2023-10-09 15:40:15,New online application received,,,New online application received
167,2023-10-09 16:07:42,Request info,Manager-000006,,Request info
167,2023-10-09 16:08:32,info received,,,info received
