Case,Activity,Timestamp,Activity_fixed,label,Resource
9800628,create letter requesting missing data,2014-04-11 07:01:02,create letter requesting missing data,,2670601
9800628,create subcases completeness,2014-04-11 07:01:03,treat subcases content,,2670601
9800628,enter senddate retrieve missing data,2014-04-11 07:01:04,retrieve missing data,,2670601
9800628,procedure change,2014-04-11 07:01:05,procedure change,,2670601
9800628,request complete,2014-04-11 07:01:06,request complete,,2670601
9800628,term for supplying missing data,2014-04-11 07:01:07,term for supplying missing data,,2670601
9800628,phase asked additional information,2014-04-23 07:00:08,receive additional information,,2670601
9800628,retrieve missing data,2014-04-23 07:00:09,retrieve missing data,,2670601
9800628,create cover letter permanent suspension,2014-06-02 07:00:36,create cover letter permanent suspension,,2670601
9800628,creating decision permanently suspended,2014-06-02 07:00:37,keep permanently suspended,,2670601
9800628,decision date prior to decision,2014-06-02 07:00:38,decision date prior to decision,,2670601
9800628,enter senddate decision permanent suspension,2014-06-02 07:00:40,enter senddate decision,,2670601
9800628,keep permanently suspended,2014-06-02 07:00:41,keep permanently suspended,,2670601
9800628,phase permanently suspended,2014-06-02 07:00:42,keep permanently suspended,,2670601
9800628,receive additional information,2014-06-02 07:00:43,receive additional information,,2670601
9800628,set decision status,2014-06-02 07:00:44,set decision status,,2670601
9800628,start decision phase permanent suspension sent,2014-06-02 07:00:45,keep permanently suspended,,2670601
9800628,start decision phase permanently suspended decided,2014-06-02 07:00:46,keep permanently suspended,,2670601
9819575,OLO messaging active,2014-03-24 08:00:18,OLO messaging active,,560925
9819575,create procedure confirmation,2014-03-24 08:00:19,enter senddate procedure confirmation,,560925
9819575,forward to the competent authority,2014-03-24 08:00:21,forward to the competent authority,,560925
9819575,inform BAG administrator,2014-03-24 08:00:22,inform BAG administrator,,560925
9819575,phase application received,2014-03-24 08:00:24,phase application received,,560925
9819575,registration date publication,2014-03-24 08:00:25,registration date publication,,560925
9819575,regular procedure without MER,2014-03-24 08:00:26,regular procedure without MER,,560925
9819575,send confirmation receipt,2014-03-24 08:00:27,send confirmation receipt,,560925
9819575,send confirmation receipt,2014-03-24 08:00:28,send confirmation receipt,,560925
9819575,start WABOprocedure,2014-03-24 08:00:29,start WABOprocedure,,560925
9819575,treat subcases completeness,2014-03-24 08:00:30,treat subcases content,,560925
9819575,create letter requesting missing data,2014-05-06 07:00:21,create letter requesting missing data,,2670601
9819575,phase asked additional information,2014-05-06 07:00:22,receive additional information,,2670601
9819575,procedure change,2014-05-06 07:00:23,procedure change,,2670601
9819575,request complete,2014-05-06 07:00:24,request complete,,2670601
9819575,retrieve missing data,2014-05-06 07:00:25,retrieve missing data,,2670601
9819575,subcases completeness completed,2014-05-06 07:00:26,treat subcases content,,2670601
9819575,term for supplying missing data,2014-05-06 07:00:27,term for supplying missing data,,2670601
9819575,receive additional information,2014-05-15 07:00:15,receive additional information,,9264148
9819575,enter receipt of additional data,2014-05-21 07:00:02,enter receipt of additional data,,2670601
9819575,phase additional information received,2014-05-21 07:00:03,receive additional information,,2670601
9819575,MER present in supplement,2014-05-22 07:00:47,MER present in supplement,,2670601
9819575,article 34  WABO applies,2014-05-22 07:00:48,article 34  WABO applies,,2670601
9819575,ask stakeholders views,2014-05-22 07:00:49,ask stakeholders views,,2670601
9819575,assessment of content completed,2014-05-22 07:00:50,assessment of content completed,,2670601
9819575,by law,2014-05-22 07:00:51,by law,,2670601
9819575,completed subcases content,2014-05-22 07:00:52,treat subcases content,,2670601
9819575,coordination of application,2014-05-22 07:00:53,coordination of application,,2670601
9819575,creating environmental permit decision,2014-05-22 07:00:54,enter senddate decision environmental permit,,2670601
9819575,generating decision environmental permit,2014-05-22 07:00:56,enter senddate decision environmental permit,,2670601
9819575,grounds for refusal,2014-05-22 07:00:57,grounds for refusal,,2670601
9819575,phase advice known,2014-05-22 07:00:58,phase advice known,,2670601
9819575,phase application receptive,2014-05-22 07:00:59,phase application received,,2670601
9819575,procedure change,2014-05-22 07:01:01,procedure change,,2670601
9819575,procedure change after completeness,2014-05-22 07:01:02,procedure change after completeness,,2670601
9819575,resume completeness subcases,2014-05-22 07:01:04,treat subcases content,,2670601
9819575,send confirmation receipt additional data,2014-05-22 07:01:05,send confirmation receipt,,2670601
9819575,send letter in progress,2014-05-22 07:01:06,send letter in progress,,2670601
9819575,set decision status,2014-05-22 07:01:07,set decision status,,2670601
9819575,subcases completeness completed,2014-05-22 07:01:08,treat subcases content,,2670601
9819575,submit decision,2014-05-22 07:01:09,submit decision,,2670601
9819575,suspension ground applicable,2014-05-22 07:01:10,suspension ground applicable,,2670601
9819575,treat subcases content,2014-05-22 07:01:11,treat subcases content,,2670601
9819575,creating cover letter decision,2014-05-27 07:00:29,creating cover letter decision,,560912
9819575,enter senddate decision,2014-05-27 07:00:30,enter senddate decision,,560912
9819575,enter senddate decision environmental permit,2014-05-27 07:00:31,enter senddate decision environmental permit,,560912
9819575,phase decision sent,2014-05-27 07:00:32,phase decision sent,,560912
9819575,record date of decision environmental permit,2014-05-27 07:00:34,enter senddate decision environmental permit,,560912
9819575,register objection and appeal periods,2014-05-27 07:00:35,register objection and appeal periods,,560912
9819575,set decision phase decision permitting decided,2014-05-27 07:00:36,phase decision sent,,560912
9819575,transcript decision environmental permit to stakeholders,2014-05-27 07:00:38,transcript decision environmental permit to stakeholders,,560912
9843323,OLO messaging active,2014-03-25 08:00:51,OLO messaging active,,560912
9843323,create procedure confirmation,2014-03-25 08:00:52,enter senddate procedure confirmation,,560912
9843323,create publication document,2014-03-25 08:00:53,create publication document,,560912
9843323,create subcases completeness,2014-03-25 08:00:54,treat subcases content,,560912
9843323,forward to the competent authority,2014-03-25 08:00:55,forward to the competent authority,,560912
9843323,phase application received,2014-03-25 08:00:56,phase application received,,560912
9843323,registration date publication,2014-03-25 08:00:57,registration date publication,,560912
9843323,regular procedure without MER,2014-03-25 08:00:58,regular procedure without MER,,560912
9843323,send confirmation receipt,2014-03-25 08:00:59,send confirmation receipt,,560912
9843323,send confirmation receipt,2014-03-25 08:01:00,send confirmation receipt,,560912
9843323,start WABOprocedure,2014-03-25 08:01:01,start WABOprocedure,,560912
9843323,ask stakeholders views,2014-05-13 07:01:12,ask stakeholders views,,2670601
9843323,assessment of content completed,2014-05-13 07:01:13,assessment of content completed,,2670601
9843323,by law,2014-05-13 07:01:14,by law,,2670601
9843323,completed subcases content,2014-05-13 07:01:15,treat subcases content,,2670601
9843323,coordination of application,2014-05-13 07:01:16,coordination of application,,2670601
9843323,creating cover letter decision,2014-05-13 07:01:18,creating cover letter decision,,560912
9843323,creating environmental permit decision,2014-05-13 07:01:19,enter senddate decision environmental permit,,2670601
9843323,decision date prior to decision,2014-05-13 07:01:20,decision date prior to decision,,2670601
9843323,enter senddate decision,2014-05-13 07:01:21,enter senddate decision,,560912
9843323,enter senddate decision environmental permit,2014-05-13 07:01:22,enter senddate decision environmental permit,,560912
9843323,generating decision environmental permit,2014-05-13 07:01:23,enter senddate decision environmental permit,,2670601
9843323,grounds for refusal,2014-05-13 07:01:24,grounds for refusal,,2670601
9843323,phase advice known,2014-05-13 07:01:25,phase advice known,,2670601
9843323,phase application receptive,2014-05-13 07:01:26,phase application received,,2670601
9843323,phase decision sent,2014-05-13 07:01:27,phase decision sent,,560912
9843323,phase decision taken,2014-05-13 07:01:28,phase decision sent,,2670601
9843323,procedure change,2014-05-13 07:01:29,procedure change,,2670601
9843323,procedure change,2014-05-13 07:01:30,procedure change,,2670601
9843323,register objection and appeal periods,2014-05-13 07:01:31,register objection and appeal periods,,2670601
9843323,request complete,2014-05-13 07:01:32,request complete,,2670601
9843323,send letter in progress,2014-05-13 07:01:33,send letter in progress,,2670601
9843323,set decision phase decision permitting decided,2014-05-13 07:01:34,phase decision sent,,2670601
9843323,set decision status,2014-05-13 07:01:35,set decision status,,2670601
9843323,subcases completeness completed,2014-05-13 07:01:36,treat subcases content,,2670601
9843323,suspension ground applicable,2014-05-13 07:01:37,suspension ground applicable,,2670601
9843323,transcript decision environmental permit to stakeholders,2014-05-13 07:01:38,transcript decision environmental permit to stakeholders,,560912
9843323,treat subcases completeness,2014-05-13 07:01:39,treat subcases content,,2670601
9843323,treat subcases content,2014-05-13 07:01:40,treat subcases content,,2670601
9843323,start decision phase decision permitting sent,2014-05-15 07:00:27,phase decision sent,,560912
9857886,register submission date request,2014-03-25 08:01:02,register submission date request,,9264148
9857886,OLO messaging active,2014-03-27 08:00:18,OLO messaging active,,9264148
9857886,create procedure confirmation,2014-03-27 08:00:19,enter senddate procedure confirmation,,9264148
9857886,create publication document,2014-03-27 08:00:20,create publication document,,9264148
9857886,create subcases completeness,2014-03-27 08:00:21,treat subcases content,,9264148
9857886,forward to the competent authority,2014-03-27 08:00:22,forward to the competent authority,,9264148
9857886,phase application received,2014-03-27 08:00:23,phase application received,,9264148
9857886,registration date publication,2014-03-27 08:00:24,registration date publication,,9264148
9857886,regular procedure without MER,2014-03-27 08:00:25,regular procedure without MER,,9264148
9857886,send confirmation receipt,2014-03-27 08:00:26,send confirmation receipt,,9264148
9857886,send confirmation receipt,2014-03-27 08:00:27,send confirmation receipt,,9264148
9857886,start WABOprocedure,2014-03-27 08:00:28,start WABOprocedure,,9264148
9857886,copy decision to extend procedure to stakeholders,2014-05-07 07:00:33,copy decision to extend procedure to stakeholders,,2670601
9857886,create cover letter extend procedure term,2014-05-07 07:00:34,create cover letter extend procedure term,,2670601
9857886,create decision procedure term extension,2014-05-07 07:00:35,enter senddate decision procedure term extension,,2670601
9857886,creating decision procedure term extension,2014-05-07 07:00:36,enter senddate decision procedure term extension,,2670601
9857886,decision date prior to decision,2014-05-07 07:00:37,decision date prior to decision,,2670601
9857886,enter senddate procedure term extension,2014-05-07 07:00:38,enter senddate decision procedure term extension,,2670601
9857886,enter senddate procedure term extension,2014-05-07 07:00:39,enter senddate decision procedure term extension,,2670601
9857886,extend procedure term,2014-05-07 07:00:40,extend procedure term,,2670601
9857886,phase procedure extended,2014-05-07 07:00:41,phase procedure extended,,2670601
9857886,register number of days extension period,2014-05-07 07:00:42,register number of days extension period,,2670601
9857886,set decision status,2014-05-07 07:00:43,set decision status,,2670601
9857886,start decision phase extension granted,2014-05-07 07:00:44,start decision phase extension granted,,2670601
9857886,start decision phase extension granted,2014-05-07 07:00:45,start decision phase extension granted,,2670601
9857886,procedure change,2014-06-05 07:00:08,procedure change,,2670601
9857886,article 34  WABO applies,2014-06-11 07:00:16,article 34  WABO applies,,2670601
9857886,ask stakeholders views,2014-06-11 07:00:17,ask stakeholders views,,2670601
9857886,assessment of content completed,2014-06-11 07:00:18,assessment of content completed,,2670601
9857886,by law,2014-06-11 07:00:19,by law,,2670601
9857886,completed subcases content,2014-06-11 07:00:20,treat subcases content,,2670601
9857886,coordination of application,2014-06-11 07:00:21,coordination of application,,2670601
9857886,creating environmental permit decision,2014-06-11 07:00:22,enter senddate decision environmental permit,,2670601
9857886,decision date prior to decision,2014-06-11 07:00:23,decision date prior to decision,,2670601
9857886,grounds for refusal,2014-06-11 07:00:24,grounds for refusal,,2670601
9857886,phase advice known,2014-06-11 07:00:25,phase advice known,,2670601
9857886,phase application receptive,2014-06-11 07:00:26,phase application received,,2670601
9857886,procedure change,2014-06-11 07:00:27,procedure change,,2670601
9857886,request complete,2014-06-11 07:00:28,request complete,,2670601
9857886,send letter in progress,2014-06-11 07:00:29,send letter in progress,,2670601
9857886,set decision status,2014-06-11 07:00:30,set decision status,,2670601
9857886,suspension ground applicable,2014-06-11 07:00:31,suspension ground applicable,,2670601
9857886,treat subcases content,2014-06-11 07:00:32,treat subcases content,,2670601
9857886,phase decision ready,2014-06-18 07:00:01,phase decision sent,,2670601
9857886,submit decision,2014-06-18 07:00:02,submit decision,,2670601
9857886,enter senddate decision,2014-06-25 07:00:01,enter senddate decision,,560912
9857886,enter senddate decision environmental permit,2014-06-25 07:00:02,enter senddate decision environmental permit,,560912
9857886,phase decision sent,2014-06-25 07:00:03,phase decision sent,,560912
9857886,phase decision taken,2014-06-25 07:00:04,phase decision sent,,560912
9857886,register objection and appeal periods,2014-06-25 07:00:05,register objection and appeal periods,,560912
9857886,transcript decision environmental permit to stakeholders,2014-06-25 07:00:06,transcript decision environmental permit to stakeholders,,560912
9857886,enter senddate decision environmental permit,2014-06-26 07:00:05,enter senddate decision environmental permit,,560912
9857886,record date of decision environmental permit,2014-06-26 07:00:06,enter senddate decision environmental permit,,560912
9857886,set decision phase decision permitting decided,2014-06-26 07:00:07,phase decision sent,,560912
9857886,start decision phase decision permitting sent,2014-06-26 07:00:08,phase decision sent,,560912
9863829,register submission date request,2014-03-24 08:00:54,register submission date request,,560912
9863829,MER present,2014-04-08 07:00:29,MER present,,560912
9863829,OLO messaging active,2014-04-08 07:00:30,OLO messaging active,,560912
9863829,activities regular procedure,2014-04-08 07:00:31,activities regular procedure,,560912
9863829,create procedure confirmation,2014-04-08 07:00:32,enter senddate procedure confirmation,,560912
9863829,create publication document,2014-04-08 07:00:33,create publication document,,560912
9863829,forward to the competent authority,2014-04-08 07:00:34,forward to the competent authority,,560912
9863829,publish,2014-04-08 07:00:37,publish,,560912
9863829,read field phased application,2014-04-08 07:00:38,read field phased application,,560912
9863829,registration date publication,2014-04-08 07:00:39,registration date publication,,560912
9863829,regular procedure without MER,2014-04-08 07:00:40,regular procedure without MER,,560912
9863829,send confirmation receipt,2014-04-08 07:00:41,send confirmation receipt,,560912
9863829,send confirmation receipt,2014-04-08 07:00:42,send confirmation receipt,,560912
9863829,start WABOprocedure,2014-04-08 07:00:43,start WABOprocedure,,560912
9863829,assessment of content completed,2014-09-23 07:00:01,assessment of content completed,,560912
9863829,completed subcases content,2014-09-23 07:00:02,treat subcases content,,560912
9863829,create cover letter draft decision,2014-09-23 07:00:03,creating cover letter decision,,560912
9863829,create draft environtmental permit,2014-09-23 07:00:04,create draft environtmental permit,,560912
9863829,create publication document,2014-09-23 07:00:05,create publication document,,560912
9863829,create subcases completeness,2014-09-23 07:00:06,treat subcases content,,560912
9863829,enrich draft decision,2014-09-23 07:00:07,enrich draft decision,,560912
9863829,enter date advice on treatment of environmental permit,2014-09-23 07:00:08,enter date advice on treatment of environmental permit,,560912
9863829,generate draft decision environmental permit,2014-09-23 07:00:09,enter senddate decision environmental permit,,560912
9863829,open draft decision for inspection,2014-09-23 07:00:11,date decision for inspection,,560912
9863829,phase advice known,2014-09-23 07:00:12,phase advice known,,560912
9863829,phase application receptive,2014-09-23 07:00:13,phase application received,,560912
9863829,phase concept draft decision ready,2014-09-23 07:00:14,phase decision sent,,560912
9863829,phase draft decision made,2014-09-23 07:00:15,phase decision sent,,560912
9863829,phase draft decision ready,2014-09-23 07:00:16,phase decision sent,,560912
9863829,procedure change,2014-09-23 07:00:17,procedure change,,560912
9863829,procedure change,2014-09-23 07:00:18,procedure change,,560912
9863829,request complete,2014-09-23 07:00:19,request complete,,560912
9863829,send design decision to stakeholders,2014-09-23 07:00:20,send design decision to stakeholders,,560912
9863829,send letter in progress,2014-09-23 07:00:21,send letter in progress,,560912
9863829,set decision phase: draft decision permitted sent,2014-09-23 07:00:22,phase decision sent,,560912
9863829,set decision status,2014-09-23 07:00:23,set decision status,,560912
9863829,start decisionphase draft decision - permitting decided,2014-09-23 07:00:24,phase decision sent,,560912
9863829,submit draft decision,2014-09-23 07:00:25,submit decision,,560912
9863829,treat subcases content,2014-09-23 07:00:26,treat subcases content,,560912
9863829,set decision phase: draft decision for inspection,2014-10-02 07:00:01,date decision for inspection,,560912
9863829,create monitoring case,2014-11-18 08:00:01,create monitoring case,,560912
9863829,creating cover letter decision,2014-11-18 08:00:02,creating cover letter decision,,560912
9863829,creating environmental permit decision,2014-11-18 08:00:03,enter senddate decision environmental permit,,560912
9863829,decision date prior to decision,2014-11-18 08:00:04,decision date prior to decision,,560912
9863829,enter publication date draft decision,2014-11-18 08:00:05,publication date draft decision,,560912
9863829,generating decision environmental permit,2014-11-18 08:00:06,enter senddate decision environmental permit,,560912
9863829,perspective on draft decision environmental permit received,2014-11-18 08:00:07,enter senddate decision environmental permit,,560912
9863829,phase decision ready,2014-11-18 08:00:08,phase decision sent,,560912
9863829,read publication date field,2014-11-18 08:00:10,read publication date field,,560912
9863829,register objection and appeal periods,2014-11-18 08:00:11,register objection and appeal periods,,560912
9863829,set decision status,2014-11-18 08:00:12,set decision status,,560912
9863829,submit decision,2014-11-18 08:00:13,submit decision,,560912
9863829,suspension ground applicable,2014-11-18 08:00:14,suspension ground applicable,,560912
9863829,enter senddate decision environmental permit,2014-11-19 08:00:01,enter senddate decision environmental permit,,560912
9863829,phase decision sent,2014-11-19 08:00:02,phase decision sent,,560912
9863829,transcript decision environmental permit to stakeholders,2014-11-19 08:00:03,transcript decision environmental permit to stakeholders,,560912
9863829,set decision phase decision permitting decided,2014-11-20 08:00:01,phase decision sent,,560912
9863829,enter senddate decision environmental permit,2014-11-25 08:00:10,enter senddate decision environmental permit,,560912
9863829,start decision phase decision permitting sent,2014-11-25 08:00:11,phase decision sent,,560912
9863829,set decision phase inspection of decision permitting,2014-11-26 08:00:04,phase decision sent,,560912
9888564,register submission date request,2014-03-28 08:00:43,register submission date request,,9264148
9888564,OLO messaging active,2014-03-31 07:00:50,OLO messaging active,,9264148
9888564,create procedure confirmation,2014-03-31 07:00:51,enter senddate procedure confirmation,,9264148
9888564,create publication document,2014-03-31 07:00:52,create publication document,,9264148
9888564,create subcases completeness,2014-03-31 07:00:53,treat subcases content,,9264148
9888564,forward to the competent authority,2014-03-31 07:00:54,forward to the competent authority,,9264148
9888564,phase application received,2014-03-31 07:00:55,phase application received,,9264148
9888564,registration date publication,2014-03-31 07:00:56,registration date publication,,9264148
9888564,regular procedure without MER,2014-03-31 07:00:57,regular procedure without MER,,9264148
9888564,send confirmation receipt,2014-03-31 07:00:58,send confirmation receipt,,9264148
9888564,start WABOprocedure,2014-03-31 07:01:00,start WABOprocedure,,9264148
9888564,create cover letter extend procedure term,2014-05-09 07:00:39,create cover letter extend procedure term,,2670601
9888564,create decision procedure term extension,2014-05-09 07:00:40,enter senddate decision procedure term extension,,2670601
9888564,creating decision procedure term extension,2014-05-09 07:00:41,enter senddate decision procedure term extension,,2670601
9888564,decision date prior to decision,2014-05-09 07:00:42,decision date prior to decision,,2670601
9888564,enter senddate procedure term extension,2014-05-09 07:00:43,enter senddate decision procedure term extension,,2670601
9888564,extend procedure term,2014-05-09 07:00:44,extend procedure term,,2670601
9888564,register number of days extension period,2014-05-09 07:00:46,register number of days extension period,,2670601
9888564,set decision status,2014-05-09 07:00:47,set decision status,,2670601
9888564,start decision phase extension granted,2014-05-09 07:00:48,start decision phase extension granted,,2670601
9888564,start decision phase extension granted,2014-05-09 07:00:49,start decision phase extension granted,,2670601
9888564,ask stakeholders views,2014-07-03 07:00:01,ask stakeholders views,,2670601
9888564,assessment of content completed,2014-07-03 07:00:02,assessment of content completed,,2670601
9888564,by law,2014-07-03 07:00:03,by law,,2670601
9888564,completed subcases content,2014-07-03 07:00:04,treat subcases content,,2670601
9888564,coordination of application,2014-07-03 07:00:05,coordination of application,,2670601
9888564,create monitoring case,2014-07-03 07:00:06,create monitoring case,,2670601
9888564,creating cover letter decision,2014-07-03 07:00:07,creating cover letter decision,,2670601
9888564,creating environmental permit decision,2014-07-03 07:00:08,enter senddate decision environmental permit,,2670601
9888564,decision date prior to decision,2014-07-03 07:00:09,decision date prior to decision,,2670601
9888564,enter senddate decision,2014-07-03 07:00:10,enter senddate decision,,2670601
9888564,enter senddate decision environmental permit,2014-07-03 07:00:11,enter senddate decision environmental permit,,2670601
9888564,generating decision environmental permit,2014-07-03 07:00:12,enter senddate decision environmental permit,,2670601
9888564,grounds for refusal,2014-07-03 07:00:13,grounds for refusal,,2670601
9888564,phase advice known,2014-07-03 07:00:14,phase advice known,,2670601
9888564,phase application receptive,2014-07-03 07:00:15,phase application received,,2670601
9888564,phase decision sent,2014-07-03 07:00:16,phase decision sent,,2670601
9888564,phase decision taken,2014-07-03 07:00:17,phase decision sent,,2670601
9888564,procedure change,2014-07-03 07:00:18,procedure change,,2670601
9888564,procedure change,2014-07-03 07:00:19,procedure change,,2670601
9888564,register objection and appeal periods,2014-07-03 07:00:20,register objection and appeal periods,,2670601
9888564,request complete,2014-07-03 07:00:21,request complete,,2670601
9888564,send letter in progress,2014-07-03 07:00:22,send letter in progress,,2670601
9888564,set decision phase decision permitting decided,2014-07-03 07:00:23,phase decision sent,,2670601
9888564,set decision status,2014-07-03 07:00:24,set decision status,,2670601
9888564,suspension ground applicable,2014-07-03 07:00:26,suspension ground applicable,,2670601
9888564,transcript decision environmental permit to stakeholders,2014-07-03 07:00:27,transcript decision environmental permit to stakeholders,,2670601
9888564,treat subcases content,2014-07-03 07:00:28,treat subcases content,,2670601
9928031,register submission date request,2014-03-31 07:01:36,register submission date request,,560872
9928031,OLO messaging active,2014-04-03 07:00:35,OLO messaging active,,560872
9928031,create procedure confirmation,2014-04-03 07:00:36,enter senddate procedure confirmation,,560872
9928031,create publication document,2014-04-03 07:00:37,create publication document,,560872
9928031,create subcases completeness,2014-04-03 07:00:38,treat subcases content,,560872
9928031,forward to the competent authority,2014-04-03 07:00:39,forward to the competent authority,,560872
9928031,phase application received,2014-04-03 07:00:40,phase application received,,560872
9928031,registration date publication,2014-04-03 07:00:41,registration date publication,,560872
9928031,regular procedure without MER,2014-04-03 07:00:42,regular procedure without MER,,560872
9928031,send confirmation receipt,2014-04-03 07:00:43,send confirmation receipt,,560872
9928031,send confirmation receipt,2014-04-03 07:00:44,send confirmation receipt,,560872
9928031,start WABOprocedure,2014-04-03 07:00:45,start WABOprocedure,,560872
9928031,article 34  WABO applies,2014-05-20 07:00:15,article 34  WABO applies,,2670601
9928031,ask stakeholders views,2014-05-20 07:00:16,ask stakeholders views,,2670601
9928031,assessment of content completed,2014-05-20 07:00:17,assessment of content completed,,2670601
9928031,by law,2014-05-20 07:00:18,by law,,2670601
9928031,completed subcases content,2014-05-20 07:00:19,treat subcases content,,2670601
9928031,coordination of application,2014-05-20 07:00:20,coordination of application,,2670601
9928031,creating environmental permit decision,2014-05-20 07:00:21,enter senddate decision environmental permit,,2670601
9928031,decision date prior to decision,2014-05-20 07:00:22,decision date prior to decision,,2670601
9928031,generating decision environmental permit,2014-05-20 07:00:23,enter senddate decision environmental permit,,2670601
9928031,grounds for refusal,2014-05-20 07:00:24,grounds for refusal,,2670601
9928031,phase advice known,2014-05-20 07:00:25,phase advice known,,2670601
9928031,phase application receptive,2014-05-20 07:00:26,phase application received,,2670601
9928031,phase decision ready,2014-05-20 07:00:27,phase decision sent,,2670601
9928031,procedure change,2014-05-20 07:00:28,procedure change,,2670601
9928031,procedure change,2014-05-20 07:00:29,procedure change,,2670601
9928031,request complete,2014-05-20 07:00:30,request complete,,2670601
9928031,send letter in progress,2014-05-20 07:00:31,send letter in progress,,2670601
9928031,set decision status,2014-05-20 07:00:32,set decision status,,2670601
9928031,submit decision,2014-05-20 07:00:33,submit decision,,2670601
9928031,suspension ground applicable,2014-05-20 07:00:34,suspension ground applicable,,2670601
9928031,treat subcases content,2014-05-20 07:00:35,treat subcases content,,2670601
9928031,enter senddate decision,2014-05-21 07:00:12,enter senddate decision,,560912
9928031,enter senddate decision environmental permit,2014-05-21 07:00:13,enter senddate decision environmental permit,,560912
9928031,phase decision taken,2014-05-21 07:00:15,phase decision sent,,560912
9928031,record date of decision environmental permit,2014-05-21 07:00:16,enter senddate decision environmental permit,,560912
9928031,register objection and appeal periods,2014-05-21 07:00:17,register objection and appeal periods,,560912
9928031,set decision phase decision permitting decided,2014-05-21 07:00:18,phase decision sent,,560912
9928031,transcript decision environmental permit to stakeholders,2014-05-21 07:00:19,transcript decision environmental permit to stakeholders,,560912
9928031,enter senddate decision environmental permit,2014-05-22 07:01:13,enter senddate decision environmental permit,,560912
9928031,start decision phase decision permitting sent,2014-05-22 07:01:14,phase decision sent,,560912
9935064,OLO messaging active,2014-04-03 07:01:10,OLO messaging active,,560872
9935064,create publication document,2014-04-03 07:01:12,create publication document,,560872
9935064,create subcases completeness,2014-04-03 07:01:13,treat subcases content,,560872
9935064,forward to the competent authority,2014-04-03 07:01:14,forward to the competent authority,,560872
9935064,phase application received,2014-04-03 07:01:15,phase application received,,560872
9935064,register submission date request,2014-04-03 07:01:16,register submission date request,,560872
9935064,registration date publication,2014-04-03 07:01:17,registration date publication,,560872
9935064,regular procedure without MER,2014-04-03 07:01:18,regular procedure without MER,,560872
9935064,send confirmation receipt,2014-04-03 07:01:19,send confirmation receipt,,560872
9935064,send confirmation receipt,2014-04-03 07:01:20,send confirmation receipt,,560872
9935064,start WABOprocedure,2014-04-03 07:01:21,start WABOprocedure,,560872
9935064,enter senddate acknowledgement,2014-04-04 07:00:01,enter senddate acknowledgement,,560872
9935064,create letter requesting missing data,2014-05-13 07:02:51,create letter requesting missing data,,560950
9935064,procedure change,2014-05-13 07:02:52,procedure change,,560950
9935064,request complete,2014-05-13 07:02:53,request complete,,560950
9935064,term for supplying missing data,2014-05-13 07:02:54,term for supplying missing data,,560950
9935064,enter senddate retrieve missing data,2014-05-14 07:00:17,retrieve missing data,,560950
9935064,enter receipt of additional data,2014-06-02 07:00:47,enter receipt of additional data,,560950
9935064,MER present in supplement,2014-07-07 07:00:41,MER present in supplement,,560950
9935064,article 34  WABO applies,2014-07-07 07:00:42,article 34  WABO applies,,560950
9935064,ask stakeholders views,2014-07-07 07:00:43,ask stakeholders views,,560950
9935064,assessment of content completed,2014-07-07 07:00:44,assessment of content completed,,560950
9935064,by law,2014-07-07 07:00:45,by law,,560950
9935064,completed subcases content,2014-07-07 07:00:46,treat subcases content,,560950
9935064,coordination of application,2014-07-07 07:00:47,coordination of application,,560950
9935064,creating environmental permit decision,2014-07-07 07:00:48,enter senddate decision environmental permit,,560950
9935064,decision date prior to decision,2014-07-07 07:00:49,decision date prior to decision,,560950
9935064,generating decision environmental permit,2014-07-07 07:00:50,enter senddate decision environmental permit,,560950
9935064,grounds for refusal,2014-07-07 07:00:51,grounds for refusal,,560950
9935064,phase additional information received,2014-07-07 07:00:52,receive additional information,,560950
9935064,phase advice known,2014-07-07 07:00:53,phase advice known,,560950
9935064,phase application receptive,2014-07-07 07:00:54,phase application received,,560950
9935064,phase asked additional information,2014-07-07 07:00:55,receive additional information,,560950
9935064,phase decision ready,2014-07-07 07:00:56,phase decision sent,,560950
9935064,phase decision taken,2014-07-07 07:00:57,phase decision sent,,560950
9935064,procedure change,2014-07-07 07:00:58,procedure change,,560950
9935064,procedure change after completeness,2014-07-07 07:00:59,procedure change after completeness,,560950
9935064,receive additional information,2014-07-07 07:01:00,receive additional information,,560950
9935064,send confirmation receipt additional data,2014-07-07 07:01:03,send confirmation receipt,,560950
9935064,send letter in progress,2014-07-07 07:01:04,send letter in progress,,560950
9935064,set decision status,2014-07-07 07:01:05,set decision status,,560950
9935064,submit decision,2014-07-07 07:01:06,submit decision,,560950
9935064,suspension ground applicable,2014-07-07 07:01:07,suspension ground applicable,,560950
9935064,treat subcases content,2014-07-07 07:01:08,treat subcases content,,560950
9935064,record date of decision environmental permit,2014-07-08 07:00:04,enter senddate decision environmental permit,,560950
9935064,enter senddate decision environmental permit,2014-07-14 07:00:02,enter senddate decision environmental permit,,560950
9935064,start decision phase decision permitting sent,2014-07-14 07:00:03,phase decision sent,,560950
9935064,enter date publication decision environmental permit,2014-09-09 07:00:01,enter senddate decision environmental permit,,560950
9935064,enter senddate decision environmental permit,2014-09-09 07:00:02,enter senddate decision environmental permit,,560950
9935064,objection lodged against decision,2014-09-09 07:00:03,objection lodged against decision,,560950
9935064,phase decision sent,2014-09-09 07:00:05,phase decision sent,,560950
9935064,read publication date field,2014-09-09 07:00:06,read publication date field,,560950
