Case,Activity,Timestamp,Resource,Event,label,original_activity,isdistorted,BaseActivity,ProcessedActivity,canonical_activity,is_distorted,Activity_fixed
10083315,receive additional information,2014-07-04 07:00:30,2670601,182,,receive additional information,0,receive additional information,receive additional information,receive additional information,0,receive additional information
10083315,send confirmation receipt additional data,2014-07-04 07:00:31,2670601,180,,send confirmation receipt additional data,0,send confirmation receipt additional data,send confirmation receipt additional data,send confirmation receip,1,send confirmation receip
10083315,article 34  WABO applies,2014-07-07 07:01:09,2670601,187,,article 34  WABO applies,0,article 34  WABO appl,article 34 wabo appl,article 34  WABO appl,0,article 34  WABO appl
10083315,ask stakeholders views,2014-07-07 07:01:10,2670601,189,,ask stakeholders views,0,ask stakeholders view,ask stakeholders view,ask stakeholders view,0,ask stakeholders view
10083315,assessment of content completed,2014-07-07 07:01:11,2670601,200,,assessment of content completed,0,assessment of content compl,assessment of content compl,assessment of content compl,0,assessment of content compl
10083315,by law,2014-07-07 07:01:12,2670601,192,,by law,0,by law,by law,by law,0,by law
10083315,completed subcases content,2014-07-07 07:01:13,2670601,196,,completed subcases content,0,completed subcases conten,completed subcases conten,treat subcases conten,1,treat subcases conten
10083315,coordination of application,2014-07-07 07:01:14,2670601,191,,coordination of application,0,coordination of application,coordination of application,coordination of application,0,coordination of application
10083315,creating environmental permit decision,2014-07-07 07:01:15,2670601,199,,creating environmental permit decision,0,creating environmental permit decision,creating environmental permit decision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
10083315,decision date prior to decision,2014-07-07 07:01:16,2670601,193,,decision date prior to decision,0,decision date prior to decision,decision date prior to decision,decision date prior to decision,0,decision date prior to decision
10083315,generating decision environmental permit,2014-07-07 07:01:17,2670601,203,,generating decision environmental permit,0,generating decision environmental perm,generating decision environmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
10083315,grounds for refusal,2014-07-07 07:01:18,2670601,188,,grounds for refusal,0,grounds for refusal,grounds for refusal,grounds for refusal,0,grounds for refusal
10083315,phase advice known,2014-07-07 07:01:19,2670601,198,,phase advice known,0,phase advice known,phase advice known,phase advice known,0,phase advice known
10083315,phase application receptive,2014-07-07 07:01:20,2670601,197,,phase application receptive,0,phase application receptiv,phase application receptiv,phase application receiv,1,phase application receiv
10083315,phase decision ready,2014-07-07 07:01:21,2670601,204,,phase decision ready,0,phase decision ready,phase decision ready,phase decision sen,1,phase decision sen
10083315,procedure change,2014-07-07 07:01:22,2670601,186,,procedure change,0,procedure chang,procedure chang,procedure chang,0,procedure chang
10083315,procedure change after completeness,2014-07-07 07:01:23,2670601,184,,procedure change after completeness,0,procedure change after completen,procedure change after completen,procedure change after completen,0,procedure change after completen
10083315,request complete,2014-07-07 07:01:24,2670601,195,,request complete,0,request compl,request compl,request compl,0,request compl
10083315,send letter in progress,2014-07-07 07:01:25,2670601,185,,send letter in progress,0,send letter in prog,send letter in prog,send letter in prog,0,send letter in prog
10083315,set decision status,2014-07-07 07:01:26,2670601,202,,set decision status,0,set decision statu,set decision statu,set decision statu,0,set decision statu
10083315,submit decision,2014-07-07 07:01:27,2670601,194,,submit decision,0,submit decision,submit decision,submit decision,0,submit decision
10083315,suspension ground applicable,2014-07-07 07:01:28,2670601,190,,suspension ground applicable,0,suspension ground applicabl,suspension ground applicabl,suspension ground applicabl,0,suspension ground applicabl
10083315,create monitoring case,2014-07-11 07:00:17,560890,210,,create monitoring case,0,create monitoring ca,create monitoring ca,create monitoring ca,0,create monitoring ca
10083315,creating cover letter decision,2014-07-11 07:00:18,560890,206,,creating cover letter decision,0,creating cover letter decision,creating cover letter decision,creating cover letter decision,0,creating cover letter decision
10083315,enter senddate decision,2014-07-11 07:00:19,560890,212,,enter senddate decision,0,enter senddate decision,enter senddate decision,phase decision sen,1,phase decision sen
10083315,enter senddate decision environmental permit,2014-07-11 07:00:20,560890,208,,enter senddate decision environmental permit,0,enter senddate decision environmental perm,enter senddate decision environmental perm,enter senddate decision environmental perm,0,enter senddate decision environmental perm
10083315,phase decision sent,2014-07-11 07:00:21,560890,209,,phase decision sent,0,phase decision sen,phase decision sen,phase decision sen,0,phase decision sen
10083315,phase decision taken,2014-07-11 07:00:22,560890,211,,phase decision taken,0,phase decision taken,phase decision taken,phase decision sen,1,phase decision sen
10083315,register objection and appeal periods,2014-07-11 07:00:23,560890,205,,register objection and appeal periods,0,register objection and appeal p,register objection and appeal p,register objection and appeal p,0,register objection and appeal p
10083315,transcript decision environmental permit to stakeholders,2014-07-11 07:00:24,560890,207,,transcript decision environmental permit to stakeholders,0,transcript decision environmental permit to stakehol,transcript decision environmental permit to stakehol,transcript decision environmental permit to stakehol,0,transcript decision environmental permit to stakehol
10083315,enter senddate decision environmental permit,2014-07-17 07:00:08,560890,215,,enter senddate decision environmental permit,0,enter senddate decision environmental perm,enter senddate decision environmental perm,enter senddate decision environmental perm,0,enter senddate decision environmental perm
10083315,record date of decision environmental permit,2014-07-17 07:00:09,560890,214,,record date of decision environmental permit,0,record date of decision environmental perm,record date of decision environmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
10083315,set decision phase decision permitting decided,2014-07-17 07:00:10,560890,213,,set decision phase decision permitting decided,0,set decision phase decision permitting dec,set decision phase decision permitting dec,phase decision sen,1,phase decision sen
10083315,start decision phase decision permitting sent,2014-07-17 07:00:11,560890,216,,start decision phase decision permitting sent,0,start decision phase decision permitting sen,start decision phase decision permitting sen,phase decision sen,1,phase decision sen
10186644,register submission date request,2014-05-01 07:01:37,9264148,495,,register submission date request,0,register submission date requ,register submission date requ,register submission date requ,0,register submission date requ
10186644,OLO messaging active,2014-05-15 07:00:39,9264148,496,,OLO messaging active,0,OLO messaging activ,olo messaging activ,OLO messaging activ,0,OLO messaging activ
10186644,create procedure confirmation,2014-05-15 07:00:40,9264148,500,,create procedure confirmation,0,create procedure confirmation,create procedure confirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
10186644,create publication document,2014-05-15 07:00:41,9264148,503,,create publication document,0,create publication documen,create publication documen,create publication documen,0,create publication documen
10186644,create subcases completeness,2014-05-15 07:00:42,9264148,502,,create subcases completeness,0,create subcases completen,create subcases completen,treat subcases conten,1,treat subcases conten
10186644,forward to the competent authority,2014-05-15 07:00:43,9264148,498,,forward to the competent authority,0,forward to the competent authority,forward to the competent authority,forward to the competent authority,0,forward to the competent authority
10186644,phase application received,2014-05-15 07:00:44,9264148,507,,phase application received,0,phase application receiv,phase application receiv,phase application receiv,0,phase application receiv
10186644,publish,2014-05-15 07:00:45,9264148,501,,publish,0,publish,publish,publish,0,publish
10186644,registration date publication,2014-05-15 07:00:46,9264148,504,,registration date publication,0,registration date publication,registration date publication,registration date publication,0,registration date publication
10186644,regular procedure without MER,2014-05-15 07:00:47,9264148,499,,regular procedure without MER,0,regular procedure without MER,regular procedure without mer,regular procedure without MER,0,regular procedure without MER
10186644,send confirmation receipt,2014-05-15 07:00:48,9264148,497,,send confirmation receipt,0,send confirmation receip,send confirmation receip,send confirmation receip,0,send confirmation receip
10186644,start WABOprocedure,2014-05-15 07:00:50,9264148,505,,start WABOprocedure,0,start WABOprocedu,start waboprocedu,start WABOprocedu,0,start WABOprocedu
10186644,create letter requesting missing data,2014-06-04 07:00:11,2670601,511,,create letter requesting missing data,0,create letter requesting missing data,create letter requesting missing data,create letter requesting missing data,0,create letter requesting missing data
10186644,procedure change,2014-06-04 07:00:12,2670601,512,,procedure change,0,procedure chang,procedure chang,procedure chang,0,procedure chang
10186644,request complete,2014-06-04 07:00:13,2670601,509,,request complete,0,request compl,request compl,request compl,0,request compl
10186644,term for supplying missing data,2014-06-04 07:00:14,2670601,510,,term for supplying missing data,0,term for supplying missing data,term for supplying missing data,term for supplying missing data,0,term for supplying missing data
10186644,phase asked additional information,2014-06-06 07:00:01,2670601,514,,phase asked additional information,0,phase asked additional information,phase asked additional information,receive additional information,1,receive additional information
10186644,retrieve missing data,2014-06-06 07:00:02,2670601,513,,retrieve missing data,0,retrieve missing data,retrieve missing data,retrieve missing data,0,retrieve missing data
10186644,phase additional information received,2014-06-12 07:00:30,560872,519,,phase additional information received,0,phase additional information receiv,phase additional information receiv,receive additional information,1,receive additional information
10186644,send confirmation receipt additional data,2014-06-12 07:00:32,560872,517,,send confirmation receipt additional data,0,send confirmation receipt additional data,send confirmation receipt additional data,send confirmation receip,1,send confirmation receip
10186644,ask stakeholders views,2014-06-20 07:00:01,2670601,526,,ask stakeholders views,0,ask stakeholders view,ask stakeholders view,ask stakeholders view,0,ask stakeholders view
10186644,by law,2014-06-20 07:00:02,2670601,529,,by law,0,by law,by law,by law,0,by law
10186644,coordination of application,2014-06-20 07:00:03,2670601,528,,coordination of application,0,coordination of application,coordination of application,coordination of application,0,coordination of application
10186644,create subcases content,2014-06-20 07:00:04,2670601,522,,create subcases content,0,create subcases conten,create subcases conten,treat subcases conten,1,treat subcases conten
10186644,creating environmental permit decision,2014-06-20 07:00:05,2670601,533,,creating environmental permit decision,0,creating environmental permit decision,creating environmental permit decision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
10186644,grounds for refusal,2014-06-20 07:00:07,2670601,525,,grounds for refusal,0,grounds for refusal,grounds for refusal,grounds for refusal,0,grounds for refusal
10186644,phase advice known,2014-06-20 07:00:08,2670601,534,,phase advice known,0,phase advice known,phase advice known,phase advice known,0,phase advice known
10186644,phase application receptive,2014-06-20 07:00:09,2670601,532,,phase application receptive,0,phase application receptiv,phase application receptiv,phase application receiv,1,phase application receiv
10186644,procedure change,2014-06-20 07:00:10,2670601,523,,procedure change,0,procedure chang,procedure chang,procedure chang,0,procedure chang
10186644,procedure change after completeness,2014-06-20 07:00:11,2670601,520,,procedure change after completeness,0,procedure change after completen,procedure change after completen,procedure change after completen,0,procedure change after completen
10186644,request complete,2014-06-20 07:00:12,2670601,531,,request complete,0,request compl,request compl,request compl,0,request compl
10186644,send letter in progress,2014-06-20 07:00:13,2670601,521,,send letter in progress,0,send letter in prog,send letter in prog,send letter in prog,0,send letter in prog
10186644,set decision status,2014-06-20 07:00:14,2670601,535,,set decision status,0,set decision statu,set decision statu,set decision statu,0,set decision statu
10186644,suspension ground applicable,2014-06-20 07:00:15,2670601,527,,suspension ground applicable,0,suspension ground applicabl,suspension ground applicabl,suspension ground applicabl,0,suspension ground applicabl
10186644,generating decision environmental permit,2014-06-23 07:00:03,2670601,537,,generating decision environmental permit,0,generating decision environmental perm,generating decision environmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
10186644,phase decision ready,2014-06-23 07:00:04,2670601,538,,phase decision ready,0,phase decision ready,phase decision ready,phase decision sen,1,phase decision sen
10186644,submit decision,2014-06-23 07:00:05,2670601,536,,submit decision,0,submit decision,submit decision,submit decision,0,submit decision
10186644,creating cover letter decision,2014-06-24 07:00:49,560912,540,,creating cover letter decision,0,creating cover letter decision,creating cover letter decision,creating cover letter decision,0,creating cover letter decision
10186644,enter senddate decision,2014-06-24 07:00:50,560912,542,,enter senddate decision,0,enter senddate decision,enter senddate decision,phase decision sen,1,phase decision sen
10186644,enter senddate decision environmental permit,2014-06-24 07:00:51,560912,544,,enter senddate decision environmental permit,0,enter senddate decision environmental perm,enter senddate decision environmental perm,enter senddate decision environmental perm,0,enter senddate decision environmental perm
10186644,phase decision sent,2014-06-24 07:00:52,560912,541,,phase decision sent,0,phase decision sen,phase decision sen,phase decision sen,0,phase decision sen
10186644,phase decision taken,2014-06-24 07:00:53,560912,545,,phase decision taken,0,phase decision taken,phase decision taken,phase decision sen,1,phase decision sen
10186644,register objection and appeal periods,2014-06-24 07:00:54,560912,539,,register objection and appeal periods,0,register objection and appeal p,register objection and appeal p,register objection and appeal p,0,register objection and appeal p
10186644,transcript decision environmental permit to stakeholders,2014-06-24 07:00:55,560912,543,,transcript decision environmental permit to stakeholders,0,transcript decision environmental permit to stakehol,transcript decision environmental permit to stakehol,transcript decision environmental permit to stakehol,0,transcript decision environmental permit to stakehol
10186644,enter senddate decision environmental permit,2014-06-26 07:00:13,560912,549,,enter senddate decision environmental permit,0,enter senddate decision environmental perm,enter senddate decision environmental perm,enter senddate decision environmental perm,0,enter senddate decision environmental perm
10186644,record date of decision environmental permit,2014-06-26 07:00:14,560912,548,,record date of decision environmental permit,0,record date of decision environmental perm,record date of decision environmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
10186644,set decision phase decision permitting decided,2014-06-26 07:00:15,560912,546,,set decision phase decision permitting decided,0,set decision phase decision permitting dec,set decision phase decision permitting dec,phase decision sen,1,phase decision sen
10186644,start decision phase decision permitting sent,2014-06-26 07:00:16,560912,547,,start decision phase decision permitting sent,0,start decision phase decision permitting sen,start decision phase decision permitting sen,phase decision sen,1,phase decision sen
10292508,register submission date request,2014-05-09 07:00:50,9264148,550,,register submission date request,0,register submission date requ,register submission date requ,register submission date requ,0,register submission date requ
10292508,create procedure confirmation,2014-05-12 07:00:01,560872,555,,create procedure confirmation,0,create procedure confirmation,create procedure confirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
10292508,create publication document,2014-05-12 07:00:02,560872,559,,create publication document,0,create publication documen,create publication documen,create publication documen,0,create publication documen
10292508,create subcases completeness,2014-05-12 07:00:03,560872,557,,create subcases completeness,0,create subcases completen,create subcases completen,treat subcases conten,1,treat subcases conten
10292508,forward to the competent authority,2014-05-12 07:00:04,9264148,553,,forward to the competent authority,0,forward to the competent authority,forward to the competent authority,forward to the competent authority,0,forward to the competent authority
10292508,phase application received,2014-05-12 07:00:05,9264148,563,,phase application received,0,phase application receiv,phase application receiv,phase application receiv,0,phase application receiv
10292508,procedure change,2014-05-12 07:00:06,560872,558,,procedure change,0,procedure chang,procedure chang,procedure chang,0,procedure chang
10292508,publish,2014-05-12 07:00:07,560872,556,,publish,0,publish,publish,publish,0,publish
10292508,registration date publication,2014-05-12 07:00:08,560872,562,,registration date publication,0,registration date publication,registration date publication,registration date publication,0,registration date publication
10292508,regular procedure without MER,2014-05-12 07:00:09,560872,554,,regular procedure without MER,0,regular procedure without MER,regular procedure without mer,regular procedure without MER,0,regular procedure without MER
10292508,send confirmation receipt,2014-05-12 07:00:10,9264148,552,,send confirmation receipt,0,send confirmation receip,send confirmation receip,send confirmation receip,0,send confirmation receip
10292508,send confirmation receipt,2014-05-12 07:00:11,9264148,560,,send confirmation receipt,0,send confirmation receip,send confirmation receip,send confirmation receip,0,send confirmation receip
10292508,create letter requesting missing data,2014-06-04 07:00:15,2670601,566,,create letter requesting missing data,0,create letter requesting missing data,create letter requesting missing data,create letter requesting missing data,0,create letter requesting missing data
10292508,phase asked additional information,2014-06-04 07:00:16,2670601,568,,phase asked additional information,0,phase asked additional information,phase asked additional information,receive additional information,1,receive additional information
10292508,request complete,2014-06-04 07:00:17,2670601,567,,request complete,0,request compl,request compl,request compl,0,request compl
10292508,retrieve missing data,2014-06-04 07:00:18,2670601,569,,retrieve missing data,0,retrieve missing data,retrieve missing data,retrieve missing data,0,retrieve missing data
10292508,term for supplying missing data,2014-06-04 07:00:19,2670601,565,,term for supplying missing data,0,term for supplying missing data,term for supplying missing data,term for supplying missing data,0,term for supplying missing data
10292508,create cover letter permanent suspension,2014-07-23 07:00:16,2670601,573,,create cover letter permanent suspension,0,create cover letter permanent suspension,create cover letter permanent suspension,create cover letter permanent suspension,0,create cover letter permanent suspension
10292508,creating decision permanently suspended,2014-07-23 07:00:17,2670601,577,,creating decision permanently suspended,0,creating decision permanently suspen,creating decision permanently suspen,keep permanently suspen,1,keep permanently suspen
10292508,decision date prior to decision,2014-07-23 07:00:18,2670601,572,,decision date prior to decision,0,decision date prior to decision,decision date prior to decision,decision date prior to decision,0,decision date prior to decision
10292508,decision keep permanently suspended,2014-07-23 07:00:19,2670601,581,,decision keep permanently suspended,0,decision keep permanently suspen,decision keep permanently suspen,keep permanently suspen,1,keep permanently suspen
10292508,enter senddate decision permanent suspension,2014-07-23 07:00:20,2670601,575,,enter senddate decision permanent suspension,0,enter senddate decision permanent suspension,enter senddate decision permanent suspension,phase decision sen,1,phase decision sen
10292508,keep permanently suspended,2014-07-23 07:00:21,2670601,571,,keep permanently suspended,0,keep permanently suspen,keep permanently suspen,keep permanently suspen,0,keep permanently suspen
10292508,phase permanently suspended,2014-07-23 07:00:22,2670601,579,,phase permanently suspended,0,phase permanently suspen,phase permanently suspen,keep permanently suspen,1,keep permanently suspen
10292508,receive additional information,2014-07-23 07:00:23,2670601,574,,receive additional information,0,receive additional information,receive additional information,receive additional information,0,receive additional information
10292508,set decision status,2014-07-23 07:00:24,2670601,578,,set decision status,0,set decision statu,set decision statu,set decision statu,0,set decision statu
10292508,start decision phase permanent suspension sent,2014-07-23 07:00:25,2670601,580,,start decision phase permanent suspension sent,0,start decision phase permanent suspension sen,start decision phase permanent suspension sen,phase decision sen,1,phase decision sen
10292508,start decision phase permanently suspended decided,2014-07-23 07:00:26,2670601,576,,start decision phase permanently suspended decided,0,start decision phase permanently suspended dec,start decision phase permanently suspended dec,phase decision sen,1,phase decision sen
10294414,register submission date request,2014-04-30 07:00:42,560872,584,,register submission date request,0,register submission date requ,register submission date requ,register submission date requ,0,register submission date requ
10294414,OLO messaging active,2014-05-12 07:00:13,560872,585,,OLO messaging active,0,OLO messaging activ,olo messaging activ,OLO messaging activ,0,OLO messaging activ
10294414,create procedure confirmation,2014-05-12 07:00:14,560872,589,,create procedure confirmation,0,create procedure confirmation,create procedure confirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
10294414,create publication document,2014-05-12 07:00:15,560872,593,,create publication document,0,create publication documen,create publication documen,create publication documen,0,create publication documen
10294414,create subcases completeness,2014-05-12 07:00:16,560872,591,,create subcases completeness,0,create subcases completen,create subcases completen,treat subcases conten,1,treat subcases conten
10294414,forward to the competent authority,2014-05-12 07:00:17,560872,587,,forward to the competent authority,0,forward to the competent authority,forward to the competent authority,forward to the competent authority,0,forward to the competent authority
10294414,phase application received,2014-05-12 07:00:18,560872,597,,phase application received,0,phase application receiv,phase application receiv,phase application receiv,0,phase application receiv
10294414,procedure change,2014-05-12 07:00:19,560872,592,,procedure change,0,procedure chang,procedure chang,procedure chang,0,procedure chang
10294414,publish,2014-05-12 07:00:20,560872,590,,publish,0,publish,publish,publish,0,publish
10294414,registration date publication,2014-05-12 07:00:21,560872,596,,registration date publication,0,registration date publication,registration date publication,registration date publication,0,registration date publication
10294414,regular procedure without MER,2014-05-12 07:00:22,560872,588,,regular procedure without MER,0,regular procedure without MER,regular procedure without mer,regular procedure without MER,0,regular procedure without MER
10294414,send confirmation receipt,2014-05-12 07:00:23,560872,586,,send confirmation receipt,0,send confirmation receip,send confirmation receip,send confirmation receip,0,send confirmation receip
10294414,start WABOprocedure,2014-05-12 07:00:25,560872,594,,start WABOprocedure,0,start WABOprocedu,start waboprocedu,start WABOprocedu,0,start WABOprocedu
10294414,article 34  WABO applies,2014-09-29 07:00:04,560890,602,,article 34  WABO applies,0,article 34  WABO appl,article 34 wabo appl,article 34  WABO appl,0,article 34  WABO appl
10294414,ask stakeholders views,2014-09-29 07:00:05,560890,604,,ask stakeholders views,0,ask stakeholders view,ask stakeholders view,ask stakeholders view,0,ask stakeholders view
10294414,by law,2014-09-29 07:00:06,560890,607,,by law,0,by law,by law,by law,0,by law
10294414,coordination of application,2014-09-29 07:00:07,560890,606,,coordination of application,0,coordination of application,coordination of application,coordination of application,0,coordination of application
10294414,create subcases content,2014-09-29 07:00:08,560890,600,,create subcases content,0,create subcases conten,create subcases conten,treat subcases conten,1,treat subcases conten
10294414,creating cover letter decision,2014-09-29 07:00:09,560890,610,,creating cover letter decision,0,creating cover letter decision,creating cover letter decision,creating cover letter decision,0,creating cover letter decision
10294414,creating environmental permit decision,2014-09-29 07:00:10,560890,624,,creating environmental permit decision,0,creating environmental permit decision,creating environmental permit decision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
10294414,decision date prior to decision,2014-09-29 07:00:11,560890,608,,decision date prior to decision,0,decision date prior to decision,decision date prior to decision,decision date prior to decision,0,decision date prior to decision
10294414,enter senddate decision,2014-09-29 07:00:12,560890,622,,enter senddate decision,0,enter senddate decision,enter senddate decision,phase decision sen,1,phase decision sen
10294414,enter senddate decision environmental permit,2014-09-29 07:00:13,560890,615,,enter senddate decision environmental permit,0,enter senddate decision environmental perm,enter senddate decision environmental perm,enter senddate decision environmental perm,0,enter senddate decision environmental perm
10294414,enter senddate decision environmental permit,2014-09-29 07:00:14,560890,619,,enter senddate decision environmental permit,0,enter senddate decision environmental perm,enter senddate decision environmental perm,enter senddate decision environmental perm,0,enter senddate decision environmental perm
10294414,generating decision environmental permit,2014-09-29 07:00:15,560890,618,,generating decision environmental permit,0,generating decision environmental perm,generating decision environmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
10294414,grounds for refusal,2014-09-29 07:00:16,560890,603,,grounds for refusal,0,grounds for refusal,grounds for refusal,grounds for refusal,0,grounds for refusal
10294414,phase advice known,2014-09-29 07:00:17,560890,617,,phase advice known,0,phase advice known,phase advice known,phase advice known,0,phase advice known
10294414,phase application receptive,2014-09-29 07:00:18,560890,612,,phase application receptive,0,phase application receptiv,phase application receptiv,phase application receiv,1,phase application receiv
10294414,phase decision sent,2014-09-29 07:00:19,560890,613,,phase decision sent,0,phase decision sen,phase decision sen,phase decision sen,0,phase decision sen
10294414,phase decision taken,2014-09-29 07:00:20,560890,620,,phase decision taken,0,phase decision taken,phase decision taken,phase decision sen,1,phase decision sen
10294414,procedure change,2014-09-29 07:00:21,560890,601,,procedure change,0,procedure chang,procedure chang,procedure chang,0,procedure chang
10294414,register objection and appeal periods,2014-09-29 07:00:22,560890,609,,register objection and appeal periods,0,register objection and appeal p,register objection and appeal p,register objection and appeal p,0,register objection and appeal p
10294414,request complete,2014-09-29 07:00:23,560890,611,,request complete,0,request compl,request compl,request compl,0,request compl
10294414,send letter in progress,2014-09-29 07:00:24,560890,599,,send letter in progress,0,send letter in prog,send letter in prog,send letter in prog,0,send letter in prog
10294414,set decision phase decision permitting decided,2014-09-29 07:00:25,560890,614,,set decision phase decision permitting decided,0,set decision phase decision permitting dec,set decision phase decision permitting dec,phase decision sen,1,phase decision sen
10294414,set decision status,2014-09-29 07:00:26,560890,616,,set decision status,0,set decision statu,set decision statu,set decision statu,0,set decision statu
10294414,start decision phase decision permitting sent,2014-09-29 07:00:27,560890,623,,start decision phase decision permitting sent,0,start decision phase decision permitting sen,start decision phase decision permitting sen,phase decision sen,1,phase decision sen
10294414,suspension ground applicable,2014-09-29 07:00:28,560890,605,,suspension ground applicable,0,suspension ground applicabl,suspension ground applicabl,suspension ground applicabl,0,suspension ground applicabl
10294414,transcript decision environmental permit to stakeholders,2014-09-29 07:00:29,560890,621,,transcript decision environmental permit to stakeholders,0,transcript decision environmental permit to stakehol,transcript decision environmental permit to stakehol,transcript decision environmental permit to stakehol,0,transcript decision environmental permit to stakehol
10294414,set phase: phase permitting irrevocable,2014-11-28 08:00:01,560872,627,,set phase: phase permitting irrevocable,0,set phase: phase permitting irrevocabl,set phase phase permitting irrevocabl,set phase: phase permitting irrevocabl,0,set phase: phase permitting irrevocabl
10294414,objection lodged against decision,2015-01-12 08:00:01,560872,628,,objection lodged against decision,0,objection lodged against decision,objection lodged against decision,objection lodged against decision,0,objection lodged against decision
10294414,phase archived case,2015-01-12 08:00:02,560872,634,,phase archived case,0,phase archived ca,phase archived ca,phase archived ca,0,phase archived ca
10294414,phase case handled,2015-01-12 08:00:03,560872,629,,phase case handled,0,phase case handl,phase case handl,phase case handl,0,phase case handl
10294414,phase decision irrevocable,2015-01-12 08:00:04,560872,630,,phase decision irrevocable,0,phase decision irrevocabl,phase decision irrevocabl,phase decision irrevocabl,0,phase decision irrevocabl
10294414,read publication date field,2015-01-12 08:00:05,560872,631,,read publication date field,0,read publication date fiel,read publication date fiel,read publication date fiel,0,read publication date fiel
10294414,read publication date field,2015-01-12 08:00:06,560872,635,,read publication date field,0,read publication date fiel,read publication date fiel,read publication date fiel,0,read publication date fiel
10294414,stop all running subcases 2b,2015-01-12 08:00:07,560872,632,,stop all running subcases 2b,0,stop all running subcases 2b,stop all running subcases 2b,stop all running subcases 2b,0,stop all running subcases 2b
10295206,OLO messaging active,2014-05-12 07:00:26,9264148,637,,OLO messaging active,0,OLO messaging activ,olo messaging activ,OLO messaging activ,0,OLO messaging activ
10295206,create procedure confirmation,2014-05-12 07:00:27,560872,641,,create procedure confirmation,0,create procedure confirmation,create procedure confirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
10295206,create publication document,2014-05-12 07:00:28,560872,645,,create publication document,0,create publication documen,create publication documen,create publication documen,0,create publication documen
10295206,create subcases completeness,2014-05-12 07:00:29,560872,643,,create subcases completeness,0,create subcases completen,create subcases completen,treat subcases conten,1,treat subcases conten
10295206,forward to the competent authority,2014-05-12 07:00:30,9264148,639,,forward to the competent authority,0,forward to the competent authority,forward to the competent authority,forward to the competent authority,0,forward to the competent authority
10295206,phase application received,2014-05-12 07:00:31,9264148,647,,phase application received,0,phase application receiv,phase application receiv,phase application receiv,0,phase application receiv
10295206,procedure change,2014-05-12 07:00:32,560872,644,,procedure change,0,procedure chang,procedure chang,procedure chang,0,procedure chang
10295206,publish,2014-05-12 07:00:33,560872,642,,publish,0,publish,publish,publish,0,publish
10295206,registration date publication,2014-05-12 07:00:34,560872,648,,registration date publication,0,registration date publication,registration date publication,registration date publication,0,registration date publication
10295206,regular procedure without MER,2014-05-12 07:00:35,560872,640,,regular procedure without MER,0,regular procedure without MER,regular procedure without mer,regular procedure without MER,0,regular procedure without MER
10295206,send confirmation receipt,2014-05-12 07:00:36,9264148,638,,send confirmation receipt,0,send confirmation receip,send confirmation receip,send confirmation receip,0,send confirmation receip
10295206,start WABOprocedure,2014-05-12 07:00:37,560872,646,,start WABOprocedure,0,start WABOprocedu,start waboprocedu,start WABOprocedu,0,start WABOprocedu
10295206,article 34  WABO applies,2014-05-15 07:00:51,560872,652,,article 34  WABO applies,0,article 34  WABO appl,article 34 wabo appl,article 34  WABO appl,0,article 34  WABO appl
10295206,ask stakeholders views,2014-05-15 07:00:52,560872,654,,ask stakeholders views,0,ask stakeholders view,ask stakeholders view,ask stakeholders view,0,ask stakeholders view
10295206,by law,2014-05-15 07:00:53,560872,657,,by law,0,by law,by law,by law,0,by law
10295206,coordination of application,2014-05-15 07:00:54,560872,656,,coordination of application,0,coordination of application,coordination of application,coordination of application,0,coordination of application
10295206,create subcases content,2014-05-15 07:00:55,560872,650,,create subcases content,0,create subcases conten,create subcases conten,treat subcases conten,1,treat subcases conten
10295206,creating environmental permit decision,2014-05-15 07:00:57,560872,670,,creating environmental permit decision,0,creating environmental permit decision,creating environmental permit decision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
10295206,decision date prior to decision,2014-05-15 07:00:58,560872,658,,decision date prior to decision,0,decision date prior to decision,decision date prior to decision,decision date prior to decision,0,decision date prior to decision
10295206,enter senddate decision,2014-05-15 07:00:59,560872,663,,enter senddate decision,0,enter senddate decision,enter senddate decision,phase decision sen,1,phase decision sen
10295206,generating decision environmental permit,2014-05-15 07:01:01,560872,671,,generating decision environmental permit,0,generating decision environmental perm,generating decision environmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
10295206,grounds for refusal,2014-05-15 07:01:02,560872,653,,grounds for refusal,0,grounds for refusal,grounds for refusal,grounds for refusal,0,grounds for refusal
10295206,phase advice known,2014-05-15 07:01:03,560872,669,,phase advice known,0,phase advice known,phase advice known,phase advice known,0,phase advice known
10295206,phase decision ready,2014-05-15 07:01:05,560872,665,,phase decision ready,0,phase decision ready,phase decision ready,phase decision sen,1,phase decision sen
