Case,Timestamp,Resource,Activity,Activity_fixed,ishomonymous,label
1353,2023-12-15 20:44:42,,review request received,review request received,0,
1353,2023-12-15 20:44:52,Clerk-000004,Check for completeness,Check for completeness,0,
1353,2023-12-15 20:49:14,Clerk-000006,Perform checks,Perform checks,0,
1353,2023-12-15 20:55:46,Manager-000001,Make decision,Make decision,0,
1353,2023-12-15 21:28:45,Manager-000005,Notify accept,Notify accept,0,
1353,2023-12-15 21:31:16,Manager-000003,Deliver card,Deliver card,0,
1353,2023-12-15 21:33:57,,EVENT 13 END,EVENT 13 END,0,
1354,2023-12-15 21:45:34,Clerk-000001,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1354,2023-12-15 21:45:34,,New online application received,New online application received,0,
1354,2023-12-15 22:05:04,Clerk-000002,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1354,2023-12-15 22:17:29,Manager-000006,Make decision,Make decision,0,
1354,2023-12-15 22:28:15,Manager-000004,notify reject,notify reject,0,
1354,2023-12-15 22:29:23,,time out,time out,0,
1354,2023-12-15 22:29:33,,EVENT 13 END,EVENT 13 END,0,
1355,2023-12-15 23:31:25,Clerk-000003,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1355,2023-12-15 23:31:25,,New online application received,New online application received,0,
1355,2023-12-15 23:41:22,Clerk-000005,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1355,2023-12-15 23:58:56,Manager-000002,Make decision,Make decision,0,
1355,2023-12-16 00:02:10,Manager-000001,Notify accept,Notify accept,0,
1355,2023-12-16 00:40:04,Manager-000003,Deliver card,Deliver card,0,
1355,2023-12-16 00:45:04,,EVENT 13 END,EVENT 13 END,0,
1356,2023-12-16 00:34:41,Clerk-000004,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1356,2023-12-16 00:34:41,,New online application received,New online application received,0,
1356,2023-12-16 00:37:14,Manager-000005,Request info,Request info,0,
1356,2023-12-16 00:49:45,,info received,info received,0,
1356,2023-12-16 00:49:55,Clerk-000006,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1356,2023-12-16 00:53:07,Clerk-000001,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1356,2023-12-18 01:07:11,Manager-000006,Make decision,Make decision,0,
1356,2023-12-18 01:19:02,Manager-000004,notify reject,notify reject,0,
1356,2023-12-18 01:19:30,,review request received,review request received,0,
1356,2023-12-18 01:19:40,Clerk-000002,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1356,2023-12-18 01:37:57,Clerk-000005,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1356,2023-12-18 01:55:34,Manager-000003,Make decision,Make decision,0,
1356,2023-12-18 01:55:52,Manager-000005,notify reject,notify reject,0,
1356,2023-12-18 02:01:20,,time out,time out,0,
1356,2023-12-18 02:01:30,,EVENT 13 END,EVENT 13 END,0,
1357,2023-12-18 01:22:43,Clerk-000003,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1357,2023-12-18 01:22:43,,New online application received,New online application received,0,
1357,2023-12-18 01:26:30,Manager-000002,Request info,Request info,0,
1357,2023-12-18 01:41:58,,info received,info received,0,
1357,2023-12-18 01:42:08,Clerk-000004,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1357,2023-12-18 01:47:48,Clerk-000006,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1357,2023-12-18 01:53:34,Manager-000001,Make decision,Make decision,0,
1357,2023-12-18 01:56:53,Manager-000006,Notify accept,Notify accept,0,
1357,2023-12-18 02:00:37,Manager-000004,Deliver card,Deliver card,0,
1357,2023-12-18 02:50:49,,EVENT 13 END,EVENT 13 END,0,
1358,2023-12-18 02:01:33,Clerk-000001,Check for completeness,Check for completeness,0,
1358,2023-12-18 02:01:33,,New online application received,New online application received,0,
1358,2023-12-18 02:09:24,Manager-000002,Request info,Request info,0,
1358,2023-12-18 02:13:12,,info received,info received,0,
1358,2023-12-18 02:13:22,Clerk-000003,Check for completeness,Check for completeness,0,
1358,2023-12-18 02:28:48,Manager-000003,Request info,Request info,0,
1358,2023-12-18 02:29:50,,info received,info received,0,
1358,2023-12-18 02:30:00,Clerk-000002,Check for completeness,Check for completeness,0,
1358,2023-12-18 02:33:39,Clerk-000004,Perform checks,Perform checks,0,
1358,2023-12-18 02:34:03,Manager-000001,Make decision,Make decision,0,
1358,2023-12-18 02:36:35,Manager-000006,notify reject,notify reject,0,
1358,2023-12-18 02:44:21,,time out,time out,0,
1358,2023-12-18 02:44:31,,EVENT 13 END,EVENT 13 END,0,
1359,2023-12-18 02:49:33,Clerk-000006,Check for completeness,Check for completeness,0,
1359,2023-12-18 02:49:33,,New online application received,New online application received,0,
1359,2023-12-18 02:52:30,Manager-000005,Request info,Request info,0,
1359,2023-12-18 03:08:46,,info received,info received,0,
1359,2023-12-18 03:08:56,Clerk-000001,Check for completeness,Check for completeness,0,
1359,2023-12-18 03:13:58,Clerk-000002,Perform checks,Perform checks,0,
1359,2023-12-18 03:35:40,Manager-000001,Make decision,Make decision,0,
1359,2023-12-18 03:35:59,Manager-000006,notify reject,notify reject,0,
1359,2023-12-18 03:50:28,,time out,time out,0,
1359,2023-12-18 03:50:38,,EVENT 13 END,EVENT 13 END,0,
1360,2023-12-18 02:55:26,Clerk-000005,Check for completeness,Check for completeness,0,
1360,2023-12-18 02:55:26,,New online application received,New online application received,0,
1360,2023-12-18 03:22:10,Manager-000003,Request info,Request info,0,
1360,2023-12-18 03:34:14,,info received,info received,0,
1360,2023-12-18 03:34:24,Clerk-000006,Check for completeness,Check for completeness,0,
1360,2023-12-18 03:34:44,Clerk-000003,Perform checks,Perform checks,0,
1360,2023-12-18 03:44:55,Manager-000005,Make decision,Make decision,0,
1360,2023-12-18 03:55:26,Manager-000003,notify reject,notify reject,0,
1360,2023-12-18 04:08:52,,review request received,review request received,0,
1360,2023-12-18 04:09:02,Clerk-000005,Check for completeness,Check for completeness,0,
1360,2023-12-18 04:12:08,Clerk-000006,Perform checks,Perform checks,0,
1360,2023-12-18 04:14:53,Manager-000001,Make decision,Make decision,0,
1360,2023-12-18 04:15:21,Manager-000006,notify reject,notify reject,0,
1360,2023-12-18 04:16:22,,review request received,review request received,0,
1360,2023-12-18 04:16:32,Clerk-000002,Check for completeness,Check for completeness,0,
1360,2023-12-18 04:19:33,Manager-000005,Request info,Request info,0,
1360,2023-12-18 04:21:29,,info received,info received,0,
1360,2023-12-18 04:21:39,Clerk-000003,Check for completeness,Check for completeness,0,
1360,2023-12-18 04:41:49,Clerk-000005,Perform checks,Perform checks,0,
1360,2023-12-18 04:53:33,Manager-000003,Make decision,Make decision,0,
1360,2023-12-18 05:17:53,Manager-000001,notify reject,notify reject,0,
1360,2023-12-18 05:18:55,,review request received,review request received,0,
1360,2023-12-18 05:19:05,Clerk-000006,Check for completeness,Check for completeness,0,
1360,2023-12-18 05:22:32,Clerk-000004,Perform checks,Perform checks,0,
1360,2023-12-18 05:33:10,Manager-000005,Make decision,Make decision,0,
1360,2023-12-18 05:38:23,Manager-000004,Notify accept,Notify accept,0,
1360,2023-12-18 05:39:11,Manager-000002,Deliver card,Deliver card,0,
1360,2023-12-18 05:50:55,,EVENT 13 END,EVENT 13 END,0,
1361,2023-12-18 03:09:51,Clerk-000003,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1361,2023-12-18 03:09:51,,New online application received,New online application received,0,
1361,2023-12-18 03:10:55,Manager-000002,Request info,Request info,0,
1361,2023-12-18 03:29:05,,info received,info received,0,
1361,2023-12-18 03:29:15,Clerk-000004,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1361,2023-12-18 03:35:12,Clerk-000001,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1361,2023-12-18 03:41:02,Manager-000004,Make decision,Make decision,0,
1361,2023-12-18 03:54:51,Manager-000002,notify reject,notify reject,0,
1361,2023-12-18 03:56:54,,time out,time out,0,
1361,2023-12-18 03:57:04,,EVENT 13 END,EVENT 13 END,0,
1362,2023-12-18 04:15:09,Clerk-000004,Check for completeness,Check for completeness,0,
1362,2023-12-18 04:15:09,,New online application received,New online application received,0,
1362,2023-12-18 04:18:29,Clerk-000001,Perform checks,Perform checks,0,
1362,2023-12-18 04:19:16,Manager-000004,Make decision,Make decision,0,
1362,2023-12-18 04:23:26,Manager-000002,notify reject,notify reject,0,
1362,2023-12-18 04:27:07,,time out,time out,0,
1362,2023-12-18 04:27:17,,EVENT 13 END,EVENT 13 END,0,
1363,2023-12-18 05:24:42,Clerk-000001,Check for completeness,Check for completeness,0,
1363,2023-12-18 05:24:42,,New online application received,New online application received,0,
1363,2023-12-18 05:32:18,Manager-000006,Request info,Request info,0,
1363,2023-12-18 05:53:05,,info received,info received,0,
1363,2023-12-18 05:53:15,Clerk-000003,Check for completeness,Check for completeness,0,
1363,2023-12-18 06:04:36,Manager-000001,Request info,Request info,0,
1363,2023-12-18 06:33:42,,info received,info received,0,
1363,2023-12-18 06:33:52,Clerk-000002,Check for completeness,Check for completeness,0,
1363,2023-12-18 06:35:32,Manager-000005,Request info,Request info,0,
1363,2023-12-18 07:03:41,,info received,info received,0,
1363,2023-12-18 07:03:51,Clerk-000006,Check for completeness,Check for completeness,0,
1363,2023-12-18 07:09:37,Clerk-000003,Perform checks,Perform checks,0,
1363,2023-12-18 07:20:09,Manager-000002,Make decision,Make decision,0,
1363,2023-12-18 07:29:47,Manager-000005,notify reject,notify reject,0,
1363,2023-12-18 07:41:28,,time out,time out,0,
1363,2023-12-18 07:41:38,,EVENT 13 END,EVENT 13 END,0,
1364,2023-12-18 05:41:19,Clerk-000002,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1364,2023-12-18 05:41:19,,New online application received,New online application received,0,
1364,2023-12-18 05:52:06,Manager-000003,Request info,Request info,0,
1364,2023-12-18 06:01:27,,info received,info received,0,
1364,2023-12-18 06:01:37,Clerk-000005,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1364,2023-12-18 06:04:54,Clerk-000004,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1364,2023-12-18 06:14:20,Manager-000004,Make decision,Make decision,0,
1364,2023-12-18 06:18:50,Manager-000006,Notify accept,Notify accept,0,
1364,2023-12-18 06:36:41,Manager-000004,Deliver card,Deliver card,0,
1364,2023-12-18 07:33:47,,EVENT 13 END,EVENT 13 END,0,
1365,2023-12-18 06:02:20,Clerk-000006,Check for completeness,Check for completeness,0,
1365,2023-12-18 06:02:20,,New online application received,New online application received,0,
1365,2023-12-18 06:03:07,Clerk-000001,Perform checks,Perform checks,0,
1365,2023-12-18 06:09:30,Manager-000005,Make decision,Make decision,0,
1365,2023-12-18 06:14:59,Manager-000002,Notify accept,Notify accept,0,
1365,2023-12-18 06:24:17,Manager-000003,Deliver card,Deliver card,0,
1365,2023-12-18 06:47:21,,EVENT 13 END,EVENT 13 END,0,
1366,2023-12-18 07:17:10,Clerk-000005,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1366,2023-12-18 07:17:10,,New online application received,New online application received,0,
1366,2023-12-18 07:19:52,Clerk-000001,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1366,2023-12-18 07:25:34,Manager-000001,Make decision,Make decision,0,
1366,2023-12-18 07:27:31,Manager-000006,Notify accept,Notify accept,0,
1366,2023-12-18 07:29:31,Manager-000003,Deliver card,Deliver card,0,
1366,2023-12-18 07:39:50,,EVENT 13 END,EVENT 13 END,0,
1367,2023-12-18 08:05:30,Clerk-000004,Check for completeness,Check for completeness,0,
1367,2023-12-18 08:05:30,,New online application received,New online application received,0,
1367,2023-12-18 08:08:09,Manager-000001,Request info,Request info,0,
1367,2023-12-18 08:15:21,,info received,info received,0,
1367,2023-12-18 08:15:31,Clerk-000002,Check for completeness,Check for completeness,0,
1367,2023-12-18 08:29:54,Clerk-000003,Perform checks,Perform checks,0,
1367,2023-12-18 08:40:39,Manager-000002,Make decision,Make decision,0,
1367,2023-12-18 08:43:54,Manager-000004,Notify accept,Notify accept,0,
1367,2023-12-18 08:51:32,Manager-000005,Deliver card,Deliver card,0,
1367,2023-12-18 09:07:53,,EVENT 13 END,EVENT 13 END,0,
1368,2023-12-18 08:19:44,Clerk-000006,Check for completeness,Check for completeness,0,
1368,2023-12-18 08:19:44,,New online application received,New online application received,0,
1368,2023-12-18 08:26:35,Clerk-000005,Perform checks,Perform checks,0,
1368,2023-12-18 08:40:01,Manager-000006,Make decision,Make decision,0,
1368,2023-12-18 08:50:34,Manager-000003,notify reject,notify reject,0,
1368,2023-12-18 09:04:45,,review request received,review request received,0,
1368,2023-12-18 09:04:55,Clerk-000001,Check for completeness,Check for completeness,0,
1368,2023-12-18 09:19:32,Manager-000001,Request info,Request info,0,
1368,2023-12-18 09:23:37,,info received,info received,0,
1368,2023-12-18 09:23:47,Clerk-000004,Check for completeness,Check for completeness,0,
1368,2023-12-18 09:30:57,Manager-000002,Request info,Request info,0,
1368,2023-12-18 09:53:26,,info received,info received,0,
1368,2023-12-18 09:53:36,Clerk-000006,Check for completeness,Check for completeness,0,
1368,2023-12-18 10:08:00,Clerk-000002,Perform checks,Perform checks,0,
1368,2023-12-18 10:15:52,Manager-000006,Make decision,Make decision,0,
1368,2023-12-18 10:15:53,Manager-000004,notify reject,notify reject,0,
1368,2023-12-18 10:32:40,,review request received,review request received,0,
1368,2023-12-18 10:32:50,Clerk-000005,Check for completeness,Check for completeness,0,
1368,2023-12-18 10:35:49,Clerk-000003,Perform checks,Perform checks,0,
1368,2023-12-18 10:35:51,Manager-000003,Make decision,Make decision,0,
1368,2023-12-18 10:43:03,Manager-000005,Notify accept,Notify accept,0,
1368,2023-12-18 10:44:41,Manager-000001,Deliver card,Deliver card,0,
1368,2023-12-18 11:00:40,,EVENT 13 END,EVENT 13 END,0,
1369,2023-12-18 11:17:00,Clerk-000001,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1369,2023-12-18 11:17:00,,New online application received,New online application received,0,
1369,2023-12-18 11:19:42,Clerk-000004,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1369,2023-12-18 11:28:50,Manager-000002,Make decision,Make decision,0,
1369,2023-12-18 11:33:04,Manager-000006,Notify accept,Notify accept,0,
1369,2023-12-18 11:46:54,Manager-000004,Deliver card,Deliver card,0,
1369,2023-12-18 11:53:17,,EVENT 13 END,EVENT 13 END,0,
1370,2023-12-18 12:56:31,Clerk-000006,Check for completeness,Check for completeness,0,
1370,2023-12-18 12:56:31,,New online application received,New online application received,0,
1370,2023-12-18 13:09:45,Manager-000003,Request info,Request info,0,
1370,2023-12-18 13:13:42,,info received,info received,0,
1370,2023-12-18 13:13:52,Clerk-000002,Check for completeness,Check for completeness,0,
1370,2023-12-18 13:14:57,Clerk-000005,Perform checks,Perform checks,0,
1370,2023-12-18 13:21:35,Manager-000005,Make decision,Make decision,0,
1370,2023-12-18 13:23:14,Manager-000001,Notify accept,Notify accept,0,
1370,2023-12-18 13:24:27,Manager-000002,Deliver card,Deliver card,0,
1370,2023-12-18 13:35:53,,EVENT 13 END,EVENT 13 END,0,
1371,2023-12-18 17:20:54,Clerk-000003,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1371,2023-12-18 17:20:54,,New online application received,New online application received,0,
1371,2023-12-18 17:23:07,Clerk-000001,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1371,2023-12-18 17:37:42,Manager-000006,Make decision,Make decision,0,
1371,2023-12-18 17:48:16,Manager-000005,Notify accept,Notify accept,0,
1371,2023-12-18 18:09:25,Manager-000004,Deliver card,Deliver card,0,
1371,2023-12-18 18:24:01,,EVENT 13 END,EVENT 13 END,0,
1372,2023-12-18 17:34:19,Clerk-000004,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1372,2023-12-18 17:34:19,,New online application received,New online application received,0,
1372,2023-12-18 17:39:52,Manager-000004,Request info,Request info,0,
1372,2023-12-18 17:40:13,,info received,info received,0,
1372,2023-12-18 17:40:23,Clerk-000006,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1372,2023-12-18 17:43:36,Clerk-000002,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1372,2023-12-18 17:48:00,Manager-000003,Make decision,Make decision,0,
1372,2023-12-18 17:50:33,Manager-000001,Notify accept,Notify accept,0,
1372,2023-12-18 18:04:42,Manager-000002,Deliver card,Deliver card,0,
1372,2023-12-18 18:15:00,,EVENT 13 END,EVENT 13 END,0,
1373,2023-12-18 18:25:48,Clerk-000005,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1373,2023-12-18 18:25:48,,New online application received,New online application received,0,
1373,2023-12-18 18:37:02,Manager-000006,Request info,Request info,0,
1373,2023-12-18 18:56:29,,info received,info received,0,
1373,2023-12-18 18:56:39,Clerk-000003,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1373,2023-12-18 19:04:11,Manager-000003,Request info,Request info,0,
1373,2023-12-18 19:26:23,,info received,info received,0,
1373,2023-12-18 19:26:33,Clerk-000001,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1373,2023-12-18 19:27:15,Manager-000001,Request info,Request info,0,
1373,2023-12-18 19:36:53,,info received,info received,0,
1373,2023-12-18 19:37:03,Clerk-000002,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1373,2023-12-18 19:52:12,Manager-000004,Request info,Request info,0,
1373,2023-12-18 20:05:18,,info received,info received,0,
1373,2023-12-18 20:05:28,Clerk-000001,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1373,2023-12-18 20:07:35,Clerk-000004,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1373,2023-12-18 20:09:26,Manager-000003,Make decision,Make decision,0,
1373,2023-12-18 20:22:43,Manager-000005,notify reject,notify reject,0,
1373,2023-12-18 20:28:13,,review request received,review request received,0,
1373,2023-12-18 20:28:23,Clerk-000006,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1373,2023-12-18 20:32:33,Clerk-000002,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1373,2023-12-18 20:33:59,Manager-000002,Make decision,Make decision,0,
1373,2023-12-18 20:34:55,Manager-000004,Notify accept,Notify accept,0,
1373,2023-12-18 21:02:56,Manager-000006,Deliver card,Deliver card,0,
1373,2023-12-18 21:03:59,,EVENT 13 END,EVENT 13 END,0,
1374,2023-12-18 19:28:38,Clerk-000004,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1374,2023-12-18 19:28:38,,New online application received,New online application received,0,
1374,2023-12-18 19:29:50,Clerk-000006,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1374,2023-12-18 19:47:36,Manager-000005,Make decision,Make decision,0,
1374,2023-12-18 19:52:05,Manager-000002,notify reject,notify reject,0,
1374,2023-12-18 19:56:50,,review request received,review request received,0,
1374,2023-12-18 19:57:00,Clerk-000005,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1374,2023-12-18 20:04:32,Clerk-000003,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1374,2023-12-18 20:05:31,Manager-000006,Make decision,Make decision,0,
1374,2023-12-18 20:13:29,Manager-000001,notify reject,notify reject,0,
1374,2023-12-18 20:16:27,,time out,time out,0,
1374,2023-12-18 20:16:37,,EVENT 13 END,EVENT 13 END,0,
1375,2023-12-18 22:17:34,Clerk-000005,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1375,2023-12-18 22:17:34,,New online application received,New online application received,0,
1375,2023-12-18 22:29:03,Manager-000001,Request info,Request info,0,
1375,2023-12-18 22:33:58,,info received,info received,0,
1375,2023-12-18 22:34:08,Clerk-000003,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1375,2023-12-18 22:44:26,Clerk-000001,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1375,2023-12-18 23:05:09,Manager-000003,Make decision,Make decision,0,
1375,2023-12-18 23:09:28,Manager-000005,Notify accept,Notify accept,0,
1375,2023-12-18 23:10:49,Manager-000002,Deliver card,Deliver card,0,
1375,2023-12-18 23:18:31,,EVENT 13 END,EVENT 13 END,0,
1376,2023-12-18 23:45:33,Clerk-000004,Check for completeness,Check for completeness,0,
1376,2023-12-18 23:45:33,,New online application received,New online application received,0,
1376,2023-12-18 23:54:45,Manager-000004,Request info,Request info,0,
1376,2023-12-19 00:17:13,,info received,info received,0,
1376,2023-12-19 00:17:23,Clerk-000006,Check for completeness,Check for completeness,0,
1376,2023-12-19 00:20:36,Clerk-000002,Perform checks,Perform checks,0,
1376,2023-12-19 00:35:11,Manager-000006,Make decision,Make decision,0,
1376,2023-12-19 00:45:58,Manager-000001,Notify accept,Notify accept,0,
1376,2023-12-19 00:51:04,Manager-000003,Deliver card,Deliver card,0,
1376,2023-12-19 01:08:43,,EVENT 13 END,EVENT 13 END,0,
1377,2023-12-19 00:25:34,Clerk-000005,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1377,2023-12-19 00:25:34,,New online application received,New online application received,0,
1377,2023-12-19 00:52:25,Clerk-000003,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1377,2023-12-19 00:55:41,Manager-000005,Make decision,Make decision,0,
1377,2023-12-19 01:02:29,Manager-000002,Notify accept,Notify accept,0,
1377,2023-12-19 01:03:29,Manager-000004,Deliver card,Deliver card,0,
1377,2023-12-19 01:08:27,,EVENT 13 END,EVENT 13 END,0,
1378,2023-12-19 01:11:46,Clerk-000001,Check for completeness,Check for completeness,0,
1378,2023-12-19 01:11:46,,New online application received,New online application received,0,
1378,2023-12-19 01:22:49,Clerk-000004,Perform checks,Perform checks,0,
1378,2023-12-19 01:33:08,Manager-000001,Make decision,Make decision,0,
1378,2023-12-19 01:42:30,Manager-000005,notify reject,notify reject,0,
1378,2023-12-19 01:52:51,,review request received,review request received,0,
1378,2023-12-19 01:53:01,Clerk-000005,Check for completeness,Check for completeness,0,
1378,2023-12-19 01:59:41,Manager-000002,Request info,Request info,0,
1378,2023-12-19 02:01:53,,info received,info received,0,
1378,2023-12-19 02:02:03,Clerk-000003,Check for completeness,Check for completeness,0,
1378,2023-12-19 02:03:19,Clerk-000001,Perform checks,Perform checks,0,
1378,2023-12-19 02:14:50,Manager-000004,Make decision,Make decision,0,
1378,2023-12-19 02:15:57,Manager-000003,notify reject,notify reject,0,
1378,2023-12-19 02:21:21,,review request received,review request received,0,
1378,2023-12-19 02:21:31,Clerk-000004,Check for completeness,Check for completeness,0,
1378,2023-12-19 02:27:03,Manager-000005,Request info,Request info,0,
1378,2023-12-19 02:41:01,,info received,info received,0,
1378,2023-12-19 02:41:11,Clerk-000005,Check for completeness,Check for completeness,0,
1378,2023-12-19 02:42:12,Manager-000002,Request info,Request info,0,
1378,2023-12-19 02:50:28,,info received,info received,0,
1378,2023-12-19 02:50:38,Clerk-000003,Check for completeness,Check for completeness,0,
1378,2023-12-19 02:51:28,Manager-000004,Request info,Request info,0,
1378,2023-12-19 03:01:11,,info received,info received,0,
1378,2023-12-19 03:01:21,Clerk-000002,Check for completeness,Check for completeness,0,
1378,2023-12-19 03:04:02,Manager-000003,Request info,Request info,0,
1378,2023-12-19 03:09:33,,info received,info received,0,
1378,2023-12-19 03:09:43,Clerk-000001,Check for completeness,Check for completeness,0,
1378,2023-12-19 03:12:40,Manager-000005,Request info,Request info,0,
1378,2023-12-19 03:45:48,,info received,info received,0,
1378,2023-12-19 03:45:58,Clerk-000005,Check for completeness,Check for completeness,0,
1378,2023-12-19 03:48:38,Manager-000004,Request info,Request info,0,
1378,2023-12-19 03:48:46,,info received,info received,0,
1378,2023-12-19 03:48:56,Clerk-000003,Check for completeness,Check for completeness,0,
1378,2023-12-19 04:00:19,Clerk-000006,Perform checks,Perform checks,0,
1378,2023-12-19 04:08:07,Manager-000006,Make decision,Make decision,0,
1378,2023-12-19 04:23:54,Manager-000004,Notify accept,Notify accept,0,
1378,2023-12-19 04:25:00,Manager-000001,Deliver card,Deliver card,0,
1378,2023-12-19 04:32:03,,EVENT 13 END,EVENT 13 END,0,
1379,2023-12-19 01:26:32,Clerk-000006,Check for completeness,Check for completeness,0,
1379,2023-12-19 01:26:32,,New online application received,New online application received,0,
1379,2023-12-19 01:27:03,Manager-000006,Request info,Request info,0,
1379,2023-12-19 01:41:18,,info received,info received,0,
1379,2023-12-19 01:41:28,Clerk-000002,Check for completeness,Check for completeness,0,
1379,2023-12-19 02:12:59,Clerk-000006,Perform checks,Perform checks,0,
1379,2023-12-19 02:16:49,Manager-000006,Make decision,Make decision,0,
1379,2023-12-19 02:16:57,Manager-000001,Notify accept,Notify accept,0,
1379,2023-12-19 02:59:21,Manager-000006,Deliver card,Deliver card,0,
1379,2023-12-19 03:03:18,,EVENT 13 END,EVENT 13 END,0,
1380,2023-12-19 03:23:18,Clerk-000006,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1380,2023-12-19 03:23:18,,New online application received,New online application received,0,
1380,2023-12-19 03:28:05,Manager-000002,Request info,Request info,0,
1380,2023-12-19 03:32:25,,info received,info received,0,
1380,2023-12-19 03:32:35,Clerk-000004,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1380,2023-12-19 03:45:34,Manager-000001,Request info,Request info,0,
1380,2023-12-19 03:50:34,,info received,info received,0,
1380,2023-12-19 03:50:44,Clerk-000002,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
1380,2023-12-19 03:59:56,Clerk-000001,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
1380,2023-12-19 04:12:43,Manager-000003,Make decision,Make decision,0,
1380,2023-12-19 04:15:15,Manager-000002,Notify accept,Notify accept,0,
1380,2023-12-19 04:17:36,Manager-000005,Deliver card,Deliver card,0,
1380,2023-12-19 04:27:46,,EVENT 13 END,EVENT 13 END,0,
1381,2023-12-19 05:04:48,Clerk-000004,Check for completeness,Check for completeness,0,
1381,2023-12-19 05:04:48,,New online application received,New online application received,0,
1381,2023-12-19 05:05:59,Manager-000003,Request info,Request info,0,
1381,2023-12-19 05:10:44,,info received,info received,0,
1381,2023-12-19 05:10:54,Clerk-000005,Check for completeness,Check for completeness,0,
1381,2023-12-19 05:16:18,Clerk-000002,Perform checks,Perform checks,0,
1381,2023-12-19 05:39:55,Manager-000002,Make decision,Make decision,0,
1381,2023-12-19 05:45:16,Manager-000004,notify reject,notify reject,0,
1381,2023-12-19 06:05:33,,time out,time out,0,
1381,2023-12-19 06:05:43,,EVENT 13 END,EVENT 13 END,0,
1382,2023-12-19 05:35:28,Clerk-000003,Check for completeness,Check for completeness,0,
1382,2023-12-19 05:35:28,,New online application received,New online application received,0,
1382,2023-12-19 05:43:06,Clerk-000006,Perform checks,Perform checks,0,
1382,2023-12-19 05:44:04,Manager-000006,Make decision,Make decision,0,
1382,2023-12-19 06:07:36,Manager-000005,notify reject,notify reject,0,
1382,2023-12-19 06:13:59,,time out,time out,0,
1382,2023-12-19 06:14:09,,EVENT 13 END,EVENT 13 END,0,
1383,2023-12-19 06:35:48,Clerk-000001,Check for completeness,Check for completeness,0,
1383,2023-12-19 06:35:48,,New online application received,New online application received,0,
1383,2023-12-19 06:52:32,Clerk-000004,Perform checks,Perform checks,0,
1383,2023-12-19 06:57:32,Manager-000001,Make decision,Make decision,0,
1383,2023-12-19 06:58:20,Manager-000003,notify reject,notify reject,0,
1383,2023-12-19 07:09:04,,time out,time out,0,
1383,2023-12-19 07:09:14,,EVENT 13 END,EVENT 13 END,0,
1384,2023-12-19 07:49:22,Clerk-000005,Check for completeness,Check for completeness,0,
