send confirmation receipt_signed1 -> send confirmation receipt_signed2 (frequency = 1490, performance = 0.37)
send letter in progress -> article 34  WABO applies (frequency = 7, performance = 1654444.29)
send procedure confirmation -> register number of days extension period (frequency = 7, performance = 2622512.71)
set decision phase decision permitting decided -> send confirmation receipt_signed2 (frequency = 7, performance = 0.20)
set decision status -> submit draft decision (frequency = 7, performance = 1.00)
set decision status -> treat subcases content (frequency = 7, performance = 1.00)
set phase: phase permitting irrevocable -> send confirmation receipt_signed1 (frequency = 7, performance = 0.41)
start decision phase decision permitting sent -> set decision phase inspection of decision permitting (frequency = 7, performance = 271540.86)
suspend term -> suspension ground applicable (frequency = 7, performance = 1.00)
terminate on request -> treat subcases completeness (frequency = 7, performance = 1.00)
transcript decision environmental permit to stakeholders -> date decision for inspection (frequency = 7, performance = 654164.86)
MER present in supplement -> enter receipt of additional data (frequency = 6, performance = 1.00)
close case -> create message terminate request (frequency = 6, performance = 1.00)
close case -> phase archived case (frequency = 6, performance = 1.00)
completed subcases content -> send confirmation receipt_signed2 (frequency = 6, performance = 0.23)
create cover letter permanent suspension -> create letter requesting missing data (frequency = 6, performance = 1.00)
create letter requesting missing data -> request complete (frequency = 6, performance = 1.00)
create procedure confirmation -> request complete (frequency = 6, performance = 2330852.83)
create publication document -> creating environmental permit decision (frequency = 6, performance = 1.00)
create subcases completeness -> phase application receptive (frequency = 6, performance = 1.00)
creating cover letter decision -> enrich decision (frequency = 6, performance = 1.00)
creating cover letter decision -> send confirmation receipt_signed2 (frequency = 6, performance = 0.13)
enter senddate confirmation request -> enter senddate procedure confirmation (frequency = 6, performance = 1.00)
enter senddate decision environmental permit -> enter senddate decision environmental permit (frequency = 6, performance = 1.00)
enter senddate decision permanent suspension -> start decision phase permanent suspension sent (frequency = 6, performance = 1.00)
enter senddate decision procedure term extension -> register number of days extension period (frequency = 6, performance = 667490.50)
enter senddate procedure confirmation -> extend procedure term (frequency = 6, performance = 752377.83)
enter senddate procedure confirmation -> phase advice known (frequency = 6, performance = 12045812.67)
extend procedure term -> grounds for refusal (frequency = 6, performance = 2088996.00)
grounds for refusal -> enter senddate decision environmental permit (frequency = 6, performance = 494448.50)
grounds for refusal -> investigate BAG objects (frequency = 6, performance = 1.00)
message terminate request -> send confirmation receipt_signed1 (frequency = 6, performance = 0.75)
perspective from GS or VROM received -> perspective on draft decision environmental permit received (frequency = 6, performance = 1.00)
phase advice known -> create draft environtmental permit (frequency = 6, performance = 1891556.00)
phase advice known -> terminate on request (frequency = 6, performance = 86210.33)
phase application receptive -> phase procedure extended (frequency = 6, performance = 1.00)
phase application receptive -> procedure change after completeness (frequency = 6, performance = 1.00)
phase asked additional information -> send confirmation receipt_signed1 (frequency = 6, performance = 0.52)
phase decision taken -> transcript decision environmental permit to stakeholders (frequency = 6, performance = 189.67)
phase draft decision ready -> procedure change (frequency = 6, performance = 1.00)
phase permanently suspended -> procedure change (frequency = 6, performance = 1.00)
publication date draft decision -> date draft decision for inspection (frequency = 6, performance = 86397.67)
publish official draft decision -> entering senddate draft decision environmental permit (frequency = 6, performance = 128811.67)
read field phased application -> start WABOprocedure (frequency = 6, performance = 1.00)
read publication date field -> send confirmation receipt_signed2 (frequency = 6, performance = 0.20)
record date of decision environmental permit -> phase decision sent (frequency = 6, performance = 208.50)
record date of decision environmental permit -> transcript decision environmental permit to stakeholders (frequency = 6, performance = 37320.00)
register submission date request -> MER present (frequency = 6, performance = 431385.17)
registration date publication -> enter senddate decision environmental permit (frequency = 6, performance = 259197.33)
registration date publication -> register number of days extension period (frequency = 6, performance = 2606695.67)
registrer date of publishing received request -> register date environmental permit decision (frequency = 6, performance = 2447399.17)
request complete -> article 34  WABO applies (frequency = 6, performance = 1887028.67)
retrieve missing data -> send confirmation receipt_signed2 (frequency = 6, performance = 0.23)
send confirmation receipt -> forward to the competent authority (frequency = 6, performance = 115206.17)
send confirmation receipt -> terminate on request (frequency = 6, performance = 1.00)
send confirmation receipt_signed1 -> coordination of application (frequency = 6, performance = 0.22)
send confirmation receipt_signed1 -> read publication date field (frequency = 6, performance = 0.23)
send confirmation receipt_signed1 -> register date environmental permit decision (frequency = 6, performance = 0.27)
send confirmation receipt_signed1 -> retrieve missing data (frequency = 6, performance = 0.42)
send confirmation receipt_signed2 -> enter senddate acknowledgement (frequency = 6, performance = 187886.50)
send confirmation receipt_signed2 -> phase asked additional information (frequency = 6, performance = 4751373.15)
send decision suspension -> send letter in progress (frequency = 6, performance = 1.00)
send letter in progress -> send procedure confirmation (frequency = 6, performance = 33.67)
send letter in progress -> suspension ground applicable (frequency = 6, performance = 1.00)
send procedure confirmation -> message terminate request (frequency = 6, performance = 6019721.17)
send procedure confirmation -> start WABOprocedure (frequency = 6, performance = 1790085.67)
set decision phase: draft decision for inspection -> coordination of application (frequency = 6, performance = 4134007.17)
set decision phase: draft decision permitted sent -> date draft decision for inspection (frequency = 6, performance = 230395.00)
start WABOprocedure -> create cover letter extend procedure term (frequency = 6, performance = 3700758.33)
start WABOprocedure -> start phased application (frequency = 6, performance = 1.00)
start decision phase permanently suspended decided -> term for supplying missing data (frequency = 6, performance = 1.00)
start decisionphase draft decision - permitting decided -> date draft decision for inspection (frequency = 6, performance = 288000.67)
terminate on request -> send confirmation receipt_signed2 (frequency = 6, performance = 0.28)
transcript decision environmental permit to stakeholders -> treat subcases completeness (frequency = 6, performance = 1.00)
treat subcases completeness -> procedure change (frequency = 6, performance = 5.00)
treat subcases content -> assessment of content completed (frequency = 6, performance = 7.67)
MER present -> OLO messaging active (frequency = 5, performance = 1.00)
OLO messaging active -> article 34  WABO applies (frequency = 5, performance = 1.00)
close case -> send confirmation receipt_signed1 (frequency = 5, performance = 0.26)
completed subcases content -> create cover letter draft decision (frequency = 5, performance = 1.00)
coordination of application -> create subcases present decision (frequency = 5, performance = 1.00)
create draft environtmental permit -> create publication document (frequency = 5, performance = 1.00)
create draft environtmental permit -> send confirmation receipt_signed1 (frequency = 5, performance = 0.46)
create subcases content -> send confirmation receipt_signed1 (frequency = 5, performance = 0.38)
creating decision suspension art. 33 WABO -> creating environmental permit decision (frequency = 5, performance = 1.00)
creating environmental permit decision -> record date of decision environmental permit (frequency = 5, performance = 1371795.20)
creating environmental permit decision -> registration date publication (frequency = 5, performance = 364750.60)
creating environmental permit decision -> set decision status (frequency = 5, performance = 1.00)
date decision for inspection -> register deadline (frequency = 5, performance = 3246348.20)
date draft decision for inspection -> publication date draft decision (frequency = 5, performance = 1.00)
enter date decision procedure term extension -> register number of days extension period (frequency = 5, performance = 58732.40)
enter date decision suspension -> enter enddate of suspension (frequency = 5, performance = 1.00)
enter date draft decisionenvironmental permit -> start decisionphase draft decision - permitting decided (frequency = 5, performance = 1.00)
enter date publication decision environmental permit -> enter senddate decision environmental permit (frequency = 5, performance = 1.00)
enter date publication decision environmental permit -> objection lodged against decision (frequency = 5, performance = 1.00)
enter date publication decision environmental permit -> registration date publication (frequency = 5, performance = 1.00)
enter enddate suspension art. 33 WABO -> set decision phase: suspension cancelled (frequency = 5, performance = 1.00)
enter publication date draft decision -> enter senddate decision (frequency = 5, performance = 1.00)
enter receipt of additional data -> grounds for refusal (frequency = 5, performance = 1.00)
enter receipt of additional data -> send confirmation receipt_signed1 (frequency = 5, performance = 0.44)
enter senddate acknowledgement -> send confirmation receipt (frequency = 5, performance = 167247.60)
enter senddate acknowledgement -> send confirmation receipt_signed1 (frequency = 5, performance = 0.48)
enter senddate confirmation request -> register date decision terminate on request (frequency = 5, performance = 1.00)
enter senddate decision environmental permit -> forward to the competent authority (frequency = 5, performance = 1.00)
enter senddate decision environmental permit -> objection lodged against decision (frequency = 5, performance = 1.00)
enter senddate decision environmental permit -> set phase: phase permitting irrevocable (frequency = 5, performance = 3972225.20)
enter senddate decision suspension -> grounds for refusal (frequency = 5, performance = 1.00)
enter senddate procedure confirmation -> enter date publication decision environmental permit (frequency = 5, performance = 241920.40)
enter senddate procedure confirmation -> send confirmation receipt_signed1 (frequency = 5, performance = 0.52)
enter senddate procedure confirmation -> send confirmation receipt_signed2 (frequency = 5, performance = 0.20)
extend procedure term -> forward to the competent authority (frequency = 5, performance = 1.00)
forward to the competent authority -> publish (frequency = 5, performance = 1.00)
phase additional information received -> MER present in supplement (frequency = 5, performance = 1059517.40)
phase application receptive -> phase decision suspended (frequency = 5, performance = 1.00)
phase application receptive -> phase decision taken (frequency = 5, performance = 1.00)
phase archived case -> send confirmation receipt_signed1 (frequency = 5, performance = 0.36)
phase case handled -> send confirmation receipt_signed1 (frequency = 5, performance = 0.34)
phase concept draft decision ready -> send confirmation receipt_signed1 (frequency = 5, performance = 0.26)
phase decision ready -> set decision phase decision permitting decided (frequency = 5, performance = 115836.20)
phase procedure aborted -> register deadline (frequency = 5, performance = 1.00)
phase procedure resumed -> procedure change (frequency = 5, performance = 1.00)
procedure change -> register number of days extension period (frequency = 5, performance = 1.00)
receive additional information -> send confirmation receipt_signed1 (frequency = 5, performance = 0.44)
register date decision terminate on request -> stop process after terminate on request (frequency = 5, performance = 45962.60)
register submission date request -> send procedure confirmation (frequency = 5, performance = 584954.00)
registration date publication -> treat subcases completeness (frequency = 5, performance = 1111384.40)
request complete -> register number of days extension period (frequency = 5, performance = 86524.00)
request complete -> subcases completeness completed (frequency = 5, performance = 1.00)
request complete -> submit decision (frequency = 5, performance = 292616.20)
resume completeness subcases -> send letter in progress (frequency = 5, performance = 1.00)
send confirmation receipt additional data -> ask stakeholders views (frequency = 5, performance = 2798628.20)
send confirmation receipt_signed1 -> article 34  WABO applies (frequency = 5, performance = 0.46)
send confirmation receipt_signed1 -> create subcases content (frequency = 5, performance = 0.46)
send confirmation receipt_signed2 -> close case (frequency = 5, performance = 2540159.30)
send confirmation receipt_signed2 -> create draft environtmental permit (frequency = 5, performance = 2091595.26)
send confirmation receipt_signed2 -> enter senddate procedure confirmation (frequency = 5, performance = 0.20)
send confirmation receipt_signed2 -> phase case handled (frequency = 5, performance = 5.96)
send confirmation receipt_signed2 -> phase decision irrevocable (frequency = 5, performance = 845993.62)
send confirmation receipt_signed2 -> procedure change after completeness (frequency = 5, performance = 0.22)
send confirmation receipt_signed2 -> submit draft decision (frequency = 5, performance = 0.28)
send design decision to stakeholders -> submit draft decision (frequency = 5, performance = 1.00)
send procedure confirmation -> procedure change (frequency = 5, performance = 1481462.20)
send procedure confirmation -> terminate on request (frequency = 5, performance = 1.00)
send procedure confirmation -> treat subcases content (frequency = 5, performance = 1952254.40)
set decision phase decision permitting decided -> submit decision (frequency = 5, performance = 1.00)
set decision phase suspension decided -> set decision phase suspension sent (frequency = 5, performance = 1.00)
start WABOprocedure -> create cover letter permanent suspension (frequency = 5, performance = 2877602.00)
start WABOprocedure -> enter senddate retrieve missing data (frequency = 5, performance = 2636246.60)
start WABOprocedure -> phase advice known (frequency = 5, performance = 2815138.40)
start decision phase decision permitting sent -> date decision for inspection (frequency = 5, performance = 396709.40)
start decision phase decision permitting sent -> enter senddate decision (frequency = 5, performance = 1174993.60)
start decision phase extension granted -> register number of days extension period (frequency = 5, performance = 45364.60)
stop all running subcases 2b -> transcript decision environmental permit to stakeholders (frequency = 5, performance = 1.00)
submit decision -> create publication document (frequency = 5, performance = 207349.00)
submit draft decision -> send confirmation receipt_signed1 (frequency = 5, performance = 0.58)
suspension ground applicable -> treat subcase suspension art. 33 WABO (frequency = 5, performance = 1.00)
terminate on request -> enter senddate decision environmental permit (frequency = 5, performance = 419238.60)
transcript decision environmental permit to stakeholders -> set decision phase decision permitting published (frequency = 5, performance = 777565.60)
transcript decision environmental permit to stakeholders -> set decision phase inspection of decision permitting (frequency = 5, performance = 431978.80)
transcript decision environmental permit to stakeholders -> start decision phase decision permitting sent (frequency = 5, performance = 103630.80)
treat subcase suspension art. 33 WABO -> treat subcases content (frequency = 5, performance = 1.00)
treat subcases completeness -> create letter requesting missing data (frequency = 5, performance = 2297477.00)
treat subcases completeness -> enter senddate retrieve missing data (frequency = 5, performance = 224654.40)
treat subcases content -> create subcases present decision (frequency = 5, performance = 293737.20)
treat subcases content -> enter senddate decision (frequency = 5, performance = 1312530.80)
treat subcases content -> phase decision ready (frequency = 5, performance = 570194.00)
MER present in supplement -> phase additional information received (frequency = 4, performance = 1.00)
WAW permit aspect -> activities regular procedure (frequency = 4, performance = 1.00)
activities regular procedure -> article 34  WABO applies (frequency = 4, performance = 1.00)
article 34  WABO applies -> send confirmation receipt_signed2 (frequency = 4, performance = 0.23)
completed subcases content -> article 34  WABO applies (frequency = 4, performance = 1.00)
completed subcases content -> assessment of content completed (frequency = 4, performance = 4.75)
completed subcases content -> create cover letter extend procedure term (frequency = 4, performance = 1.00)
completed subcases content -> create publication document (frequency = 4, performance = 1.00)
completed subcases content -> creating decision suspension art. 33 WABO (frequency = 4, performance = 1.00)
completed subcases content -> creating environmental permit decision (frequency = 4, performance = 5.50)
create decision procedure term extension -> create subcases completeness (frequency = 4, performance = 1.00)
create letter requesting missing data -> enter senddate retrieve missing data (frequency = 4, performance = 1.00)
create letter requesting missing data -> send confirmation receipt_signed1 (frequency = 4, performance = 0.50)
create message terminate request -> initiative competent authority (frequency = 4, performance = 1.00)
create publication document -> create publication document (frequency = 4, performance = 1.00)
create publication document -> create subcases present decision (frequency = 4, performance = 1.00)
create subcases completeness -> creating decision permanently suspended (frequency = 4, performance = 1.00)
create subcases completeness -> enrich draft decision (frequency = 4, performance = 1.00)
create subcases completeness -> first or second phase (frequency = 4, performance = 1.00)
create subcases content -> send confirmation receipt_signed2 (frequency = 4, performance = 0.20)
create subcases present decision -> enrich decision (frequency = 4, performance = 1.00)
creating cover letter decision -> decision date prior to decision (frequency = 4, performance = 1.00)
creating environmental permit decision -> register number of days extension period (frequency = 4, performance = 1111240.25)
date decision for inspection -> send confirmation receipt_signed1 (frequency = 4, performance = 0.68)
decision date prior to decision -> enter date decision suspension (frequency = 4, performance = 1.00)
decision date prior to decision -> enter date publication decision environmental permit (frequency = 4, performance = 1.00)
decision date prior to decision -> extend procedure term (frequency = 4, performance = 1.00)
decision date prior to decision -> submit decision (frequency = 4, performance = 326518.25)
decision keep permanently suspended -> keep permanently suspended (frequency = 4, performance = 1.00)
enrich decision -> enter senddate decision environmental permit (frequency = 4, performance = 1.00)
enrich draft decision -> enrich draft decision (frequency = 4, performance = 1.00)
enter date advice on treatment of environmental permit -> enter receipt of additional data (frequency = 4, performance = 1.00)
enter date decision procedure term extension -> enter senddate procedure term extension (frequency = 4, performance = 479.25)
enter publication date draft decision -> generating decision environmental permit (frequency = 4, performance = 1.00)
enter receipt of additional data -> enter senddate procedure confirmation (frequency = 4, performance = 1231198.75)
enter receipt of additional data -> generating decision environmental permit (frequency = 4, performance = 1.00)
enter receipt of additional data -> registrer date of publishing received request (frequency = 4, performance = 540004.50)
enter senddate acknowledgement -> enter date termination request received (frequency = 4, performance = 3628796.75)
enter senddate acknowledgement -> phase application received (frequency = 4, performance = 11151.00)
enter senddate decision environmental permit -> enter senddate draft decision (frequency = 4, performance = 1.00)
enter senddate decision environmental permit -> set decision phase decision permitting decided (frequency = 4, performance = 1.00)
enter senddate decision permanent suspension -> enter senddate decision permanent suspension (frequency = 4, performance = 73345.50)
enter senddate decision permanent suspension -> phase permanently suspended (frequency = 4, performance = 1.00)
enter senddate decision procedure term extension -> enter senddate decision environmental permit (frequency = 4, performance = 1762932.75)
enter senddate decision procedure term extension -> extend procedure term (frequency = 4, performance = 784828.75)
enter senddate draft decision -> generating decision environmental permit (frequency = 4, performance = 1.00)
enter senddate draft decision -> open draft decision for inspection (frequency = 4, performance = 1.00)
enter senddate letter to competent authority -> enter senddate letter to stakeholders (frequency = 4, performance = 1.00)
enter senddate procedure confirmation -> enter receipt of additional data (frequency = 4, performance = 3542400.25)
enter senddate procedure confirmation -> phase application received (frequency = 4, performance = 390055.50)
enter senddate retrieve missing data -> phase additional information received (frequency = 4, performance = 6209346.00)
enter senddate retrieve missing data -> procedure change (frequency = 4, performance = 1.00)
entering senddate draft decision environmental permit -> publication date draft decision (frequency = 4, performance = 561600.25)
extend procedure term -> phase application receptive (frequency = 4, performance = 30.50)
first or second phase -> forward to the competent authority (frequency = 4, performance = 1.00)
grounds for refusal -> register date environmental permit decision (frequency = 4, performance = 907919.50)
hearing about draft -> perspective from GS or VROM received (frequency = 4, performance = 1.00)
message terminate request -> phase procedure aborted (frequency = 4, performance = 8.00)
objection lodged against decision -> send confirmation receipt_signed1 (frequency = 4, performance = 0.65)
open draft decision for inspection -> perspective on draft decision environmental permit received (frequency = 4, performance = 1.00)
open draft decision for inspection -> phase additional information received (frequency = 4, performance = 1.00)
perspective on draft decision environmental permit received -> perspective regarding draft founded (frequency = 4, performance = 1.00)
phase additional information received -> send confirmation receipt additional data (frequency = 4, performance = 1.50)
phase additional information received -> send confirmation receipt_signed1 (frequency = 4, performance = 0.32)
phase advice known -> register number of days extension period (frequency = 4, performance = 1035634.75)
phase application received -> enter senddate procedure confirmation (frequency = 4, performance = 31061.00)
phase application received -> reception through OLO (frequency = 4, performance = 1.00)
phase application receptive -> phase archived case (frequency = 4, performance = 1.00)
phase asked additional information -> phase concept draft decision ready (frequency = 4, performance = 1.00)
phase case handled -> stop all running subcases 2b (frequency = 4, performance = 1.00)
phase decision suspended -> phase procedure resumed (frequency = 4, performance = 1.00)
phase draft decision ready -> send design decision to stakeholders (frequency = 4, performance = 1.00)
phase procedure extended -> receive additional information (frequency = 4, performance = 1.00)
phase procedure prematurely terminated -> terminate on request (frequency = 4, performance = 1.00)
procedure change -> send letter in progress (frequency = 4, performance = 1.00)
procedure change -> start WABOprocedure (frequency = 4, performance = 1.00)
procedure change after completeness -> article 34  WABO applies (frequency = 4, performance = 1.00)
publication date draft decision -> suspension ground applicable (frequency = 4, performance = 3483559.75)
read field phased application -> send confirmation receipt_signed1 (frequency = 4, performance = 0.43)
receive additional information -> enter receipt of additional data (frequency = 4, performance = 604804.00)
receive additional information -> register number of days extension period (frequency = 4, performance = 1.00)
receive additional information -> retrieve missing data (frequency = 4, performance = 1.00)
refusal after suspension -> request complete (frequency = 4, performance = 1.00)
register date environmental permit decision -> creating environmental permit decision (frequency = 4, performance = 252185.25)
register date environmental permit decision -> registrer date of publishing received request (frequency = 4, performance = 1.00)
register date environmental permit decision -> send confirmation receipt_signed2 (frequency = 4, performance = 0.42)
register deadline -> phase case handled (frequency = 4, performance = 30.75)
register number of days extension period -> phase advice known (frequency = 4, performance = 903240.50)
register objection and appeal periods -> send design decision to stakeholders (frequency = 4, performance = 1.00)
registration date publication -> phase advice known (frequency = 4, performance = 1619211.75)
registrer date of publishing received request -> enter senddate decision environmental permit (frequency = 4, performance = 1511998.25)
registrer date of publishing received request -> treat subcases completeness (frequency = 4, performance = 45854.75)
request complete -> enter senddate decision environmental permit (frequency = 4, performance = 1151673.25)
retrieve missing data -> receive additional information (frequency = 4, performance = 2439907.00)
send confirmation receipt -> enter senddate procedure confirmation (frequency = 4, performance = 1811552.25)
send confirmation receipt additional data -> send decision suspension (frequency = 4, performance = 1.00)
send confirmation receipt additional data -> set decision status (frequency = 4, performance = 1.00)
send confirmation receipt_signed1 -> enter senddate procedure confirmation (frequency = 4, performance = 0.50)
send confirmation receipt_signed1 -> generate draft decision environmental permit (frequency = 4, performance = 0.42)
send confirmation receipt_signed1 -> phase additional information received (frequency = 4, performance = 0.35)
send confirmation receipt_signed1 -> procedure change after completeness (frequency = 4, performance = 0.33)
send confirmation receipt_signed1 -> receive additional information (frequency = 4, performance = 0.20)
send confirmation receipt_signed1 -> send procedure confirmation (frequency = 4, performance = 0.28)
send confirmation receipt_signed1 -> stop all running subcases 2b (frequency = 4, performance = 0.60)
send confirmation receipt_signed2 -> create letter requesting missing data (frequency = 4, performance = 3217459.83)
send confirmation receipt_signed2 -> create monitoring case (frequency = 4, performance = 0.30)
send confirmation receipt_signed2 -> date decision for inspection (frequency = 4, performance = 856005.65)
send confirmation receipt_signed2 -> enter receipt of additional data (frequency = 4, performance = 3347096.60)
send confirmation receipt_signed2 -> phase additional information received (frequency = 4, performance = 1881448.62)
send confirmation receipt_signed2 -> phase concept draft decision ready (frequency = 4, performance = 86195.90)
send confirmation receipt_signed2 -> read field phased application (frequency = 4, performance = 6221389.80)
send confirmation receipt_signed2 -> register submission date request (frequency = 4, performance = 1944012.10)
send confirmation receipt_signed2 -> retrieve missing data (frequency = 4, performance = 1195067.45)
send confirmation receipt_signed2 -> term for supplying missing data (frequency = 4, performance = 0.60)
send confirmation receipt_signed2 -> treat subcases completeness (frequency = 4, performance = 71002.17)
send decision suspension -> creating environmental permit decision (frequency = 4, performance = 1833529.50)
send decision suspension -> subcase art. 33 WABO completed (frequency = 4, performance = 19.25)
send design decision to stakeholders -> send letter in progress (frequency = 4, performance = 1.00)
send procedure confirmation -> phase additional information received (frequency = 4, performance = 1642100.25)
send procedure confirmation -> send procedure confirmation (frequency = 4, performance = 2482643.50)
set decision phase decision permitting decided -> article 34  WABO applies (frequency = 4, performance = 172774.50)
set decision phase decision permitting decided -> creating cover letter decision (frequency = 4, performance = 259203.25)
set decision phase suspension decided -> send confirmation receipt_signed1 (frequency = 4, performance = 0.15)
set decision phase suspension sent -> send confirmation receipt_signed1 (frequency = 4, performance = 0.40)
set decision phase: suspension cancelled -> send confirmation receipt_signed1 (frequency = 4, performance = 0.33)
set decision status -> subcase art. 33 WABO completed (frequency = 4, performance = 1.00)
set phase: phase permitting irrevocable -> enter date publication decision environmental permit (frequency = 4, performance = 2073600.50)
start WABOprocedure -> phase application receptive (frequency = 4, performance = 1707317.50)
start WABOprocedure -> retrieve missing data (frequency = 4, performance = 3532841.00)
start WABOprocedure -> start WABOprocedure (frequency = 4, performance = 1487293.50)
start WABOprocedure -> submit draft decision (frequency = 4, performance = 1.00)
start WABOprocedure -> term for supplying missing data (frequency = 4, performance = 1.00)
start WABOprocedure -> treat subcases content (frequency = 4, performance = 188475.25)
start decision phase decision permitting sent -> objection lodged against decision (frequency = 4, performance = 12764711.50)
start decision phase extension granted -> ask stakeholders views (frequency = 4, performance = 2915983.25)
start decisionphase draft decision - permitting decided -> set decision phase: draft decision for inspection (frequency = 4, performance = 583194.75)
start decisionphase draft decision - permitting decided -> submit draft decision (frequency = 4, performance = 1.00)
subcase art. 33 WABO completed -> suspension ground applicable (frequency = 4, performance = 1.00)
subcase perspective complete -> submit decision (frequency = 4, performance = 1.00)
subcases completed present decision -> submit decision (frequency = 4, performance = 1.00)
subcases completeness completed -> request complete (frequency = 4, performance = 8.50)
subcases completeness completed -> suspend term (frequency = 4, performance = 1.00)
submit draft decision -> date draft decision for inspection (frequency = 4, performance = 583170.75)
submit draft decision -> treat subcases content (frequency = 4, performance = 1.00)
suspend term -> terminate on request (frequency = 4, performance = 1.00)
suspension ground applicable -> terminate on request (frequency = 4, performance = 1.00)
term for supplying missing data -> create cover letter permanent suspension (frequency = 4, performance = 4276787.50)
term for supplying missing data -> treat subcases content (frequency = 4, performance = 1.00)
terminate on request -> send confirmation receipt_signed1 (frequency = 4, performance = 0.53)
transcript decision environmental permit to stakeholders -> register deadline (frequency = 4, performance = 3843892.50)
treat subcases completeness -> send confirmation receipt_signed1 (frequency = 4, performance = 0.30)
treat subcases content -> create cover letter draft decision (frequency = 4, performance = 431999.50)
treat subcases content -> treat subcases present decision (frequency = 4, performance = 1.00)
treat subcases content -> updated plan after review (frequency = 4, performance = 1.00)
MER present -> activities regular procedure (frequency = 3, performance = 1.00)
MER present in supplement -> article 33 applies (frequency = 3, performance = 1.00)
MER present in supplement -> send confirmation receipt additional data (frequency = 3, performance = 1.00)
OLO messaging active -> enter senddate acknowledgement (frequency = 3, performance = 1.00)
WAW permit aspect -> phase advice known (frequency = 3, performance = 13.67)
activities regular procedure -> forward to the competent authority (frequency = 3, performance = 1.00)
appeal logded -> phase decision irrevocable (frequency = 3, performance = 1.00)
applicant is stakeholder -> article 34  WABO applies (frequency = 3, performance = 1.00)
article 33 applies -> send confirmation receipt_signed1 (frequency = 3, performance = 0.30)
article 34  WABO applies -> completed subcases content (frequency = 3, performance = 1.00)
article 34  WABO applies -> create draft environtmental permit (frequency = 3, performance = 1.00)
by law -> close case (frequency = 3, performance = 1.00)
close case -> completed subcases content (frequency = 3, performance = 1.00)
close case -> contested decision affected (frequency = 3, performance = 1.00)
completed subcases content -> grounds for refusal (frequency = 3, performance = 5.00)
completed subcases content -> procedure change after completeness (frequency = 3, performance = 1.00)
coordination of application -> send confirmation receipt_signed2 (frequency = 3, performance = 0.23)
copy decision permanent suspension to stakeholders -> create cover letter permanent suspension (frequency = 3, performance = 1.00)
copy decision to extend procedure to stakeholders -> enter senddate decision procedure term extension (frequency = 3, performance = 1.00)
create cover letter draft decision -> enrich draft decision (frequency = 3, performance = 1.00)
create draft environtmental permit -> create procedure confirmation (frequency = 3, performance = 1.00)
create draft environtmental permit -> create subcases completeness (frequency = 3, performance = 1.00)
create draft environtmental permit -> create subcases content (frequency = 3, performance = 1.00)
create letter requesting missing data -> creating decision permanently suspended (frequency = 3, performance = 1.00)
create monitoring case -> send confirmation receipt_signed1 (frequency = 3, performance = 0.57)
create procedure confirmation -> article 34  WABO applies (frequency = 3, performance = 3785115.67)
create procedure confirmation -> enter senddate acknowledgement (frequency = 3, performance = 86433.33)
create publication document -> create subcases submit draft decision (frequency = 3, performance = 1.00)
create subcases completeness -> creating decision procedure term extension (frequency = 3, performance = 1.00)
create subcases content -> generate draft decision environmental permit (frequency = 3, performance = 1.00)
create subcases content -> grounds for refusal (frequency = 3, performance = 1.00)
create subcases content -> phase application receptive (frequency = 3, performance = 1.00)
create subcases present decision -> send confirmation receipt_signed1 (frequency = 3, performance = 0.77)
create subcases submit draft decision -> enrich draft decision (frequency = 3, performance = 1.00)
creating environmental permit decision -> set decision phase decision permitting decided (frequency = 3, performance = 497066.67)
creating environmental permit decision -> set phase: phase permitting irrevocable (frequency = 3, performance = 165337.67)
creating environmental permit decision -> start decision phase decision permitting sent (frequency = 3, performance = 33399.33)
decision date prior to decision -> decision date prior to decision (frequency = 3, performance = 1.00)
decision date prior to decision -> enrich draft decision (frequency = 3, performance = 1.00)
decision date prior to decision -> enter senddate decision procedure term extension (frequency = 3, performance = 1.00)
decision date prior to decision -> forward to the competent authority (frequency = 3, performance = 1.00)
decision date prior to decision -> set decision status (frequency = 3, performance = 1.00)
enrich decision -> send confirmation receipt_signed1 (frequency = 3, performance = 0.43)
enrich draft decision -> send confirmation receipt_signed1 (frequency = 3, performance = 0.13)
enter date advice on treatment of environmental permit -> generate draft decision environmental permit (frequency = 3, performance = 1.00)
enter date draft decisionenvironmental permit -> date draft decision for inspection (frequency = 3, performance = 1023967.33)
enter date draft decisionenvironmental permit -> send confirmation receipt_signed1 (frequency = 3, performance = 0.30)
enter date draft decisionenvironmental permit -> send design decision to stakeholders (frequency = 3, performance = 2028618.67)
enter date publication decision environmental permit -> generate publication document decision environmental permit (frequency = 3, performance = 1.00)
enter date publication decision environmental permit -> registrer date of publishing received request (frequency = 3, performance = 1.00)
enter date termination request received -> send confirmation receipt_signed1 (frequency = 3, performance = 0.67)
enter enddate of suspension -> enter receipt of additional data (frequency = 3, performance = 1.00)
enter receipt of additional data -> article 34  WABO applies (frequency = 3, performance = 750006.00)
enter receipt of additional data -> enter date decision procedure term extension (frequency = 3, performance = 2073599.67)
enter receipt of additional data -> enter senddate decision environmental permit (frequency = 3, performance = 1.00)
enter receipt of additional data -> enter senddate decision procedure term extension (frequency = 3, performance = 2330396.67)
enter receipt of additional data -> enter senddate decision suspension (frequency = 3, performance = 1.00)
enter receipt of additional data -> generate draft decision environmental permit (frequency = 3, performance = 1.00)
enter senddate acknowledgement -> enter senddate decision procedure term extension (frequency = 3, performance = 2245196.67)
