send confirmation receipt -> send confirmation receipt (frequency = 466, performance = 126.65)
treat subcase suspension art. 33 WABO -> treat subcases content (frequency = 5, performance = 1.00)
treat subcases completeness -> create letter requesting missing data (frequency = 5, performance = 2297477.00)
treat subcases completeness -> enter senddate retrieve missing data (frequency = 5, performance = 224654.40)
treat subcases content -> create cover letter draft decision (frequency = 5, performance = 1036797.40)
treat subcases content -> create subcases present decision (frequency = 5, performance = 293737.20)
treat subcases content -> phase decision ready (frequency = 5, performance = 570194.00)
treat subcases content -> treat subcases present decision (frequency = 5, performance = 1.00)
treat subcases content -> updated plan after review (frequency = 5, performance = 1.00)
MER present in supplement -> phase additional information received (frequency = 4, performance = 1.00)
MER required -> activities regular procedure (frequency = 4, performance = 1.25)
OLO messaging active -> enter senddate acknowledgement (frequency = 4, performance = 1.00)
WAW permit aspect -> activities regular procedure (frequency = 4, performance = 1.00)
completed subcases content -> create cover letter extend procedure term (frequency = 4, performance = 1.00)
completed subcases content -> create subcases completeness (frequency = 4, performance = 1.25)
completed subcases content -> creating decision suspension art. 33 WABO (frequency = 4, performance = 1.00)
create draft environtmental permit -> create subcases completeness (frequency = 4, performance = 1.00)
create letter requesting missing data -> enter senddate retrieve missing data (frequency = 4, performance = 1.00)
create publication document -> create publication document (frequency = 4, performance = 1.00)
create publication document -> create subcases present decision (frequency = 4, performance = 1.00)
create publication document -> phase application received (frequency = 4, performance = 2.00)
create subcases completeness -> creating decision permanently suspended (frequency = 4, performance = 1.00)
create subcases completeness -> first or second phase (frequency = 4, performance = 1.00)
creating cover letter decision -> decision date prior to decision (frequency = 4, performance = 1.00)
creating environmental permit decision -> register number of days extension period (frequency = 4, performance = 1111240.25)
creating environmental permit decision -> set decision status (frequency = 4, performance = 1.00)
creating environmental permit decision -> set phase: phase permitting irrevocable (frequency = 4, performance = 134013.25)
decision keep permanently suspended -> keep permanently suspended (frequency = 4, performance = 1.25)
enrich decision -> enter senddate decision environmental permit (frequency = 4, performance = 1.00)
enrich draft decision -> enrich draft decision (frequency = 4, performance = 1.00)
enter date advice on treatment of environmental permit -> generate draft decision environmental permit (frequency = 4, performance = 1.00)
enter date decision procedure term extension -> enter senddate procedure term extension (frequency = 4, performance = 479.25)
enter receipt of additional data -> enter senddate procedure confirmation (frequency = 4, performance = 1231198.75)
enter receipt of additional data -> generating decision environmental permit (frequency = 4, performance = 1.00)
enter receipt of additional data -> registrer date of publishing received request (frequency = 4, performance = 540004.50)
enter senddate acknowledgement -> enter date termination request received (frequency = 4, performance = 3628796.75)
enter senddate decision -> generating decision environmental permit (frequency = 4, performance = 2.00)
enter senddate decision environmental permit -> enter senddate draft decision (frequency = 4, performance = 1.00)
enter senddate decision environmental permit -> phase decision taken (frequency = 4, performance = 1.75)
enter senddate decision permanent suspension -> phase permanently suspended (frequency = 4, performance = 1.00)
enter senddate decision procedure term extension -> enter senddate decision environmental permit (frequency = 4, performance = 1762932.75)
enter senddate decision procedure term extension -> extend procedure term (frequency = 4, performance = 784828.75)
enter senddate decision suspension -> grounds for refusal (frequency = 4, performance = 1.00)
enter senddate draft decision -> generating decision environmental permit (frequency = 4, performance = 1.00)
enter senddate letter to competent authority -> enter senddate letter to stakeholders (frequency = 4, performance = 1.00)
enter senddate procedure confirmation -> enter receipt of additional data (frequency = 4, performance = 3542400.25)
enter senddate procedure confirmation -> phase application received (frequency = 4, performance = 1686996.75)
enter senddate retrieve missing data -> phase additional information received (frequency = 4, performance = 6209346.00)
enter senddate retrieve missing data -> procedure change (frequency = 4, performance = 1.00)
entering senddate draft decision environmental permit -> publication date draft decision (frequency = 4, performance = 561600.25)
extend procedure term -> phase application receptive (frequency = 4, performance = 30.50)
extend procedure term -> register number of days extension period (frequency = 4, performance = 1.25)
first or second phase -> first phase affected (frequency = 4, performance = 1.00)
forward to the competent authority -> registration date publication (frequency = 4, performance = 1.50)
grounds for refusal -> phase application receptive (frequency = 4, performance = 2.00)
grounds for refusal -> phase decision ready (frequency = 4, performance = 1.50)
grounds for refusal -> register date environmental permit decision (frequency = 4, performance = 907919.50)
hearing about draft -> perspective from GS or VROM received (frequency = 4, performance = 1.00)
message terminate request -> phase procedure aborted (frequency = 4, performance = 8.00)
open draft decision for inspection -> perspective on draft decision environmental permit received (frequency = 4, performance = 1.00)
open draft decision for inspection -> phase advice known (frequency = 4, performance = 1.00)
perspective on draft decision environmental permit received -> perspective regarding draft founded (frequency = 4, performance = 1.00)
phase advice known -> phase decision taken (frequency = 4, performance = 8801.25)
phase advice known -> transcript decision environmental permit to stakeholders (frequency = 4, performance = 233139.00)
phase application received -> enter senddate procedure confirmation (frequency = 4, performance = 31061.00)
phase application receptive -> phase archived case (frequency = 4, performance = 1.00)
phase asked additional information -> phase concept draft decision ready (frequency = 4, performance = 1.00)
phase case handled -> stop all running subcases 2b (frequency = 4, performance = 1.00)
phase procedure extended -> receive additional information (frequency = 4, performance = 1.00)
phase procedure resumed -> creating environmental permit decision (frequency = 4, performance = 2.25)
phase procedure resumed -> procedure change (frequency = 4, performance = 1.00)
phase procedure resumed -> refusal after suspension (frequency = 4, performance = 1.00)
procedure change -> send letter in progress (frequency = 4, performance = 1.00)
procedure change after completeness -> article 34  WABO applies (frequency = 4, performance = 1.00)
procedure change after completeness -> phase advice known (frequency = 4, performance = 26.50)
publication date draft decision -> suspension ground applicable (frequency = 4, performance = 3483559.75)
publish official draft decision -> suspension ground applicable (frequency = 4, performance = 5551997.25)
receive additional information -> enter receipt of additional data (frequency = 4, performance = 604804.00)
receive additional information -> register number of days extension period (frequency = 4, performance = 1.00)
receive additional information -> retrieve missing data (frequency = 4, performance = 1.00)
refusal after suspension -> request complete (frequency = 4, performance = 1.00)
register date environmental permit decision -> creating environmental permit decision (frequency = 4, performance = 252185.25)
register deadline -> phase case handled (frequency = 4, performance = 30.75)
register number of days extension period -> phase advice known (frequency = 4, performance = 903240.50)
register objection and appeal periods -> send design decision to stakeholders (frequency = 4, performance = 1.00)
registrer date of publishing received request -> treat subcases completeness (frequency = 4, performance = 45854.75)
request complete -> enter senddate decision environmental permit (frequency = 4, performance = 1151673.25)
request complete -> send decision suspension (frequency = 4, performance = 1.00)
request complete -> submit decision (frequency = 4, performance = 257184.00)
retrieve missing data -> receive additional information (frequency = 4, performance = 2439907.00)
retrieve missing data -> start WABOprocedure (frequency = 4, performance = 1.00)
send confirmation receipt -> activities regular procedure (frequency = 4, performance = 8728588.50)
send confirmation receipt -> enter senddate procedure confirmation (frequency = 4, performance = 1811552.25)
send confirmation receipt -> read field phased application (frequency = 4, performance = 21018854.25)
send procedure confirmation -> send procedure confirmation (frequency = 4, performance = 2482643.50)
send procedure confirmation -> treat subcases content (frequency = 4, performance = 1941319.50)
set decision phase decision permitting decided -> article 34  WABO applies (frequency = 4, performance = 172774.50)
set decision phase decision permitting decided -> creating cover letter decision (frequency = 4, performance = 259203.25)
set decision phase decision permitting decided -> request complete (frequency = 4, performance = 51277.25)
set decision phase inspection of decision permitting -> set phase: phase permitting irrevocable (frequency = 4, performance = 3715200.00)
set decision phase suspension decided -> register submission date request (frequency = 4, performance = 2656812.00)
set decision status -> subcases completed present decision (frequency = 4, performance = 1.00)
set phase: phase permitting irrevocable -> enter date publication decision environmental permit (frequency = 4, performance = 2073600.50)
start WABOprocedure -> create message terminate request (frequency = 4, performance = 5514585.25)
start WABOprocedure -> phase application receptive (frequency = 4, performance = 1707317.50)
start WABOprocedure -> retrieve missing data (frequency = 4, performance = 3532841.00)
start WABOprocedure -> set decision phase decision permitting decided (frequency = 4, performance = 3153415.50)
start WABOprocedure -> start WABOprocedure (frequency = 4, performance = 1487293.50)
start WABOprocedure -> submit draft decision (frequency = 4, performance = 1.00)
start WABOprocedure -> treat subcases content (frequency = 4, performance = 188475.25)
start decision phase decision permitting sent -> date decision for inspection (frequency = 4, performance = 474288.75)
start decision phase extension granted -> ask stakeholders views (frequency = 4, performance = 2829581.25)
start decision phase extension granted -> enter senddate decision procedure term extension (frequency = 4, performance = 73122.50)
start decisionphase draft decision - permitting decided -> submit draft decision (frequency = 4, performance = 1.00)
subcase perspective complete -> submit decision (frequency = 4, performance = 1.00)
subcases completeness completed -> suspend term (frequency = 4, performance = 1.00)
submit decision -> record date of decision environmental permit (frequency = 4, performance = 247534.50)
submit draft decision -> date draft decision for inspection (frequency = 4, performance = 583170.75)
submit draft decision -> entering senddate draft decision environmental permit (frequency = 4, performance = 475196.00)
suspend term -> terminate on request (frequency = 4, performance = 1.00)
suspension ground applicable -> terminate on request (frequency = 4, performance = 1.00)
term for supplying missing data -> treat subcases content (frequency = 4, performance = 1.00)
transcript decision environmental permit to stakeholders -> register deadline (frequency = 4, performance = 3843892.50)
transcript decision environmental permit to stakeholders -> set decision phase decision permitting decided (frequency = 4, performance = 172795.00)
treat subcases present decision -> creating cover letter decision (frequency = 4, performance = 280802.50)
MER present -> activities regular procedure (frequency = 3, performance = 1.00)
MER present in supplement -> article 33 applies (frequency = 3, performance = 1.00)
MER present in supplement -> send confirmation receipt additional data (frequency = 3, performance = 1.00)
Register date environmental permit decision -> register submission date request (frequency = 3, performance = 0.00)
Request complete -> register submission date request (frequency = 3, performance = 0.00)
WAW permit aspect -> phase advice known (frequency = 3, performance = 13.67)
activities regular procedure -> forward to the competent authority (frequency = 3, performance = 1.00)
appeal logded -> phase decision irrevocable (frequency = 3, performance = 1.00)
article 34  WABO applies -> phase advice known (frequency = 3, performance = 2.33)
by law -> close case (frequency = 3, performance = 1.00)
close case -> completed subcases content (frequency = 3, performance = 1.00)
close case -> contested decision affected (frequency = 3, performance = 1.00)
completed subcases content -> grounds for refusal (frequency = 3, performance = 5.00)
completed subcases content -> procedure change after completeness (frequency = 3, performance = 1.00)
coordination of application -> create cover letter extend procedure term (frequency = 3, performance = 1.00)
copy decision permanent suspension to stakeholders -> create cover letter permanent suspension (frequency = 3, performance = 1.00)
copy decision to extend procedure to stakeholders -> enter senddate decision procedure term extension (frequency = 3, performance = 1.00)
create draft environtmental permit -> create subcases content (frequency = 3, performance = 1.00)
create letter requesting missing data -> creating decision permanently suspended (frequency = 3, performance = 1.00)
create procedure confirmation -> article 34  WABO applies (frequency = 3, performance = 3785115.67)
create procedure confirmation -> enter senddate acknowledgement (frequency = 3, performance = 86433.33)
create publication document -> create subcases submit draft decision (frequency = 3, performance = 1.00)
create publication document -> enter senddate decision environmental permit (frequency = 3, performance = 1.00)
create subcases completeness -> creating decision procedure term extension (frequency = 3, performance = 1.00)
create subcases completeness -> creating decision suspension art. 33 WABO (frequency = 3, performance = 1.00)
create subcases completeness -> enter senddate acknowledgement (frequency = 3, performance = 1.00)
create subcases completeness -> grounds for refusal (frequency = 3, performance = 1.00)
create subcases content -> grounds for refusal (frequency = 3, performance = 1.33)
create subcases content -> phase application receptive (frequency = 3, performance = 1.00)
create subcases submit draft decision -> enrich draft decision (frequency = 3, performance = 1.00)
creating environmental permit decision -> start decision phase decision permitting sent (frequency = 3, performance = 33399.33)
decision date prior to decision -> decision date prior to decision (frequency = 3, performance = 1.00)
decision date prior to decision -> enter enddate of suspension (frequency = 3, performance = 1.00)
decision date prior to decision -> enter senddate decision procedure term extension (frequency = 3, performance = 1.00)
decision date prior to decision -> forward to the competent authority (frequency = 3, performance = 1.00)
decision date prior to decision -> keep permanently suspended (frequency = 3, performance = 1.67)
decision date prior to decision -> set decision status (frequency = 3, performance = 1.00)
enrich draft decision -> enter senddate draft decision (frequency = 3, performance = 1.33)
enter date decision procedure term extension -> enter senddate procedure confirmation (frequency = 3, performance = 1.33)
enter date draft decisionenvironmental permit -> send design decision to stakeholders (frequency = 3, performance = 2028618.67)
enter date publication decision environmental permit -> generate publication document decision environmental permit (frequency = 3, performance = 1.00)
enter date publication decision environmental permit -> registrer date of publishing received request (frequency = 3, performance = 1.00)
enter date termination request received -> create message terminate request (frequency = 3, performance = 1297158.00)
enter enddate of suspension -> enter senddate decision suspension (frequency = 3, performance = 1.00)
enter receipt of additional data -> article 34  WABO applies (frequency = 3, performance = 750006.00)
enter receipt of additional data -> enter date decision procedure term extension (frequency = 3, performance = 2073599.67)
enter receipt of additional data -> enter senddate decision procedure term extension (frequency = 3, performance = 2330396.67)
enter receipt of additional data -> enter senddate draft decision (frequency = 3, performance = 1.00)
enter receipt of additional data -> generate draft decision environmental permit (frequency = 3, performance = 1.00)
enter receipt of additional data -> phase advice known (frequency = 3, performance = 1702720.33)
enter senddate acknowledgement -> enter senddate decision procedure term extension (frequency = 3, performance = 2245196.67)
enter senddate acknowledgement -> forward to the competent authority (frequency = 3, performance = 1.00)
enter senddate decision procedure term extension -> phase advice known (frequency = 3, performance = 1977045.33)
enter senddate decision procedure term extension -> register date environmental permit decision (frequency = 3, performance = 2407300.33)
enter senddate decision suspension -> phase procedure resumed (frequency = 3, performance = 47.67)
enter senddate draft decision -> entering senddate draft decision environmental permit (frequency = 3, performance = 1.00)
enter senddate procedure confirmation -> enter date termination request received (frequency = 3, performance = 4605601.67)
enter senddate procedure confirmation -> register submission date request (frequency = 3, performance = 28797.67)
enter senddate procedure term extension -> phase procedure extended (frequency = 3, performance = 1.00)
enter senddate request termination -> register deadline (frequency = 3, performance = 104099.33)
enter senddate retrieve missing data -> MER present in supplement (frequency = 3, performance = 2821180.33)
extend procedure term -> request complete (frequency = 3, performance = 171395.33)
first or second phase -> forward to the competent authority (frequency = 3, performance = 1.00)
first phase affected -> forward to the competent authority (frequency = 3, performance = 1.00)
forward to the competent authority -> phased application (frequency = 3, performance = 1.67)
generate draft decision environmental permit -> generating decision environmental permit (frequency = 3, performance = 1.00)
generate draft decision environmental permit -> phase concept draft decision ready (frequency = 3, performance = 1.00)
generating decision environmental permit -> hearing about draft (frequency = 3, performance = 1.00)
generating decision environmental permit -> open draft decision for inspection (frequency = 3, performance = 1.00)
grounds for refusal -> enter date draft decisionenvironmental permit (frequency = 3, performance = 245674.67)
grounds for refusal -> inform BAG administrator (frequency = 3, performance = 1.00)
grounds for refusal -> objection lodged against decision (frequency = 3, performance = 1.00)
grounds for refusal -> set decision status (frequency = 3, performance = 1.00)
investigate BAG objects -> phase asked additional information (frequency = 3, performance = 1.00)
message terminate request -> read publication date field (frequency = 3, performance = 7.67)
no permit needed or only notification needed -> phase advice known (frequency = 3, performance = 1.00)
objection lodged against decision -> phase advice known (frequency = 3, performance = 1.00)
perspective on draft decision environmental permit received -> phase decision taken (frequency = 3, performance = 1.00)
perspective regarding draft founded -> phase decision sent (frequency = 3, performance = 1.00)
phase advice known -> enter date publication decision environmental permit (frequency = 3, performance = 681378.67)
phase advice known -> extend procedure term (frequency = 3, performance = 371124.33)
phase advice known -> set decision phase decision permitting decided (frequency = 3, performance = 1332028.00)
phase concept draft decision ready -> phase decision ready (frequency = 3, performance = 1.00)
phase decision sent -> start decision phase decision permitting sent (frequency = 3, performance = 1.00)
phase decision suspended -> procedure change (frequency = 3, performance = 1.00)
phase decision suspended -> send decision suspension (frequency = 3, performance = 9.00)
phase decision taken -> phase draft decision made (frequency = 3, performance = 1.00)
phase decision taken -> register date environmental permit decision (frequency = 3, performance = 30967.33)
phase decision taken -> set decision phase decision permitting decided (frequency = 3, performance = 2.67)
phase draft decision made -> publish official draft decision (frequency = 3, performance = 1.00)
phase draft decision ready -> phased application (frequency = 3, performance = 1.00)
phase draft decision ready -> start decisionphase draft decision - permitting decided (frequency = 3, performance = 1.00)
phase permanently suspended -> request complete (frequency = 3, performance = 1.00)
phase permanently suspended -> start decision phase permanent suspension sent (frequency = 3, performance = 1.00)
phase procedure aborted -> read publication date field (frequency = 3, performance = 1.00)
phase procedure extended -> copy decision to extend procedure to stakeholders (frequency = 3, performance = 1.00)
procedure change -> ask stakeholders views (frequency = 3, performance = 172800.00)
procedure change -> create letter requesting missing data (frequency = 3, performance = 374371.33)
procedure change -> read publication date field (frequency = 3, performance = 1.00)
procedure change -> suspension ground applicable (frequency = 3, performance = 3.33)
procedure change after completeness -> publish (frequency = 3, performance = 1.00)
procedure change after completeness -> register number of days extension period (frequency = 3, performance = 1.00)
procedure change after completeness -> treat subcases content (frequency = 3, performance = 2.67)
publication date draft decision -> register date environmental permit decision (frequency = 3, performance = 6204351.00)
publish official draft decision -> creating environmental permit decision (frequency = 3, performance = 15909002.67)
publish official draft decision -> enter date draft decisionenvironmental permit (frequency = 3, performance = 237454.00)
publish official draft decision -> publication date draft decision (frequency = 3, performance = 761239.00)
read field phased application -> receive additional information (frequency = 3, performance = 1.00)
read publication date field -> receive additional information (frequency = 3, performance = 1.00)
receive additional information -> regular procedure without MER (frequency = 3, performance = 1.00)
reception through OLO -> regular procedure without MER (frequency = 3, performance = 1.00)
reception through OLO -> send confirmation receipt (frequency = 3, performance = 1.00)
register date environmental permit decision -> date decision for inspection (frequency = 3, performance = 777599.33)
register date environmental permit decision -> register objection and appeal periods (frequency = 3, performance = 1.00)
register date environmental permit decision -> registration date publication (frequency = 3, performance = 86396.33)
register date environmental permit decision -> registrer date of publishing received request (frequency = 3, performance = 1.00)
register number of days extension period -> registrer date of publishing received request (frequency = 3, performance = 2045945.67)
register objection and appeal periods -> register submission date request (frequency = 3, performance = 1.00)
register submission date request -> forward to the competent authority (frequency = 3, performance = 1979724.67)
register submission date request -> terminate on request (frequency = 3, performance = 360589.00)
registration date publication -> enter date decision procedure term extension (frequency = 3, performance = 3313193.00)
registration date publication -> enter receipt of additional data (frequency = 3, performance = 1527594.00)
registrer date of publishing received request -> enter senddate decision environmental permit (frequency = 3, performance = 1382396.67)
regular procedure without MER -> send procedure confirmation (frequency = 3, performance = 2.00)
request complete -> create letter requesting missing data (frequency = 3, performance = 1036802.33)
request complete -> phase concept draft decision ready (frequency = 3, performance = 5783971.00)
request complete -> register date environmental permit decision (frequency = 3, performance = 2120128.33)
request complete -> start WABOprocedure (frequency = 3, performance = 4.33)
retrieve missing data -> MER present in supplement (frequency = 3, performance = 2867557.67)
retrieve missing data -> phase advice known (frequency = 3, performance = 15290051.33)
retrieve missing data -> phase asked additional information (frequency = 3, performance = 316808.00)
retrieve missing data -> registration date publication (frequency = 3, performance = 582446.33)
retrieve missing data -> send procedure confirmation (frequency = 3, performance = 1.00)
send confirmation receipt -> MER required (frequency = 3, performance = 1641530.00)
send confirmation receipt -> create letter requesting missing data (frequency = 3, performance = 2334016.33)
send confirmation receipt -> message terminate request (frequency = 3, performance = 10018231.67)
send confirmation receipt -> registration date publication (frequency = 3, performance = 580673.00)
send confirmation receipt additional data -> assessment of content completed (frequency = 3, performance = 5326798.67)
send confirmation receipt additional data -> send decision suspension (frequency = 3, performance = 1.00)
send confirmation receipt additional data -> send design decision to stakeholders (frequency = 3, performance = 1.00)
send decision suspension -> creating environmental permit decision (frequency = 3, performance = 2444698.67)
send decision suspension -> phase procedure resumed (frequency = 3, performance = 51.00)
send decision suspension -> subcase art. 33 WABO completed (frequency = 3, performance = 10.33)
send design decision to stakeholders -> date draft decision for inspection (frequency = 3, performance = 850542.33)
send design decision to stakeholders -> set decision phase decision permitting decided (frequency = 3, performance = 1.00)
send letter in progress -> WAW permit aspect (frequency = 3, performance = 1.00)
send procedure confirmation -> enter date decision procedure term extension (frequency = 3, performance = 2690804.33)
send procedure confirmation -> investigate BAG objects (frequency = 3, performance = 7040789.67)
send procedure confirmation -> send letter in progress (frequency = 3, performance = 1662613.67)
send procedure confirmation -> suspend term (frequency = 3, performance = 1.00)
set decision phase decision permitting decided -> enter senddate decision (frequency = 3, performance = 431992.67)
set decision phase decision permitting decided -> set decision phase inspection of decision permitting (frequency = 3, performance = 1.00)
set decision phase inspection of decision permitting -> appeal logded (frequency = 3, performance = 4810802.67)
set decision phase suspension sent -> phase decision suspended (frequency = 3, performance = 437983.33)
set decision phase suspension sent -> set decision phase: suspension cancelled (frequency = 3, performance = 1.00)
set decision phase: draft decision for inspection -> creating cover letter decision (frequency = 3, performance = 4493998.00)
set decision phase: draft decision for inspection -> creating environmental permit decision (frequency = 3, performance = 6250796.67)
set decision phase: draft decision permitted sent -> set decision phase: draft decision for inspection (frequency = 3, performance = 259200.00)
set decision phase: draft decision permitted sent -> set decision status (frequency = 3, performance = 1.00)
set decision phase: suspension cancelled -> by law (frequency = 3, performance = 3457222.00)
set decision status -> set decision phase decision permitting decided (frequency = 3, performance = 123099.33)
set decision status -> start decision phase permanently suspended decided (frequency = 3, performance = 1.33)
set phase: phase permitting irrevocable -> enter senddate decision environmental permit (frequency = 3, performance = 533930.00)
set phase: phase permitting irrevocable -> phase archived case (frequency = 3, performance = 5787600.00)
set phase: phase permitting irrevocable -> register deadline (frequency = 3, performance = 1497605.00)
start WABOprocedure -> article 33 applies (frequency = 3, performance = 4001905.00)
start WABOprocedure -> assessment of content completed (frequency = 3, performance = 16142322.67)
start WABOprocedure -> close case (frequency = 3, performance = 3227976.33)
start WABOprocedure -> copy decision to extend procedure to stakeholders (frequency = 3, performance = 2849982.33)
start WABOprocedure -> create publication document (frequency = 3, performance = 3085706.33)
start WABOprocedure -> enter date decision procedure term extension (frequency = 3, performance = 3694964.00)
start WABOprocedure -> enter date termination request received (frequency = 3, performance = 2246380.67)
start WABOprocedure -> phase additional information received (frequency = 3, performance = 2863288.33)
start WABOprocedure -> phase asked additional information (frequency = 3, performance = 10539539.33)
start WABOprocedure -> procedure change (frequency = 3, performance = 2302735.33)
start WABOprocedure -> record date of decision environmental permit (frequency = 3, performance = 3470190.67)
start WABOprocedure -> start decision phase decision permitting sent (frequency = 3, performance = 1.00)
start decision phase decision permitting sent -> request complete (frequency = 3, performance = 43535.67)
start decision phase extension granted -> MER present in supplement (frequency = 3, performance = 3484814.00)
start decision phase extension granted -> request complete (frequency = 3, performance = 47297.67)
start decision phase extension granted -> treat subcases content (frequency = 3, performance = 1.00)
start decisionphase draft decision - permitting decided -> create cover letter draft decision (frequency = 3, performance = 1007996.00)
start decisionphase draft decision - permitting decided -> set decision phase: draft decision permitted sent (frequency = 3, performance = 518399.00)
start phased application -> term 14 or 26 weeks (frequency = 3, performance = 1.00)
subcases completeness completed -> request complete (frequency = 3, performance = 10.33)
subcases completeness completed -> terminate on request (frequency = 3, performance = 1.00)
subcases completeness completed -> treat subcases content (frequency = 3, performance = 1.00)
submit decision -> phase decision taken (frequency = 3, performance = 230386.00)
submit decision -> submit draft decision (frequency = 3, performance = 1.00)
submit decision -> suspend term (frequency = 3, performance = 1.00)
submit draft decision -> term for supplying missing data (frequency = 3, performance = 1.00)
suspension ground applicable -> create monitoring case (frequency = 3, performance = 316779.67)
suspension ground applicable -> decision date prior to decision (frequency = 3, performance = 287998.67)
suspension ground applicable -> record date of decision environmental permit (frequency = 3, performance = 118076.00)
suspension ground applicable -> send decision suspension (frequency = 3, performance = 121937.33)
term for supplying missing data -> retrieve missing data (frequency = 3, performance = 57580.00)
terminate on request -> enter senddate acknowledgement (frequency = 3, performance = 29673.00)
terminate on request -> register date environmental permit decision (frequency = 3, performance = 270836.67)
terminate on request -> request complete (frequency = 3, performance = 456716.67)
terminate on request -> transcript decision environmental permit to stakeholders (frequency = 3, performance = 1.00)
transcript decision environmental permit to stakeholders -> set phase: phase permitting irrevocable (frequency = 3, performance = 4436378.67)
transcript decision environmental permit to stakeholders -> treat subcase perspective (frequency = 3, performance = 1.00)
treat subcases completeness -> creating cover letter decision (frequency = 3, performance = 460781.67)
treat subcases completeness -> phase asked additional information (frequency = 3, performance = 143949.33)
treat subcases completeness -> retrieve missing data (frequency = 3, performance = 228769.67)
treat subcases content -> ask stakeholders views (frequency = 3, performance = 1843174.33)
treat subcases content -> creating environmental permit decision (frequency = 3, performance = 1700461.33)
treat subcases content -> submit decision (frequency = 3, performance = 806072.00)
updated plan after perspective -> enter senddate decision environmental permit (frequency = 3, performance = 345586.67)
Creating environmental permit decision -> register submission date request (frequency = 2, performance = 0.00)
Enter senddate decision environmental permit -> register submission date request (frequency = 2, performance = 0.00)
MER present -> MER required (frequency = 2, performance = 1.00)
MER present in supplement -> create cover letter permanent suspension (frequency = 2, performance = 1.00)
Record date of decision environmental permit -> register submission date request (frequency = 2, performance = 0.00)
Send confirmation receipt -> register submission date request (frequency = 2, performance = 0.00)
Send letter in progress -> register submission date request (frequency = 2, performance = 0.00)
Transcript decision environmental permit to stakeholders -> register submission date request (frequency = 2, performance = 0.00)
WAW permit aspect -> article 34  WABO applies (frequency = 2, performance = 1.50)
activities regular procedure -> applicant is stakeholder (frequency = 2, performance = 1.00)
activities regular procedure -> create letter requesting missing data (frequency = 2, performance = 1.00)
activities regular procedure -> create publication document (frequency = 2, performance = 2.00)
activities regular procedure -> first or second phase (frequency = 2, performance = 1.00)
applicant is stakeholder -> article 34  WABO applies (frequency = 2, performance = 1.00)
applicant is stakeholder -> procedure change (frequency = 2, performance = 1.00)
article 34  WABO applies -> create draft environtmental permit (frequency = 2, performance = 1.00)
ask stakeholders views -> completed subcases content (frequency = 2, performance = 2.50)
ask stakeholders views -> submit decision (frequency = 2, performance = 333064.50)
by law -> creating decision suspension art. 33 WABO (frequency = 2, performance = 1.00)
close case -> create monitoring case (frequency = 2, performance = 1.00)
close case -> enter senddate decision (frequency = 2, performance = 1.00)
completed subcases content -> create letter requesting updated plan (frequency = 2, performance = 1.00)
completed subcases content -> create subcases content (frequency = 2, performance = 1.50)
completed subcases content -> creating cover letter decision (frequency = 2, performance = 1.50)
completed subcases content -> enter receipt of additional data (frequency = 2, performance = 1.00)
continuation term to decision -> create continuation letter (frequency = 2, performance = 1.00)
coordination of application -> create cover letter draft decision (frequency = 2, performance = 1.00)
create cover letter permanent suspension -> decision keep permanently suspended (frequency = 2, performance = 1.00)
create decision procedure term extension -> enter senddate procedure term extension (frequency = 2, performance = 1.00)
create draft environtmental permit -> create letter requesting missing data (frequency = 2, performance = 1.00)
create draft environtmental permit -> create procedure confirmation (frequency = 2, performance = 1.00)
create draft environtmental permit -> phase concept draft decision ready (frequency = 2, performance = 11.00)
create letter requesting missing data -> enter receipt of additional data (frequency = 2, performance = 1.00)
create letter requesting missing data -> term for supplying missing data (frequency = 2, performance = 1.50)
create monitoring case -> create publication document (frequency = 2, performance = 1.00)
create procedure confirmation -> create procedure confirmation (frequency = 2, performance = 1.00)
create procedure confirmation -> enter senddate retrieve missing data (frequency = 2, performance = 1333122.00)
create publication document -> create subcases content (frequency = 2, performance = 1.00)
create publication document -> enter senddate draft decision (frequency = 2, performance = 1.00)
create subcases completeness -> article 34  WABO applies (frequency = 2, performance = 561648.50)
create subcases completeness -> enter receipt of additional data (frequency = 2, performance = 1.00)
create subcases completeness -> investigate BAG objects (frequency = 2, performance = 1.00)
create subcases completeness -> phase advice known (frequency = 2, performance = 2.50)
create subcases content -> generate draft decision environmental permit (frequency = 2, performance = 1.00)
create subcases content -> phase advice known (frequency = 2, performance = 1.50)
creating cover letter decision -> generating decision environmental permit (frequency = 2, performance = 1.00)
creating cover letter decision -> phase decision taken (frequency = 2, performance = 1.00)
creating decision procedure term extension -> creating environmental permit decision (frequency = 2, performance = 1.00)
creating decision procedure term extension -> enter date decision procedure term extension (frequency = 2, performance = 1352.00)
creating decision suspension art. 33 WABO -> enter date decision suspension (frequency = 2, performance = 1.00)
creating decision suspension art. 33 WABO -> grounds for refusal (frequency = 2, performance = 1.00)
creating environmental permit decision -> enter date decision procedure term extension (frequency = 2, performance = 177372.00)
creating environmental permit decision -> enter receipt of additional data (frequency = 2, performance = 1.50)
creating environmental permit decision -> enter senddate decision (frequency = 2, performance = 1924872.50)
creating environmental permit decision -> extend procedure term (frequency = 2, performance = 1.00)
creating environmental permit decision -> final VVGB applications (frequency = 2, performance = 1.00)
creating environmental permit decision -> phase decision sent (frequency = 2, performance = 125434.00)
creating environmental permit decision -> registrer date of publishing received request (frequency = 2, performance = 77334.00)
