send confirmation receipt -> send confirmation receipt (frequency = 474, performance = 124.12)
treat subcases content -> assessment of content completed (frequency = 6, performance = 7.67)
OLO messaging active -> article 34  WABO applies (frequency = 5, performance = 1.00)
activities regular procedure -> article 34  WABO applies (frequency = 5, performance = 1.00)
completed subcases content -> assessment of content completed (frequency = 5, performance = 8.60)
completed subcases content -> creating environmental permit decision (frequency = 5, performance = 4.60)
coordination of application -> create subcases present decision (frequency = 5, performance = 1.00)
create decision procedure term extension -> create subcases completeness (frequency = 5, performance = 1.00)
create message terminate request -> initiative competent authority (frequency = 5, performance = 1.00)
create subcases completeness -> enrich draft decision (frequency = 5, performance = 1.00)
create subcases present decision -> enrich decision (frequency = 5, performance = 1.00)
creating environmental permit decision -> record date of decision environmental permit (frequency = 5, performance = 1371795.20)
creating environmental permit decision -> registration date publication (frequency = 5, performance = 364750.60)
creating environmental permit decision -> set decision phase decision permitting decided (frequency = 5, performance = 381093.20)
creating environmental permit decision -> set decision status (frequency = 5, performance = 1.00)
date decision for inspection -> register deadline (frequency = 5, performance = 3246348.20)
date draft decision for inspection -> publication date draft decision (frequency = 5, performance = 1.00)
decision date prior to decision -> enter date decision suspension (frequency = 5, performance = 1.00)
decision date prior to decision -> enter date publication decision environmental permit (frequency = 5, performance = 1.00)
decision date prior to decision -> submit decision (frequency = 5, performance = 272993.40)
enter date advice on treatment of environmental permit -> enter receipt of additional data (frequency = 5, performance = 1.00)
enter date decision procedure term extension -> register number of days extension period (frequency = 5, performance = 58732.40)
enter date draft decisionenvironmental permit -> start decisionphase draft decision - permitting decided (frequency = 5, performance = 1.00)
enter date publication decision environmental permit -> enter senddate decision environmental permit (frequency = 5, performance = 1.00)
enter date publication decision environmental permit -> objection lodged against decision (frequency = 5, performance = 1.00)
enter date publication decision environmental permit -> registration date publication (frequency = 5, performance = 1.00)
enter publication date draft decision -> generating decision environmental permit (frequency = 5, performance = 1.00)
enter receipt of additional data -> grounds for refusal (frequency = 5, performance = 1.00)
enter senddate acknowledgement -> phase application received (frequency = 5, performance = 8921.00)
enter senddate acknowledgement -> send confirmation receipt (frequency = 5, performance = 167247.60)
enter senddate confirmation request -> register date decision terminate on request (frequency = 5, performance = 1.00)
enter senddate decision environmental permit -> forward to the competent authority (frequency = 5, performance = 1.00)
enter senddate decision permanent suspension -> enter senddate decision permanent suspension (frequency = 5, performance = 58676.60)
enter senddate decision suspension -> grounds for refusal (frequency = 5, performance = 1.00)
enter senddate procedure confirmation -> enter date publication decision environmental permit (frequency = 5, performance = 241920.40)
enter senddate procedure confirmation -> phase application received (frequency = 5, performance = 1357691.40)
extend procedure term -> forward to the competent authority (frequency = 5, performance = 1.00)
open draft decision for inspection -> phase additional information received (frequency = 5, performance = 1.00)
phase additional information received -> MER present in supplement (frequency = 5, performance = 1059517.40)
phase advice known -> register number of days extension period (frequency = 5, performance = 1158304.20)
phase application received -> reception through OLO (frequency = 5, performance = 1.00)
phase application receptive -> phase decision taken (frequency = 5, performance = 1.00)
phase decision ready -> set decision phase decision permitting decided (frequency = 5, performance = 115836.20)
phase decision suspended -> phase procedure resumed (frequency = 5, performance = 1.00)
phase draft decision ready -> send design decision to stakeholders (frequency = 5, performance = 1.00)
phase procedure aborted -> register deadline (frequency = 5, performance = 1.00)
phase procedure resumed -> procedure change (frequency = 5, performance = 1.00)
procedure change -> register number of days extension period (frequency = 5, performance = 1.00)
register date decision terminate on request -> stop process after terminate on request (frequency = 5, performance = 45962.60)
register submission date request -> send procedure confirmation (frequency = 5, performance = 584954.00)
registration date publication -> phase advice known (frequency = 5, performance = 1442844.40)
registration date publication -> treat subcases completeness (frequency = 5, performance = 1111384.40)
request complete -> register number of days extension period (frequency = 5, performance = 86524.00)
request complete -> subcases completeness completed (frequency = 5, performance = 1.00)
request complete -> submit decision (frequency = 5, performance = 292616.20)
resume completeness subcases -> send letter in progress (frequency = 5, performance = 1.00)
send procedure confirmation -> phase additional information received (frequency = 5, performance = 2818827.00)
send procedure confirmation -> procedure change (frequency = 5, performance = 1481462.20)
send procedure confirmation -> treat subcases content (frequency = 5, performance = 1952254.40)
set decision phase decision permitting decided -> record date of decision environmental permit (frequency = 5, performance = 37262.00)
set decision phase decision permitting decided -> submit decision (frequency = 5, performance = 1.00)
start WABOprocedure -> create cover letter permanent suspension (frequency = 5, performance = 2877602.00)
start WABOprocedure -> term for supplying missing data (frequency = 5, performance = 1.00)
start decision phase decision permitting sent -> date decision for inspection (frequency = 5, performance = 396709.40)
start decision phase extension granted -> ask stakeholders views (frequency = 5, performance = 2989425.60)
start decision phase extension granted -> register number of days extension period (frequency = 5, performance = 45364.60)
stop all running subcases 2b -> transcript decision environmental permit to stakeholders (frequency = 5, performance = 1.00)
subcase art. 33 WABO completed -> suspension ground applicable (frequency = 5, performance = 1.00)
subcases completed present decision -> submit decision (frequency = 5, performance = 1.00)
submit draft decision -> treat subcases content (frequency = 5, performance = 1.00)
term for supplying missing data -> create cover letter permanent suspension (frequency = 5, performance = 4319983.60)
terminate on request -> enter senddate decision environmental permit (frequency = 5, performance = 419238.60)
transcript decision environmental permit to stakeholders -> set decision phase inspection of decision permitting (frequency = 5, performance = 431978.80)
transcript decision environmental permit to stakeholders -> start decision phase decision permitting sent (frequency = 5, performance = 103630.80)
treat subcase suspension art. 33 WABO -> treat subcases content (frequency = 5, performance = 1.00)
treat subcases completeness -> create letter requesting missing data (frequency = 5, performance = 2297477.00)
treat subcases completeness -> enter senddate retrieve missing data (frequency = 5, performance = 224654.40)
treat subcases content -> create cover letter draft decision (frequency = 5, performance = 1036797.40)
treat subcases content -> create subcases present decision (frequency = 5, performance = 293737.20)
treat subcases content -> enter senddate decision (frequency = 5, performance = 1312530.80)
treat subcases content -> phase decision ready (frequency = 5, performance = 570194.00)
treat subcases content -> treat subcases present decision (frequency = 5, performance = 1.00)
treat subcases content -> updated plan after review (frequency = 5, performance = 1.00)
MER present in supplement -> phase additional information received (frequency = 4, performance = 1.00)
OLO messaging active -> enter senddate acknowledgement (frequency = 4, performance = 1.00)
WAW permit aspect -> activities regular procedure (frequency = 4, performance = 1.00)
completed subcases content -> article 34  WABO applies (frequency = 4, performance = 1.00)
completed subcases content -> create cover letter extend procedure term (frequency = 4, performance = 1.00)
completed subcases content -> creating decision suspension art. 33 WABO (frequency = 4, performance = 1.00)
create draft environtmental permit -> create procedure confirmation (frequency = 4, performance = 1.00)
create draft environtmental permit -> create subcases completeness (frequency = 4, performance = 1.00)
create letter requesting missing data -> enter senddate retrieve missing data (frequency = 4, performance = 1.00)
create publication document -> create publication document (frequency = 4, performance = 1.00)
create publication document -> create subcases present decision (frequency = 4, performance = 1.00)
create subcases completeness -> creating decision permanently suspended (frequency = 4, performance = 1.00)
create subcases completeness -> first or second phase (frequency = 4, performance = 1.00)
create subcases content -> generate draft decision environmental permit (frequency = 4, performance = 1.00)
creating cover letter decision -> decision date prior to decision (frequency = 4, performance = 1.00)
creating environmental permit decision -> register number of days extension period (frequency = 4, performance = 1111240.25)
creating environmental permit decision -> set phase: phase permitting irrevocable (frequency = 4, performance = 134013.25)
decision date prior to decision -> decision date prior to decision (frequency = 4, performance = 1.00)
decision date prior to decision -> extend procedure term (frequency = 4, performance = 1.00)
decision keep permanently suspended -> keep permanently suspended (frequency = 4, performance = 1.00)
enrich decision -> enter senddate decision environmental permit (frequency = 4, performance = 1.00)
enrich draft decision -> enrich draft decision (frequency = 4, performance = 1.00)
enter date advice on treatment of environmental permit -> generate draft decision environmental permit (frequency = 4, performance = 1.00)
enter date decision procedure term extension -> enter senddate procedure term extension (frequency = 4, performance = 479.25)
enter receipt of additional data -> enter senddate procedure confirmation (frequency = 4, performance = 1231198.75)
enter receipt of additional data -> generating decision environmental permit (frequency = 4, performance = 1.00)
enter receipt of additional data -> registrer date of publishing received request (frequency = 4, performance = 540004.50)
enter senddate acknowledgement -> enter date termination request received (frequency = 4, performance = 3628796.75)
enter senddate decision environmental permit -> set decision phase decision permitting decided (frequency = 4, performance = 1.00)
enter senddate decision permanent suspension -> phase permanently suspended (frequency = 4, performance = 1.00)
enter senddate decision procedure term extension -> enter senddate decision environmental permit (frequency = 4, performance = 1762932.75)
enter senddate decision procedure term extension -> extend procedure term (frequency = 4, performance = 784828.75)
enter senddate draft decision -> generating decision environmental permit (frequency = 4, performance = 1.00)
enter senddate draft decision -> open draft decision for inspection (frequency = 4, performance = 1.00)
enter senddate letter to competent authority -> enter senddate letter to stakeholders (frequency = 4, performance = 1.00)
enter senddate procedure confirmation -> enter receipt of additional data (frequency = 4, performance = 3542400.25)
enter senddate retrieve missing data -> phase additional information received (frequency = 4, performance = 6209346.00)
enter senddate retrieve missing data -> procedure change (frequency = 4, performance = 1.00)
entering senddate draft decision environmental permit -> publication date draft decision (frequency = 4, performance = 561600.25)
extend procedure term -> phase application receptive (frequency = 4, performance = 30.50)
first or second phase -> first phase affected (frequency = 4, performance = 1.00)
first or second phase -> forward to the competent authority (frequency = 4, performance = 1.00)
grounds for refusal -> register date environmental permit decision (frequency = 4, performance = 907919.50)
hearing about draft -> perspective from GS or VROM received (frequency = 4, performance = 1.00)
message terminate request -> phase procedure aborted (frequency = 4, performance = 8.00)
open draft decision for inspection -> perspective on draft decision environmental permit received (frequency = 4, performance = 1.00)
open draft decision for inspection -> phase advice known (frequency = 4, performance = 1.00)
perspective on draft decision environmental permit received -> perspective regarding draft founded (frequency = 4, performance = 1.00)
phase additional information received -> send confirmation receipt additional data (frequency = 4, performance = 1.50)
phase advice known -> phase decision taken (frequency = 4, performance = 8801.25)
phase application received -> enter senddate procedure confirmation (frequency = 4, performance = 31061.00)
phase application receptive -> phase archived case (frequency = 4, performance = 1.00)
phase asked additional information -> phase concept draft decision ready (frequency = 4, performance = 1.00)
phase case handled -> stop all running subcases 2b (frequency = 4, performance = 1.00)
phase decision taken -> phase draft decision made (frequency = 4, performance = 1.00)
phase procedure extended -> receive additional information (frequency = 4, performance = 1.00)
phase procedure resumed -> creating environmental permit decision (frequency = 4, performance = 2.25)
phase procedure resumed -> refusal after suspension (frequency = 4, performance = 1.00)
procedure change -> send letter in progress (frequency = 4, performance = 1.00)
procedure change -> start WABOprocedure (frequency = 4, performance = 1.00)
procedure change after completeness -> article 34  WABO applies (frequency = 4, performance = 1.00)
publication date draft decision -> suspension ground applicable (frequency = 4, performance = 3483559.75)
publish official draft decision -> suspension ground applicable (frequency = 4, performance = 5551997.25)
receive additional information -> enter receipt of additional data (frequency = 4, performance = 604804.00)
receive additional information -> register number of days extension period (frequency = 4, performance = 1.00)
receive additional information -> retrieve missing data (frequency = 4, performance = 1.00)
refusal after suspension -> request complete (frequency = 4, performance = 1.00)
register date environmental permit decision -> creating environmental permit decision (frequency = 4, performance = 252185.25)
register date environmental permit decision -> registrer date of publishing received request (frequency = 4, performance = 1.00)
register deadline -> phase case handled (frequency = 4, performance = 30.75)
register number of days extension period -> phase advice known (frequency = 4, performance = 903240.50)
register objection and appeal periods -> send design decision to stakeholders (frequency = 4, performance = 1.00)
registrer date of publishing received request -> enter senddate decision environmental permit (frequency = 4, performance = 1511998.25)
registrer date of publishing received request -> treat subcases completeness (frequency = 4, performance = 45854.75)
request complete -> enter senddate decision environmental permit (frequency = 4, performance = 1151673.25)
request complete -> send decision suspension (frequency = 4, performance = 1.00)
retrieve missing data -> receive additional information (frequency = 4, performance = 2439907.00)
retrieve missing data -> start WABOprocedure (frequency = 4, performance = 1.00)
send confirmation receipt -> enter senddate procedure confirmation (frequency = 4, performance = 1811552.25)
send confirmation receipt -> read field phased application (frequency = 4, performance = 21018854.25)
send confirmation receipt additional data -> send decision suspension (frequency = 4, performance = 1.00)
send confirmation receipt additional data -> set decision status (frequency = 4, performance = 1.00)
send decision suspension -> creating environmental permit decision (frequency = 4, performance = 1833529.50)
send decision suspension -> subcase art. 33 WABO completed (frequency = 4, performance = 19.25)
send procedure confirmation -> send procedure confirmation (frequency = 4, performance = 2482643.50)
set decision phase decision permitting decided -> article 34  WABO applies (frequency = 4, performance = 172774.50)
set decision phase decision permitting decided -> creating cover letter decision (frequency = 4, performance = 259203.25)
set decision phase decision permitting decided -> request complete (frequency = 4, performance = 51277.25)
set decision phase inspection of decision permitting -> set phase: phase permitting irrevocable (frequency = 4, performance = 3715200.00)
set decision phase suspension decided -> register submission date request (frequency = 4, performance = 2656812.00)
set decision status -> subcases completed present decision (frequency = 4, performance = 1.00)
set phase: phase permitting irrevocable -> enter date publication decision environmental permit (frequency = 4, performance = 2073600.50)
start WABOprocedure -> ask stakeholders views (frequency = 4, performance = 9201523.50)
start WABOprocedure -> create message terminate request (frequency = 4, performance = 5514585.25)
start WABOprocedure -> phase application receptive (frequency = 4, performance = 1707317.50)
start WABOprocedure -> retrieve missing data (frequency = 4, performance = 3532841.00)
start WABOprocedure -> set decision phase decision permitting decided (frequency = 4, performance = 3153415.50)
start WABOprocedure -> start WABOprocedure (frequency = 4, performance = 1487293.50)
start WABOprocedure -> submit draft decision (frequency = 4, performance = 1.00)
start WABOprocedure -> treat subcases content (frequency = 4, performance = 188475.25)
start decision phase decision permitting sent -> objection lodged against decision (frequency = 4, performance = 12764711.50)
start decision phase extension granted -> enter senddate decision procedure term extension (frequency = 4, performance = 73122.50)
start decisionphase draft decision - permitting decided -> submit draft decision (frequency = 4, performance = 1.00)
subcase perspective complete -> submit decision (frequency = 4, performance = 1.00)
subcases completeness completed -> suspend term (frequency = 4, performance = 1.00)
submit decision -> record date of decision environmental permit (frequency = 4, performance = 247534.50)
submit draft decision -> date draft decision for inspection (frequency = 4, performance = 583170.75)
suspend term -> terminate on request (frequency = 4, performance = 1.00)
suspension ground applicable -> terminate on request (frequency = 4, performance = 1.00)
term for supplying missing data -> treat subcases content (frequency = 4, performance = 1.00)
transcript decision environmental permit to stakeholders -> register deadline (frequency = 4, performance = 3843892.50)
treat subcases present decision -> creating cover letter decision (frequency = 4, performance = 280802.50)
MER present -> activities regular procedure (frequency = 3, performance = 1.00)
MER present in supplement -> article 33 applies (frequency = 3, performance = 1.00)
MER present in supplement -> send confirmation receipt additional data (frequency = 3, performance = 1.00)
MER required -> activities regular procedure (frequency = 3, performance = 1.00)
WAW permit aspect -> phase advice known (frequency = 3, performance = 13.67)
activities regular procedure -> forward to the competent authority (frequency = 3, performance = 1.00)
appeal logded -> phase decision irrevocable (frequency = 3, performance = 1.00)
applicant is stakeholder -> article 34  WABO applies (frequency = 3, performance = 1.00)
article 34  WABO applies -> completed subcases content (frequency = 3, performance = 1.00)
article 34  WABO applies -> create draft environtmental permit (frequency = 3, performance = 1.00)
by law -> close case (frequency = 3, performance = 1.00)
close case -> completed subcases content (frequency = 3, performance = 1.00)
close case -> contested decision affected (frequency = 3, performance = 1.00)
completed subcases content -> create subcases completeness (frequency = 3, performance = 1.00)
completed subcases content -> grounds for refusal (frequency = 3, performance = 5.00)
completed subcases content -> procedure change after completeness (frequency = 3, performance = 1.00)
coordination of application -> create cover letter extend procedure term (frequency = 3, performance = 1.00)
copy decision permanent suspension to stakeholders -> create cover letter permanent suspension (frequency = 3, performance = 1.00)
copy decision to extend procedure to stakeholders -> enter senddate decision procedure term extension (frequency = 3, performance = 1.00)
create cover letter draft decision -> enrich draft decision (frequency = 3, performance = 1.00)
create draft environtmental permit -> create subcases content (frequency = 3, performance = 1.00)
create letter requesting missing data -> creating decision permanently suspended (frequency = 3, performance = 1.00)
create procedure confirmation -> article 34  WABO applies (frequency = 3, performance = 3785115.67)
create procedure confirmation -> enter senddate acknowledgement (frequency = 3, performance = 86433.33)
create publication document -> create subcases submit draft decision (frequency = 3, performance = 1.00)
create publication document -> enter senddate decision environmental permit (frequency = 3, performance = 1.00)
create subcases completeness -> creating decision procedure term extension (frequency = 3, performance = 1.00)
create subcases completeness -> creating decision suspension art. 33 WABO (frequency = 3, performance = 1.00)
create subcases completeness -> enter senddate acknowledgement (frequency = 3, performance = 1.00)
create subcases completeness -> grounds for refusal (frequency = 3, performance = 1.00)
create subcases content -> grounds for refusal (frequency = 3, performance = 1.00)
create subcases content -> phase application receptive (frequency = 3, performance = 1.00)
create subcases submit draft decision -> enrich draft decision (frequency = 3, performance = 1.00)
creating decision procedure term extension -> creating environmental permit decision (frequency = 3, performance = 1.00)
creating environmental permit decision -> start decision phase decision permitting sent (frequency = 3, performance = 33399.33)
decision date prior to decision -> enrich draft decision (frequency = 3, performance = 1.00)
decision date prior to decision -> enter enddate of suspension (frequency = 3, performance = 1.00)
decision date prior to decision -> enter senddate decision procedure term extension (frequency = 3, performance = 1.00)
decision date prior to decision -> forward to the competent authority (frequency = 3, performance = 1.00)
decision date prior to decision -> set decision status (frequency = 3, performance = 1.00)
enrich draft decision -> enter senddate draft decision (frequency = 3, performance = 1.00)
enter date draft decisionenvironmental permit -> date draft decision for inspection (frequency = 3, performance = 1023967.33)
enter date draft decisionenvironmental permit -> send design decision to stakeholders (frequency = 3, performance = 2028618.67)
enter date publication decision environmental permit -> generate publication document decision environmental permit (frequency = 3, performance = 1.00)
enter date publication decision environmental permit -> registrer date of publishing received request (frequency = 3, performance = 1.00)
enter date termination request received -> create message terminate request (frequency = 3, performance = 1297158.00)
enter enddate of suspension -> enter receipt of additional data (frequency = 3, performance = 1.00)
enter enddate of suspension -> enter senddate decision suspension (frequency = 3, performance = 1.00)
enter receipt of additional data -> article 34  WABO applies (frequency = 3, performance = 750006.00)
enter receipt of additional data -> enter date decision procedure term extension (frequency = 3, performance = 2073599.67)
enter receipt of additional data -> enter senddate decision environmental permit (frequency = 3, performance = 1.00)
enter receipt of additional data -> enter senddate decision procedure term extension (frequency = 3, performance = 2330396.67)
enter receipt of additional data -> enter senddate decision suspension (frequency = 3, performance = 1.00)
enter receipt of additional data -> enter senddate draft decision (frequency = 3, performance = 1.00)
enter receipt of additional data -> generate draft decision environmental permit (frequency = 3, performance = 1.00)
enter senddate acknowledgement -> enter senddate decision procedure term extension (frequency = 3, performance = 2245196.67)
enter senddate acknowledgement -> enter senddate retrieve missing data (frequency = 3, performance = 2015997.00)
enter senddate acknowledgement -> forward to the competent authority (frequency = 3, performance = 1.00)
enter senddate acknowledgement -> request complete (frequency = 3, performance = 2292408.67)
enter senddate decision environmental permit -> enter senddate draft decision (frequency = 3, performance = 1.00)
enter senddate decision procedure term extension -> phase advice known (frequency = 3, performance = 1977045.33)
enter senddate decision procedure term extension -> register date environmental permit decision (frequency = 3, performance = 2407300.33)
enter senddate decision suspension -> phase procedure resumed (frequency = 3, performance = 47.67)
enter senddate draft decision -> entering senddate draft decision environmental permit (frequency = 3, performance = 1.00)
enter senddate procedure confirmation -> enter date termination request received (frequency = 3, performance = 4605601.67)
enter senddate procedure confirmation -> register submission date request (frequency = 3, performance = 28797.67)
enter senddate procedure term extension -> phase procedure extended (frequency = 3, performance = 1.00)
enter senddate request termination -> register deadline (frequency = 3, performance = 104099.33)
enter senddate retrieve missing data -> MER present in supplement (frequency = 3, performance = 2821180.33)
extend procedure term -> phase additional information received (frequency = 3, performance = 1.00)
extend procedure term -> register number of days extension period (frequency = 3, performance = 1.00)
first phase affected -> forward to the competent authority (frequency = 3, performance = 1.00)
generate draft decision environmental permit -> generating decision environmental permit (frequency = 3, performance = 1.00)
generate draft decision environmental permit -> phase concept draft decision ready (frequency = 3, performance = 1.00)
generating decision environmental permit -> hearing about draft (frequency = 3, performance = 1.00)
generating decision environmental permit -> open draft decision for inspection (frequency = 3, performance = 1.00)
grounds for refusal -> enter date draft decisionenvironmental permit (frequency = 3, performance = 245674.67)
grounds for refusal -> inform BAG administrator (frequency = 3, performance = 1.00)
grounds for refusal -> objection lodged against decision (frequency = 3, performance = 1.00)
grounds for refusal -> set decision status (frequency = 3, performance = 1.00)
investigate BAG objects -> phase asked additional information (frequency = 3, performance = 1.00)
message terminate request -> read publication date field (frequency = 3, performance = 7.67)
no permit needed or only notification needed -> phase advice known (frequency = 3, performance = 1.00)
objection lodged against decision -> phase advice known (frequency = 3, performance = 1.00)
perspective on draft decision environmental permit received -> phase decision taken (frequency = 3, performance = 1.00)
perspective regarding draft founded -> phase decision sent (frequency = 3, performance = 1.00)
phase additional information received -> phase procedure extended (frequency = 3, performance = 1.00)
phase advice known -> enter date publication decision environmental permit (frequency = 3, performance = 681378.67)
phase advice known -> set decision phase decision permitting decided (frequency = 3, performance = 1332028.00)
phase advice known -> transcript decision environmental permit to stakeholders (frequency = 3, performance = 197647.00)
phase application received -> read field phased application (frequency = 3, performance = 1.00)
phase concept draft decision ready -> phase decision ready (frequency = 3, performance = 1.00)
phase decision sent -> start decision phase decision permitting sent (frequency = 3, performance = 1.00)
phase decision suspended -> procedure change (frequency = 3, performance = 1.00)
phase decision suspended -> send decision suspension (frequency = 3, performance = 9.00)
phase decision taken -> phase perspective submitted (frequency = 3, performance = 1.00)
phase decision taken -> register date environmental permit decision (frequency = 3, performance = 30967.33)
phase draft decision made -> publish official draft decision (frequency = 3, performance = 1.00)
phase draft decision ready -> phased application (frequency = 3, performance = 1.00)
phase draft decision ready -> start decisionphase draft decision - permitting decided (frequency = 3, performance = 1.00)
phase permanently suspended -> request complete (frequency = 3, performance = 1.00)
phase permanently suspended -> start decision phase permanent suspension sent (frequency = 3, performance = 1.00)
phase procedure aborted -> read publication date field (frequency = 3, performance = 1.00)
phase procedure extended -> copy decision to extend procedure to stakeholders (frequency = 3, performance = 1.00)
procedure change -> ask stakeholders views (frequency = 3, performance = 172800.00)
procedure change -> create letter requesting missing data (frequency = 3, performance = 374371.33)
procedure change -> read publication date field (frequency = 3, performance = 1.00)
procedure change -> suspension ground applicable (frequency = 3, performance = 3.33)
procedure change after completeness -> phase advice known (frequency = 3, performance = 34.67)
procedure change after completeness -> publish (frequency = 3, performance = 1.00)
procedure change after completeness -> register number of days extension period (frequency = 3, performance = 1.00)
procedure change after completeness -> treat subcases content (frequency = 3, performance = 2.67)
publication date draft decision -> register date environmental permit decision (frequency = 3, performance = 6204351.00)
publish official draft decision -> creating environmental permit decision (frequency = 3, performance = 15909002.67)
publish official draft decision -> enter date draft decisionenvironmental permit (frequency = 3, performance = 237454.00)
publish official draft decision -> publication date draft decision (frequency = 3, performance = 761239.00)
read field phased application -> receive additional information (frequency = 3, performance = 1.00)
read publication date field -> receive additional information (frequency = 3, performance = 1.00)
receive additional information -> regular procedure without MER (frequency = 3, performance = 1.00)
reception through OLO -> regular procedure without MER (frequency = 3, performance = 1.00)
reception through OLO -> send confirmation receipt (frequency = 3, performance = 1.00)
register date environmental permit decision -> date decision for inspection (frequency = 3, performance = 777599.33)
register date environmental permit decision -> register objection and appeal periods (frequency = 3, performance = 1.00)
register date environmental permit decision -> registration date publication (frequency = 3, performance = 86396.33)
register number of days extension period -> registrer date of publishing received request (frequency = 3, performance = 2045945.67)
register objection and appeal periods -> register submission date request (frequency = 3, performance = 1.00)
register submission date request -> forward to the competent authority (frequency = 3, performance = 1979724.67)
registration date publication -> enter date decision procedure term extension (frequency = 3, performance = 3313193.00)
registration date publication -> enter receipt of additional data (frequency = 3, performance = 1527594.00)
registrer date of publishing received request -> phase advice known (frequency = 3, performance = 455241.67)
request complete -> create letter requesting missing data (frequency = 3, performance = 1036802.33)
request complete -> phase concept draft decision ready (frequency = 3, performance = 5783971.00)
request complete -> register date environmental permit decision (frequency = 3, performance = 2120128.33)
request complete -> send design decision to stakeholders (frequency = 3, performance = 1.00)
request complete -> start WABOprocedure (frequency = 3, performance = 4.33)
retrieve missing data -> MER present in supplement (frequency = 3, performance = 2867557.67)
retrieve missing data -> phase advice known (frequency = 3, performance = 15290051.33)
retrieve missing data -> phase asked additional information (frequency = 3, performance = 316808.00)
retrieve missing data -> registration date publication (frequency = 3, performance = 582446.33)
retrieve missing data -> send procedure confirmation (frequency = 3, performance = 1.00)
send confirmation receipt -> MER required (frequency = 3, performance = 1641530.00)
send confirmation receipt -> activities regular procedure (frequency = 3, performance = 9851340.00)
send confirmation receipt -> message terminate request (frequency = 3, performance = 10018231.67)
send confirmation receipt additional data -> assessment of content completed (frequency = 3, performance = 5326798.67)
send confirmation receipt additional data -> send design decision to stakeholders (frequency = 3, performance = 1.00)
send design decision to stakeholders -> date draft decision for inspection (frequency = 3, performance = 850542.33)
send design decision to stakeholders -> set decision phase decision permitting decided (frequency = 3, performance = 1.00)
send letter in progress -> WAW permit aspect (frequency = 3, performance = 1.00)
send procedure confirmation -> enter date decision procedure term extension (frequency = 3, performance = 2690804.33)
send procedure confirmation -> investigate BAG objects (frequency = 3, performance = 7040789.67)
send procedure confirmation -> send letter in progress (frequency = 3, performance = 1662613.67)
send procedure confirmation -> suspend term (frequency = 3, performance = 1.00)
set decision phase decision permitting decided -> enter senddate decision (frequency = 3, performance = 431992.67)
set decision phase decision permitting decided -> set decision phase inspection of decision permitting (frequency = 3, performance = 1.00)
set decision phase inspection of decision permitting -> appeal logded (frequency = 3, performance = 4810802.67)
set decision phase suspension sent -> phase decision suspended (frequency = 3, performance = 437983.33)
set decision phase suspension sent -> set decision phase: suspension cancelled (frequency = 3, performance = 1.00)
set decision phase: draft decision for inspection -> creating cover letter decision (frequency = 3, performance = 4493998.00)
set decision phase: draft decision for inspection -> creating environmental permit decision (frequency = 3, performance = 6250796.67)
set decision phase: draft decision permitted sent -> set decision phase: draft decision for inspection (frequency = 3, performance = 259200.00)
set decision phase: draft decision permitted sent -> set decision status (frequency = 3, performance = 1.00)
set decision phase: suspension cancelled -> by law (frequency = 3, performance = 3457222.00)
set decision status -> set decision phase decision permitting decided (frequency = 3, performance = 123099.33)
set decision status -> start decision phase permanently suspended decided (frequency = 3, performance = 1.00)
set phase: phase permitting irrevocable -> phase archived case (frequency = 3, performance = 5787600.00)
set phase: phase permitting irrevocable -> register deadline (frequency = 3, performance = 1497605.00)
start WABOprocedure -> article 33 applies (frequency = 3, performance = 4001905.00)
start WABOprocedure -> assessment of content completed (frequency = 3, performance = 16142322.67)
start WABOprocedure -> close case (frequency = 3, performance = 3227976.33)
start WABOprocedure -> copy decision to extend procedure to stakeholders (frequency = 3, performance = 2849982.33)
start WABOprocedure -> create publication document (frequency = 3, performance = 3085706.33)
start WABOprocedure -> enter date decision procedure term extension (frequency = 3, performance = 3694964.00)
start WABOprocedure -> enter date termination request received (frequency = 3, performance = 2246380.67)
start WABOprocedure -> phase additional information received (frequency = 3, performance = 2863288.33)
start WABOprocedure -> phase asked additional information (frequency = 3, performance = 10539539.33)
start WABOprocedure -> procedure change (frequency = 3, performance = 2302735.33)
start WABOprocedure -> record date of decision environmental permit (frequency = 3, performance = 3470190.67)
start WABOprocedure -> start decision phase decision permitting sent (frequency = 3, performance = 1.00)
start decision phase decision permitting sent -> request complete (frequency = 3, performance = 43535.67)
start decision phase extension granted -> MER present in supplement (frequency = 3, performance = 3484814.00)
start decision phase extension granted -> request complete (frequency = 3, performance = 47297.67)
start decision phase extension granted -> treat subcases content (frequency = 3, performance = 1.00)
start decisionphase draft decision - permitting decided -> create cover letter draft decision (frequency = 3, performance = 1007996.00)
start decisionphase draft decision - permitting decided -> set decision phase: draft decision permitted sent (frequency = 3, performance = 518399.00)
start phased application -> term 14 or 26 weeks (frequency = 3, performance = 1.00)
subcase art. 33 WABO completed -> phase procedure resumed (frequency = 3, performance = 25.00)
subcases completeness completed -> terminate on request (frequency = 3, performance = 1.00)
subcases completeness completed -> treat subcases content (frequency = 3, performance = 1.00)
submit decision -> phase decision taken (frequency = 3, performance = 230386.00)
submit decision -> submit draft decision (frequency = 3, performance = 1.00)
submit decision -> suspend term (frequency = 3, performance = 1.00)
submit draft decision -> create cover letter draft decision (frequency = 3, performance = 345598.33)
submit draft decision -> enter date draft decisionenvironmental permit (frequency = 3, performance = 316780.33)
submit draft decision -> entering senddate draft decision environmental permit (frequency = 3, performance = 460796.33)
