forward to the competent authority -> phase application received (frequency = 361, performance = 1.00)
enter senddate acknowledgement -> register submission date request_41fJQhp_20110607 070019000000 (frequency = 1, performance = 1.00)
enter senddate acknowledgement -> register submission date request_54qXzcc_20110624 070003000000 (frequency = 1, performance = 1.00)
enter senddate acknowledgement -> register submission date request_64sZNUt_20110527 070012000000 (frequency = 1, performance = 1.00)
enter senddate acknowledgement -> register submission date request_81kijoW_20110525 070020000000 (frequency = 1, performance = 1.00)
enter senddate acknowledgement -> register submission date request_97DmSBa_20101123 080004000000 (frequency = 1, performance = 1.00)
enter senddate acknowledgement -> registration date publication (frequency = 1, performance = 1036804.00)
enter senddate acknowledgement -> regular procedure without MER (frequency = 1, performance = 223155.00)
enter senddate acknowledgement -> request complete_81iNSeE_20130301 203931000000 (frequency = 1, performance = 3933564.00)
enter senddate acknowledgement -> retrieve missing data (frequency = 1, performance = 1416173.00)
enter senddate acknowledgement -> send confirmation receipt_30VKAkD_20120604 215357000000 (frequency = 1, performance = 1.00)
enter senddate acknowledgement -> send confirmation receipt_61lVJcR_20110818 163620000000 (frequency = 1, performance = 725771.00)
enter senddate acknowledgement -> set phase: phase permitting irrevocable (frequency = 1, performance = 19781991.00)
enter senddate acknowledgement -> start decision phase extension granted (frequency = 1, performance = 3366014.00)
enter senddate acknowledgement -> treat subcases completeness (frequency = 1, performance = 1787017.00)
enter senddate continuation -> enter senddate decision procedure term extension (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_00WjfpH_20140508 070010000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_05FJGpr_20130701 070140000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_06lAcij_20141015 070025000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_10CLNTC_20140704 070022000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_11mAcDz_20141015 070035000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_12FPuRz_20131029 080031000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_13tOYob_20140513 070023000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_14ZeBkw_20130820 070056000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_15Azpfy_20141118 080120000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_18PnFIL_20130927 070018000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_18gOgBz_20140224 080034000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_19JBHsI_20120723 212433000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_21etcxI_20141120 080020000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_23CZBGX_20140711 070042000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_24NHnrQ_20140929 070013000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_29kqhsy_20150226 080038000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_30PHRQf_20150303 080027000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_31hNXQF_20121204 080015000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_32CMDXM_20131001 070002000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_33DdVmn_20150122 080132000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_33LzlAR_20130128 080010000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_33qgOPv_20130607 070202000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_36saOrV_20140513 070222000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_37pAded_20140317 080002000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_40BJWZD_20131126 080013000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_40wUzcr_20130708 070002000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_43XJxJO_20131004 070057000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_44QCBAw_20131105 080013000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_45mHRxH_20141212 080032000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_46XgalN_20150120 080011000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_48xrSEt_20130225 080006000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_49ABjpz_20140219 080025000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_49YAKDL_20130909 070040000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_49lqycs_20121204 080005000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_49qFsjk_20140103 080011000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_50dDRvz_20140513 070034000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_51QHCfW_20140430 070011000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_52oWWDn_20140401 070013000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_54WqJNT_20140204 080042000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_54yuOUs_20140711 070020000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_55POCGV_20140321 080007000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_55dUqmr_20141126 080009000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_57NFTYh_20140401 070004000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_58CFbtf_20140818 070034000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_58vyZtu_20140701 070036000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_58zhDZj_20120723 181230000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_59xeviN_20141014 070059000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_61gDYfT_20140723 070006000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_62UUuEt_20150127 080025000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_63FohXl_20140114 080014000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_64wNszE_20140411 070025000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_65bywXZ_20130717 070023000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_65dnjiu_20140703 070036000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_66QbsrL_20141017 070003000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_67QRIyg_20130701 070113000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_67WwBwg_20130701 070020000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_68KCBFu_20140613 070026000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_68WMweo_20150225 080026000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_68fKHip_20150210 080044000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_69stOVA_20130530 070020000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_70jmTPH_20141125 080018000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_70oTcia_20141014 070139000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_71FqYvn_20140722 070100000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_72ukray_20140527 070031000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_73ERsSe_20130927 070055000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_73iulYL_20141030 080033000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_74PkjOz_20140604 070003000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_74edjtr_20131101 080038000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_77niLaJ_20150114 080018000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_79gLZEi_20150130 080002000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_81MWzqT_20140318 080054000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_83tOjGu_20140515 070100000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_84YiNBM_20120716 194736000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_85BNDII_20131217 080038000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_85jtaux_20130405 070003000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_86mMhrV_20130409 070016000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_89BoLGU_20140515 070005000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_90kqlyY_20140821 070012000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_91zhRcj_20130326 080003000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_94CWYer_20140106 080054000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_94Feixb_20121227 080004000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_96pMsft_20131015 070258000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_98PdQqW_20130621 070023000000 (frequency = 1, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit_98PhtKy_20131021 070010000000 (frequency = 1, performance = 1.00)
enter senddate decision -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit -> close case (frequency = 1, performance = 10540800.00)
enter senddate decision environmental permit -> contested decision affected (frequency = 1, performance = 29289600.00)
enter senddate decision environmental permit -> enter senddate decision suspension (frequency = 1, performance = 1.00)
enter senddate decision environmental permit -> phase decision taken (frequency = 1, performance = 1.00)
enter senddate decision environmental permit -> phase perspective submitted (frequency = 1, performance = 54805.00)
enter senddate decision environmental permit_00WjfpH_20140508 070010000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_00lednq_20130705 070019000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_00xFfDJ_20120202 080002000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_01QnmRG_20140325 080012000000 -> start decision phase decision permitting sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_01iJiSZ_20121009 070004000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_01tNNiJ_20110412 070005000000 -> enter date publication decision environmental permit (frequency = 1, performance = 691196.00)
enter senddate decision environmental permit_02sQpRo_20131105 080006000000 -> start decision phase decision permitting sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_03CkBWI_20120209 080004000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_03VawOw_20140403 070025000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_03fcIHi_20110429 070003000000 -> enter date publication decision environmental permit (frequency = 1, performance = 432000.00)
enter senddate decision environmental permit_04BDxdu_20121120 171610000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_04EyOUM_20121204 080002000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_04SDfVU_20110406 070001000000 -> enter date publication decision environmental permit (frequency = 1, performance = 604802.00)
enter senddate decision environmental permit_04SkNpp_20131014 070010000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_05FJGpr_20130701 070140000000 -> phase concept decision ready (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_05JFlxK_20130826 070050000000 -> start decision phase decision permitting sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_05tZMkM_20120612 194517000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_06BoPZm_20140113 080032000000 -> start decision phase decision permitting sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_06EkkhO_20120711 193302000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_06lAcij_20141015 070025000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_08ygROy_20120817 192555000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_09YrApV_20140821 070049000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_09mNPwB_20130131 235417000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_10CLNTC_20140704 070022000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_10kCODe_20120905 175528000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_11mAcDz_20141015 070035000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_12DjBKS_20131217 080005000000 -> enter senddate draft decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_12FPuRz_20131029 080031000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_12unuDk_20150115 080004000000 -> set decision phase decision permitting decided (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_13tOYob_20140513 070023000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_14BIcxe_20110421 070012000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_14ZeBkw_20130820 070056000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_15Azpfy_20141118 080120000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_15nxula_20120820 070001000000 -> date decision for inspection (frequency = 1, performance = 864001.00)
enter senddate decision environmental permit_17xieHw_20140717 070012000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_18PDlEa_20130524 070017000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_18PnFIL_20130927 070018000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_18gOgBz_20140224 080034000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_19JBHsI_20120723 212433000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_19gyKhr_20110330 070015000000 -> enter date publication decision environmental permit (frequency = 1, performance = 604788.00)
enter senddate decision environmental permit_19sNAbZ_20110905 070003000000 -> registration date publication (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_20DxoUP_20110128 080001000000 -> enter date publication decision environmental permit (frequency = 1, performance = 432000.00)
enter senddate decision environmental permit_20qxZTG_20110607 070014000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_21AxszK_20130108 080001000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_21SpCyY_20140303 080007000000 -> start decision phase decision permitting sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_21cuHPJ_20140320 080038000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_21dRInO_20130628 070005000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_21etcxI_20141120 080020000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_22PAtTD_20141007 070001000000 -> enter senddate decision environmental permit_80PSAdC_20141007 070002000000 (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_23CZBGX_20140711 070042000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_23USfQY_20131112 080007000000 -> grounds for refusal (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_24CSvOj_20110607 070008000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_24NHnrQ_20140929 070013000000 -> enter senddate decision environmental permit_41rEgBG_20140929 070014000000 (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_25RAgUX_20130423 175548000000 -> transcript decision environmental permit to stakeholders (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_25euuog_20141125 080010000000 -> start decision phase decision permitting sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_26FDRBh_20110429 070009000000 -> enter date publication decision environmental permit (frequency = 1, performance = 432003.00)
enter senddate decision environmental permit_26NCMkB_20121008 171759000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_26twCgo_20110830 070007000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_27BbFTQ_20111222 080003000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_27HodUX_20110429 070005000000 -> enter date publication decision environmental permit (frequency = 1, performance = 431999.00)
enter senddate decision environmental permit_28ExPuM_20121116 202325000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_28OPKdv_20121002 192149000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_28RAutF_20110309 080005000000 -> enter date publication decision environmental permit (frequency = 1, performance = 604808.00)
enter senddate decision environmental permit_28UCXlW_20121019 151718000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_29hoOYw_20140526 070024000000 -> register deadline (frequency = 1, performance = 3887984.00)
enter senddate decision environmental permit_29jSrOp_20121009 070001000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_29kqhsy_20150226 080038000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_30OgjgP_20140811 070009000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_30PHRQf_20150303 080027000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_30UpatT_20120604 170850000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_30qgDXV_20130625 070046000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_31AXHTF_20141016 070048000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_31hNXQF_20121204 080015000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_32CMDXM_20131001 070002000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_32HHLvP_20121119 173854000000 -> date decision for inspection (frequency = 1, performance = 829267.00)
enter senddate decision environmental permit_32QUZVz_20140717 070008000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_32umaRP_20121109 170018000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_33DdVmn_20150122 080132000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_33LzlAR_20130128 080010000000 -> start decision phase decision permitting sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_33agHii_20110421 070010000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_33olSyo_20141023 070001000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_33qgOPv_20130607 070202000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_34eHlAQ_20130305 173336000000 -> transcript decision environmental permit to stakeholders (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_35ZUoKY_20141016 070044000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_36IguYM_20130910 070036000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_36TnYKK_20130315 170810000000 -> transcript decision environmental permit to stakeholders (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_36saOrV_20140513 070222000000 -> enter senddate decision environmental permit_38vHNfG_20140513 070223000000 (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_36tTfXF_20130208 171616000000 -> transcript decision environmental permit to stakeholders (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_37BkKrM_20140417 070012000000 -> start decision phase decision permitting sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_37jDrYu_20141209 080037000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_37pAded_20140317 080002000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_38NqXvl_20130329 175206000000 -> transcript decision environmental permit to stakeholders (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_38hVLhT_20110524 070007000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_38jOUnf_20101115 080002000000 -> enter senddate procedure confirmation (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_38vHNfG_20140513 070223000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_39HGAtB_20110323 080002000000 -> enter date publication decision environmental permit (frequency = 1, performance = 601200.00)
enter senddate decision environmental permit_39NUfXX_20110913 070005000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_40BJWZD_20131126 080013000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_40oeWuF_20110524 070004000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_40wUzcr_20130708 070002000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_41KpRiD_20130425 205138000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_41QsGUF_20110421 070002000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_41rEgBG_20140929 070014000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_42xSUPq_20120717 070001000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_43XJxJO_20131004 070057000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_43zMXQl_20130628 070032000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_44QCBAw_20131105 080013000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_44fnKlY_20110322 080001000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_45FnJDS_20130806 070014000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_45mHRxH_20141212 080032000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_45pmYxf_20110201 080003000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_45trYjt_20140219 080002000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_46XgalN_20150120 080011000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_46kpDMi_20120426 070002000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_46mLsyj_20120827 070001000000 -> date decision for inspection (frequency = 1, performance = 172801.00)
enter senddate decision environmental permit_47bJivv_20120626 070003000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_48nnAFf_20121030 195712000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_48pOXLs_20110330 070019000000 -> enter date publication decision environmental permit (frequency = 1, performance = 604786.00)
enter senddate decision environmental permit_48xrSEt_20130225 080006000000 -> register deadline (frequency = 1, performance = 3970800.00)
enter senddate decision environmental permit_49ABjpz_20140219 080025000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_49DUiYI_20120220 080002000000 -> enter date publication decision environmental permit (frequency = 1, performance = 172806.00)
enter senddate decision environmental permit_49LfKGC_20131004 070041000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_49YAKDL_20130909 070040000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_49ZeSHL_20110517 070004000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_49lqycs_20121204 080005000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_49qFsjk_20140103 080011000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_49tUhrd_20120807 161953000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_50NYQby_20121008 163141000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_50Nitvv_20110405 070006000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_50dDRvz_20140513 070034000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_50rfxFg_20110629 070014000000 -> enter date publication decision environmental permit (frequency = 1, performance = 604792.00)
enter senddate decision environmental permit_51QHCfW_20140430 070011000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_51VgoQw_20110920 070006000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_51nGkjQ_20120924 070003000000 -> date decision for inspection (frequency = 1, performance = 172800.00)
enter senddate decision environmental permit_52gWYAs_20130305 080001000000 -> start decision phase decision permitting sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_52oWWDn_20140401 070013000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_53QMrhD_20120110 080002000000 -> enter date publication decision environmental permit (frequency = 1, performance = 691201.00)
enter senddate decision environmental permit_53bmAID_20150202 080006000000 -> start decision phase decision permitting sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_53eXjgT_20121009 221511000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_54WqJNT_20140204 080042000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_54yuOUs_20140711 070020000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_55POCGV_20140321 080007000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_55dUqmr_20141126 080009000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_55vJiTt_20110322 080013000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_55wdQFo_20141216 080022000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_57AFPav_20130118 080001000000 -> start decision phase decision permitting sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_57ARbwr_20120619 070005000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
