Case,Timestamp,Activity,Activity_fixed,Resource,label
4054,2024-11-15 01:05:29.794,EVENT 8 END,EVENT 8 END,,
4059,2024-10-30 00:45:00.000,Take order,Take order,Waiter-000003,
4059,2024-10-30 00:45:00.000,start,start,,
4059,2024-10-30 00:49:31.437,Review order,Review order,Waiter-000001,
4059,2024-10-30 00:49:46.630,prepare drinks,prepare drinks,Barman-000001,
4059,2024-10-30 00:52:56.646,Bring drinks,Bring drinks,Barman-000003,
4059,2024-10-30 00:55:20.555,Review drinks,Review drinks,Waiter-000002,
4059,2024-10-30 00:55:36.049,prepare drinks,prepare drinks,Barman-000001,
4059,2024-10-30 00:59:05.460,Bring drinks,Bring drinks,Barman-000003,
4059,2024-10-30 01:03:54.237,Review drinks,Review drinks,Waiter-000002,
4059,2024-10-30 01:05:50.320,prepare drinks,prepare drinks,Barman-000003,
4059,2024-10-30 01:22:55.097,Review drinks,Review drinks,Waiter-000004,
4059,2024-11-07 01:52:08.476,Prepare main course,Prepare main course,Cook-000002,
4059,2024-11-15 19:56:56.302,Signal food complete,Signal food complete,Cook-000003,
4059,2024-11-15 21:06:28.045,Bring food,Bring food,Cook helper-000002,
4059,2024-11-15 21:11:01.784,Deliver to customer,Deliver to customer,Waiter-000001,
4059,2024-11-15 21:14:57.365,EVENT 8 END,EVENT 8 END,,
4065,2024-10-30 18:15:00.000,Take order,Take order,Waiter-000003,
4065,2024-10-30 18:15:00.000,start,start,,
4065,2024-10-30 18:16:05.747,Review order,Review order,Waiter-000001,
4065,2024-10-30 18:16:46.862,prepare drinks,prepare drinks,Barman-000002,
4065,2024-10-30 18:18:56.012,Bring drinks,Bring drinks,Barman-000001,
4065,2024-10-30 18:20:10.271,Review drinks,Review drinks,Waiter-000004,
4065,2024-11-07 19:11:36.652,Prepare main course,Prepare main course,Cook-000003,
4065,2024-11-15 22:00:57.718,Signal food complete,Signal food complete,Cook-000003,
4065,2024-11-16 00:02:09.040,Bring food,Bring food,Cook helper-000001,
4065,2024-11-16 00:03:17.039,Deliver to customer,Deliver to customer,Waiter-000001,
4065,2024-11-16 00:04:07.578,EVENT 8 END,EVENT 8 END,,
407,2024-05-22 23:45:00.000,Take order,Take order,Waiter-000002,
407,2024-05-22 23:45:00.000,start,start,,
407,2024-05-22 23:45:20.356,Review order,Review order,Waiter-000001,
407,2024-05-22 23:46:52.262,Prepare starter,Prepare starter,Cook helper-000003,
407,2024-05-22 23:46:52.262,prepare drinks,prepare drinks,Barman-000003,
407,2024-05-22 23:49:11.968,Bring drinks,Bring drinks,Barman-000002,
407,2024-05-23 00:00:55.497,Review drinks,Review drinks,Waiter-000003,
407,2024-05-23 21:10:06.078,Signal food complete,Signal food complete,Cook-000002,
407,2024-05-23 21:42:44.670,Bring food,Bring food,Cook helper-000002,
407,2024-05-23 21:43:58.288,Deliver to customer,Deliver to customer,Waiter-000002,
407,2024-05-23 21:46:20.262,EVENT 8 END,EVENT 8 END,,
4072,2024-10-30 20:00:00.000,Take order,Take order,Waiter-000001,
4072,2024-10-30 20:00:00.000,start,start,,
4072,2024-10-30 20:00:15.318,Review order,Review order,Waiter-000005,
4072,2024-10-30 20:01:01.566,prepare drinks,prepare drinks,Barman-000002,
4072,2024-10-30 20:03:31.881,Bring drinks,Bring drinks,Barman-000001,
4072,2024-10-30 20:21:50.424,Review drinks,Review drinks,Waiter-000004,
4072,2024-10-30 20:22:00.370,prepare drinks,prepare drinks,Barman-000003,
4072,2024-10-30 20:24:33.271,Bring drinks,Bring drinks,Barman-000001,
4072,2024-10-30 20:30:39.048,Review drinks,Review drinks,Waiter-000001,
4072,2024-11-07 20:12:41.288,Prepare main course,Prepare main course,Cook-000002,
4072,2024-11-16 00:06:17.713,Signal food complete,Signal food complete,Cook-000002,
4072,2024-11-16 00:10:12.993,Bring food,Bring food,Cook helper-000001,
4072,2024-11-16 00:43:31.956,Deliver to customer,Deliver to customer,Waiter-000004,
4072,2024-11-16 00:46:51.908,EVENT 8 END,EVENT 8 END,,
4078,2024-10-30 21:30:00.000,Take order,Take order,Waiter-000003,
4078,2024-10-30 21:30:00.000,start,start,,
4078,2024-10-30 21:31:51.343,Review order,Review order,Waiter-000004,
4078,2024-10-30 21:34:58.123,prepare drinks,prepare drinks,Barman-000001,
4078,2024-10-30 21:38:24.669,Bring drinks,Bring drinks,Barman-000002,
4078,2024-10-30 21:40:06.652,Review drinks,Review drinks,Waiter-000002,
4078,2024-11-07 22:00:11.932,Prepare main course,Prepare main course,Cook-000001,
4078,2024-11-18 18:09:51.143,Signal food complete,Signal food complete,Cook-000002,
4078,2024-11-18 18:35:22.948,Bring food,Bring food,Cook helper-000002,
4078,2024-11-18 18:36:03.162,Deliver to customer,Deliver to customer,Waiter-000004,
4078,2024-11-18 18:36:29.476,EVENT 8 END,EVENT 8 END,,
4081,2024-10-30 22:15:00.000,Take order,Take order,Waiter-000005,
4081,2024-10-30 22:15:00.000,start,start,,
4081,2024-10-30 22:23:47.080,Review order,Review order,Waiter-000001,
4081,2024-10-30 22:23:51.245,prepare drinks,prepare drinks,Barman-000003,
4081,2024-10-30 22:28:14.255,Bring drinks,Bring drinks,Barman-000001,
4081,2024-10-30 22:32:31.133,Review drinks,Review drinks,Waiter-000005,
4081,2024-11-07 22:19:39.224,Prepare main course,Prepare main course,Cook-000003,
4081,2024-11-18 18:35:22.948,Signal food complete,Signal food complete,Cook-000002,
4081,2024-11-18 18:37:00.772,Bring food,Bring food,Cook helper-000001,
4081,2024-11-18 18:40:04.673,Deliver to customer,Deliver to customer,Waiter-000001,
4081,2024-11-18 18:41:35.298,EVENT 8 END,EVENT 8 END,,
4084,2024-10-30 23:00:00.000,Take order,Take order,Waiter-000004,
4084,2024-10-30 23:00:00.000,start,start,,
4084,2024-10-30 23:01:05.108,Review order,Review order,Waiter-000005,
4084,2024-10-30 23:01:30.890,prepare drinks,prepare drinks,Barman-000001,
4084,2024-10-30 23:03:13.976,Bring drinks,Bring drinks,Barman-000001,
4084,2024-10-30 23:06:20.694,Review drinks,Review drinks,Waiter-000002,
4084,2024-11-07 23:11:23.949,Prepare main course,Prepare main course,Cook-000002,
4084,2024-11-18 19:22:14.713,Signal food complete,Signal food complete,Cook-000001,
4084,2024-11-18 20:53:17.320,Bring food,Bring food,Cook helper-000002,
4084,2024-11-18 20:55:57.149,Deliver to customer,Deliver to customer,Waiter-000004,
4084,2024-11-18 20:59:53.713,EVENT 8 END,EVENT 8 END,,
4085,2024-10-30 23:15:00.000,Take order,Take order,Waiter-000004,
4085,2024-10-30 23:15:00.000,start,start,,
4085,2024-10-30 23:16:02.151,Review order,Review order,Waiter-000005,
4085,2024-10-30 23:16:25.392,Prepare starter,Prepare starter,Cook helper-000003,
4085,2024-10-30 23:16:25.392,prepare drinks,prepare drinks,Barman-000003,
4085,2024-10-30 23:29:36.403,Review drinks,Review drinks,Waiter-000001,
4085,2024-11-07 23:14:53.441,Signal food complete,Signal food complete,Cook-000001,
4085,2024-11-08 00:33:58.393,Bring food,Bring food,Cook helper-000003,
4085,2024-11-08 00:46:08.832,Deliver to customer,Deliver to customer,Waiter-000004,
4085,2024-11-08 00:48:06.153,EVENT 8 END,EVENT 8 END,,
409,2024-05-23 00:15:00.000,Take order,Take order,Waiter-000003,
409,2024-05-23 00:15:00.000,start,start,,
409,2024-05-23 00:16:43.112,Review order,Review order,Waiter-000002,
409,2024-05-23 00:16:53.410,Prepare starter,Prepare starter,Cook helper-000002,
409,2024-05-23 00:16:53.410,prepare drinks,prepare drinks,Barman-000002,
409,2024-05-23 00:34:07.790,Review drinks,Review drinks,Waiter-000003,
409,2024-05-23 23:10:14.510,Signal food complete,Signal food complete,Cook-000002,
409,2024-05-23 23:53:48.315,Bring food,Bring food,Cook helper-000003,
409,2024-05-24 00:01:13.743,Deliver to customer,Deliver to customer,Waiter-000002,
409,2024-05-24 00:04:53.323,EVENT 8 END,EVENT 8 END,,
4092,2024-10-31 01:00:00.000,Take order,Take order,Waiter-000002,
4092,2024-10-31 01:00:00.000,start,start,,
4092,2024-10-31 01:00:51.048,Review order,Review order,Waiter-000003,
4092,2024-10-31 01:01:05.398,prepare drinks,prepare drinks,Barman-000003,
4092,2024-10-31 01:08:11.060,Bring drinks,Bring drinks,Barman-000001,
4092,2024-10-31 01:09:47.975,Review drinks,Review drinks,Waiter-000005,
4092,2024-10-31 01:10:08.098,prepare drinks,prepare drinks,Barman-000002,
4092,2024-10-31 01:15:16.701,Bring drinks,Bring drinks,Barman-000003,
4092,2024-10-31 01:21:38.786,Review drinks,Review drinks,Waiter-000002,
4092,2024-11-08 01:39:28.439,Prepare main course,Prepare main course,Cook-000002,
4092,2024-11-18 22:19:30.469,Signal food complete,Signal food complete,Cook-000001,
4092,2024-11-19 00:02:58.973,Bring food,Bring food,Cook helper-000001,
4092,2024-11-19 00:05:03.827,Deliver to customer,Deliver to customer,Waiter-000002,
4094,2024-10-31 01:30:00.000,Take order,Take order,Waiter-000004,
4094,2024-10-31 01:30:00.000,start,start,,
4094,2024-10-31 01:31:22.382,Review order,Review order,Waiter-000002,
4094,2024-10-31 01:32:46.981,Prepare starter,Prepare starter,Cook helper-000001,
4094,2024-10-31 01:36:59.581,Bring drinks,Bring drinks,Barman-000002,
4094,2024-10-31 01:37:13.121,Review drinks,Review drinks,Waiter-000005,
4094,2024-11-08 18:07:42.588,Prepare main course,Prepare main course,Cook-000003,
4094,2024-11-18 23:40:11.290,Signal food complete,Signal food complete,Cook-000003,
4094,2024-11-19 00:05:31.449,Bring food,Bring food,Cook helper-000003,
4094,2024-11-19 00:09:51.107,Deliver to customer,Deliver to customer,Waiter-000003,
4094,2024-11-19 00:19:06.668,EVENT 8 END,EVENT 8 END,,
4096,2024-10-31 02:00:00.000,start,start,,
4096,2024-10-31 18:00:00.000,Take order,Take order,Waiter-000002,
4096,2024-10-31 18:03:08.794,Review order,Review order,Waiter-000004,
4096,2024-10-31 18:03:11.749,prepare drinks,prepare drinks,Barman-000001,
4096,2024-10-31 18:05:29.693,Review drinks,Review drinks,Waiter-000001,
4096,2024-11-08 18:17:41.917,Prepare main course,Prepare main course,Cook-000003,
4096,2024-11-19 00:02:58.973,Signal food complete,Signal food complete,Cook-000001,
4096,2024-11-19 00:24:55.335,Bring food,Bring food,Cook helper-000003,
4096,2024-11-19 00:32:37.152,Deliver to customer,Deliver to customer,Waiter-000003,
4096,2024-11-19 00:35:42.047,EVENT 8 END,EVENT 8 END,,
4098,2024-10-31 18:30:00.000,Take order,Take order,Waiter-000001,
4098,2024-10-31 18:30:00.000,start,start,,
4098,2024-10-31 18:30:33.952,Review order,Review order,Waiter-000003,
4098,2024-10-31 18:33:28.910,prepare drinks,prepare drinks,Barman-000001,
4098,2024-10-31 18:36:57.709,Bring drinks,Bring drinks,Barman-000003,
4098,2024-10-31 18:40:47.306,Review drinks,Review drinks,Waiter-000005,
4098,2024-11-08 18:37:51.758,Prepare main course,Prepare main course,Cook-000002,
4098,2024-11-19 00:08:44.493,Signal food complete,Signal food complete,Cook-000002,
4098,2024-11-19 00:21:39.105,Bring food,Bring food,Cook helper-000001,
4098,2024-11-19 00:34:53.898,Deliver to customer,Deliver to customer,Waiter-000005,
4098,2024-11-19 00:37:50.486,EVENT 8 END,EVENT 8 END,,
411,2024-05-23 00:45:00.000,Take order,Take order,Waiter-000005,
411,2024-05-23 00:45:00.000,start,start,,
411,2024-05-23 00:45:37.106,Review order,Review order,Waiter-000002,
411,2024-05-23 00:45:38.637,Prepare starter,Prepare starter,Cook helper-000002,
411,2024-05-23 00:45:38.637,prepare drinks,prepare drinks,Barman-000002,
411,2024-05-23 00:48:18.537,Bring drinks,Bring drinks,Barman-000003,
411,2024-05-23 00:54:27.425,Review drinks,Review drinks,Waiter-000005,
411,2024-05-24 00:03:09.526,Prepare main course,Prepare main course,Cook-000002,
411,2024-05-24 20:36:45.818,Signal food complete,Signal food complete,Cook-000001,
411,2024-05-24 20:47:52.921,Bring food,Bring food,Cook helper-000002,
411,2024-05-24 20:52:45.331,Deliver to customer,Deliver to customer,Waiter-000004,
411,2024-05-24 20:54:28.374,EVENT 8 END,EVENT 8 END,,
4110,2024-10-31 21:30:00.000,Take order,Take order,Waiter-000002,
4110,2024-10-31 21:30:06.119,Review order,Review order,Waiter-000004,
4110,2024-10-31 21:31:55.928,prepare drinks,prepare drinks,Barman-000001,
4110,2024-10-31 21:32:47.112,Bring drinks,Bring drinks,Barman-000002,
4110,2024-10-31 21:42:57.750,Review drinks,Review drinks,Waiter-000005,
4110,2024-10-31 21:44:12.162,prepare drinks,prepare drinks,Barman-000003,
4110,2024-10-31 21:46:30.848,Bring drinks,Bring drinks,Barman-000002,
4110,2024-10-31 21:58:00.759,Review drinks,Review drinks,Waiter-000005,
4110,2024-11-08 21:25:55.759,Prepare main course,Prepare main course,Cook-000003,
4110,2024-11-19 19:03:01.285,Signal food complete,Signal food complete,Cook-000001,
4110,2024-11-19 19:11:21.267,Bring food,Bring food,Cook helper-000003,
4110,2024-11-19 19:22:44.352,Deliver to customer,Deliver to customer,Waiter-000001,
4110,2024-11-19 19:24:43.635,EVENT 8 END,EVENT 8 END,,
4113,2024-10-31 22:15:00.000,Take order,Take order,Waiter-000005,
4113,2024-10-31 22:15:00.000,start,start,,
4113,2024-10-31 22:20:50.322,Review order,Review order,Waiter-000003,
4113,2024-10-31 22:22:29.745,prepare drinks,prepare drinks,Barman-000001,
4113,2024-10-31 22:22:35.903,Bring drinks,Bring drinks,Barman-000003,
4113,2024-10-31 22:24:27.120,Review drinks,Review drinks,Waiter-000001,
4113,2024-10-31 22:24:45.063,prepare drinks,prepare drinks,Barman-000002,
4113,2024-10-31 22:31:45.637,Bring drinks,Bring drinks,Barman-000001,
4113,2024-10-31 22:34:31.768,Review drinks,Review drinks,Waiter-000003,
4113,2024-10-31 22:34:35.810,prepare drinks,prepare drinks,Barman-000002,
4113,2024-10-31 22:37:18.587,Bring drinks,Bring drinks,Barman-000001,
4113,2024-10-31 22:37:50.744,Review drinks,Review drinks,Waiter-000002,
4113,2024-10-31 22:39:05.137,prepare drinks,prepare drinks,Barman-000002,
4113,2024-10-31 22:44:37.645,Bring drinks,Bring drinks,Barman-000001,
4113,2024-10-31 22:56:44.072,Review drinks,Review drinks,Waiter-000003,
4113,2024-10-31 22:56:46.062,prepare drinks,prepare drinks,Barman-000001,
4113,2024-10-31 23:00:25.951,Bring drinks,Bring drinks,Barman-000003,
4113,2024-10-31 23:10:37.813,Review drinks,Review drinks,Waiter-000002,
4113,2024-11-08 22:48:07.081,Prepare main course,Prepare main course,Cook-000001,
4113,2024-11-19 20:28:57.364,Signal food complete,Signal food complete,Cook-000001,
4113,2024-11-19 20:35:26.305,Bring food,Bring food,Cook helper-000002,
4113,2024-11-19 20:36:45.835,Deliver to customer,Deliver to customer,Waiter-000004,
4113,2024-11-19 20:37:07.983,EVENT 8 END,EVENT 8 END,,
4118,2024-10-31 23:30:00.000,Take order,Take order,Waiter-000003,
4118,2024-10-31 23:30:00.000,start,start,,
4118,2024-10-31 23:35:41.005,Review order,Review order,Waiter-000002,
4118,2024-10-31 23:36:05.281,prepare drinks,prepare drinks,Barman-000003,
4118,2024-10-31 23:40:39.717,Bring drinks,Bring drinks,Barman-000002,
4118,2024-10-31 23:42:56.137,Review drinks,Review drinks,Waiter-000001,
4118,2024-10-31 23:45:59.116,prepare drinks,prepare drinks,Barman-000003,
4118,2024-10-31 23:52:50.757,Bring drinks,Bring drinks,Barman-000001,
4118,2024-10-31 23:56:49.079,Review drinks,Review drinks,Waiter-000002,
4118,2024-10-31 23:57:35.178,prepare drinks,prepare drinks,Barman-000002,
4118,2024-10-31 23:57:36.556,Bring drinks,Bring drinks,Barman-000001,
4118,2024-10-31 23:59:21.120,Review drinks,Review drinks,Waiter-000005,
4118,2024-10-31 23:59:36.830,prepare drinks,prepare drinks,Barman-000002,
4118,2024-11-01 00:00:38.371,Bring drinks,Bring drinks,Barman-000001,
4118,2024-11-01 00:03:54.261,Review drinks,Review drinks,Waiter-000002,
4118,2024-11-08 23:53:39.217,Prepare main course,Prepare main course,Cook-000001,
4118,2024-11-19 20:40:59.857,Signal food complete,Signal food complete,Cook-000001,
4118,2024-11-19 20:54:30.529,Bring food,Bring food,Cook helper-000002,
4118,2024-11-19 21:03:11.503,Deliver to customer,Deliver to customer,Waiter-000002,
4118,2024-11-19 21:03:12.982,EVENT 8 END,EVENT 8 END,,
412,2024-05-23 01:00:00.000,Take order,Take order,Waiter-000002,
412,2024-05-23 01:00:00.000,start,start,,
412,2024-05-23 01:01:53.242,Review order,Review order,Waiter-000004,
412,2024-05-23 01:02:04.159,Prepare starter,Prepare starter,Cook helper-000001,
412,2024-05-23 01:02:04.159,prepare drinks,prepare drinks,Barman-000002,
412,2024-05-23 01:08:51.704,Bring drinks,Bring drinks,Barman-000001,
412,2024-05-23 01:23:49.212,Review drinks,Review drinks,Waiter-000002,
412,2024-05-23 01:25:03.614,prepare drinks,prepare drinks,Barman-000003,
412,2024-05-23 01:25:29.127,Bring drinks,Bring drinks,Barman-000001,
412,2024-05-23 01:29:11.158,Review drinks,Review drinks,Waiter-000001,
412,2024-05-24 20:48:51.179,Signal food complete,Signal food complete,Cook-000001,
412,2024-05-24 21:22:19.224,Deliver to customer,Deliver to customer,Waiter-000003,
412,2024-05-24 21:24:55.605,EVENT 8 END,EVENT 8 END,,
4125,2024-11-01 01:15:00.000,Take order,Take order,Waiter-000004,
4125,2024-11-01 01:15:00.000,start,start,,
4125,2024-11-01 01:16:30.880,Review order,Review order,Waiter-000002,
4125,2024-11-01 01:18:43.964,prepare drinks,prepare drinks,Barman-000003,
4125,2024-11-01 01:23:17.946,Bring drinks,Bring drinks,Barman-000002,
4125,2024-11-01 01:23:59.671,Review drinks,Review drinks,Waiter-000004,
4125,2024-11-09 01:25:04.742,Prepare main course,Prepare main course,Cook-000001,
4125,2024-11-19 23:39:33.287,Signal food complete,Signal food complete,Cook-000001,
4125,2024-11-20 00:03:19.923,Bring food,Bring food,Cook helper-000002,
4125,2024-11-20 00:05:33.796,Deliver to customer,Deliver to customer,Waiter-000004,
4125,2024-11-20 00:05:35.578,EVENT 8 END,EVENT 8 END,,
4126,2024-11-01 01:30:00.000,Take order,Take order,Waiter-000001,
4126,2024-11-01 01:30:00.000,start,start,,
4126,2024-11-01 01:31:06.012,Review order,Review order,Waiter-000002,
4126,2024-11-01 01:31:56.742,prepare drinks,prepare drinks,Barman-000001,
4126,2024-11-01 01:36:24.949,Bring drinks,Bring drinks,Barman-000003,
4126,2024-11-01 01:42:30.664,Review drinks,Review drinks,Waiter-000005,
4126,2024-11-01 01:42:34.574,prepare drinks,prepare drinks,Barman-000002,
4126,2024-11-01 01:46:45.737,Bring drinks,Bring drinks,Barman-000001,
4126,2024-11-01 01:48:26.409,Review drinks,Review drinks,Waiter-000005,
4126,2024-11-09 01:37:57.995,Prepare main course,Prepare main course,Cook-000002,
4126,2024-11-19 23:01:50.127,Signal food complete,Signal food complete,Cook-000002,
4126,2024-11-19 23:37:24.440,Bring food,Bring food,Cook helper-000001,
4126,2024-11-19 23:39:36.050,Deliver to customer,Deliver to customer,Waiter-000001,
4126,2024-11-19 23:39:57.938,EVENT 8 END,EVENT 8 END,,
4129,2024-11-01 18:15:00.000,Take order,Take order,Waiter-000004,
4129,2024-11-01 18:15:00.000,start,start,,
4129,2024-11-01 18:15:42.345,Review order,Review order,Waiter-000001,
4129,2024-11-01 18:16:13.279,prepare drinks,prepare drinks,Barman-000002,
4129,2024-11-01 18:16:33.631,Bring drinks,Bring drinks,Barman-000001,
4129,2024-11-01 18:17:05.062,Review drinks,Review drinks,Waiter-000002,
4129,2024-11-11 18:19:17.160,Prepare main course,Prepare main course,Cook-000001,
4129,2024-11-19 23:59:00.137,Signal food complete,Signal food complete,Cook-000002,
4129,2024-11-20 00:09:40.113,Bring food,Bring food,Cook helper-000001,
4129,2024-11-20 00:20:08.172,Deliver to customer,Deliver to customer,Waiter-000002,
4129,2024-11-20 00:21:13.855,EVENT 8 END,EVENT 8 END,,
413,2024-05-23 01:15:00.000,Take order,Take order,Waiter-000001,
413,2024-05-23 01:15:00.000,start,start,,
413,2024-05-23 01:15:07.296,Review order,Review order,Waiter-000005,
413,2024-05-23 01:17:08.407,prepare drinks,prepare drinks,Barman-000003,
413,2024-05-23 01:22:51.946,Bring drinks,Bring drinks,Barman-000002,
413,2024-05-23 01:25:14.319,Review drinks,Review drinks,Waiter-000004,
413,2024-05-24 00:51:43.636,Prepare main course,Prepare main course,Cook-000002,
413,2024-05-24 20:53:44.439,Signal food complete,Signal food complete,Cook-000002,
413,2024-05-24 21:33:08.646,Bring food,Bring food,Cook helper-000002,
413,2024-05-24 21:43:55.296,Deliver to customer,Deliver to customer,Waiter-000004,
413,2024-05-24 21:49:26.402,EVENT 8 END,EVENT 8 END,,
4130,2024-11-01 18:30:00.000,Take order,Take order,Waiter-000001,
4130,2024-11-01 18:32:58.868,Review order,Review order,Waiter-000003,
4130,2024-11-01 18:34:31.343,Prepare starter,Prepare starter,Cook helper-000003,
4130,2024-11-01 18:34:31.343,prepare drinks,prepare drinks,Barman-000002,
4130,2024-11-01 18:35:00.624,Bring drinks,Bring drinks,Barman-000001,
4130,2024-11-01 18:37:32.696,Review drinks,Review drinks,Waiter-000005,
4130,2024-11-01 18:38:06.358,prepare drinks,prepare drinks,Barman-000002,
4130,2024-11-01 18:46:37.464,Bring drinks,Bring drinks,Barman-000001,
4130,2024-11-01 18:51:43.488,Review drinks,Review drinks,Waiter-000003,
4130,2024-11-01 18:51:51.430,prepare drinks,prepare drinks,Barman-000001,
4130,2024-11-01 18:55:34.326,Bring drinks,Bring drinks,Barman-000003,
4130,2024-11-01 18:56:33.144,Review drinks,Review drinks,Waiter-000004,
4130,2024-11-01 18:58:54.942,prepare drinks,prepare drinks,Barman-000003,
4130,2024-11-01 19:03:15.759,Bring drinks,Bring drinks,Barman-000002,
4130,2024-11-01 19:08:21.248,Review drinks,Review drinks,Waiter-000003,
4130,2024-11-11 18:35:49.074,Signal food complete,Signal food complete,Cook-000001,
4130,2024-11-11 18:42:57.507,Bring food,Bring food,Cook helper-000001,
4130,2024-11-11 18:45:45.552,Deliver to customer,Deliver to customer,Waiter-000003,
4130,2024-11-11 18:50:14.911,EVENT 8 END,EVENT 8 END,,
4132,2024-11-01 19:00:00.000,Take order,Take order,Waiter-000002,
4132,2024-11-01 19:00:00.000,start,start,,
4132,2024-11-01 19:03:04.513,Review order,Review order,Waiter-000005,
4132,2024-11-01 19:03:21.840,prepare drinks,prepare drinks,Barman-000001,
4132,2024-11-01 19:13:49.182,Bring drinks,Bring drinks,Barman-000003,
4132,2024-11-01 19:20:48.896,Review drinks,Review drinks,Waiter-000003,
4132,2024-11-01 19:21:26.870,prepare drinks,prepare drinks,Barman-000001,
4132,2024-11-01 19:34:35.767,prepare drinks,prepare drinks,Barman-000003,
4132,2024-11-01 19:41:49.367,Bring drinks,Bring drinks,Barman-000003,
4132,2024-11-01 19:44:20.447,Review drinks,Review drinks,Waiter-000002,
4132,2024-11-01 19:44:40.635,prepare drinks,prepare drinks,Barman-000003,
4132,2024-11-01 19:45:18.134,Bring drinks,Bring drinks,Barman-000002,
4132,2024-11-01 19:54:34.256,Review drinks,Review drinks,Waiter-000004,
4132,2024-11-01 19:54:36.773,prepare drinks,prepare drinks,Barman-000002,
4132,2024-11-01 20:06:02.571,Bring drinks,Bring drinks,Barman-000002,
4132,2024-11-01 20:07:15.840,Review drinks,Review drinks,Waiter-000005,
4132,2024-11-11 18:52:51.052,Prepare main course,Prepare main course,Cook-000002,
4132,2024-11-20 00:22:08.578,Signal food complete,Signal food complete,Cook-000001,
4132,2024-11-20 00:33:21.855,Bring food,Bring food,Cook helper-000003,
4132,2024-11-20 00:42:24.133,Deliver to customer,Deliver to customer,Waiter-000004,
4132,2024-11-20 00:44:24.488,EVENT 8 END,EVENT 8 END,,
4133,2024-11-01 19:15:00.000,Take order,Take order,Waiter-000002,
4133,2024-11-01 19:15:00.000,start,start,,
4133,2024-11-01 19:15:24.080,Review order,Review order,Waiter-000005,
4133,2024-11-01 19:16:03.113,prepare drinks,prepare drinks,Barman-000002,
4133,2024-11-01 19:32:06.027,Bring drinks,Bring drinks,Barman-000002,
4133,2024-11-01 19:34:21.885,Review drinks,Review drinks,Waiter-000001,
4133,2024-11-01 19:35:03.162,prepare drinks,prepare drinks,Barman-000002,
4133,2024-11-01 19:35:46.197,Bring drinks,Bring drinks,Barman-000002,
4133,2024-11-01 19:44:48.211,Review drinks,Review drinks,Waiter-000005,
4133,2024-11-11 18:54:11.748,Prepare main course,Prepare main course,Cook-000003,
4133,2024-11-20 00:39:33.121,Signal food complete,Signal food complete,Cook-000001,
4133,2024-11-20 01:16:19.702,Bring food,Bring food,Cook helper-000002,
4133,2024-11-20 01:21:31.614,Deliver to customer,Deliver to customer,Waiter-000001,
4133,2024-11-20 01:22:07.908,EVENT 8 END,EVENT 8 END,,
4134,2024-11-01 19:30:00.000,Take order,Take order,Waiter-000004,
4134,2024-11-01 19:30:00.000,start,start,,
4134,2024-11-01 19:31:20.497,Review order,Review order,Waiter-000002,
4134,2024-11-01 19:31:35.269,Prepare starter,Prepare starter,Cook helper-000002,
4134,2024-11-01 19:31:35.269,prepare drinks,prepare drinks,Barman-000001,
4134,2024-11-01 19:43:51.766,Bring drinks,Bring drinks,Barman-000001,
4134,2024-11-01 19:48:46.116,Review drinks,Review drinks,Waiter-000002,
4134,2024-11-01 19:49:21.327,prepare drinks,prepare drinks,Barman-000001,
4134,2024-11-01 20:07:17.134,Review drinks,Review drinks,Waiter-000004,
4134,2024-11-11 19:06:14.631,Prepare main course,Prepare main course,Cook-000002,
4134,2024-11-20 00:45:33.581,Signal food complete,Signal food complete,Cook-000003,
4134,2024-11-20 01:49:04.612,Bring food,Bring food,Cook helper-000002,
4134,2024-11-20 01:54:28.723,Deliver to customer,Deliver to customer,Waiter-000002,
4134,2024-11-20 01:55:38.226,EVENT 8 END,EVENT 8 END,,
4135,2024-11-01 19:45:00.000,Take order,Take order,Waiter-000001,
4135,2024-11-01 19:45:00.000,start,start,,
4135,2024-11-01 19:46:19.347,Review order,Review order,Waiter-000003,
4135,2024-11-01 19:47:01.299,prepare drinks,prepare drinks,Barman-000003,
4135,2024-11-01 19:48:17.271,Bring drinks,Bring drinks,Barman-000003,
4135,2024-11-01 19:49:05.817,Review drinks,Review drinks,Waiter-000005,
4135,2024-11-01 19:49:42.397,prepare drinks,prepare drinks,Barman-000003,
4135,2024-11-01 20:00:13.702,Review drinks,Review drinks,Waiter-000003,
4135,2024-11-11 19:25:54.551,Prepare main course,Prepare main course,Cook-000002,
4135,2024-11-20 01:16:19.702,Signal food complete,Signal food complete,Cook-000001,
4135,2024-11-20 01:49:25.277,Bring food,Bring food,Cook helper-000001,
4135,2024-11-20 01:58:06.417,Deliver to customer,Deliver to customer,Waiter-000003,
4135,2024-11-20 18:03:10.407,EVENT 8 END,EVENT 8 END,,
4144,2024-11-01 22:00:00.000,Take order,Take order,Waiter-000005,
4144,2024-11-01 22:00:00.000,start,start,,
4144,2024-11-01 22:03:08.660,Review order,Review order,Waiter-000001,
4144,2024-11-01 22:03:53.644,prepare drinks,prepare drinks,Barman-000003,
4144,2024-11-01 22:06:15.421,Bring drinks,Bring drinks,Barman-000002,
4144,2024-11-01 22:07:57.518,Review drinks,Review drinks,Waiter-000002,
4144,2024-11-11 22:28:11.058,Prepare main course,Prepare main course,Cook-000003,
4144,2024-11-20 20:40:36.086,Signal food complete,Signal food complete,Cook-000001,
4144,2024-11-20 21:13:05.473,Bring food,Bring food,Cook helper-000002,
