Case,Timestamp,Activity,Resource,label
791,2024-06-07 23:53:50,Review drinks,Waiter-000005,
791,2024-06-07 23:54:22,prepare drinks,Barman-000002,
791,2024-06-08 00:00:49,Bring drinks,Barman-000003,
791,2024-06-08 00:24:09,Review drinks,Waiter-000003,
791,2024-06-08 00:27:06,prepare drinks,Barman-000002,
791,2024-06-08 00:28:46,Bring drinks,Barman-000001,
791,2024-06-08 00:29:44,Review drinks,Waiter-000001,
791,2024-06-08 00:31:29,prepare drinks,Barman-000003,
791,2024-06-08 00:32:21,Bring drinks,Barman-000003,
791,2024-06-08 00:35:17,Review drinks,Waiter-000003,
791,2024-06-11 00:46:31,Prepare main course,Cook-000002,
791,2024-06-12 19:10:56,Signal food complete,Cook-000001,
791,2024-06-12 19:18:26,Bring food,Cook helper-000002,
791,2024-06-12 19:19:39,Deliver to customer,Waiter-000003,
791,2024-06-12 19:19:52,EVENT 8 END,,
792,2024-06-08 00:00:00,Take order,Waiter-000001,
792,2024-06-08 00:00:00,start,,
792,2024-06-08 00:00:53,Review order,Waiter-000002,
792,2024-06-08 00:01:27,Prepare starter,Cook helper-000002,
792,2024-06-08 00:01:27,prepare drinks,Barman-000001,
792,2024-06-08 00:02:16,Bring drinks,Barman-000002,
792,2024-06-08 00:18:05,Review drinks,Waiter-000003,
792,2024-06-08 00:18:48,prepare drinks,Barman-000001,
792,2024-06-08 00:18:52,Bring drinks,Barman-000002,
792,2024-06-08 00:23:09,Review drinks,Waiter-000002,
792,2024-06-11 00:57:15,Signal food complete,Cook-000003,
792,2024-06-11 01:34:44,Bring food,Cook helper-000003,
792,2024-06-11 01:50:27,Deliver to customer,Waiter-000004,
792,2024-06-11 01:51:12,EVENT 8 END,,
793,2024-06-08 00:15:00,Take order,Waiter-000004,
793,2024-06-08 00:15:00,start,,
793,2024-06-08 00:15:00,Bring drinks_signed1,,collateral events(Bring drinks)
793,2024-06-08 00:21:37,Review order,Waiter-000001,
793,2024-06-08 00:21:37,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
793,2024-06-08 00:21:48,Prepare starter,Cook helper-000001,
793,2024-06-08 00:21:48,prepare drinks,Barman-000001,
793,2024-06-08 00:21:48,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
793,2024-06-08 00:27:46,Bring drinks,Barman-000003,
793,2024-06-08 00:29:17,Review drinks,Waiter-000004,
793,2024-06-08 00:29:17,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
793,2024-06-08 00:31:18,prepare drinks,Barman-000002,
793,2024-06-08 00:31:19,Bring drinks_signed1,Barman-000002,collateral events(Bring drinks)
793,2024-06-08 00:35:23,Bring drinks,Barman-000003,
793,2024-06-08 00:45:17,Review drinks,Waiter-000003,
793,2024-06-08 00:45:17,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
793,2024-06-11 00:59:02,Prepare main course,Cook-000001,
793,2024-06-11 00:59:02,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
793,2024-06-12 19:43:29,Signal food complete,Cook-000001,
793,2024-06-12 19:43:29,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
793,2024-06-12 20:06:05,Bring food,Cook helper-000001,
793,2024-06-12 20:06:05,Bring drinks_signed1,Cook helper-000001,collateral events(Bring drinks)
793,2024-06-12 20:09:19,Deliver to customer,Waiter-000002,
793,2024-06-12 20:09:20,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
793,2024-06-12 20:10:24,EVENT 8 END,,
793,2024-06-12 20:10:25,Bring drinks_signed1,,collateral events(Bring drinks)
794,2024-06-08 00:30:00,Take order,Waiter-000005,
794,2024-06-08 00:30:00,start,,
794,2024-06-08 00:30:00,Bring drinks_signed1,,collateral events(Bring drinks)
794,2024-06-08 00:31:21,Review order,Waiter-000002,
794,2024-06-08 00:31:22,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
794,2024-06-08 00:32:13,prepare drinks,Barman-000001,
794,2024-06-08 00:32:13,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
794,2024-06-08 00:39:39,Bring drinks,Barman-000002,
794,2024-06-08 00:40:36,Review drinks,Waiter-000001,
794,2024-06-08 00:40:36,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
794,2024-06-11 01:04:10,Prepare main course,Cook-000002,
794,2024-06-11 01:04:11,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
794,2024-06-12 19:18:26,Signal food complete,Cook-000001,
794,2024-06-12 19:18:26,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
794,2024-06-12 19:22:58,Bring food,Cook helper-000003,
794,2024-06-12 19:22:59,Bring drinks_signed1,Cook helper-000003,collateral events(Bring drinks)
794,2024-06-12 19:26:42,Deliver to customer,Waiter-000001,
794,2024-06-12 19:26:42,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
794,2024-06-12 19:27:17,EVENT 8 END,,
794,2024-06-12 19:27:17,Bring drinks_signed1,,collateral events(Bring drinks)
795,2024-06-08 00:45:00,Take order,Waiter-000002,
795,2024-06-08 00:45:00,start,,
795,2024-06-08 00:45:00,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
795,2024-06-08 00:46:02,Review order,Waiter-000005,
795,2024-06-08 00:46:03,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
795,2024-06-08 00:46:53,prepare drinks,Barman-000001,
795,2024-06-08 00:46:54,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
795,2024-06-08 00:49:55,Bring drinks,Barman-000002,
795,2024-06-08 00:56:25,Review drinks,Waiter-000003,
795,2024-06-08 00:56:26,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
795,2024-06-11 01:47:34,Prepare main course,Cook-000002,
795,2024-06-11 01:47:35,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
795,2024-06-12 19:38:23,Signal food complete,Cook-000003,
795,2024-06-12 19:38:23,Bring drinks_signed1,Cook-000003,collateral events(Bring drinks)
795,2024-06-12 20:30:33,Bring food,Cook helper-000002,
795,2024-06-12 20:30:33,Bring drinks_signed1,Cook helper-000002,collateral events(Bring drinks)
795,2024-06-12 20:30:39,Deliver to customer,Waiter-000003,
795,2024-06-12 20:30:40,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
795,2024-06-12 20:30:45,EVENT 8 END,,
795,2024-06-12 20:30:46,Bring drinks_signed1,,collateral events(Bring drinks)
796,2024-06-08 01:00:00,Take order,Waiter-000002,
796,2024-06-08 01:00:00,start,,
796,2024-06-08 01:01:24,Review order,Waiter-000004,
796,2024-06-08 01:02:48,prepare drinks,Barman-000003,
796,2024-06-08 01:12:55,Bring drinks,Barman-000001,
796,2024-06-08 01:14:23,Review drinks,Waiter-000005,
796,2024-06-11 01:58:42,Prepare main course,Cook-000002,
796,2024-06-12 20:35:24,Signal food complete,Cook-000003,
796,2024-06-12 20:55:58,Bring food,Cook helper-000002,
796,2024-06-12 21:00:49,Deliver to customer,Waiter-000001,
796,2024-06-12 21:01:50,EVENT 8 END,,
797,2024-06-08 01:15:00,Take order,Waiter-000001,
797,2024-06-08 01:15:00,start,,
797,2024-06-08 01:16:30,Review order,Waiter-000003,
797,2024-06-08 01:18:05,Prepare starter,Cook helper-000001,
797,2024-06-08 01:18:05,prepare drinks,Barman-000002,
797,2024-06-08 01:18:42,Bring drinks,Barman-000003,
797,2024-06-08 01:25:40,Review drinks,Waiter-000004,
797,2024-06-11 18:05:37,Prepare main course,Cook-000001,
797,2024-06-12 20:13:24,Signal food complete,Cook-000002,
797,2024-06-12 20:16:37,Bring food,Cook helper-000003,
797,2024-06-12 20:21:45,Deliver to customer,Waiter-000004,
797,2024-06-12 20:23:51,EVENT 8 END,,
798,2024-06-08 01:30:00,Take order,Waiter-000005,
798,2024-06-08 01:30:00,start,,
798,2024-06-08 01:30:00,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
798,2024-06-08 01:31:47,Review order,Waiter-000001,
798,2024-06-08 01:31:47,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
798,2024-06-08 01:32:21,prepare drinks,Barman-000001,
798,2024-06-08 01:32:21,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
798,2024-06-08 01:38:16,Bring drinks,Barman-000002,
798,2024-06-08 01:38:59,Review drinks,Waiter-000003,
798,2024-06-08 01:38:59,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
798,2024-06-08 01:39:46,prepare drinks,Barman-000003,
798,2024-06-08 01:39:46,Bring drinks_signed1,Barman-000003,collateral events(Bring drinks)
798,2024-06-08 01:40:25,Bring drinks,Barman-000001,
798,2024-06-08 01:58:51,Review drinks,Waiter-000003,
798,2024-06-08 01:58:51,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
798,2024-06-11 18:51:07,Prepare main course,Cook-000001,
798,2024-06-11 18:51:07,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
798,2024-06-12 20:30:33,Signal food complete,Cook-000003,
798,2024-06-12 20:30:33,Bring drinks_signed1,Cook-000003,collateral events(Bring drinks)
798,2024-06-12 20:35:24,Bring food,Cook helper-000001,
798,2024-06-12 20:35:24,Bring drinks_signed1,Cook helper-000001,collateral events(Bring drinks)
798,2024-06-12 20:37:53,Deliver to customer,Waiter-000002,
798,2024-06-12 20:37:54,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
798,2024-06-12 20:41:45,EVENT 8 END,,
798,2024-06-12 20:41:46,Bring drinks_signed1,,collateral events(Bring drinks)
799,2024-06-08 01:45:00,Take order,Waiter-000002,
799,2024-06-08 01:45:00,start,,
799,2024-06-08 01:50:12,Review order,Waiter-000004,
799,2024-06-08 01:51:48,prepare drinks,Barman-000002,
799,2024-06-10 18:09:41,Bring drinks,Barman-000001,
799,2024-06-10 18:11:05,Review drinks,Waiter-000005,
799,2024-06-10 18:13:41,prepare drinks,Barman-000001,
799,2024-06-10 18:14:45,Bring drinks,Barman-000003,
799,2024-06-10 18:18:48,Review drinks,Waiter-000004,
799,2024-06-10 18:19:30,prepare drinks,Barman-000002,
799,2024-06-10 18:24:21,Bring drinks,Barman-000003,
799,2024-06-10 18:25:50,Review drinks,Waiter-000005,
799,2024-06-11 19:07:54,Prepare main course,Cook-000001,
799,2024-06-12 20:55:58,Signal food complete,Cook-000003,
799,2024-06-12 21:15:00,Bring food,Cook helper-000002,
799,2024-06-12 21:15:04,Deliver to customer,Waiter-000001,
799,2024-06-12 21:17:41,EVENT 8 END,,
800,2024-06-08 02:00:00,start,,
800,2024-06-10 18:00:00,Take order,Waiter-000002,
800,2024-06-10 18:05:59,Review order,Waiter-000004,
800,2024-06-10 18:09:03,prepare drinks,Barman-000003,
800,2024-06-10 18:11:56,Bring drinks,Barman-000002,
800,2024-06-10 18:11:56,Review drinks,Waiter-000001,
800,2024-06-11 19:11:26,Prepare main course,Cook-000002,
800,2024-06-12 20:40:51,Signal food complete,Cook-000002,
800,2024-06-12 20:58:19,Bring food,Cook helper-000001,
800,2024-06-12 21:16:40,Deliver to customer,Waiter-000005,
800,2024-06-12 21:18:33,EVENT 8 END,,
801,2024-06-10 18:15:00,Take order,Waiter-000003,
801,2024-06-10 18:15:00,start,,
801,2024-06-10 18:15:46,Review order,Waiter-000002,
801,2024-06-10 18:17:43,Prepare starter,Cook helper-000002,
801,2024-06-10 18:17:43,prepare drinks,Barman-000002,
801,2024-06-10 18:18:12,Bring drinks,Barman-000001,
801,2024-06-10 18:23:28,Review drinks,Waiter-000001,
801,2024-06-11 19:13:06,Prepare main course,Cook-000002,
801,2024-06-12 21:15:00,Signal food complete,Cook-000003,
801,2024-06-12 22:27:51,Bring food,Cook helper-000003,
801,2024-06-12 22:28:26,Deliver to customer,Waiter-000005,
801,2024-06-12 22:32:12,EVENT 8 END,,
802,2024-06-10 18:30:00,Take order,Waiter-000003,
802,2024-06-10 18:30:00,start,,
802,2024-06-10 18:30:00,Bring drinks_signed1,,collateral events(Bring drinks)
802,2024-06-10 18:41:55,Review order,Waiter-000002,
802,2024-06-10 18:41:56,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
802,2024-06-10 18:42:43,prepare drinks,Barman-000001,
802,2024-06-10 18:42:43,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
802,2024-06-10 18:53:59,Bring drinks,Barman-000003,
802,2024-06-10 18:54:41,Review drinks,Waiter-000003,
802,2024-06-10 18:54:41,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
802,2024-06-10 18:56:33,prepare drinks,Barman-000001,
802,2024-06-10 18:56:33,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
802,2024-06-10 18:56:59,Bring drinks,Barman-000003,
802,2024-06-10 19:04:06,Review drinks,Waiter-000001,
802,2024-06-10 19:04:07,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
802,2024-06-11 19:40:36,Prepare main course,Cook-000001,
802,2024-06-11 19:40:36,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
802,2024-06-12 22:51:21,Signal food complete,Cook-000001,
802,2024-06-12 22:51:22,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
802,2024-06-12 23:23:32,Bring food,Cook helper-000002,
802,2024-06-12 23:23:32,Bring drinks_signed1,Cook helper-000002,collateral events(Bring drinks)
802,2024-06-12 23:24:28,Deliver to customer,Waiter-000005,
802,2024-06-12 23:24:28,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
802,2024-06-12 23:24:48,EVENT 8 END,,
802,2024-06-12 23:24:49,Bring drinks_signed1,,collateral events(Bring drinks)
803,2024-06-10 18:45:00,Take order,Waiter-000001,
803,2024-06-10 18:45:00,start,,
803,2024-06-10 18:45:50,Review order,Waiter-000005,
803,2024-06-10 18:46:04,prepare drinks,Barman-000002,
803,2024-06-10 19:01:58,Bring drinks,Barman-000002,
803,2024-06-10 19:07:02,Review drinks,Waiter-000005,
803,2024-06-11 19:52:00,Prepare main course,Cook-000003,
803,2024-06-12 22:12:15,Signal food complete,Cook-000002,
803,2024-06-12 23:28:23,Bring food,Cook helper-000001,
803,2024-06-12 23:31:05,Deliver to customer,Waiter-000001,
803,2024-06-12 23:32:12,EVENT 8 END,,
804,2024-06-10 19:00:00,Take order,Waiter-000004,
804,2024-06-10 19:00:00,start,,
804,2024-06-10 19:01:18,Review order,Waiter-000002,
804,2024-06-10 19:01:33,Prepare starter,Cook helper-000002,
804,2024-06-10 19:01:33,prepare drinks,Barman-000001,
804,2024-06-10 19:06:17,Bring drinks,Barman-000003,
804,2024-06-10 19:36:13,Review drinks,Waiter-000003,
804,2024-06-11 20:11:32,Prepare main course,Cook-000002,
804,2024-06-12 21:21:40,Signal food complete,Cook-000001,
804,2024-06-12 21:22:17,Bring food,Cook helper-000003,
804,2024-06-12 21:27:06,Deliver to customer,Waiter-000004,
804,2024-06-12 21:27:36,EVENT 8 END,,
805,2024-06-10 19:15:00,Take order,Waiter-000002,
805,2024-06-10 19:15:00,start,,
805,2024-06-10 19:15:00,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
805,2024-06-10 19:17:01,Review order,Waiter-000001,
805,2024-06-10 19:17:01,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
805,2024-06-10 19:17:04,prepare drinks,Barman-000001,
805,2024-06-10 19:17:05,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
805,2024-06-10 19:22:38,Bring drinks,Barman-000002,
805,2024-06-10 19:27:04,Review drinks,Waiter-000004,
805,2024-06-10 19:27:04,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
805,2024-06-11 21:01:47,Prepare main course,Cook-000002,
805,2024-06-11 21:01:47,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
805,2024-06-12 23:23:32,Signal food complete,Cook-000001,
805,2024-06-12 23:23:32,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
805,2024-06-13 00:16:46,Bring food,Cook helper-000001,
805,2024-06-13 00:16:47,Bring drinks_signed1,Cook helper-000001,collateral events(Bring drinks)
805,2024-06-13 00:20:31,Deliver to customer,Waiter-000002,
805,2024-06-13 00:20:32,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
805,2024-06-13 00:25:26,EVENT 8 END,,
805,2024-06-13 00:25:26,Bring drinks_signed1,,collateral events(Bring drinks)
806,2024-06-10 19:30:00,Take order,Waiter-000001,
806,2024-06-10 19:30:00,start,,
806,2024-06-10 19:32:24,Review order,Waiter-000005,
806,2024-06-10 19:33:20,prepare drinks,Barman-000001,
806,2024-06-10 19:34:24,Bring drinks,Barman-000002,
806,2024-06-10 19:49:36,Review drinks,Waiter-000001,
806,2024-06-10 19:50:06,prepare drinks,Barman-000003,
806,2024-06-10 19:58:38,Bring drinks,Barman-000002,
806,2024-06-10 20:03:38,Review drinks,Waiter-000005,
806,2024-06-10 20:06:24,prepare drinks,Barman-000002,
806,2024-06-10 20:07:59,Bring drinks,Barman-000002,
806,2024-06-10 20:21:18,Review drinks,Waiter-000002,
806,2024-06-10 20:22:09,prepare drinks,Barman-000003,
806,2024-06-10 20:26:27,Bring drinks,Barman-000002,
806,2024-06-10 20:30:45,Review drinks,Waiter-000003,
806,2024-06-10 20:32:41,prepare drinks,Barman-000001,
806,2024-06-10 20:43:42,Bring drinks,Barman-000002,
806,2024-06-10 20:45:55,Review drinks,Waiter-000002,
806,2024-06-10 20:47:05,prepare drinks,Barman-000001,
806,2024-06-10 20:48:01,Bring drinks,Barman-000001,
806,2024-06-10 20:50:13,Review drinks,Waiter-000001,
806,2024-06-10 20:50:59,prepare drinks,Barman-000001,
806,2024-06-10 20:59:15,Bring drinks,Barman-000002,
806,2024-06-10 21:03:32,Review drinks,Waiter-000003,
806,2024-06-11 21:16:43,Prepare main course,Cook-000002,
806,2024-06-12 23:28:23,Signal food complete,Cook-000002,
806,2024-06-13 00:08:03,Bring food,Cook helper-000002,
806,2024-06-13 00:08:43,Deliver to customer,Waiter-000004,
806,2024-06-13 00:09:30,EVENT 8 END,,
807,2024-06-10 19:45:00,Take order,Waiter-000004,
807,2024-06-10 19:45:00,start,,
807,2024-06-10 19:46:05,Review order,Waiter-000002,
807,2024-06-10 19:49:55,prepare drinks,Barman-000001,
807,2024-06-10 19:54:06,Bring drinks,Barman-000002,
807,2024-06-10 19:54:30,Review drinks,Waiter-000005,
807,2024-06-10 19:54:54,prepare drinks,Barman-000001,
807,2024-06-10 20:01:39,Bring drinks,Barman-000003,
807,2024-06-10 20:02:29,Review drinks,Waiter-000002,
807,2024-06-10 20:02:33,prepare drinks,Barman-000001,
807,2024-06-10 20:07:28,Bring drinks,Barman-000001,
807,2024-06-10 20:08:29,Review drinks,Waiter-000002,
807,2024-06-11 21:41:00,Prepare main course,Cook-000001,
807,2024-06-13 00:15:48,Signal food complete,Cook-000002,
807,2024-06-13 00:17:10,Bring food,Cook helper-000003,
807,2024-06-13 00:18:23,Deliver to customer,Waiter-000003,
807,2024-06-13 00:19:44,EVENT 8 END,,
808,2024-06-10 20:00:00,Take order,Waiter-000004,
808,2024-06-10 20:00:00,start,,
808,2024-06-10 20:02:36,Review order,Waiter-000001,
808,2024-06-10 20:02:45,prepare drinks,Barman-000003,
808,2024-06-10 20:02:45,Bring drinks,Barman-000003,
808,2024-06-10 20:10:28,Review drinks,Waiter-000004,
808,2024-06-11 21:44:39,Prepare main course,Cook-000001,
808,2024-06-13 00:17:10,Signal food complete,Cook-000002,
808,2024-06-13 00:24:14,Bring food,Cook helper-000002,
808,2024-06-13 00:35:03,Deliver to customer,Waiter-000001,
808,2024-06-13 00:37:59,EVENT 8 END,,
809,2024-06-10 20:15:00,Take order,Waiter-000001,
809,2024-06-10 20:15:00,start,,
809,2024-06-10 20:15:03,Review order,Waiter-000005,
809,2024-06-10 20:17:25,prepare drinks,Barman-000001,
809,2024-06-10 20:19:00,Bring drinks,Barman-000003,
809,2024-06-10 20:19:31,Review drinks,Waiter-000003,
809,2024-06-10 20:19:35,prepare drinks,Barman-000001,
809,2024-06-10 20:27:44,Bring drinks,Barman-000003,
809,2024-06-10 20:35:39,Review drinks,Waiter-000004,
809,2024-06-11 21:58:52,Prepare main course,Cook-000001,
809,2024-06-13 00:20:08,Signal food complete,Cook-000003,
809,2024-06-13 18:04:47,Bring food,Cook helper-000002,
809,2024-06-13 18:19:55,Deliver to customer,Waiter-000005,
809,2024-06-13 18:20:05,EVENT 8 END,,
810,2024-06-10 20:30:00,Take order,Waiter-000005,
810,2024-06-10 20:30:00,start,,
810,2024-06-10 20:34:00,Review order,Waiter-000002,
810,2024-06-10 20:34:52,Prepare starter,Cook helper-000003,
810,2024-06-10 20:34:52,prepare drinks,Barman-000002,
810,2024-06-10 20:36:00,Bring drinks,Barman-000003,
810,2024-06-10 20:53:37,Review drinks,Waiter-000003,
810,2024-06-10 20:54:04,prepare drinks,Barman-000003,
810,2024-06-10 20:54:42,Bring drinks,Barman-000003,
810,2024-06-10 20:58:40,Review drinks,Waiter-000004,
810,2024-06-11 22:00:17,Prepare main course,Cook-000001,
810,2024-06-13 00:24:14,Signal food complete,Cook-000002,
810,2024-06-13 01:08:23,Bring food,Cook helper-000002,
810,2024-06-13 01:11:06,Deliver to customer,Waiter-000004,
810,2024-06-13 01:11:20,EVENT 8 END,,
811,2024-06-10 20:45:00,Take order,Waiter-000005,
811,2024-06-10 20:45:00,start,,
811,2024-06-10 20:45:00,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
811,2024-06-10 20:46:04,Review order,Waiter-000004,
811,2024-06-10 20:46:05,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
811,2024-06-10 20:47:35,prepare drinks,Barman-000002,
811,2024-06-10 20:47:36,Bring drinks_signed1,Barman-000002,collateral events(Bring drinks)
811,2024-06-10 20:53:35,Bring drinks,Barman-000002,
811,2024-06-10 20:55:39,Review drinks,Waiter-000002,
811,2024-06-10 20:55:39,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
811,2024-06-11 22:36:56,Prepare main course,Cook-000001,
811,2024-06-11 22:36:57,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
811,2024-06-13 01:15:48,Signal food complete,Cook-000002,
811,2024-06-13 01:15:48,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
811,2024-06-13 18:40:23,Bring food,Cook helper-000002,
811,2024-06-13 18:40:24,Bring drinks_signed1,Cook helper-000002,collateral events(Bring drinks)
811,2024-06-13 18:47:29,Deliver to customer,Waiter-000005,
811,2024-06-13 18:47:30,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
811,2024-06-13 18:49:22,EVENT 8 END,,
811,2024-06-13 18:49:23,Bring drinks_signed1,,collateral events(Bring drinks)
812,2024-06-10 21:00:00,Take order,Waiter-000001,
812,2024-06-10 21:00:00,start,,
812,2024-06-10 21:00:00,Bring drinks_signed1,,collateral events(Bring drinks)
812,2024-06-10 21:00:38,Review order,Waiter-000005,
812,2024-06-10 21:00:38,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
812,2024-06-10 21:02:39,prepare drinks,Barman-000003,
812,2024-06-10 21:02:39,Bring drinks_signed1,Barman-000003,collateral events(Bring drinks)
812,2024-06-10 21:13:11,Bring drinks,Barman-000001,
812,2024-06-10 21:14:35,Review drinks,Waiter-000002,
812,2024-06-10 21:14:36,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
812,2024-06-10 21:14:53,prepare drinks,Barman-000002,
812,2024-06-10 21:14:53,Bring drinks_signed1,Barman-000002,collateral events(Bring drinks)
812,2024-06-10 21:25:10,Bring drinks,Barman-000001,
812,2024-06-10 21:26:35,Review drinks,Waiter-000005,
812,2024-06-10 21:26:35,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
812,2024-06-11 22:38:37,Prepare main course,Cook-000001,
812,2024-06-11 22:38:37,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
812,2024-06-13 01:28:22,Signal food complete,Cook-000001,
812,2024-06-13 01:28:23,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
812,2024-06-13 01:35:37,Bring food,Cook helper-000001,
812,2024-06-13 01:35:37,Bring drinks_signed1,Cook helper-000001,collateral events(Bring drinks)
812,2024-06-13 01:37:16,Deliver to customer,Waiter-000003,
812,2024-06-13 01:37:17,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
812,2024-06-13 01:40:22,EVENT 8 END,,
812,2024-06-13 01:40:22,Bring drinks_signed1,,collateral events(Bring drinks)
813,2024-06-10 21:15:00,Take order,Waiter-000004,
813,2024-06-10 21:15:00,start,,
813,2024-06-10 21:18:14,Review order,Waiter-000001,
813,2024-06-10 21:19:49,prepare drinks,Barman-000003,
813,2024-06-10 21:25:13,Bring drinks,Barman-000002,
813,2024-06-10 21:35:33,Review drinks,Waiter-000002,
813,2024-06-11 23:04:28,Prepare main course,Cook-000003,
813,2024-06-13 01:35:37,Signal food complete,Cook-000001,
813,2024-06-13 01:56:13,Bring food,Cook helper-000003,
813,2024-06-13 18:00:43,Deliver to customer,Waiter-000001,
813,2024-06-13 18:01:34,EVENT 8 END,,
814,2024-06-10 21:30:00,Take order,Waiter-000003,
814,2024-06-10 21:30:00,start,,
814,2024-06-10 21:35:45,Review order,Waiter-000004,
814,2024-06-10 21:36:39,Prepare starter,Cook helper-000001,
814,2024-06-10 21:36:39,prepare drinks,Barman-000003,
814,2024-06-10 21:37:34,Bring drinks,Barman-000001,
814,2024-06-10 21:37:44,Review drinks,Waiter-000001,
814,2024-06-11 23:17:01,Signal food complete,Cook-000003,
814,2024-06-11 23:31:33,Bring food,Cook helper-000001,
814,2024-06-11 23:36:07,Deliver to customer,Waiter-000003,
814,2024-06-11 23:36:41,EVENT 8 END,,
815,2024-06-10 21:45:00,Take order,Waiter-000005,
815,2024-06-10 21:45:00,start,,
815,2024-06-10 21:45:19,Review order,Waiter-000003,
815,2024-06-10 21:46:29,prepare drinks,Barman-000002,
815,2024-06-10 21:49:02,Bring drinks,Barman-000003,
815,2024-06-10 21:59:05,Review drinks,Waiter-000002,
815,2024-06-10 21:59:23,prepare drinks,Barman-000001,
815,2024-06-10 22:03:52,Bring drinks,Barman-000003,
815,2024-06-10 22:04:53,Review drinks,Waiter-000005,
815,2024-06-11 23:31:33,Prepare main course,Cook-000003,
815,2024-06-13 18:23:13,Signal food complete,Cook-000003,
815,2024-06-13 18:54:57,Bring food,Cook helper-000003,
815,2024-06-13 18:55:55,Deliver to customer,Waiter-000005,
815,2024-06-13 18:55:58,EVENT 8 END,,
816,2024-06-10 22:00:00,Take order,Waiter-000004,
816,2024-06-10 22:00:00,start,,
816,2024-06-10 22:03:06,Review order,Waiter-000001,
816,2024-06-10 22:03:36,Prepare starter,Cook helper-000002,
816,2024-06-10 22:03:36,prepare drinks,Barman-000002,
816,2024-06-10 22:12:16,Bring drinks,Barman-000001,
816,2024-06-10 22:14:49,Review drinks,Waiter-000003,
816,2024-06-11 23:47:12,Prepare main course,Cook-000003,
816,2024-06-13 18:55:50,Signal food complete,Cook-000002,
816,2024-06-13 19:25:33,Bring food,Cook helper-000003,
816,2024-06-13 19:27:04,Deliver to customer,Waiter-000005,
816,2024-06-13 19:27:41,EVENT 8 END,,
817,2024-06-10 22:15:00,Take order,Waiter-000002,
817,2024-06-10 22:15:00,start,,
817,2024-06-10 22:19:17,Review order,Waiter-000004,
817,2024-06-10 22:19:32,prepare drinks,Barman-000003,
817,2024-06-10 22:28:35,Bring drinks,Barman-000002,
817,2024-06-10 22:33:47,Review drinks,Waiter-000002,
817,2024-06-11 23:54:06,Prepare main course,Cook-000002,
817,2024-06-13 18:49:21,Signal food complete,Cook-000002,
